,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,7801.0,18.0,210.0,-1.0,32.0,7559.0,37.0,1439.0,39.0,172586.0,31835.0,Norway,Europe,,,0.0,,,
1,2020-05-03,7847.0,38.0,211.0,-1.0,32.0,7604.0,37.0,1447.0,39.0,172586.0,31835.0,Norway,Europe,,,0.0,,,
2,2020-05-04,7884.0,37.0,214.0,3.0,32.0,7638.0,27.0,1454.0,39.0,182285.0,33624.0,Norway,Europe,,,0.0,,,
3,2020-05-05,7955.0,-1.0,215.0,-1.0,32.0,7708.0,27.0,1467.0,40.0,189657.0,34984.0,Norway,Europe,,,0.0,,,
4,2020-05-06,7976.0,21.0,216.0,1.0,32.0,7728.0,27.0,1471.0,40.0,189657.0,34984.0,Norway,Europe,,,0.0,,,
5,2020-05-07,8033.0,37.0,217.0,1.0,32.0,7784.0,27.0,1482.0,40.0,191946.0,35406.0,Norway,Europe,,,0.0,,,
6,2020-05-08,8070.0,-1.0,218.0,-1.0,32.0,7820.0,27.0,1489.0,40.0,195921.0,36140.0,Norway,Europe,,,0.0,,,
7,2020-05-09,8099.0,-1.0,219.0,-1.0,32.0,7848.0,24.0,1494.0,40.0,195921.0,36140.0,Norway,Europe,,,0.0,,,
8,2020-05-10,8102.0,3.0,219.0,-1.0,32.0,7851.0,22.0,1494.0,40.0,195921.0,36140.0,Norway,Europe,,,0.0,,,
9,2020-05-11,8122.0,17.0,224.0,5.0,32.0,7866.0,22.0,1498.0,41.0,202751.0,37399.0,Norway,Europe,,,0.0,,,
10,2020-05-12,8152.0,20.0,228.0,4.0,32.0,7892.0,23.0,1504.0,42.0,205239.0,37858.0,Norway,Europe,,,0.0,,,
11,2020-05-13,8168.0,11.0,229.0,1.0,32.0,7907.0,23.0,1507.0,42.0,208874.0,38529.0,Norway,Europe,,,0.0,,,
12,2020-05-14,8187.0,12.0,232.0,3.0,32.0,7923.0,23.0,1510.0,43.0,212655.0,39226.0,Norway,Europe,,,0.0,,,
13,2020-05-15,8206.0,10.0,232.0,-1.0,32.0,7942.0,20.0,1515.0,43.0,216350.0,39948.0,Norway,Europe,48.0,5415755.0,0.0,,,
14,2020-05-16,8226.0,7.0,232.0,-1.0,32.0,7962.0,20.0,1519.0,43.0,216350.0,39947.0,Norway,Europe,48.0,5415870.0,0.0,,,
