,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2483.0,36.0,12.0,1.0,750.0,1721.0,17.0,486.0,2.0,40459.0,7923.0,Oman,Asia,,,0.0,,,
1,2020-05-03,2568.0,85.0,12.0,-1.0,750.0,1806.0,17.0,503.0,2.0,40459.0,7923.0,Oman,Asia,,,0.0,,,
2,2020-05-04,2637.0,69.0,12.0,-1.0,816.0,1809.0,17.0,516.0,2.0,40459.0,7923.0,Oman,Asia,,,0.0,,,
3,2020-05-05,2735.0,-1.0,13.0,-1.0,858.0,1864.0,17.0,536.0,3.0,40459.0,7923.0,Oman,Asia,,,0.0,,,
4,2020-05-06,2903.0,168.0,13.0,-1.0,888.0,2002.0,17.0,568.0,3.0,40459.0,7923.0,Oman,Asia,,,0.0,,,
5,2020-05-07,2958.0,55.0,15.0,2.0,980.0,1963.0,17.0,579.0,3.0,50000.0,9791.0,Oman,Asia,,,0.0,,,
6,2020-05-08,3112.0,-1.0,16.0,-1.0,1025.0,2071.0,17.0,609.0,3.0,50000.0,9791.0,Oman,Asia,,,0.0,,,
7,2020-05-09,3224.0,-1.0,17.0,-1.0,1068.0,2139.0,17.0,631.0,3.0,50000.0,9791.0,Oman,Asia,,,0.0,,,
8,2020-05-10,3399.0,175.0,17.0,-1.0,1117.0,2265.0,17.0,666.0,3.0,50000.0,9791.0,Oman,Asia,,,0.0,,,
9,2020-05-11,3573.0,174.0,17.0,-1.0,1211.0,2345.0,17.0,700.0,3.0,50000.0,9791.0,Oman,Asia,,,0.0,,,
10,2020-05-12,3721.0,148.0,17.0,-1.0,1250.0,2454.0,27.0,729.0,3.0,50000.0,9791.0,Oman,Asia,,,0.0,,,
11,2020-05-13,4019.0,298.0,17.0,-1.0,1289.0,2713.0,27.0,787.0,3.0,50000.0,9791.0,Oman,Asia,,,0.0,,,
12,2020-05-14,4341.0,322.0,18.0,1.0,1303.0,3020.0,31.0,850.0,4.0,61000.0,11945.0,Oman,Asia,,,0.0,,,
13,2020-05-15,4625.0,284.0,20.0,2.0,1350.0,3255.0,31.0,909.0,4.0,61000.0,11988.0,Oman,Asia,61.0,5088544.0,0.0,,,
14,2020-05-16,5029.0,404.0,21.0,1.0,1436.0,3572.0,31.0,988.0,4.0,61000.0,11987.0,Oman,Asia,61.0,5088900.0,0.0,,,
15,2020-05-17,5186.0,157.0,22.0,1.0,1465.0,3699.0,31.0,1019.0,4.0,61000.0,11986.0,Oman,Asia,61.0,5089256.0,0.0,,,
16,2020-05-18,5379.0,193.0,25.0,3.0,1496.0,3858.0,31.0,1057.0,5.0,61000.0,11985.0,Oman,Asia,61.0,5089612.0,0.0,,,
17,2020-05-19,5671.0,292.0,27.0,2.0,1574.0,4070.0,31.0,1114.0,5.0,61000.0,11984.0,Oman,Asia,61.0,5089968.0,0.0,,,
18,2020-05-20,6043.0,372.0,30.0,3.0,1661.0,4352.0,31.0,1187.0,6.0,72000.0,14144.0,Oman,Asia,61.0,5090324.0,0.0,,,
19,2020-05-21,6370.0,327.0,31.0,1.0,1821.0,4518.0,31.0,1251.0,6.0,72000.0,14143.0,Oman,Asia,60.0,5090680.0,0.0,,,
20,2020-05-22,6794.0,424.0,32.0,1.0,1821.0,4941.0,31.0,1335.0,6.0,72000.0,14143.0,Oman,Asia,59.0,5091036.0,0.0,,,
21,2020-05-23,7257.0,463.0,36.0,2.0,1848.0,5373.0,31.0,1425.0,7.0,72000.0,14142.0,Oman,Asia,56.0,5091392.0,0.0,,,
22,2020-05-24,7770.0,513.0,37.0,1.0,1933.0,5800.0,31.0,1526.0,7.0,72000.0,14141.0,Oman,Asia,54.0,5091748.0,0.0,,,
23,2020-05-25,7770.0,-1.0,37.0,-1.0,1933.0,5800.0,31.0,1526.0,7.0,72000.0,14140.0,Oman,Asia,55.0,5092104.0,0.0,,,
24,2020-05-26,8118.0,348.0,37.0,-1.0,2067.0,6014.0,31.0,1594.0,7.0,72000.0,14139.0,Oman,Asia,54.0,5092460.0,0.0,,,
25,2020-05-27,8373.0,-1.0,39.0,-1.0,2177.0,6157.0,31.0,1644.0,8.0,72000.0,14137.0,Oman,Asia,55.0,5093172.0,0.0,,,
26,2020-05-28,9009.0,636.0,40.0,1.0,2177.0,6792.0,31.0,1769.0,8.0,72000.0,14137.0,Oman,Asia,52.0,5093172.0,0.0,,,
27,2020-05-29,9820.0,811.0,40.0,-1.0,2396.0,7384.0,31.0,1928.0,8.0,72000.0,14136.0,Oman,Asia,51.0,5093528.0,0.0,,,
28,2020-05-30,10423.0,603.0,42.0,1.0,2396.0,7985.0,31.0,2046.0,8.0,72000.0,14135.0,Oman,Asia,50.0,5093884.0,0.0,,,
29,2020-05-31,11437.0,1014.0,47.0,5.0,2396.0,8994.0,31.0,2245.0,9.0,72000.0,14134.0,Oman,Asia,48.0,5094240.0,0.0,,,
30,2020-06-01,12223.0,786.0,50.0,1.0,2682.0,9491.0,31.0,2399.0,10.0,100181.0,19664.0,Oman,Asia,46.0,5094596.0,0.0,,,
31,2020-06-02,12799.0,576.0,59.0,9.0,2812.0,9928.0,31.0,2512.0,12.0,100181.0,19663.0,Oman,Asia,46.0,5094952.0,130.0,398.0,86355.0,51.0
32,2020-06-03,13537.0,738.0,67.0,8.0,2845.0,10625.0,31.0,2657.0,13.0,100181.0,19661.0,Oman,Asia,46.0,5095308.0,33.0,376.0,76049.0,51.0
33,2020-06-04,14316.0,778.0,67.0,-1.0,3451.0,10798.0,58.0,2809.0,13.0,100181.0,19660.0,Oman,Asia,46.0,5095664.0,606.0,356.0,76055.0,51.0
34,2020-06-05,15086.0,770.0,72.0,5.0,3451.0,11563.0,60.0,2960.0,14.0,102644.0,20142.0,Oman,Asia,45.0,5096020.0,-1.0,338.0,70778.0,50.0
35,2020-06-06,16016.0,930.0,72.0,-1.0,3451.0,12493.0,67.0,3143.0,14.0,105772.0,20754.0,Oman,Asia,45.0,5096376.0,-1.0,318.0,70783.0,48.0
36,2020-06-07,16882.0,866.0,75.0,3.0,3451.0,13356.0,75.0,3312.0,15.0,108679.0,21323.0,Oman,Asia,45.0,5096732.0,-1.0,302.0,67956.0,47.0
37,2020-06-08,17486.0,604.0,81.0,6.0,3793.0,13612.0,75.0,3431.0,16.0,111376.0,21851.0,Oman,Asia,43.0,5097088.0,342.0,291.0,62927.0,46.0
38,2020-06-09,18198.0,712.0,83.0,2.0,4152.0,13963.0,85.0,3570.0,16.0,114064.0,22377.0,Oman,Asia,42.0,5097444.0,359.0,280.0,61415.0,45.0
39,2020-06-10,18887.0,689.0,84.0,1.0,5640.0,13163.0,85.0,3705.0,16.0,116722.0,22897.0,Oman,Asia,42.0,5097800.0,1488.0,270.0,60688.0,44.0
40,2020-06-11,19954.0,1067.0,89.0,5.0,6623.0,13242.0,92.0,3914.0,17.0,129527.0,25407.0,Oman,Asia,42.0,5098156.0,983.0,255.0,57283.0,39.0
41,2020-06-12,21071.0,1117.0,96.0,7.0,7489.0,13486.0,92.0,4133.0,19.0,133029.0,26092.0,Oman,Asia,42.0,5098511.0,866.0,242.0,53109.0,38.0
42,2020-06-13,22077.0,1006.0,99.0,3.0,7530.0,14448.0,94.0,4330.0,19.0,136164.0,26705.0,Oman,Asia,41.0,5098867.0,41.0,231.0,51504.0,37.0
