,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,18770.0,678.0,432.0,15.0,4753.0,13585.0,111.0,85.0,2.0,193859.0,878.0,Pakistan,Asia,,,0.0,,,
1,2020-05-03,20084.0,1062.0,457.0,20.0,5114.0,14513.0,111.0,91.0,2.0,203025.0,919.0,Pakistan,Asia,,,0.0,,,
2,2020-05-04,20941.0,857.0,476.0,19.0,5635.0,14830.0,111.0,95.0,2.0,212511.0,962.0,Pakistan,Asia,,,0.0,,,
3,2020-05-05,22049.0,-1.0,514.0,-1.0,5801.0,15734.0,111.0,100.0,2.0,222404.0,1007.0,Pakistan,Asia,,,0.0,,,
4,2020-05-06,22550.0,501.0,526.0,12.0,6217.0,15807.0,111.0,102.0,2.0,232582.0,1053.0,Pakistan,Asia,,,0.0,,,
5,2020-05-07,24644.0,1430.0,585.0,41.0,6464.0,17595.0,111.0,112.0,3.0,244778.0,1108.0,Pakistan,Asia,,,0.0,,,
6,2020-05-08,26435.0,-1.0,599.0,-1.0,7530.0,18306.0,111.0,120.0,3.0,257247.0,1165.0,Pakistan,Asia,,,0.0,,,
7,2020-05-09,28736.0,-1.0,636.0,-1.0,7809.0,20291.0,111.0,130.0,3.0,270025.0,1222.0,Pakistan,Asia,,,0.0,,,
8,2020-05-10,30334.0,1598.0,659.0,23.0,8063.0,21612.0,111.0,137.0,3.0,283517.0,1284.0,Pakistan,Asia,,,0.0,,,
9,2020-05-11,30941.0,607.0,667.0,8.0,8212.0,22062.0,111.0,140.0,3.0,294894.0,1335.0,Pakistan,Asia,,,0.0,,,
10,2020-05-12,32674.0,1733.0,724.0,57.0,8555.0,23395.0,111.0,148.0,3.0,305851.0,1385.0,Pakistan,Asia,,,0.0,,,
11,2020-05-13,34336.0,1662.0,737.0,13.0,8812.0,24787.0,111.0,155.0,3.0,317699.0,1438.0,Pakistan,Asia,,,0.0,,,
12,2020-05-14,35788.0,490.0,770.0,9.0,9695.0,25323.0,111.0,162.0,3.0,330750.0,1497.0,Pakistan,Asia,,,0.0,,,
13,2020-05-15,37218.0,1430.0,803.0,33.0,10155.0,26260.0,111.0,169.0,4.0,344450.0,1563.0,Pakistan,Asia,19.0,220309834.0,0.0,,,
14,2020-05-16,38799.0,1581.0,834.0,31.0,10880.0,27085.0,111.0,176.0,4.0,359264.0,1631.0,Pakistan,Asia,19.0,220321573.0,0.0,,,
15,2020-05-17,40151.0,1352.0,873.0,39.0,11341.0,27937.0,111.0,182.0,4.0,373410.0,1695.0,Pakistan,Asia,19.0,220333311.0,0.0,,,
16,2020-05-18,42125.0,1974.0,903.0,30.0,11922.0,29300.0,111.0,191.0,4.0,387335.0,1758.0,Pakistan,Asia,19.0,220345049.0,0.0,,,
17,2020-05-19,43966.0,1841.0,939.0,36.0,12489.0,30538.0,111.0,200.0,4.0,400292.0,1817.0,Pakistan,Asia,19.0,220356788.0,0.0,,,
18,2020-05-20,45898.0,1932.0,985.0,46.0,13101.0,31812.0,111.0,208.0,4.0,414254.0,1880.0,Pakistan,Asia,18.0,220368526.0,0.0,,,
19,2020-05-21,48091.0,2193.0,1017.0,32.0,14155.0,32919.0,111.0,218.0,5.0,429600.0,1949.0,Pakistan,Asia,18.0,220380264.0,0.0,,,
20,2020-05-22,50694.0,2603.0,1067.0,50.0,15201.0,34426.0,111.0,230.0,5.0,445987.0,2024.0,Pakistan,Asia,18.0,220392002.0,0.0,,,
21,2020-05-23,52437.0,1743.0,1101.0,34.0,16653.0,34683.0,111.0,238.0,5.0,460692.0,2090.0,Pakistan,Asia,18.0,220403741.0,0.0,,,
22,2020-05-24,54601.0,2164.0,1133.0,32.0,17198.0,36270.0,111.0,248.0,5.0,473607.0,2149.0,Pakistan,Asia,18.0,220415479.0,0.0,,,
23,2020-05-25,56349.0,1748.0,1167.0,34.0,17482.0,37700.0,111.0,256.0,5.0,483656.0,2194.0,Pakistan,Asia,18.0,220427217.0,0.0,,,
24,2020-05-26,57705.0,1356.0,1197.0,30.0,18314.0,38194.0,111.0,262.0,5.0,490908.0,2227.0,Pakistan,Asia,17.0,220438956.0,0.0,,,
25,2020-05-27,59151.0,-1.0,1225.0,-1.0,19142.0,38784.0,111.0,268.0,6.0,499399.0,2265.0,Pakistan,Asia,17.0,220462432.0,0.0,,,
26,2020-05-28,61227.0,2076.0,1260.0,35.0,20231.0,39736.0,111.0,278.0,6.0,508086.0,2305.0,Pakistan,Asia,17.0,220462432.0,0.0,,,
27,2020-05-29,64028.0,2801.0,1317.0,57.0,22305.0,40406.0,111.0,290.0,6.0,520017.0,2359.0,Pakistan,Asia,17.0,220474171.0,0.0,,,
28,2020-05-30,66457.0,2429.0,1395.0,78.0,24131.0,40931.0,111.0,301.0,6.0,532037.0,2413.0,Pakistan,Asia,17.0,220485909.0,0.0,,,
29,2020-05-31,69496.0,3039.0,1483.0,88.0,25271.0,42742.0,111.0,315.0,7.0,547030.0,2481.0,Pakistan,Asia,17.0,220497647.0,0.0,,,
30,2020-06-01,72460.0,2964.0,1543.0,60.0,26083.0,44834.0,111.0,329.0,7.0,561136.0,2545.0,Pakistan,Asia,17.0,220509385.0,0.0,,,
31,2020-06-02,76398.0,3938.0,1621.0,78.0,27110.0,47667.0,111.0,346.0,7.0,577974.0,2621.0,Pakistan,Asia,17.0,220521124.0,1027.0,2886.0,136040.0,382.0
32,2020-06-03,80463.0,4065.0,1688.0,67.0,28923.0,49852.0,111.0,365.0,8.0,595344.0,2700.0,Pakistan,Asia,17.0,220532862.0,1813.0,2741.0,130647.0,370.0
33,2020-06-04,85264.0,4801.0,1770.0,82.0,30128.0,53366.0,111.0,387.0,8.0,615511.0,2791.0,Pakistan,Asia,17.0,220544600.0,1205.0,2587.0,124601.0,358.0
34,2020-06-05,89249.0,3985.0,1838.0,68.0,31198.0,56213.0,111.0,405.0,8.0,638323.0,2894.0,Pakistan,Asia,17.0,220556339.0,1070.0,2471.0,119998.0,346.0
35,2020-06-06,93983.0,4734.0,1935.0,97.0,32581.0,59467.0,111.0,426.0,9.0,660508.0,2995.0,Pakistan,Asia,17.0,220568077.0,1383.0,2347.0,113989.0,334.0
36,2020-06-07,98943.0,4960.0,2002.0,67.0,33465.0,63476.0,111.0,449.0,9.0,683608.0,3099.0,Pakistan,Asia,16.0,220579815.0,884.0,2229.0,110180.0,323.0
37,2020-06-08,103671.0,4728.0,2067.0,65.0,34355.0,67249.0,111.0,470.0,9.0,705833.0,3200.0,Pakistan,Asia,16.0,220591553.0,890.0,2128.0,106721.0,313.0
38,2020-06-09,108317.0,4646.0,2172.0,105.0,35018.0,71127.0,111.0,491.0,10.0,730453.0,3311.0,Pakistan,Asia,16.0,220603292.0,663.0,2037.0,101567.0,302.0
39,2020-06-10,113702.0,5385.0,2255.0,83.0,36308.0,75139.0,111.0,515.0,10.0,754252.0,3419.0,Pakistan,Asia,15.0,220615030.0,1290.0,1940.0,97834.0,292.0
