,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,353.0,-1.0,2.0,-1.0,76.0,275.0,-1.0,69.0,0.4,32200.0,6312.0,Palestine,Asia,,,0.0,,,
1,2020-05-03,353.0,-1.0,2.0,-1.0,77.0,274.0,-1.0,69.0,0.4,32200.0,6312.0,Palestine,Asia,,,0.0,,,
2,2020-05-04,362.0,9.0,2.0,-1.0,102.0,258.0,-1.0,71.0,0.4,32200.0,6312.0,Palestine,Asia,,,0.0,,,
3,2020-05-05,371.0,-1.0,2.0,-1.0,127.0,242.0,-1.0,73.0,0.4,32200.0,6312.0,Palestine,Asia,,,0.0,,,
4,2020-05-06,371.0,-1.0,2.0,-1.0,127.0,242.0,-1.0,73.0,0.4,32200.0,6312.0,Palestine,Asia,,,0.0,,,
5,2020-05-07,375.0,1.0,2.0,-1.0,176.0,197.0,-1.0,74.0,0.4,34511.0,6765.0,Palestine,Asia,,,0.0,,,
6,2020-05-08,375.0,-1.0,2.0,-1.0,228.0,145.0,-1.0,74.0,0.4,34511.0,6765.0,Palestine,Asia,,,0.0,,,
7,2020-05-09,375.0,-1.0,2.0,-1.0,228.0,145.0,-1.0,74.0,0.4,34511.0,6765.0,Palestine,Asia,,,0.0,,,
8,2020-05-10,375.0,-1.0,2.0,-1.0,263.0,110.0,-1.0,74.0,0.4,34511.0,6765.0,Palestine,Asia,,,0.0,,,
9,2020-05-11,375.0,-1.0,2.0,-1.0,301.0,72.0,-1.0,74.0,0.4,34511.0,6765.0,Palestine,Asia,,,0.0,,,
10,2020-05-12,375.0,-1.0,2.0,-1.0,316.0,57.0,-1.0,74.0,0.4,43566.0,8540.0,Palestine,Asia,,,0.0,,,
11,2020-05-13,375.0,-1.0,2.0,-1.0,310.0,63.0,-1.0,74.0,0.4,43566.0,8540.0,Palestine,Asia,,,0.0,,,
12,2020-05-14,375.0,-1.0,2.0,-1.0,310.0,63.0,-1.0,74.0,0.4,43566.0,8540.0,Palestine,Asia,,,0.0,,,
13,2020-05-15,375.0,-1.0,2.0,-1.0,315.0,58.0,-1.0,74.0,0.4,43566.0,8567.0,Palestine,Asia,130.0,5085052.0,0.0,,,
14,2020-05-16,376.0,1.0,2.0,-1.0,329.0,45.0,-1.0,74.0,0.4,44876.0,8825.0,Palestine,Asia,130.0,5085377.0,0.0,,,
15,2020-05-17,381.0,5.0,2.0,-1.0,335.0,44.0,-1.0,75.0,0.4,44876.0,8824.0,Palestine,Asia,130.0,5085701.0,0.0,,,
16,2020-05-18,386.0,5.0,2.0,-1.0,337.0,47.0,-1.0,76.0,0.4,44876.0,8823.0,Palestine,Asia,131.0,5086026.0,0.0,,,
17,2020-05-19,391.0,3.0,2.0,-1.0,346.0,43.0,-1.0,77.0,0.4,44876.0,8823.0,Palestine,Asia,132.0,5086351.0,0.0,,,
18,2020-05-20,398.0,7.0,2.0,-1.0,346.0,50.0,-1.0,78.0,0.4,44876.0,8822.0,Palestine,Asia,132.0,5086676.0,0.0,,,
19,2020-05-21,423.0,25.0,2.0,-1.0,346.0,75.0,-1.0,83.0,0.4,44876.0,8822.0,Palestine,Asia,134.0,5087001.0,0.0,,,
20,2020-05-22,423.0,-1.0,2.0,-1.0,346.0,75.0,-1.0,83.0,0.4,44876.0,8821.0,Palestine,Asia,136.0,5087326.0,0.0,,,
21,2020-05-23,423.0,-1.0,3.0,1.0,346.0,74.0,-1.0,83.0,0.6,44876.0,8821.0,Palestine,Asia,136.0,5087651.0,0.0,,,
