,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,6720.0,188.0,192.0,4.0,622.0,5906.0,85.0,1557.0,44.0,31895.0,7392.0,Panama,North America,,,0.0,,,
1,2020-05-03,7090.0,370.0,197.0,5.0,641.0,6252.0,85.0,1643.0,46.0,33354.0,7730.0,Panama,North America,,,0.0,,,
2,2020-05-04,7197.0,107.0,200.0,3.0,641.0,6356.0,91.0,1668.0,46.0,34459.0,7986.0,Panama,North America,,,0.0,,,
3,2020-05-05,7523.0,136.0,210.0,7.0,823.0,6490.0,88.0,1744.0,49.0,36483.0,8455.0,Panama,North America,,,0.0,,,
4,2020-05-06,7523.0,136.0,210.0,7.0,823.0,6490.0,88.0,1744.0,49.0,36483.0,8455.0,Panama,North America,,,0.0,,,
5,2020-05-07,7731.0,208.0,218.0,8.0,859.0,6654.0,88.0,1792.0,51.0,38014.0,8810.0,Panama,North America,,,0.0,,,
6,2020-05-08,8070.0,202.0,231.0,6.0,886.0,6953.0,85.0,1870.0,54.0,40356.0,9353.0,Panama,North America,,,0.0,,,
7,2020-05-09,8282.0,212.0,237.0,6.0,4501.0,3544.0,85.0,1919.0,55.0,40356.0,9353.0,Panama,North America,,,0.0,,,
8,2020-05-10,8282.0,212.0,237.0,6.0,4501.0,3544.0,85.0,1919.0,55.0,40356.0,9353.0,Panama,North America,,,0.0,,,
9,2020-05-11,8448.0,166.0,244.0,7.0,4687.0,3517.0,87.0,1958.0,57.0,42657.0,9886.0,Panama,North America,,,0.0,,,
10,2020-05-12,8616.0,168.0,249.0,5.0,4687.0,3680.0,87.0,1997.0,58.0,43663.0,10119.0,Panama,North America,,,0.0,,,
11,2020-05-13,8783.0,167.0,252.0,3.0,6021.0,2510.0,87.0,2036.0,58.0,44561.0,10328.0,Panama,North America,,,0.0,,,
12,2020-05-14,8944.0,161.0,256.0,4.0,6067.0,2621.0,87.0,2073.0,59.0,45873.0,10632.0,Panama,North America,,,0.0,,,
13,2020-05-15,9118.0,174.0,260.0,4.0,6080.0,2778.0,72.0,2118.0,60.0,46898.0,10892.0,Panama,North America,46.0,4305682.0,0.0,,,
14,2020-05-16,9268.0,150.0,266.0,6.0,6080.0,2922.0,72.0,2152.0,62.0,47768.0,11094.0,Panama,North America,46.0,4305867.0,0.0,,,
15,2020-05-17,9449.0,181.0,269.0,3.0,6080.0,3100.0,72.0,2194.0,62.0,49104.0,11403.0,Panama,North America,46.0,4306053.0,0.0,,,
16,2020-05-18,9606.0,157.0,275.0,6.0,6081.0,3250.0,72.0,2231.0,64.0,50348.0,11692.0,Panama,North America,46.0,4306239.0,0.0,,,
17,2020-05-19,9726.0,120.0,279.0,4.0,6081.0,3366.0,72.0,2258.0,65.0,51105.0,11867.0,Panama,North America,46.0,4306425.0,0.0,,,
18,2020-05-20,9867.0,-1.0,281.0,-1.0,6194.0,3392.0,72.0,2291.0,65.0,51815.0,12032.0,Panama,North America,46.0,4306610.0,0.0,,,
19,2020-05-21,9977.0,-1.0,287.0,-1.0,6194.0,3496.0,72.0,2317.0,67.0,52641.0,12223.0,Panama,North America,46.0,4306796.0,0.0,,,
20,2020-05-22,10116.0,-1.0,291.0,-1.0,6245.0,3580.0,72.0,2349.0,68.0,53928.0,12521.0,Panama,North America,46.0,4306982.0,0.0,,,
21,2020-05-23,10267.0,-1.0,295.0,-1.0,6275.0,3697.0,72.0,2384.0,68.0,55018.0,12774.0,Panama,North America,47.0,4307167.0,0.0,,,
22,2020-05-24,10577.0,-1.0,299.0,-1.0,6279.0,3999.0,72.0,2456.0,69.0,56755.0,13176.0,Panama,North America,48.0,4307353.0,0.0,,,
23,2020-05-25,10926.0,-1.0,306.0,-1.0,6279.0,4341.0,72.0,2536.0,71.0,58240.0,13520.0,Panama,North America,48.0,4307539.0,0.0,,,
24,2020-05-26,11183.0,-1.0,310.0,-1.0,6279.0,4594.0,72.0,2596.0,72.0,59339.0,13775.0,Panama,North America,48.0,4307725.0,0.0,,,
25,2020-05-27,11728.0,-1.0,315.0,-1.0,7379.0,4034.0,72.0,2722.0,73.0,61895.0,14367.0,Panama,North America,45.0,4308096.0,0.0,,,
26,2020-05-28,11728.0,-1.0,315.0,-1.0,7379.0,4034.0,72.0,2722.0,73.0,61895.0,14367.0,Panama,North America,45.0,4308096.0,0.0,,,
27,2020-05-29,12131.0,-1.0,320.0,-1.0,7379.0,4432.0,72.0,2816.0,74.0,63202.0,14670.0,Panama,North America,45.0,4308282.0,0.0,,,
28,2020-05-30,12531.0,-1.0,326.0,-1.0,7540.0,4665.0,79.0,2908.0,76.0,63202.0,14669.0,Panama,North America,45.0,4308467.0,0.0,,,
29,2020-05-31,13018.0,-1.0,330.0,-1.0,9414.0,3274.0,78.0,3021.0,77.0,66192.0,15363.0,Panama,North America,45.0,4308653.0,0.0,,,
30,2020-06-01,13463.0,-1.0,336.0,-1.0,9514.0,3613.0,79.0,3125.0,78.0,67730.0,15719.0,Panama,North America,45.0,4308839.0,0.0,,,
31,2020-06-02,13837.0,-1.0,344.0,-1.0,9514.0,3979.0,78.0,3211.0,80.0,67730.0,15718.0,Panama,North America,45.0,4309025.0,-1.0,311.0,12526.0,64.0
32,2020-06-03,14095.0,-1.0,352.0,-1.0,9514.0,4229.0,78.0,3271.0,82.0,69483.0,16124.0,Panama,North America,45.0,4309210.0,-1.0,306.0,12242.0,62.0
33,2020-06-04,14609.0,-1.0,357.0,-1.0,9519.0,4733.0,75.0,3390.0,83.0,71139.0,16508.0,Panama,North America,45.0,4309396.0,-1.0,295.0,12071.0,61.0
