,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,333.0,67.0,10.0,-1.0,115.0,208.0,5.0,47.0,1.0,10342.0,1450.0,Paraguay,South America,,,0.0,,,
1,2020-05-03,370.0,37.0,10.0,-1.0,119.0,241.0,5.0,52.0,1.0,10766.0,1509.0,Paraguay,South America,,,0.0,,,
2,2020-05-04,396.0,26.0,10.0,-1.0,126.0,260.0,7.0,56.0,1.0,10766.0,1509.0,Paraguay,South America,,,0.0,,,
3,2020-05-05,431.0,-1.0,10.0,-1.0,135.0,286.0,7.0,60.0,1.0,11913.0,1670.0,Paraguay,South America,,,0.0,,,
4,2020-05-06,431.0,-1.0,10.0,-1.0,135.0,286.0,7.0,60.0,1.0,11913.0,1670.0,Paraguay,South America,,,0.0,,,
5,2020-05-07,462.0,22.0,10.0,-1.0,148.0,304.0,9.0,65.0,1.0,11913.0,1670.0,Paraguay,South America,,,0.0,,,
6,2020-05-08,563.0,-1.0,10.0,-1.0,152.0,401.0,9.0,79.0,1.0,13846.0,1941.0,Paraguay,South America,,,0.0,,,
7,2020-05-09,689.0,-1.0,10.0,-1.0,155.0,524.0,9.0,97.0,1.0,14646.0,2053.0,Paraguay,South America,,,0.0,,,
8,2020-05-10,689.0,-1.0,10.0,-1.0,155.0,524.0,9.0,97.0,1.0,14646.0,2053.0,Paraguay,South America,,,0.0,,,
9,2020-05-11,724.0,11.0,10.0,-1.0,170.0,544.0,-1.0,102.0,1.0,15446.0,2166.0,Paraguay,South America,,,0.0,,,
10,2020-05-12,737.0,13.0,10.0,-1.0,173.0,554.0,-1.0,103.0,1.0,16155.0,2265.0,Paraguay,South America,,,0.0,,,
11,2020-05-13,737.0,-1.0,10.0,-1.0,173.0,554.0,-1.0,103.0,1.0,16917.0,2372.0,Paraguay,South America,,,0.0,,,
12,2020-05-14,754.0,14.0,11.0,-1.0,184.0,559.0,-1.0,106.0,2.0,18184.0,2549.0,Paraguay,South America,,,0.0,,,
13,2020-05-15,759.0,5.0,11.0,-1.0,193.0,555.0,-1.0,107.0,2.0,18856.0,2648.0,Paraguay,South America,112.0,7120986.0,0.0,,,
14,2020-05-16,778.0,19.0,11.0,-1.0,198.0,569.0,-1.0,109.0,2.0,19308.0,2711.0,Paraguay,South America,111.0,7121225.0,0.0,,,
15,2020-05-17,786.0,8.0,11.0,-1.0,202.0,573.0,-1.0,110.0,2.0,20124.0,2826.0,Paraguay,South America,111.0,7121465.0,0.0,,,
16,2020-05-18,788.0,2.0,11.0,-1.0,219.0,558.0,-1.0,111.0,2.0,20124.0,2826.0,Paraguay,South America,111.0,7121704.0,0.0,,,
17,2020-05-19,829.0,41.0,11.0,-1.0,230.0,588.0,-1.0,116.0,2.0,21121.0,2966.0,Paraguay,South America,110.0,7121943.0,0.0,,,
18,2020-05-20,833.0,4.0,11.0,-1.0,242.0,580.0,-1.0,117.0,2.0,21542.0,3025.0,Paraguay,South America,110.0,7122183.0,0.0,,,
19,2020-05-21,836.0,3.0,11.0,-1.0,256.0,569.0,-1.0,117.0,2.0,21987.0,3087.0,Paraguay,South America,112.0,7122422.0,0.0,,,
20,2020-05-22,838.0,2.0,11.0,-1.0,264.0,563.0,-1.0,118.0,2.0,21987.0,3087.0,Paraguay,South America,113.0,7122661.0,0.0,,,
21,2020-05-23,850.0,12.0,11.0,-1.0,298.0,541.0,-1.0,119.0,2.0,23805.0,3342.0,Paraguay,South America,113.0,7122901.0,0.0,,,
22,2020-05-24,862.0,12.0,11.0,-1.0,307.0,544.0,-1.0,121.0,2.0,24812.0,3483.0,Paraguay,South America,114.0,7123140.0,0.0,,,
23,2020-05-25,865.0,3.0,11.0,-1.0,344.0,510.0,-1.0,121.0,2.0,25216.0,3540.0,Paraguay,South America,114.0,7123379.0,0.0,,,
24,2020-05-26,877.0,12.0,11.0,-1.0,382.0,484.0,-1.0,123.0,2.0,25216.0,3540.0,Paraguay,South America,114.0,7123619.0,0.0,,,
25,2020-05-27,884.0,-1.0,11.0,-1.0,392.0,481.0,-1.0,124.0,2.0,26760.0,3756.0,Paraguay,South America,116.0,7124097.0,0.0,,,
26,2020-05-28,900.0,16.0,11.0,-1.0,402.0,487.0,1.0,126.0,2.0,27425.0,3850.0,Paraguay,South America,116.0,7124097.0,0.0,,,
27,2020-05-29,917.0,17.0,11.0,-1.0,413.0,493.0,1.0,129.0,2.0,28337.0,3977.0,Paraguay,South America,117.0,7124337.0,0.0,,,
28,2020-05-30,964.0,47.0,11.0,-1.0,466.0,487.0,2.0,135.0,2.0,29153.0,4092.0,Paraguay,South America,115.0,7124576.0,0.0,,,
29,2020-05-31,986.0,22.0,11.0,-1.0,477.0,498.0,2.0,138.0,2.0,30004.0,4211.0,Paraguay,South America,116.0,7124815.0,0.0,,,
30,2020-06-01,995.0,9.0,11.0,-1.0,488.0,496.0,2.0,140.0,2.0,30004.0,4211.0,Paraguay,South America,115.0,7125055.0,0.0,,,
31,2020-06-02,1013.0,18.0,11.0,-1.0,498.0,504.0,2.0,142.0,2.0,32106.0,4506.0,Paraguay,South America,116.0,7125294.0,10.0,7034.0,647754.0,222.0
32,2020-06-03,1070.0,57.0,11.0,-1.0,511.0,548.0,2.0,150.0,2.0,33081.0,4643.0,Paraguay,South America,116.0,7125533.0,13.0,6659.0,647776.0,215.0
33,2020-06-04,1086.0,16.0,11.0,-1.0,511.0,564.0,2.0,152.0,2.0,33081.0,4642.0,Paraguay,South America,115.0,7125773.0,-1.0,6561.0,647798.0,215.0
