,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,40459.0,-1.0,1124.0,-1.0,11129.0,28206.0,658.0,1227.0,34.0,342498.0,10388.0,Peru,South America,,,0.0,,,
1,2020-05-03,45928.0,3394.0,1286.0,86.0,13550.0,31092.0,679.0,1393.0,39.0,375096.0,11376.0,Peru,South America,,,0.0,,,
2,2020-05-04,47372.0,1444.0,1344.0,58.0,14427.0,31601.0,694.0,1437.0,41.0,385492.0,11692.0,Peru,South America,,,0.0,,,
3,2020-05-05,51189.0,-1.0,1444.0,-1.0,15413.0,34332.0,709.0,1553.0,44.0,406579.0,12331.0,Peru,South America,,,0.0,,,
4,2020-05-06,51189.0,-1.0,1444.0,-1.0,15413.0,34332.0,709.0,1553.0,44.0,406579.0,12331.0,Peru,South America,,,0.0,,,
5,2020-05-07,58526.0,3709.0,1627.0,94.0,18388.0,38511.0,722.0,1775.0,49.0,448020.0,13588.0,Peru,South America,,,0.0,,,
6,2020-05-08,61847.0,-1.0,1714.0,-1.0,19012.0,41121.0,730.0,1876.0,52.0,473190.0,14351.0,Peru,South America,,,0.0,,,
7,2020-05-09,65015.0,-1.0,1814.0,-1.0,20246.0,42955.0,748.0,1972.0,55.0,494250.0,14990.0,Peru,South America,,,0.0,,,
8,2020-05-10,65015.0,-1.0,1814.0,-1.0,20246.0,42955.0,748.0,1972.0,55.0,494250.0,14990.0,Peru,South America,,,0.0,,,
9,2020-05-11,67307.0,-1.0,1889.0,-1.0,21349.0,44069.0,774.0,2041.0,57.0,504930.0,15314.0,Peru,South America,,,0.0,,,
10,2020-05-12,72059.0,3237.0,2057.0,96.0,23324.0,46678.0,797.0,2185.0,62.0,532169.0,16140.0,Peru,South America,,,0.0,,,
11,2020-05-13,72059.0,-1.0,2057.0,-1.0,23324.0,46678.0,797.0,2185.0,62.0,532169.0,16140.0,Peru,South America,,,0.0,,,
12,2020-05-14,76306.0,-1.0,2169.0,-1.0,24324.0,49813.0,806.0,2314.0,66.0,553302.0,16781.0,Peru,South America,,,0.0,,,
13,2020-05-15,84495.0,3891.0,2392.0,125.0,27147.0,54956.0,842.0,2567.0,73.0,605383.0,18395.0,Peru,South America,12.0,32910878.0,0.0,,,
14,2020-05-16,88541.0,4046.0,2523.0,131.0,28272.0,57746.0,840.0,2690.0,77.0,630482.0,19157.0,Peru,South America,12.0,32912133.0,0.0,,,
15,2020-05-17,88541.0,-1.0,2523.0,-1.0,28272.0,57746.0,840.0,2690.0,77.0,630482.0,19156.0,Peru,South America,12.0,32913388.0,0.0,,,
16,2020-05-18,92273.0,-1.0,2648.0,-1.0,28621.0,61004.0,850.0,2803.0,80.0,650613.0,19767.0,Peru,South America,12.0,32914644.0,0.0,,,
17,2020-05-19,94933.0,-1.0,2789.0,-1.0,30306.0,61838.0,866.0,2884.0,85.0,661132.0,20085.0,Peru,South America,12.0,32915899.0,0.0,,,
18,2020-05-20,104020.0,4537.0,3024.0,110.0,41968.0,59028.0,869.0,3160.0,92.0,715423.0,21734.0,Peru,South America,12.0,32917154.0,0.0,,,
19,2020-05-21,108769.0,4749.0,3148.0,124.0,43587.0,62034.0,886.0,3304.0,96.0,736500.0,22373.0,Peru,South America,12.0,32918409.0,0.0,,,
20,2020-05-22,108769.0,-1.0,3148.0,-1.0,43587.0,62034.0,886.0,3304.0,96.0,736500.0,22373.0,Peru,South America,12.0,32919665.0,0.0,,,
21,2020-05-23,111698.0,-1.0,3244.0,-1.0,44848.0,63606.0,901.0,3393.0,99.0,750526.0,22798.0,Peru,South America,12.0,32920920.0,0.0,,,
22,2020-05-24,119959.0,4205.0,3456.0,83.0,49795.0,66708.0,920.0,3644.0,105.0,820967.0,24937.0,Peru,South America,12.0,32922175.0,0.0,,,
23,2020-05-25,119959.0,-1.0,3456.0,-1.0,49795.0,66708.0,920.0,3644.0,105.0,820967.0,24936.0,Peru,South America,12.0,32923430.0,0.0,,,
24,2020-05-26,123979.0,-1.0,3629.0,-1.0,50949.0,69401.0,909.0,3766.0,110.0,840922.0,25541.0,Peru,South America,12.0,32924686.0,0.0,,,
25,2020-05-27,135905.0,-1.0,3983.0,-1.0,56169.0,75753.0,926.0,4127.0,121.0,905278.0,27493.0,Peru,South America,12.0,32927196.0,0.0,,,
26,2020-05-28,135905.0,-1.0,3983.0,-1.0,56169.0,75753.0,926.0,4127.0,121.0,905278.0,27493.0,Peru,South America,12.0,32927196.0,0.0,,,
27,2020-05-29,141779.0,-1.0,4099.0,-1.0,59442.0,78238.0,926.0,4306.0,124.0,928797.0,28207.0,Peru,South America,12.0,32928451.0,0.0,,,
28,2020-05-30,148285.0,-1.0,4230.0,-1.0,62791.0,81264.0,926.0,4503.0,128.0,963617.0,29263.0,Peru,South America,12.0,32929707.0,0.0,,,
29,2020-05-31,155671.0,-1.0,4371.0,-1.0,66447.0,84853.0,960.0,4727.0,133.0,1012708.0,30752.0,Peru,South America,11.0,32930962.0,0.0,,,
30,2020-06-01,164476.0,-1.0,4506.0,-1.0,67208.0,92762.0,988.0,4994.0,137.0,1058874.0,32153.0,Peru,South America,11.0,32932217.0,0.0,,,
31,2020-06-02,170039.0,-1.0,4634.0,-1.0,68507.0,96898.0,988.0,5163.0,141.0,1076659.0,32692.0,Peru,South America,10.0,32933472.0,-1.0,194.0,7107.0,31.0
