,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,8928.0,156.0,603.0,24.0,1124.0,7201.0,31.0,81.0,6.0,115012.0,1050.0,Philippines,Asia,,,0.0,,,
1,2020-05-03,9223.0,295.0,607.0,4.0,1214.0,7402.0,31.0,84.0,6.0,120736.0,1102.0,Philippines,Asia,,,0.0,,,
2,2020-05-04,9485.0,262.0,623.0,16.0,1315.0,7547.0,31.0,87.0,6.0,126164.0,1151.0,Philippines,Asia,,,0.0,,,
3,2020-05-05,9684.0,-1.0,637.0,-1.0,1408.0,7639.0,31.0,88.0,6.0,130889.0,1194.0,Philippines,Asia,,,0.0,,,
4,2020-05-06,10004.0,320.0,658.0,21.0,1506.0,7840.0,31.0,91.0,6.0,140134.0,1279.0,Philippines,Asia,,,0.0,,,
5,2020-05-07,10343.0,339.0,685.0,27.0,1618.0,8040.0,31.0,94.0,6.0,144583.0,1319.0,Philippines,Asia,,,0.0,,,
6,2020-05-08,10463.0,-1.0,696.0,-1.0,1734.0,8033.0,31.0,95.0,6.0,151080.0,1379.0,Philippines,Asia,,,0.0,,,
7,2020-05-09,10610.0,-1.0,704.0,-1.0,1842.0,8064.0,31.0,97.0,6.0,157730.0,1439.0,Philippines,Asia,,,0.0,,,
8,2020-05-10,10794.0,184.0,719.0,15.0,1924.0,8151.0,31.0,99.0,7.0,163177.0,1489.0,Philippines,Asia,,,0.0,,,
9,2020-05-11,11086.0,292.0,726.0,7.0,1999.0,8361.0,31.0,101.0,7.0,173144.0,1580.0,Philippines,Asia,,,0.0,,,
10,2020-05-12,11350.0,264.0,751.0,25.0,2106.0,8493.0,31.0,104.0,7.0,181668.0,1658.0,Philippines,Asia,,,0.0,,,
11,2020-05-13,11618.0,268.0,772.0,21.0,2251.0,8595.0,77.0,106.0,7.0,188649.0,1722.0,Philippines,Asia,,,0.0,,,
12,2020-05-14,11876.0,258.0,790.0,18.0,2337.0,8749.0,77.0,108.0,7.0,189469.0,1729.0,Philippines,Asia,,,0.0,,,
13,2020-05-15,12091.0,215.0,806.0,16.0,2460.0,8825.0,77.0,111.0,7.0,191963.0,1755.0,Philippines,Asia,40.0,109387948.0,0.0,,,
14,2020-05-16,12305.0,214.0,817.0,11.0,2561.0,8927.0,79.0,112.0,7.0,215060.0,1966.0,Philippines,Asia,40.0,109391934.0,0.0,,,
15,2020-05-17,12513.0,208.0,824.0,7.0,2635.0,9054.0,79.0,114.0,8.0,215060.0,1966.0,Philippines,Asia,40.0,109395919.0,0.0,,,
16,2020-05-18,12718.0,205.0,831.0,7.0,2729.0,9158.0,81.0,116.0,8.0,244800.0,2238.0,Philippines,Asia,42.0,109399904.0,0.0,,,
17,2020-05-19,12942.0,224.0,837.0,6.0,2843.0,9262.0,81.0,118.0,8.0,244800.0,2238.0,Philippines,Asia,42.0,109403890.0,0.0,,,
18,2020-05-20,13221.0,279.0,842.0,5.0,2932.0,9447.0,81.0,121.0,8.0,244800.0,2237.0,Philippines,Asia,42.0,109407875.0,0.0,,,
19,2020-05-21,13434.0,213.0,846.0,4.0,3000.0,9588.0,81.0,123.0,8.0,267417.0,2444.0,Philippines,Asia,42.0,109411860.0,0.0,,,
20,2020-05-22,13597.0,163.0,857.0,11.0,3092.0,9648.0,81.0,124.0,8.0,278041.0,2541.0,Philippines,Asia,42.0,109415846.0,0.0,,,
