,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,13375.0,270.0,664.0,13.0,3762.0,8949.0,160.0,353.0,18.0,366013.0,9671.0,Poland,Europe,,,0.0,,,
1,2020-05-03,13693.0,318.0,678.0,14.0,3945.0,9070.0,160.0,362.0,18.0,375948.0,9933.0,Poland,Europe,,,0.0,,,
2,2020-05-04,14006.0,313.0,698.0,20.0,4095.0,9213.0,160.0,370.0,18.0,383804.0,10141.0,Poland,Europe,,,0.0,,,
3,2020-05-05,14431.0,-1.0,716.0,-1.0,4280.0,9435.0,160.0,381.0,19.0,394270.0,10418.0,Poland,Europe,,,0.0,,,
4,2020-05-06,14740.0,309.0,733.0,17.0,4655.0,9352.0,160.0,389.0,19.0,410468.0,10846.0,Poland,Europe,,,0.0,,,
5,2020-05-07,15047.0,307.0,755.0,22.0,4862.0,9430.0,160.0,398.0,20.0,425994.0,11256.0,Poland,Europe,,,0.0,,,
6,2020-05-08,15366.0,-1.0,776.0,-1.0,5184.0,9406.0,160.0,406.0,21.0,443506.0,11719.0,Poland,Europe,,,0.0,,,
7,2020-05-09,15651.0,-1.0,785.0,-1.0,5437.0,9429.0,160.0,414.0,21.0,460686.0,12172.0,Poland,Europe,,,0.0,,,
8,2020-05-10,15996.0,345.0,800.0,15.0,5698.0,9498.0,160.0,423.0,21.0,476904.0,12601.0,Poland,Europe,,,0.0,,,
9,2020-05-11,16326.0,330.0,811.0,11.0,5816.0,9699.0,160.0,431.0,21.0,491216.0,12979.0,Poland,Europe,,,0.0,,,
10,2020-05-12,16921.0,595.0,839.0,28.0,6131.0,9951.0,160.0,447.0,22.0,507778.0,13417.0,Poland,Europe,,,0.0,,,
11,2020-05-13,17204.0,283.0,861.0,22.0,6410.0,9933.0,160.0,455.0,23.0,528122.0,13954.0,Poland,Europe,,,0.0,,,
12,2020-05-14,17615.0,411.0,883.0,22.0,6696.0,10036.0,160.0,465.0,23.0,554357.0,14647.0,Poland,Europe,,,0.0,,,
13,2020-05-15,18016.0,401.0,907.0,24.0,6918.0,10191.0,160.0,476.0,24.0,576276.0,15225.0,Poland,Europe,30.0,37851778.0,0.0,,,
14,2020-05-16,18257.0,241.0,915.0,8.0,7175.0,10167.0,160.0,482.0,24.0,601394.0,15888.0,Poland,Europe,30.0,37851666.0,0.0,,,
15,2020-05-17,18529.0,272.0,925.0,10.0,7451.0,10153.0,160.0,490.0,24.0,620249.0,16386.0,Poland,Europe,30.0,37851553.0,0.0,,,
16,2020-05-18,18885.0,356.0,936.0,11.0,7628.0,10321.0,160.0,499.0,25.0,636046.0,16804.0,Poland,Europe,30.0,37851440.0,0.0,,,
17,2020-05-19,19268.0,383.0,948.0,12.0,7903.0,10417.0,160.0,509.0,25.0,653224.0,17258.0,Poland,Europe,30.0,37851327.0,0.0,,,
