,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,25190.0,203.0,1023.0,16.0,1671.0,22496.0,150.0,2470.0,100.0,426836.0,41860.0,Portugal,Europe,,,0.0,,,
1,2020-05-03,25282.0,92.0,1043.0,20.0,1689.0,22550.0,144.0,2479.0,102.0,426836.0,41860.0,Portugal,Europe,,,0.0,,,
2,2020-05-04,25524.0,242.0,1063.0,20.0,1712.0,22749.0,143.0,2503.0,104.0,450000.0,44132.0,Portugal,Europe,,,0.0,,,
3,2020-05-05,25702.0,-1.0,1074.0,-1.0,1743.0,22885.0,134.0,2521.0,105.0,469435.0,46038.0,Portugal,Europe,,,0.0,,,
4,2020-05-06,26182.0,480.0,1089.0,15.0,2076.0,23017.0,136.0,2568.0,107.0,470234.0,46116.0,Portugal,Europe,,,0.0,,,
5,2020-05-07,26715.0,533.0,1105.0,16.0,2258.0,23352.0,135.0,2620.0,108.0,485925.0,47655.0,Portugal,Europe,,,0.0,,,
6,2020-05-08,27268.0,-1.0,1114.0,-1.0,2422.0,23732.0,127.0,2674.0,109.0,501718.0,49204.0,Portugal,Europe,,,0.0,,,
7,2020-05-09,27406.0,-1.0,1126.0,-1.0,2499.0,23781.0,120.0,2688.0,110.0,517660.0,50767.0,Portugal,Europe,,,0.0,,,
8,2020-05-10,27581.0,175.0,1135.0,9.0,2549.0,23897.0,112.0,2705.0,111.0,517660.0,50767.0,Portugal,Europe,,,0.0,,,
9,2020-05-11,27679.0,98.0,1144.0,9.0,2549.0,23986.0,112.0,2715.0,112.0,517660.0,50767.0,Portugal,Europe,,,0.0,,,
10,2020-05-12,27913.0,234.0,1163.0,19.0,3013.0,23737.0,113.0,2737.0,114.0,553855.0,54317.0,Portugal,Europe,,,0.0,,,
11,2020-05-13,28132.0,219.0,1175.0,12.0,3182.0,23775.0,103.0,2759.0,115.0,566172.0,55525.0,Portugal,Europe,,,0.0,,,
12,2020-05-14,28319.0,187.0,1184.0,9.0,3198.0,23937.0,108.0,2777.0,116.0,582341.0,57111.0,Portugal,Europe,,,0.0,,,
13,2020-05-15,28583.0,264.0,1190.0,6.0,3328.0,24065.0,112.0,2802.0,117.0,600061.0,58827.0,Portugal,Europe,24.0,10200387.0,0.0,,,
14,2020-05-16,28810.0,227.0,1203.0,13.0,3822.0,23785.0,115.0,2824.0,118.0,600061.0,58828.0,Portugal,Europe,24.0,10200306.0,0.0,,,
15,2020-05-17,29036.0,226.0,1218.0,15.0,4636.0,23182.0,108.0,2847.0,119.0,618066.0,60593.0,Portugal,Europe,25.0,10200225.0,0.0,,,
16,2020-05-18,29209.0,173.0,1231.0,13.0,6430.0,21548.0,105.0,2864.0,121.0,652497.0,63969.0,Portugal,Europe,25.0,10200144.0,0.0,,,
17,2020-05-19,29432.0,223.0,1247.0,16.0,6431.0,21754.0,101.0,2885.0,122.0,662375.0,64938.0,Portugal,Europe,25.0,10200063.0,0.0,,,
18,2020-05-20,29660.0,228.0,1263.0,16.0,6452.0,21945.0,93.0,2908.0,124.0,674000.0,66079.0,Portugal,Europe,25.0,10199983.0,0.0,,,
19,2020-05-21,29912.0,252.0,1277.0,14.0,6452.0,22183.0,93.0,2933.0,125.0,674000.0,66079.0,Portugal,Europe,25.0,10199902.0,0.0,,,
20,2020-05-22,30200.0,288.0,1289.0,12.0,7590.0,21321.0,84.0,2961.0,126.0,689705.0,67619.0,Portugal,Europe,27.0,10199821.0,0.0,,,
21,2020-05-23,30471.0,271.0,1302.0,13.0,7705.0,21464.0,80.0,2987.0,128.0,689705.0,67620.0,Portugal,Europe,27.0,10199740.0,0.0,,,
22,2020-05-24,30623.0,152.0,1316.0,14.0,17549.0,11758.0,78.0,3002.0,129.0,689705.0,67620.0,Portugal,Europe,27.0,10199659.0,0.0,,,
23,2020-05-25,30788.0,165.0,1330.0,14.0,17822.0,11636.0,72.0,3019.0,130.0,689705.0,67621.0,Portugal,Europe,26.0,10199578.0,0.0,,,
24,2020-05-26,31007.0,219.0,1342.0,12.0,18096.0,11569.0,71.0,3040.0,132.0,689705.0,67621.0,Portugal,Europe,27.0,10199497.0,0.0,,,
25,2020-05-27,31292.0,-1.0,1356.0,-1.0,18349.0,11587.0,66.0,3068.0,133.0,764093.0,74916.0,Portugal,Europe,27.0,10199336.0,0.0,,,
26,2020-05-28,31596.0,304.0,1369.0,13.0,18637.0,11590.0,65.0,3098.0,134.0,778698.0,76348.0,Portugal,Europe,27.0,10199336.0,0.0,,,
27,2020-05-29,31946.0,350.0,1383.0,14.0,18911.0,11652.0,66.0,3132.0,136.0,795838.0,78029.0,Portugal,Europe,27.0,10199255.0,0.0,,,
28,2020-05-30,32203.0,257.0,1396.0,13.0,19186.0,11621.0,66.0,3157.0,137.0,795838.0,78030.0,Portugal,Europe,27.0,10199174.0,0.0,,,
29,2020-05-31,32500.0,297.0,1410.0,14.0,19409.0,11681.0,64.0,3187.0,138.0,795838.0,78030.0,Portugal,Europe,28.0,10199093.0,0.0,,,
30,2020-06-01,32700.0,200.0,1424.0,14.0,19552.0,11724.0,64.0,3206.0,140.0,812415.0,79656.0,Portugal,Europe,28.0,10199012.0,0.0,,,
31,2020-06-02,32895.0,195.0,1436.0,12.0,19869.0,11590.0,58.0,3225.0,141.0,847181.0,83066.0,Portugal,Europe,28.0,10198931.0,317.0,310.0,7102.0,12.0
32,2020-06-03,33261.0,366.0,1447.0,11.0,20079.0,11735.0,56.0,3261.0,142.0,847181.0,83066.0,Portugal,Europe,28.0,10198850.0,210.0,307.0,7048.0,12.0
33,2020-06-04,33592.0,331.0,1455.0,8.0,20323.0,11814.0,58.0,3294.0,143.0,847181.0,83067.0,Portugal,Europe,28.0,10198769.0,244.0,304.0,7009.0,12.0
34,2020-06-05,33969.0,377.0,1465.0,10.0,20526.0,11978.0,58.0,3331.0,144.0,873998.0,85697.0,Portugal,Europe,29.0,10198688.0,203.0,300.0,6962.0,12.0
35,2020-06-06,34351.0,382.0,1474.0,9.0,20807.0,12070.0,58.0,3368.0,145.0,873998.0,85698.0,Portugal,Europe,29.0,10198608.0,281.0,297.0,6919.0,12.0
36,2020-06-07,34693.0,342.0,1479.0,5.0,20995.0,12219.0,58.0,3402.0,145.0,873998.0,85698.0,Portugal,Europe,29.0,10198527.0,188.0,294.0,6896.0,12.0
37,2020-06-08,34885.0,192.0,1485.0,6.0,21156.0,12244.0,55.0,3421.0,146.0,873998.0,85699.0,Portugal,Europe,30.0,10198446.0,161.0,292.0,6868.0,12.0
38,2020-06-09,35306.0,421.0,1492.0,7.0,21339.0,12475.0,65.0,3462.0,146.0,940988.0,92269.0,Portugal,Europe,30.0,10198365.0,183.0,289.0,6835.0,11.0
39,2020-06-10,35600.0,294.0,1497.0,5.0,21742.0,12361.0,65.0,3491.0,147.0,954069.0,93552.0,Portugal,Europe,30.0,10198284.0,403.0,286.0,6812.0,11.0
40,2020-06-11,35910.0,310.0,1504.0,7.0,22002.0,12404.0,70.0,3521.0,147.0,954069.0,93553.0,Portugal,Europe,30.0,10198203.0,260.0,284.0,6781.0,11.0
41,2020-06-12,36180.0,270.0,1505.0,1.0,22200.0,12475.0,73.0,3548.0,148.0,954069.0,93553.0,Portugal,Europe,31.0,10198122.0,198.0,282.0,6776.0,11.0
42,2020-06-13,36463.0,283.0,1512.0,7.0,22438.0,12513.0,77.0,3575.0,148.0,975737.0,95679.0,Portugal,Europe,31.0,10198041.0,238.0,280.0,6745.0,10.0
43,2020-06-14,36690.0,227.0,1517.0,5.0,22669.0,12504.0,73.0,3598.0,149.0,975737.0,95680.0,Portugal,Europe,31.0,10197961.0,231.0,278.0,6722.0,10.0
44,2020-06-15,37036.0,346.0,1520.0,3.0,22852.0,12664.0,73.0,3632.0,149.0,975737.0,95680.0,Portugal,Europe,31.0,10197880.0,183.0,275.0,6709.0,10.0
45,2020-06-16,37336.0,300.0,1522.0,2.0,23212.0,12602.0,71.0,3661.0,149.0,1006563.0,98704.0,Portugal,Europe,31.0,10197799.0,360.0,273.0,6700.0,10.0
46,2020-06-17,37672.0,336.0,1523.0,1.0,23580.0,12569.0,71.0,3694.0,149.0,1006563.0,98705.0,Portugal,Europe,31.0,10197718.0,368.0,271.0,6696.0,10.0
47,2020-06-18,38089.0,417.0,1524.0,1.0,24010.0,12555.0,67.0,3735.0,149.0,1006563.0,98706.0,Portugal,Europe,31.0,10197637.0,430.0,268.0,6691.0,10.0
48,2020-06-19,38464.0,375.0,1527.0,3.0,24477.0,12460.0,67.0,3772.0,150.0,1047109.0,102682.0,Portugal,Europe,32.0,10197556.0,467.0,265.0,6678.0,10.0
49,2020-06-20,38841.0,377.0,1528.0,1.0,24906.0,12407.0,70.0,3809.0,150.0,1047109.0,102684.0,Portugal,Europe,33.0,10197394.0,429.0,263.0,6674.0,10.0
50,2020-06-21,39133.0,292.0,1530.0,2.0,25376.0,12227.0,69.0,3838.0,150.0,1047109.0,102684.0,Portugal,Europe,33.0,10197394.0,470.0,261.0,6665.0,10.0
51,2020-06-22,39392.0,259.0,1534.0,4.0,25548.0,12310.0,72.0,3863.0,150.0,1047109.0,102685.0,Portugal,Europe,33.0,10197314.0,172.0,259.0,6648.0,10.0
52,2020-06-23,39737.0,345.0,1540.0,6.0,25829.0,12368.0,72.0,3897.0,151.0,1047109.0,102686.0,Portugal,Europe,33.0,10197233.0,281.0,257.0,6622.0,10.0
53,2020-06-24,40104.0,367.0,1543.0,3.0,26083.0,12478.0,73.0,3933.0,151.0,1102066.0,108076.0,Portugal,Europe,33.0,10197152.0,254.0,254.0,6609.0,9.0
54,2020-06-25,40415.0,311.0,1549.0,6.0,26382.0,12484.0,67.0,3963.0,152.0,1102066.0,108077.0,Portugal,Europe,33.0,10197071.0,299.0,252.0,6583.0,9.0
