,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,14872.0,776.0,12.0,-1.0,1534.0,13326.0,72.0,5162.0,4.0,101728.0,35309.0,Qatar,Asia,,,0.0,,,
1,2020-05-03,15551.0,679.0,12.0,-1.0,1664.0,13875.0,72.0,5398.0,4.0,104435.0,36249.0,Qatar,Asia,,,0.0,,,
2,2020-05-04,16191.0,640.0,12.0,-1.0,1810.0,14369.0,72.0,5620.0,4.0,106795.0,37068.0,Qatar,Asia,,,0.0,,,
3,2020-05-05,17142.0,-1.0,12.0,-1.0,1924.0,15206.0,72.0,5950.0,4.0,109762.0,38098.0,Qatar,Asia,,,0.0,,,
4,2020-05-06,17972.0,830.0,12.0,-1.0,2070.0,15890.0,72.0,6238.0,4.0,112963.0,39209.0,Qatar,Asia,,,0.0,,,
5,2020-05-07,18890.0,918.0,12.0,-1.0,2286.0,16592.0,72.0,6557.0,4.0,116495.0,40435.0,Qatar,Asia,,,0.0,,,
6,2020-05-08,20201.0,-1.0,12.0,-1.0,2370.0,17819.0,72.0,7012.0,4.0,120458.0,41810.0,Qatar,Asia,,,0.0,,,
7,2020-05-09,21331.0,-1.0,13.0,-1.0,2449.0,18869.0,72.0,7404.0,5.0,124554.0,43232.0,Qatar,Asia,,,0.0,,,
8,2020-05-10,22520.0,1189.0,14.0,1.0,2753.0,19753.0,72.0,7817.0,5.0,127769.0,44348.0,Qatar,Asia,,,0.0,,,
9,2020-05-11,23623.0,1103.0,14.0,-1.0,2840.0,20769.0,72.0,8199.0,5.0,131044.0,45485.0,Qatar,Asia,,,0.0,,,
10,2020-05-12,25149.0,1526.0,14.0,-1.0,3019.0,22116.0,72.0,8729.0,5.0,135294.0,46960.0,Qatar,Asia,,,0.0,,,
11,2020-05-13,26539.0,1390.0,14.0,-1.0,3143.0,23382.0,72.0,9212.0,5.0,139127.0,48290.0,Qatar,Asia,,,0.0,,,
12,2020-05-14,28272.0,1733.0,14.0,-1.0,3356.0,24902.0,72.0,9813.0,5.0,143938.0,49960.0,Qatar,Asia,,,0.0,,,
13,2020-05-15,29425.0,1153.0,14.0,-1.0,3546.0,25865.0,72.0,10237.0,5.0,148173.0,51547.0,Qatar,Asia,22.0,2874514.0,0.0,,,
14,2020-05-16,30972.0,1547.0,15.0,1.0,3788.0,27169.0,158.0,10774.0,5.0,152704.0,53121.0,Qatar,Asia,21.0,2874647.0,0.0,,,
15,2020-05-17,32604.0,1632.0,15.0,-1.0,4370.0,28219.0,165.0,11341.0,5.0,157570.0,54811.0,Qatar,Asia,21.0,2874781.0,0.0,,,
16,2020-05-18,33969.0,1365.0,15.0,-1.0,4899.0,29055.0,172.0,11816.0,5.0,161695.0,56243.0,Qatar,Asia,20.0,2874914.0,0.0,,,
