,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,12732.0,165.0,771.0,27.0,4547.0,7414.0,265.0,662.0,40.0,190540.0,9905.0,Romania,Europe,,,0.0,,,
1,2020-05-03,13163.0,431.0,790.0,19.0,4869.0,7504.0,255.0,684.0,41.0,195508.0,10163.0,Romania,Europe,,,0.0,,,
2,2020-05-04,13512.0,349.0,818.0,28.0,5269.0,7425.0,243.0,702.0,43.0,199068.0,10348.0,Romania,Europe,,,0.0,,,
3,2020-05-05,13837.0,-1.0,841.0,-1.0,5454.0,7542.0,244.0,719.0,44.0,205842.0,10700.0,Romania,Europe,,,0.0,,,
4,2020-05-06,14107.0,270.0,858.0,17.0,5788.0,7461.0,244.0,733.0,45.0,217139.0,11287.0,Romania,Europe,,,0.0,,,
5,2020-05-07,14499.0,392.0,888.0,24.0,6144.0,7467.0,234.0,754.0,46.0,226613.0,11780.0,Romania,Europe,,,0.0,,,
6,2020-05-08,14811.0,-1.0,923.0,-1.0,6423.0,7465.0,232.0,770.0,48.0,237280.0,12334.0,Romania,Europe,,,0.0,,,
7,2020-05-09,15131.0,-1.0,939.0,-1.0,6912.0,7280.0,245.0,787.0,49.0,248056.0,12894.0,Romania,Europe,,,0.0,,,
8,2020-05-10,15362.0,231.0,961.0,22.0,7051.0,7350.0,242.0,799.0,50.0,256749.0,13346.0,Romania,Europe,,,0.0,,,
9,2020-05-11,15588.0,226.0,982.0,21.0,7245.0,7361.0,255.0,810.0,51.0,262219.0,13630.0,Romania,Europe,,,0.0,,,
10,2020-05-12,15778.0,190.0,1002.0,20.0,7685.0,7091.0,238.0,820.0,52.0,269183.0,13992.0,Romania,Europe,,,0.0,,,
11,2020-05-13,16002.0,224.0,1036.0,34.0,7961.0,7005.0,228.0,832.0,54.0,277804.0,14441.0,Romania,Europe,,,0.0,,,
12,2020-05-14,16247.0,245.0,1053.0,17.0,9053.0,6141.0,225.0,845.0,55.0,286217.0,14878.0,Romania,Europe,,,0.0,,,
13,2020-05-15,16437.0,190.0,1070.0,17.0,9370.0,5997.0,219.0,854.0,56.0,294601.0,15301.0,Romania,Europe,34.0,19253316.0,0.0,,,
14,2020-05-16,16704.0,267.0,1094.0,24.0,9574.0,6036.0,206.0,868.0,57.0,303734.0,15776.0,Romania,Europe,33.0,19252967.0,0.0,,,
15,2020-05-17,16871.0,167.0,1107.0,13.0,9890.0,5874.0,205.0,876.0,57.0,310407.0,16123.0,Romania,Europe,33.0,19252618.0,0.0,,,
16,2020-05-18,17036.0,165.0,1120.0,13.0,9930.0,5986.0,193.0,885.0,58.0,313621.0,16290.0,Romania,Europe,33.0,19252270.0,0.0,,,
17,2020-05-19,17191.0,155.0,1137.0,17.0,10166.0,5888.0,195.0,893.0,59.0,322074.0,16729.0,Romania,Europe,33.0,19251921.0,0.0,,,
18,2020-05-20,17387.0,196.0,1147.0,10.0,10356.0,5884.0,198.0,903.0,60.0,332487.0,17271.0,Romania,Europe,35.0,19251572.0,0.0,,,
19,2020-05-21,17585.0,198.0,1156.0,9.0,10581.0,5848.0,203.0,913.0,60.0,342466.0,17789.0,Romania,Europe,36.0,19251223.0,0.0,,,
20,2020-05-22,17712.0,127.0,1166.0,10.0,10777.0,5769.0,200.0,920.0,61.0,352647.0,18318.0,Romania,Europe,36.0,19250875.0,0.0,,,
21,2020-05-23,17857.0,145.0,1173.0,7.0,11187.0,5497.0,196.0,928.0,61.0,361566.0,18782.0,Romania,Europe,36.0,19250526.0,0.0,,,
22,2020-05-24,18070.0,213.0,1185.0,9.0,11399.0,5486.0,188.0,939.0,62.0,368482.0,19142.0,Romania,Europe,36.0,19250177.0,0.0,,,
23,2020-05-25,18283.0,213.0,1205.0,20.0,11630.0,5448.0,177.0,950.0,63.0,377191.0,19595.0,Romania,Europe,36.0,19249829.0,0.0,,,
24,2020-05-26,18429.0,146.0,1216.0,11.0,11874.0,5339.0,181.0,957.0,63.0,385728.0,20038.0,Romania,Europe,37.0,19249480.0,0.0,,,
25,2020-05-27,18594.0,-1.0,1227.0,-1.0,12162.0,5205.0,198.0,966.0,64.0,397563.0,20654.0,Romania,Europe,37.0,19248782.0,0.0,,,
26,2020-05-28,18791.0,197.0,1235.0,8.0,12629.0,4927.0,182.0,976.0,64.0,410000.0,21300.0,Romania,Europe,37.0,19248782.0,0.0,,,
27,2020-05-29,18982.0,191.0,1248.0,13.0,12829.0,4905.0,182.0,986.0,65.0,421451.0,21895.0,Romania,Europe,37.0,19248434.0,0.0,,,
28,2020-05-30,19133.0,151.0,1259.0,11.0,13046.0,4828.0,160.0,994.0,65.0,425819.0,22123.0,Romania,Europe,37.0,19248085.0,0.0,,,
29,2020-05-31,19257.0,124.0,1266.0,7.0,13256.0,4735.0,160.0,1000.0,66.0,439197.0,22818.0,Romania,Europe,37.0,19247736.0,0.0,,,
30,2020-06-01,19398.0,141.0,1276.0,10.0,13426.0,4696.0,159.0,1008.0,66.0,443252.0,23029.0,Romania,Europe,37.0,19247388.0,0.0,,,
31,2020-06-02,19517.0,119.0,1288.0,12.0,13526.0,4703.0,166.0,1014.0,67.0,448813.0,23319.0,Romania,Europe,37.0,19247039.0,100.0,986.0,14943.0,43.0
32,2020-06-03,19669.0,152.0,1296.0,8.0,13800.0,4573.0,162.0,1022.0,67.0,459405.0,23869.0,Romania,Europe,38.0,19246690.0,274.0,979.0,14851.0,42.0
33,2020-06-04,19907.0,238.0,1306.0,10.0,13919.0,4682.0,153.0,1034.0,68.0,472850.0,24568.0,Romania,Europe,38.0,19246341.0,119.0,967.0,14737.0,41.0
34,2020-06-05,20103.0,196.0,1316.0,11.0,14145.0,4642.0,152.0,1045.0,68.0,484782.0,25189.0,Romania,Europe,39.0,19245993.0,226.0,957.0,14625.0,40.0
35,2020-06-06,20290.0,187.0,1318.0,2.0,14419.0,4553.0,153.0,1054.0,68.0,496408.0,25793.0,Romania,Europe,39.0,19245644.0,274.0,949.0,14602.0,39.0
36,2020-06-07,20479.0,189.0,1333.0,11.0,14638.0,4508.0,144.0,1064.0,69.0,503200.0,26147.0,Romania,Europe,39.0,19245295.0,219.0,940.0,14438.0,38.0
37,2020-06-08,20604.0,125.0,1339.0,6.0,14826.0,4439.0,146.0,1071.0,70.0,506115.0,26299.0,Romania,Europe,40.0,19244947.0,188.0,934.0,14373.0,38.0
38,2020-06-09,20749.0,145.0,1354.0,15.0,14910.0,4485.0,152.0,1078.0,70.0,511295.0,26568.0,Romania,Europe,40.0,19244598.0,84.0,927.0,14213.0,38.0
39,2020-06-10,20945.0,196.0,1360.0,6.0,15103.0,4482.0,150.0,1088.0,71.0,520564.0,27050.0,Romania,Europe,40.0,19244249.0,193.0,919.0,14150.0,37.0
40,2020-06-11,21182.0,237.0,1369.0,9.0,15283.0,4530.0,153.0,1101.0,71.0,531619.0,27625.0,Romania,Europe,41.0,19243900.0,180.0,909.0,14057.0,36.0
41,2020-06-12,21404.0,222.0,1380.0,11.0,15445.0,4579.0,171.0,1112.0,72.0,542646.0,28199.0,Romania,Europe,41.0,19243552.0,162.0,899.0,13945.0,35.0
42,2020-06-13,21679.0,275.0,1394.0,14.0,15635.0,4650.0,171.0,1127.0,72.0,552670.0,28720.0,Romania,Europe,42.0,19243203.0,190.0,888.0,13804.0,35.0
43,2020-06-14,21999.0,320.0,1410.0,16.0,15719.0,4870.0,165.0,1143.0,73.0,560596.0,29133.0,Romania,Europe,42.0,19242854.0,84.0,875.0,13647.0,34.0
44,2020-06-15,22165.0,166.0,1427.0,17.0,15817.0,4921.0,175.0,1152.0,74.0,564278.0,29325.0,Romania,Europe,42.0,19242506.0,98.0,868.0,13485.0,34.0
45,2020-06-16,22415.0,250.0,1437.0,10.0,16071.0,4907.0,173.0,1165.0,75.0,573638.0,29812.0,Romania,Europe,43.0,19242157.0,254.0,858.0,13391.0,34.0
46,2020-06-17,22760.0,345.0,1451.0,14.0,16117.0,5192.0,161.0,1183.0,75.0,585353.0,30421.0,Romania,Europe,43.0,19241808.0,46.0,845.0,13261.0,33.0
47,2020-06-18,23080.0,320.0,1473.0,22.0,16308.0,5299.0,178.0,1199.0,77.0,597696.0,31063.0,Romania,Europe,43.0,19241459.0,191.0,834.0,13063.0,32.0
48,2020-06-19,23400.0,320.0,1484.0,11.0,16555.0,5361.0,184.0,1216.0,77.0,608771.0,31639.0,Romania,Europe,43.0,19241111.0,247.0,822.0,12966.0,32.0
49,2020-06-20,23730.0,330.0,1500.0,16.0,16735.0,5495.0,190.0,1233.0,78.0,619997.0,32224.0,Romania,Europe,44.0,19240413.0,180.0,811.0,12827.0,31.0
50,2020-06-21,24045.0,315.0,1512.0,12.0,16911.0,5622.0,195.0,1250.0,79.0,626330.0,32553.0,Romania,Europe,44.0,19240413.0,176.0,800.0,12725.0,31.0
51,2020-06-22,24291.0,246.0,1523.0,11.0,17031.0,5737.0,195.0,1263.0,79.0,630374.0,32764.0,Romania,Europe,45.0,19240064.0,120.0,792.0,12633.0,31.0
52,2020-06-23,24505.0,214.0,1539.0,16.0,17187.0,5779.0,200.0,1274.0,80.0,639322.0,33229.0,Romania,Europe,45.0,19239716.0,156.0,785.0,12501.0,30.0
53,2020-06-24,24826.0,321.0,1555.0,16.0,17391.0,5880.0,186.0,1290.0,81.0,651003.0,33837.0,Romania,Europe,45.0,19239367.0,204.0,775.0,12373.0,30.0
54,2020-06-25,25286.0,460.0,1565.0,10.0,17906.0,5815.0,199.0,1314.0,81.0,663558.0,34490.0,Romania,Europe,45.0,19239018.0,515.0,761.0,12293.0,29.0
55,2020-06-26,25697.0,411.0,1579.0,14.0,18181.0,5937.0,186.0,1336.0,82.0,675382.0,35105.0,Romania,Europe,44.0,19238670.0,275.0,749.0,12184.0,28.0
56,2020-06-27,26022.0,325.0,1589.0,10.0,18530.0,5903.0,199.0,1353.0,83.0,687618.0,35742.0,Romania,Europe,44.0,19238321.0,349.0,739.0,12107.0,28.0
57,2020-06-28,26313.0,291.0,1612.0,23.0,18814.0,5887.0,217.0,1368.0,84.0,694909.0,36122.0,Romania,Europe,44.0,19237972.0,284.0,731.0,11934.0,28.0
58,2020-06-29,26582.0,269.0,1634.0,22.0,18912.0,6036.0,210.0,1382.0,85.0,699688.0,36371.0,Romania,Europe,44.0,19237623.0,98.0,724.0,11773.0,27.0
59,2020-06-30,26970.0,388.0,1651.0,17.0,19050.0,6269.0,205.0,1402.0,86.0,710112.0,36913.0,Romania,Europe,44.0,19237275.0,138.0,713.0,11652.0,27.0
60,2020-07-01,27296.0,326.0,1667.0,16.0,19314.0,6315.0,222.0,1419.0,87.0,722697.0,37568.0,Romania,Europe,45.0,19236926.0,264.0,705.0,11540.0,27.0
61,2020-07-02,27746.0,450.0,1687.0,20.0,19363.0,6696.0,237.0,1442.0,88.0,735221.0,38220.0,Romania,Europe,45.0,19236577.0,49.0,693.0,11403.0,26.0
62,2020-07-03,28166.0,420.0,1708.0,21.0,19545.0,6913.0,224.0,1464.0,89.0,747592.0,38864.0,Romania,Europe,46.0,19236229.0,182.0,683.0,11262.0,26.0
63,2020-07-04,28582.0,416.0,1731.0,23.0,19854.0,6997.0,223.0,1486.0,90.0,759037.0,39459.0,Romania,Europe,46.0,19235880.0,309.0,673.0,11113.0,25.0
64,2020-07-05,28973.0,391.0,1750.0,19.0,20026.0,7197.0,215.0,1506.0,91.0,766868.0,39867.0,Romania,Europe,47.0,19235531.0,172.0,664.0,10992.0,25.0
65,2020-07-06,29223.0,250.0,1768.0,18.0,20213.0,7242.0,227.0,1519.0,92.0,771482.0,40108.0,Romania,Europe,47.0,19235182.0,187.0,658.0,10880.0,25.0
66,2020-07-07,29620.0,397.0,1799.0,31.0,20534.0,7287.0,231.0,1540.0,94.0,783337.0,40725.0,Romania,Europe,47.0,19234834.0,321.0,649.0,10692.0,25.0
67,2020-07-08,30175.0,555.0,1817.0,18.0,20799.0,7559.0,237.0,1569.0,94.0,796484.0,41409.0,Romania,Europe,48.0,19234485.0,265.0,637.0,10586.0,24.0
68,2020-07-09,30789.0,614.0,1834.0,17.0,20969.0,7986.0,240.0,1601.0,95.0,809663.0,42095.0,Romania,Europe,47.0,19234136.0,170.0,625.0,10488.0,24.0
69,2020-07-10,31381.0,592.0,1847.0,13.0,21129.0,8405.0,236.0,1632.0,96.0,824343.0,42859.0,Romania,Europe,47.0,19233788.0,160.0,613.0,10414.0,23.0
70,2020-07-11,32079.0,698.0,1871.0,24.0,21414.0,8794.0,239.0,1668.0,97.0,838953.0,43620.0,Romania,Europe,46.0,19233439.0,285.0,600.0,10280.0,23.0
