,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,124054.0,9623.0,1222.0,53.0,15013.0,107819.0,2300.0,850.0,8.0,3945518.0,27036.0,Russia,Europe,,,0.0,,,
1,2020-05-03,134687.0,10633.0,1280.0,58.0,16639.0,116768.0,2300.0,923.0,9.0,4100000.0,28095.0,Russia,Europe,,,0.0,,,
2,2020-05-04,145268.0,10581.0,1356.0,76.0,18095.0,125817.0,2300.0,995.0,9.0,4300000.0,29465.0,Russia,Europe,,,0.0,,,
3,2020-05-05,155370.0,-1.0,1451.0,-1.0,19865.0,134054.0,2300.0,1065.0,10.0,4460357.0,30564.0,Russia,Europe,,,0.0,,,
4,2020-05-06,165929.0,10559.0,1537.0,86.0,21327.0,143065.0,2300.0,1137.0,11.0,4633731.0,31752.0,Russia,Europe,,,0.0,,,
5,2020-05-07,177160.0,11231.0,1625.0,88.0,23803.0,151732.0,2300.0,1214.0,11.0,4803192.0,32913.0,Russia,Europe,,,0.0,,,
6,2020-05-08,187859.0,-1.0,1723.0,-1.0,26608.0,159528.0,2300.0,1287.0,12.0,4980000.0,34125.0,Russia,Europe,,,0.0,,,
7,2020-05-09,198676.0,-1.0,1827.0,-1.0,31916.0,164933.0,2300.0,1361.0,13.0,5221964.0,35783.0,Russia,Europe,,,0.0,,,
8,2020-05-10,209688.0,11012.0,1915.0,88.0,34306.0,173467.0,2300.0,1437.0,13.0,5448463.0,37335.0,Russia,Europe,,,0.0,,,
9,2020-05-11,221344.0,11656.0,2009.0,94.0,39801.0,179534.0,2300.0,1517.0,14.0,5636763.0,38625.0,Russia,Europe,,,0.0,,,
10,2020-05-12,232243.0,10899.0,2116.0,107.0,43512.0,186615.0,2300.0,1591.0,14.0,5805404.0,39781.0,Russia,Europe,,,0.0,,,
11,2020-05-13,242271.0,10028.0,2212.0,96.0,48003.0,192056.0,2300.0,1660.0,15.0,5982558.0,40995.0,Russia,Europe,,,0.0,,,
12,2020-05-14,252245.0,9974.0,2305.0,93.0,53530.0,196410.0,2300.0,1728.0,16.0,6188102.0,42403.0,Russia,Europe,,,0.0,,,
13,2020-05-15,262843.0,10598.0,2418.0,113.0,58226.0,202199.0,2300.0,1801.0,17.0,6413948.0,43953.0,Russia,Europe,3.0,145926611.0,0.0,,,
14,2020-05-16,272043.0,9200.0,2537.0,119.0,63166.0,206340.0,2300.0,1864.0,17.0,6656340.0,45614.0,Russia,Europe,3.0,145926781.0,0.0,,,
15,2020-05-17,281752.0,9709.0,2631.0,94.0,67373.0,211748.0,2300.0,1931.0,18.0,6916088.0,47394.0,Russia,Europe,2.0,145926952.0,0.0,,,
16,2020-05-18,290678.0,8926.0,2722.0,91.0,70209.0,217747.0,2300.0,1992.0,19.0,7147014.0,48977.0,Russia,Europe,2.0,145927122.0,0.0,,,
17,2020-05-19,299941.0,9263.0,2837.0,115.0,76130.0,220974.0,2300.0,2055.0,19.0,7352316.0,50383.0,Russia,Europe,2.0,145927292.0,0.0,,,
18,2020-05-20,308705.0,8764.0,2972.0,135.0,85392.0,220341.0,2300.0,2115.0,20.0,7578029.0,51930.0,Russia,Europe,2.0,145927463.0,0.0,,,
19,2020-05-21,317554.0,8849.0,3099.0,127.0,92681.0,221774.0,2300.0,2176.0,21.0,7840880.0,53731.0,Russia,Europe,2.0,145927633.0,0.0,,,
20,2020-05-22,326448.0,8894.0,3249.0,150.0,99825.0,223374.0,2300.0,2237.0,22.0,8126626.0,55689.0,Russia,Europe,2.0,145927804.0,0.0,,,
21,2020-05-23,335882.0,9434.0,3388.0,139.0,107936.0,224558.0,2300.0,2302.0,23.0,8402747.0,57581.0,Russia,Europe,3.0,145927974.0,0.0,,,
22,2020-05-24,344481.0,8599.0,3541.0,153.0,113299.0,227641.0,2300.0,2361.0,24.0,8685305.0,59518.0,Russia,Europe,3.0,145928144.0,0.0,,,
