,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,249.0,-1.0,-1.0,-1.0,109.0,140.0,-1.0,19.0,-1.0,10969.0,847.0,Rwanda,Africa,,,0.0,,,
1,2020-05-03,259.0,4.0,-1.0,-1.0,124.0,135.0,-1.0,20.0,-1.0,34350.0,2652.0,Rwanda,Africa,,,0.0,,,
2,2020-05-04,261.0,2.0,-1.0,-1.0,128.0,133.0,-1.0,20.0,-1.0,35096.0,2710.0,Rwanda,Africa,,,0.0,,,
3,2020-05-05,261.0,-1.0,-1.0,-1.0,129.0,132.0,-1.0,20.0,-1.0,35992.0,2779.0,Rwanda,Africa,,,0.0,,,
4,2020-05-06,261.0,-1.0,-1.0,-1.0,129.0,132.0,-1.0,20.0,-1.0,35992.0,2779.0,Rwanda,Africa,,,0.0,,,
5,2020-05-07,271.0,3.0,-1.0,-1.0,133.0,138.0,-1.0,21.0,-1.0,38834.0,2998.0,Rwanda,Africa,,,0.0,,,
6,2020-05-08,273.0,-1.0,-1.0,-1.0,136.0,137.0,-1.0,21.0,-1.0,40187.0,3103.0,Rwanda,Africa,,,0.0,,,
7,2020-05-09,280.0,-1.0,-1.0,-1.0,140.0,140.0,-1.0,22.0,-1.0,41385.0,3195.0,Rwanda,Africa,,,0.0,,,
8,2020-05-10,284.0,4.0,-1.0,-1.0,140.0,144.0,-1.0,22.0,-1.0,42425.0,3276.0,Rwanda,Africa,,,0.0,,,
9,2020-05-11,284.0,-1.0,-1.0,-1.0,140.0,144.0,-1.0,22.0,-1.0,42425.0,3276.0,Rwanda,Africa,,,0.0,,,
10,2020-05-12,285.0,-1.0,-1.0,-1.0,150.0,135.0,-1.0,22.0,-1.0,42805.0,3305.0,Rwanda,Africa,,,0.0,,,
11,2020-05-13,287.0,1.0,-1.0,-1.0,164.0,123.0,-1.0,22.0,-1.0,44245.0,3416.0,Rwanda,Africa,,,0.0,,,
12,2020-05-14,287.0,-1.0,-1.0,-1.0,168.0,119.0,-1.0,22.0,-1.0,45140.0,3485.0,Rwanda,Africa,,,0.0,,,
13,2020-05-15,287.0,-1.0,-1.0,-1.0,177.0,110.0,-1.0,22.0,-1.0,46198.0,3579.0,Rwanda,Africa,138.0,12907635.0,0.0,,,
14,2020-05-16,289.0,2.0,-1.0,-1.0,178.0,111.0,-1.0,22.0,-1.0,48239.0,3737.0,Rwanda,Africa,140.0,12908515.0,0.0,,,
15,2020-05-17,289.0,-1.0,-1.0,-1.0,178.0,111.0,-1.0,22.0,-1.0,48239.0,3737.0,Rwanda,Africa,144.0,12909395.0,0.0,,,
16,2020-05-18,297.0,5.0,-1.0,-1.0,203.0,94.0,-1.0,23.0,-1.0,51118.0,3959.0,Rwanda,Africa,143.0,12910275.0,0.0,,,
17,2020-05-19,297.0,-1.0,-1.0,-1.0,203.0,94.0,-1.0,23.0,-1.0,51118.0,3959.0,Rwanda,Africa,143.0,12911155.0,0.0,,,
18,2020-05-20,314.0,6.0,-1.0,-1.0,216.0,98.0,-1.0,24.0,-1.0,53317.0,4129.0,Rwanda,Africa,142.0,12912035.0,0.0,,,
19,2020-05-21,320.0,6.0,-1.0,-1.0,217.0,103.0,-1.0,25.0,-1.0,54400.0,4213.0,Rwanda,Africa,143.0,12912915.0,0.0,,,
20,2020-05-22,321.0,1.0,-1.0,-1.0,222.0,99.0,-1.0,25.0,-1.0,55968.0,4334.0,Rwanda,Africa,143.0,12913795.0,0.0,,,
21,2020-05-23,325.0,4.0,-1.0,-1.0,227.0,98.0,-1.0,25.0,-1.0,57077.0,4420.0,Rwanda,Africa,141.0,12914674.0,0.0,,,
22,2020-05-24,327.0,2.0,-1.0,-1.0,237.0,90.0,-1.0,25.0,-1.0,58477.0,4528.0,Rwanda,Africa,141.0,12915554.0,0.0,,,
23,2020-05-25,336.0,9.0,-1.0,-1.0,238.0,98.0,-1.0,26.0,-1.0,59369.0,4596.0,Rwanda,Africa,140.0,12916434.0,0.0,,,
24,2020-05-26,336.0,-1.0,-1.0,-1.0,238.0,98.0,-1.0,26.0,-1.0,59369.0,4596.0,Rwanda,Africa,141.0,12917314.0,0.0,,,
25,2020-05-27,346.0,-1.0,-1.0,-1.0,245.0,101.0,-1.0,27.0,-1.0,60443.0,4679.0,Rwanda,Africa,142.0,12919074.0,0.0,,,
26,2020-05-28,349.0,3.0,-1.0,-1.0,245.0,104.0,-1.0,27.0,-1.0,64268.0,4975.0,Rwanda,Africa,142.0,12919074.0,0.0,,,
27,2020-05-29,355.0,6.0,-1.0,-1.0,247.0,108.0,-1.0,27.0,-1.0,65608.0,5078.0,Rwanda,Africa,143.0,12919954.0,0.0,,,
28,2020-05-30,359.0,4.0,1.0,1.0,250.0,108.0,-1.0,28.0,0.08,66976.0,5184.0,Rwanda,Africa,143.0,12920834.0,0.0,,,
29,2020-05-31,359.0,-1.0,1.0,-1.0,250.0,108.0,-1.0,28.0,0.08,66976.0,5183.0,Rwanda,Africa,144.0,12921714.0,0.0,,,
30,2020-06-01,370.0,-1.0,1.0,-1.0,256.0,113.0,-1.0,29.0,0.08,66976.0,5183.0,Rwanda,Africa,144.0,12922594.0,0.0,,,
31,2020-06-02,377.0,-1.0,1.0,-1.0,262.0,114.0,-1.0,29.0,0.08,66976.0,5183.0,Rwanda,Africa,145.0,12923473.0,-1.0,34280.0,12923473.0,193.0
32,2020-06-03,397.0,13.0,2.0,-1.0,271.0,124.0,-1.0,31.0,0.2,71141.0,5504.0,Rwanda,Africa,145.0,12924353.0,2.0,32555.0,6462177.0,182.0
33,2020-06-04,410.0,13.0,2.0,-1.0,280.0,128.0,-1.0,32.0,0.2,72510.0,5610.0,Rwanda,Africa,145.0,12925233.0,9.0,31525.0,6462617.0,178.0
34,2020-06-05,420.0,10.0,2.0,-1.0,282.0,136.0,-1.0,32.0,0.2,72510.0,5610.0,Rwanda,Africa,145.0,12926113.0,2.0,30776.0,6463057.0,178.0
35,2020-06-06,431.0,11.0,2.0,-1.0,283.0,146.0,-1.0,33.0,0.2,75013.0,5803.0,Rwanda,Africa,145.0,12926993.0,1.0,29993.0,6463497.0,172.0
36,2020-06-07,439.0,8.0,2.0,-1.0,290.0,147.0,-1.0,34.0,0.2,75013.0,5802.0,Rwanda,Africa,145.0,12927873.0,7.0,29448.0,6463937.0,172.0
37,2020-06-08,451.0,12.0,2.0,-1.0,297.0,152.0,-1.0,35.0,0.2,78259.0,6053.0,Rwanda,Africa,144.0,12928753.0,7.0,28667.0,6464377.0,165.0
38,2020-06-09,463.0,12.0,2.0,-1.0,300.0,161.0,-1.0,36.0,0.2,80129.0,6197.0,Rwanda,Africa,144.0,12929633.0,3.0,27926.0,6464817.0,161.0
39,2020-06-10,476.0,13.0,2.0,-1.0,307.0,167.0,-1.0,37.0,0.2,82239.0,6360.0,Rwanda,Africa,144.0,12930513.0,7.0,27165.0,6465257.0,157.0
40,2020-06-11,494.0,18.0,2.0,-1.0,313.0,179.0,-1.0,38.0,0.2,84029.0,6498.0,Rwanda,Africa,142.0,12931392.0,6.0,26177.0,6465696.0,154.0
41,2020-06-12,510.0,16.0,2.0,-1.0,321.0,187.0,-1.0,39.0,0.2,85613.0,6620.0,Rwanda,Africa,141.0,12932272.0,8.0,25357.0,6466136.0,151.0
42,2020-06-13,541.0,31.0,2.0,-1.0,332.0,207.0,-1.0,42.0,0.2,87656.0,6778.0,Rwanda,Africa,141.0,12933152.0,11.0,23906.0,6466576.0,148.0
43,2020-06-14,582.0,41.0,2.0,-1.0,332.0,248.0,-1.0,45.0,0.2,91151.0,7047.0,Rwanda,Africa,140.0,12934032.0,-1.0,22223.0,6467016.0,142.0
44,2020-06-15,612.0,30.0,2.0,-1.0,338.0,272.0,-1.0,47.0,0.2,94059.0,7272.0,Rwanda,Africa,139.0,12934912.0,6.0,21135.0,6467456.0,138.0
45,2020-06-16,636.0,24.0,2.0,-1.0,338.0,296.0,-1.0,49.0,0.2,96801.0,7483.0,Rwanda,Africa,139.0,12935792.0,-1.0,20339.0,6467896.0,134.0
46,2020-06-17,636.0,-1.0,2.0,-1.0,338.0,296.0,-1.0,49.0,0.2,96801.0,7483.0,Rwanda,Africa,139.0,12936672.0,-1.0,20341.0,6468336.0,134.0
47,2020-06-18,646.0,7.0,2.0,-1.0,350.0,294.0,-1.0,50.0,0.2,101856.0,7873.0,Rwanda,Africa,139.0,12937552.0,3.0,20027.0,6468776.0,127.0
48,2020-06-19,661.0,15.0,2.0,-1.0,351.0,308.0,-1.0,51.0,0.2,104889.0,8107.0,Rwanda,Africa,140.0,12938432.0,1.0,19574.0,6469216.0,123.0
49,2020-06-20,702.0,41.0,2.0,-1.0,357.0,343.0,-1.0,54.0,0.2,108005.0,8346.0,Rwanda,Africa,136.0,12940191.0,6.0,18433.0,6470096.0,120.0
50,2020-06-21,728.0,26.0,2.0,-1.0,359.0,367.0,-1.0,56.0,0.2,111257.0,8598.0,Rwanda,Africa,138.0,12940191.0,2.0,17775.0,6470096.0,116.0
51,2020-06-22,787.0,59.0,2.0,-1.0,370.0,415.0,-1.0,61.0,0.2,113544.0,8774.0,Rwanda,Africa,135.0,12941071.0,11.0,16444.0,6470536.0,114.0
52,2020-06-23,798.0,11.0,2.0,-1.0,371.0,425.0,-1.0,62.0,0.2,118112.0,9126.0,Rwanda,Africa,136.0,12941951.0,1.0,16218.0,6470976.0,110.0
53,2020-06-24,830.0,32.0,2.0,-1.0,376.0,452.0,-1.0,64.0,0.2,121527.0,9390.0,Rwanda,Africa,136.0,12942831.0,5.0,15594.0,6471416.0,107.0
54,2020-06-25,850.0,20.0,2.0,-1.0,385.0,463.0,-1.0,66.0,0.2,126284.0,9756.0,Rwanda,Africa,136.0,12943711.0,9.0,15228.0,6471856.0,102.0
55,2020-06-26,858.0,8.0,2.0,-1.0,398.0,458.0,-1.0,66.0,0.2,130047.0,10046.0,Rwanda,Africa,135.0,12944591.0,13.0,15087.0,6472296.0,100.0
56,2020-06-27,878.0,20.0,2.0,-1.0,413.0,463.0,-1.0,68.0,0.2,134749.0,10409.0,Rwanda,Africa,134.0,12945471.0,15.0,14744.0,6472736.0,96.0
57,2020-06-28,900.0,22.0,2.0,-1.0,443.0,455.0,-1.0,70.0,0.2,137751.0,10640.0,Rwanda,Africa,134.0,12946351.0,30.0,14385.0,6473176.0,94.0
58,2020-06-29,1001.0,101.0,2.0,-1.0,443.0,556.0,-1.0,77.0,0.2,140249.0,10832.0,Rwanda,Africa,130.0,12947230.0,-1.0,12934.0,6473615.0,92.0
59,2020-06-30,1025.0,24.0,2.0,-1.0,447.0,576.0,-1.0,79.0,0.2,143943.0,11117.0,Rwanda,Africa,130.0,12948110.0,4.0,12632.0,6474055.0,90.0
