,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,422.0,-1.0,-1.0,-1.0,300.0,122.0,2.0,471.0,-1.0,-1.0,-1.0,Réunion,Africa,,,0.0,,,
1,2020-05-03,423.0,-1.0,-1.0,-1.0,300.0,123.0,2.0,472.0,-1.0,-1.0,-1.0,Réunion,Africa,,,0.0,,,
2,2020-05-04,424.0,1.0,-1.0,-1.0,300.0,124.0,2.0,474.0,-1.0,-1.0,-1.0,Réunion,Africa,,,0.0,,,
3,2020-05-05,424.0,-1.0,-1.0,-1.0,300.0,124.0,2.0,474.0,-1.0,-1.0,-1.0,Réunion,Africa,,,0.0,,,
4,2020-05-06,425.0,1.0,-1.0,-1.0,300.0,125.0,2.0,475.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
5,2020-05-07,427.0,2.0,-1.0,-1.0,354.0,73.0,3.0,477.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
6,2020-05-08,426.0,-1.0,-1.0,-1.0,354.0,72.0,3.0,476.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
7,2020-05-09,431.0,-1.0,-1.0,-1.0,354.0,77.0,5.0,481.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
8,2020-05-10,436.0,5.0,-1.0,-1.0,354.0,82.0,5.0,487.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
9,2020-05-11,436.0,-1.0,-1.0,-1.0,354.0,82.0,5.0,487.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
10,2020-05-12,436.0,-1.0,-1.0,-1.0,354.0,82.0,5.0,487.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
11,2020-05-13,439.0,2.0,-1.0,-1.0,354.0,85.0,4.0,490.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
12,2020-05-14,439.0,-1.0,-1.0,-1.0,354.0,85.0,4.0,490.0,-1.0,17200.0,19211.0,Réunion,Africa,,,0.0,,,
13,2020-05-15,440.0,-1.0,-1.0,-1.0,354.0,86.0,4.0,492.0,-1.0,17200.0,19229.0,Réunion,Africa,127.0,894487.0,0.0,,,
14,2020-05-16,441.0,-1.0,-1.0,-1.0,354.0,87.0,4.0,493.0,-1.0,17200.0,19229.0,Réunion,Africa,127.0,894505.0,0.0,,,
15,2020-05-17,443.0,-1.0,-1.0,-1.0,354.0,89.0,4.0,495.0,-1.0,17200.0,19228.0,Réunion,Africa,127.0,894522.0,0.0,,,
16,2020-05-18,443.0,-1.0,-1.0,-1.0,354.0,89.0,4.0,495.0,-1.0,17200.0,19228.0,Réunion,Africa,128.0,894540.0,0.0,,,
17,2020-05-19,446.0,-1.0,-1.0,-1.0,354.0,92.0,4.0,499.0,-1.0,17200.0,19227.0,Réunion,Africa,128.0,894557.0,0.0,,,
18,2020-05-20,447.0,1.0,1.0,1.0,411.0,35.0,2.0,500.0,1.0,17200.0,19227.0,Réunion,Africa,128.0,894575.0,0.0,,,
19,2020-05-21,449.0,2.0,1.0,-1.0,411.0,37.0,2.0,502.0,1.0,17200.0,19227.0,Réunion,Africa,131.0,894592.0,0.0,,,
20,2020-05-22,449.0,-1.0,1.0,-1.0,411.0,37.0,2.0,502.0,1.0,17200.0,19226.0,Réunion,Africa,132.0,894609.0,0.0,,,
21,2020-05-23,452.0,3.0,1.0,-1.0,411.0,40.0,2.0,505.0,1.0,17200.0,19226.0,Réunion,Africa,134.0,894627.0,0.0,,,
22,2020-05-24,452.0,-1.0,1.0,-1.0,411.0,40.0,2.0,505.0,1.0,17200.0,19226.0,Réunion,Africa,134.0,894644.0,0.0,,,
23,2020-05-25,452.0,-1.0,1.0,-1.0,411.0,40.0,2.0,505.0,1.0,17200.0,19225.0,Réunion,Africa,134.0,894662.0,0.0,,,
24,2020-05-26,459.0,3.0,1.0,-1.0,411.0,47.0,1.0,513.0,1.0,17200.0,19225.0,Réunion,Africa,134.0,894679.0,0.0,,,
25,2020-05-27,460.0,-1.0,1.0,-1.0,411.0,48.0,1.0,514.0,1.0,17200.0,19224.0,Réunion,Africa,135.0,894714.0,0.0,,,
26,2020-05-28,465.0,5.0,1.0,-1.0,411.0,53.0,1.0,520.0,1.0,17200.0,19224.0,Réunion,Africa,135.0,894714.0,0.0,,,
27,2020-05-29,470.0,5.0,1.0,-1.0,411.0,58.0,1.0,525.0,1.0,17200.0,19224.0,Réunion,Africa,135.0,894731.0,0.0,,,
28,2020-05-30,471.0,1.0,1.0,-1.0,411.0,59.0,1.0,526.0,1.0,17200.0,19223.0,Réunion,Africa,137.0,894749.0,0.0,,,
29,2020-05-31,471.0,-1.0,1.0,-1.0,411.0,59.0,1.0,526.0,1.0,17200.0,19223.0,Réunion,Africa,138.0,894766.0,0.0,,,
