,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,10780.0,6.0,250.0,2.0,9123.0,1407.0,55.0,210.0,5.0,623069.0,12153.0,S. Korea,Asia,,,0.0,,,
1,2020-05-03,10793.0,13.0,250.0,-1.0,9183.0,1360.0,55.0,211.0,5.0,630973.0,12307.0,S. Korea,Asia,,,0.0,,,
2,2020-05-04,10801.0,8.0,252.0,2.0,9217.0,1332.0,55.0,211.0,5.0,633921.0,12365.0,S. Korea,Asia,,,0.0,,,
3,2020-05-05,10806.0,2.0,255.0,1.0,9333.0,1218.0,55.0,211.0,5.0,643095.0,12543.0,S. Korea,Asia,,,0.0,,,
4,2020-05-06,10806.0,2.0,255.0,1.0,9333.0,1218.0,55.0,211.0,5.0,643095.0,12543.0,S. Korea,Asia,,,0.0,,,
5,2020-05-07,10810.0,4.0,256.0,1.0,9419.0,1135.0,55.0,211.0,5.0,649388.0,12666.0,S. Korea,Asia,,,0.0,,,
6,2020-05-08,10840.0,18.0,256.0,-1.0,9568.0,1016.0,55.0,211.0,5.0,660030.0,12874.0,S. Korea,Asia,,,0.0,,,
7,2020-05-09,10840.0,-1.0,256.0,-1.0,9568.0,1016.0,55.0,211.0,5.0,660030.0,12874.0,S. Korea,Asia,,,0.0,,,
8,2020-05-10,10874.0,34.0,256.0,-1.0,9610.0,1008.0,55.0,212.0,5.0,663886.0,12949.0,S. Korea,Asia,,,0.0,,,
9,2020-05-11,10909.0,35.0,256.0,-1.0,9632.0,1021.0,55.0,213.0,5.0,668492.0,13039.0,S. Korea,Asia,,,0.0,,,
10,2020-05-12,10936.0,27.0,258.0,2.0,9670.0,1008.0,55.0,213.0,5.0,680890.0,13281.0,S. Korea,Asia,,,0.0,,,
11,2020-05-13,10962.0,26.0,259.0,1.0,9695.0,1008.0,55.0,214.0,5.0,695920.0,13574.0,S. Korea,Asia,,,0.0,,,
12,2020-05-14,10991.0,29.0,260.0,1.0,9762.0,969.0,55.0,214.0,5.0,711484.0,13877.0,S. Korea,Asia,,,0.0,,,
13,2020-05-15,11018.0,27.0,260.0,-1.0,9821.0,937.0,55.0,215.0,5.0,726747.0,14177.0,S. Korea,Asia,43.0,51263639.0,0.0,,,
14,2020-05-16,11037.0,19.0,262.0,2.0,9851.0,924.0,55.0,215.0,5.0,741145.0,14457.0,S. Korea,Asia,43.0,51263759.0,0.0,,,
15,2020-05-17,11050.0,13.0,262.0,-1.0,9888.0,900.0,55.0,216.0,5.0,747653.0,14584.0,S. Korea,Asia,43.0,51263879.0,0.0,,,
16,2020-05-18,11065.0,15.0,263.0,1.0,9904.0,898.0,55.0,216.0,5.0,753211.0,14693.0,S. Korea,Asia,43.0,51263999.0,0.0,,,
17,2020-05-19,11078.0,13.0,263.0,-1.0,9938.0,877.0,15.0,216.0,5.0,765574.0,14934.0,S. Korea,Asia,43.0,51264120.0,0.0,,,
18,2020-05-20,11110.0,32.0,263.0,-1.0,10066.0,781.0,15.0,217.0,5.0,776433.0,15146.0,S. Korea,Asia,44.0,51264240.0,0.0,,,
19,2020-05-21,11122.0,12.0,264.0,1.0,10135.0,723.0,15.0,217.0,5.0,788684.0,15385.0,S. Korea,Asia,44.0,51264360.0,0.0,,,
20,2020-05-22,11142.0,20.0,264.0,-1.0,10162.0,716.0,15.0,217.0,5.0,802418.0,15653.0,S. Korea,Asia,44.0,51264480.0,0.0,,,
21,2020-05-23,11165.0,23.0,266.0,2.0,10194.0,705.0,15.0,218.0,5.0,814420.0,15887.0,S. Korea,Asia,44.0,51264600.0,0.0,,,
22,2020-05-24,11190.0,25.0,266.0,-1.0,10213.0,711.0,15.0,218.0,5.0,820289.0,16001.0,S. Korea,Asia,45.0,51264720.0,0.0,,,
23,2020-05-25,11206.0,16.0,267.0,1.0,10226.0,713.0,15.0,219.0,5.0,826437.0,16121.0,S. Korea,Asia,45.0,51264841.0,0.0,,,
24,2020-05-26,11225.0,19.0,269.0,2.0,10275.0,681.0,15.0,219.0,5.0,839475.0,16375.0,S. Korea,Asia,47.0,51264961.0,0.0,,,
25,2020-05-27,11265.0,-1.0,269.0,-1.0,10295.0,701.0,15.0,220.0,5.0,852876.0,16637.0,S. Korea,Asia,48.0,51265201.0,0.0,,,
26,2020-05-28,11344.0,79.0,269.0,-1.0,10340.0,735.0,15.0,221.0,5.0,868666.0,16945.0,S. Korea,Asia,47.0,51265201.0,0.0,,,
27,2020-05-29,11402.0,58.0,269.0,-1.0,10363.0,770.0,15.0,222.0,5.0,885120.0,17265.0,S. Korea,Asia,47.0,51265321.0,0.0,,,
28,2020-05-30,11441.0,39.0,269.0,-1.0,10398.0,774.0,15.0,223.0,5.0,902901.0,17612.0,S. Korea,Asia,47.0,51265441.0,0.0,,,
29,2020-05-31,11468.0,27.0,270.0,1.0,10405.0,793.0,15.0,224.0,5.0,910822.0,17767.0,S. Korea,Asia,47.0,51265561.0,0.0,,,
30,2020-06-01,11503.0,35.0,271.0,1.0,10422.0,810.0,15.0,224.0,5.0,921391.0,17973.0,S. Korea,Asia,49.0,51265682.0,0.0,,,
31,2020-06-02,11541.0,38.0,272.0,1.0,10446.0,823.0,15.0,225.0,5.0,939851.0,18333.0,S. Korea,Asia,50.0,51265802.0,24.0,4442.0,188477.0,55.0
32,2020-06-03,11590.0,49.0,273.0,1.0,10467.0,850.0,15.0,226.0,5.0,956852.0,18664.0,S. Korea,Asia,50.0,51265922.0,21.0,4423.0,187787.0,54.0
33,2020-06-04,11629.0,39.0,273.0,-1.0,10499.0,857.0,15.0,227.0,5.0,973858.0,18996.0,S. Korea,Asia,51.0,51266042.0,32.0,4408.0,187788.0,53.0
34,2020-06-05,11668.0,39.0,273.0,-1.0,10506.0,889.0,15.0,228.0,5.0,990960.0,19330.0,S. Korea,Asia,52.0,51266162.0,7.0,4394.0,187788.0,52.0
35,2020-06-06,11719.0,51.0,273.0,-1.0,10531.0,915.0,15.0,229.0,5.0,1005305.0,19609.0,S. Korea,Asia,54.0,51266282.0,25.0,4375.0,187789.0,51.0
36,2020-06-07,11776.0,57.0,273.0,-1.0,10552.0,951.0,15.0,230.0,5.0,1012769.0,19755.0,S. Korea,Asia,55.0,51266403.0,21.0,4353.0,187789.0,51.0
37,2020-06-08,11814.0,38.0,273.0,-1.0,10563.0,978.0,15.0,230.0,5.0,1018214.0,19861.0,S. Korea,Asia,55.0,51266523.0,11.0,4339.0,187789.0,50.0
38,2020-06-09,11852.0,38.0,274.0,1.0,10589.0,989.0,15.0,231.0,5.0,1035997.0,20208.0,S. Korea,Asia,55.0,51266643.0,26.0,4326.0,187105.0,49.0
39,2020-06-10,11902.0,50.0,276.0,2.0,10611.0,1015.0,15.0,232.0,5.0,1051972.0,20520.0,S. Korea,Asia,55.0,51266763.0,22.0,4307.0,185749.0,49.0
40,2020-06-11,11947.0,45.0,276.0,-1.0,10654.0,1017.0,15.0,233.0,5.0,1066888.0,20810.0,S. Korea,Asia,55.0,51266883.0,43.0,4291.0,185750.0,48.0
41,2020-06-12,12003.0,56.0,277.0,1.0,10669.0,1057.0,15.0,234.0,5.0,1081487.0,21095.0,S. Korea,Asia,55.0,51267003.0,15.0,4271.0,185079.0,47.0
42,2020-06-13,12051.0,48.0,277.0,-1.0,10691.0,1083.0,15.0,235.0,5.0,1094704.0,21353.0,S. Korea,Asia,55.0,51267124.0,22.0,4254.0,185080.0,47.0
43,2020-06-14,12085.0,34.0,277.0,-1.0,10718.0,1090.0,15.0,236.0,5.0,1100328.0,21463.0,S. Korea,Asia,55.0,51267244.0,27.0,4242.0,185080.0,47.0
44,2020-06-15,12121.0,36.0,277.0,-1.0,10730.0,1114.0,15.0,236.0,5.0,1105719.0,21568.0,S. Korea,Asia,55.0,51267364.0,12.0,4230.0,185081.0,46.0
45,2020-06-16,12155.0,34.0,278.0,1.0,10760.0,1117.0,15.0,237.0,5.0,1119767.0,21842.0,S. Korea,Asia,57.0,51267484.0,30.0,4218.0,184415.0,46.0
46,2020-06-17,12198.0,43.0,279.0,1.0,10774.0,1145.0,15.0,238.0,5.0,1132823.0,22096.0,S. Korea,Asia,57.0,51267604.0,14.0,4203.0,183755.0,45.0
47,2020-06-18,12257.0,59.0,280.0,1.0,10800.0,1177.0,15.0,239.0,5.0,1145712.0,22348.0,S. Korea,Asia,57.0,51267724.0,26.0,4183.0,183099.0,45.0
48,2020-06-19,12306.0,49.0,280.0,-1.0,10835.0,1191.0,15.0,240.0,5.0,1158063.0,22588.0,S. Korea,Asia,57.0,51267845.0,35.0,4166.0,183099.0,44.0
49,2020-06-20,12373.0,67.0,280.0,-1.0,10856.0,1237.0,15.0,241.0,5.0,1170901.0,22839.0,S. Korea,Asia,58.0,51268085.0,21.0,4144.0,183100.0,44.0
50,2020-06-21,12421.0,48.0,280.0,-1.0,10868.0,1273.0,15.0,242.0,5.0,1176463.0,22947.0,S. Korea,Asia,58.0,51268085.0,12.0,4128.0,183100.0,44.0
51,2020-06-22,12438.0,17.0,280.0,-1.0,10881.0,1277.0,15.0,243.0,5.0,1182066.0,23057.0,S. Korea,Asia,60.0,51268205.0,13.0,4122.0,183101.0,43.0
52,2020-06-23,12484.0,46.0,281.0,1.0,10908.0,1295.0,15.0,244.0,5.0,1196012.0,23328.0,S. Korea,Asia,60.0,51268325.0,27.0,4107.0,182450.0,43.0
53,2020-06-24,12535.0,51.0,281.0,-1.0,10930.0,1324.0,15.0,244.0,5.0,1208597.0,23574.0,S. Korea,Asia,60.0,51268445.0,22.0,4090.0,182450.0,42.0
54,2020-06-25,12563.0,28.0,282.0,1.0,10974.0,1307.0,15.0,245.0,6.0,1220478.0,23806.0,S. Korea,Asia,61.0,51268565.0,44.0,4081.0,181803.0,42.0
55,2020-06-26,12602.0,39.0,282.0,-1.0,11172.0,1148.0,15.0,246.0,6.0,1232315.0,24036.0,S. Korea,Asia,61.0,51268686.0,198.0,4068.0,181804.0,42.0
56,2020-06-27,12653.0,51.0,282.0,-1.0,11317.0,1054.0,15.0,247.0,6.0,1243780.0,24260.0,S. Korea,Asia,61.0,51268806.0,145.0,4052.0,181804.0,41.0
57,2020-06-28,12715.0,62.0,282.0,-1.0,11364.0,1069.0,15.0,248.0,6.0,1251695.0,24414.0,S. Korea,Asia,61.0,51268926.0,47.0,4032.0,181805.0,41.0
58,2020-06-29,12757.0,42.0,282.0,-1.0,11429.0,1046.0,15.0,249.0,6.0,1259954.0,24575.0,S. Korea,Asia,61.0,51269046.0,65.0,4019.0,181805.0,41.0
59,2020-06-30,12800.0,43.0,282.0,-1.0,11537.0,981.0,15.0,250.0,6.0,1273766.0,24845.0,S. Korea,Asia,61.0,51269166.0,108.0,4005.0,181806.0,40.0
60,2020-07-01,12850.0,50.0,282.0,-1.0,11613.0,955.0,15.0,251.0,6.0,1285231.0,25068.0,S. Korea,Asia,61.0,51269286.0,76.0,3990.0,181806.0,40.0
61,2020-07-02,12904.0,54.0,282.0,-1.0,11684.0,938.0,15.0,252.0,6.0,1295962.0,25277.0,S. Korea,Asia,62.0,51269407.0,71.0,3973.0,181806.0,40.0
62,2020-07-03,12967.0,63.0,282.0,-1.0,11759.0,926.0,15.0,253.0,6.0,1307761.0,25508.0,S. Korea,Asia,62.0,51269527.0,75.0,3954.0,181807.0,39.0
63,2020-07-04,13030.0,63.0,283.0,1.0,11811.0,936.0,15.0,254.0,6.0,1319523.0,25737.0,S. Korea,Asia,62.0,51269647.0,52.0,3935.0,181165.0,39.0
64,2020-07-05,13091.0,61.0,283.0,-1.0,11832.0,976.0,15.0,255.0,6.0,1326055.0,25864.0,S. Korea,Asia,62.0,51269767.0,21.0,3916.0,181165.0,39.0
65,2020-07-06,13137.0,46.0,284.0,1.0,11848.0,1005.0,15.0,256.0,6.0,1331796.0,25976.0,S. Korea,Asia,62.0,51269887.0,16.0,3903.0,180528.0,38.0
66,2020-07-07,13181.0,44.0,285.0,1.0,11914.0,982.0,15.0,257.0,6.0,1346194.0,26257.0,S. Korea,Asia,63.0,51270007.0,66.0,3890.0,179895.0,38.0
67,2020-07-08,13244.0,63.0,285.0,-1.0,11970.0,989.0,15.0,258.0,6.0,1359735.0,26521.0,S. Korea,Asia,63.0,51270128.0,56.0,3871.0,179895.0,38.0
68,2020-07-09,13293.0,50.0,287.0,2.0,12019.0,987.0,15.0,259.0,6.0,1371771.0,26756.0,S. Korea,Asia,63.0,51270248.0,49.0,3857.0,178642.0,37.0
69,2020-07-10,13338.0,45.0,288.0,1.0,12065.0,985.0,15.0,260.0,6.0,1384890.0,27012.0,S. Korea,Asia,63.0,51270368.0,46.0,3844.0,178022.0,37.0
70,2020-07-11,13373.0,35.0,288.0,-1.0,12144.0,941.0,15.0,261.0,6.0,1396941.0,27246.0,S. Korea,Asia,63.0,51270488.0,79.0,3834.0,178023.0,37.0
