,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,15.0,-1.0,-1.0,-1.0,8.0,7.0,-1.0,282.0,-1.0,294.0,5526.0,Saint Kitts and Nevis,North America,,,0.0,,,
1,2020-05-03,15.0,-1.0,-1.0,-1.0,8.0,7.0,-1.0,282.0,-1.0,294.0,5526.0,Saint Kitts and Nevis,North America,,,0.0,,,
2,2020-05-04,15.0,-1.0,-1.0,-1.0,8.0,7.0,-1.0,282.0,-1.0,294.0,5526.0,Saint Kitts and Nevis,North America,,,0.0,,,
3,2020-05-05,15.0,-1.0,-1.0,-1.0,12.0,3.0,-1.0,282.0,-1.0,318.0,5978.0,Saint Kitts and Nevis,North America,,,0.0,,,
4,2020-05-06,15.0,-1.0,-1.0,-1.0,12.0,3.0,-1.0,282.0,-1.0,318.0,5978.0,Saint Kitts and Nevis,North America,,,0.0,,,
5,2020-05-07,15.0,-1.0,-1.0,-1.0,12.0,3.0,-1.0,282.0,-1.0,327.0,6147.0,Saint Kitts and Nevis,North America,,,0.0,,,
6,2020-05-08,15.0,-1.0,-1.0,-1.0,13.0,2.0,-1.0,282.0,-1.0,327.0,6147.0,Saint Kitts and Nevis,North America,,,0.0,,,
7,2020-05-09,15.0,-1.0,-1.0,-1.0,13.0,2.0,-1.0,282.0,-1.0,327.0,6147.0,Saint Kitts and Nevis,North America,,,0.0,,,
8,2020-05-10,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6147.0,Saint Kitts and Nevis,North America,,,0.0,,,
9,2020-05-11,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6147.0,Saint Kitts and Nevis,North America,,,0.0,,,
10,2020-05-12,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6147.0,Saint Kitts and Nevis,North America,,,0.0,,,
11,2020-05-13,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6147.0,Saint Kitts and Nevis,North America,,,0.0,,,
12,2020-05-14,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6147.0,Saint Kitts and Nevis,North America,,,0.0,,,
13,2020-05-15,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6152.0,Saint Kitts and Nevis,North America,197.0,53150.0,0.0,,,
14,2020-05-16,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6152.0,Saint Kitts and Nevis,North America,197.0,53151.0,0.0,,,
15,2020-05-17,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6152.0,Saint Kitts and Nevis,North America,197.0,53153.0,0.0,,,
16,2020-05-18,15.0,-1.0,-1.0,-1.0,14.0,1.0,-1.0,282.0,-1.0,327.0,6152.0,Saint Kitts and Nevis,North America,197.0,53154.0,0.0,,,
