,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,17.0,-1.0,-1.0,-1.0,15.0,2.0,-1.0,93.0,-1.0,446.0,2429.0,Saint Lucia,North America,,,0.0,,,
1,2020-05-03,17.0,-1.0,-1.0,-1.0,15.0,2.0,-1.0,93.0,-1.0,446.0,2429.0,Saint Lucia,North America,,,0.0,,,
2,2020-05-04,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,98.0,-1.0,446.0,2429.0,Saint Lucia,North America,,,0.0,,,
3,2020-05-05,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,98.0,-1.0,446.0,2429.0,Saint Lucia,North America,,,0.0,,,
4,2020-05-06,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,98.0,-1.0,446.0,2429.0,Saint Lucia,North America,,,0.0,,,
5,2020-05-07,18.0,-1.0,-1.0,-1.0,17.0,1.0,-1.0,98.0,-1.0,575.0,3131.0,Saint Lucia,North America,,,0.0,,,
6,2020-05-08,18.0,-1.0,-1.0,-1.0,17.0,1.0,-1.0,98.0,-1.0,620.0,3376.0,Saint Lucia,North America,,,0.0,,,
7,2020-05-09,18.0,-1.0,-1.0,-1.0,17.0,1.0,-1.0,98.0,-1.0,620.0,3376.0,Saint Lucia,North America,,,0.0,,,
8,2020-05-10,18.0,-1.0,-1.0,-1.0,17.0,1.0,-1.0,98.0,-1.0,620.0,3376.0,Saint Lucia,North America,,,0.0,,,
9,2020-05-11,18.0,-1.0,-1.0,-1.0,17.0,1.0,-1.0,98.0,-1.0,620.0,3376.0,Saint Lucia,North America,,,0.0,,,
10,2020-05-12,18.0,-1.0,-1.0,-1.0,17.0,1.0,-1.0,98.0,-1.0,620.0,3376.0,Saint Lucia,North America,,,0.0,,,
11,2020-05-13,18.0,-1.0,-1.0,-1.0,17.0,1.0,-1.0,98.0,-1.0,620.0,3376.0,Saint Lucia,North America,,,0.0,,,
12,2020-05-14,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,727.0,3959.0,Saint Lucia,North America,,,0.0,,,
13,2020-05-15,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,727.0,3961.0,Saint Lucia,North America,191.0,183520.0,0.0,,,
14,2020-05-16,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,727.0,3961.0,Saint Lucia,North America,191.0,183522.0,0.0,,,
15,2020-05-17,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,786.0,4283.0,Saint Lucia,North America,192.0,183524.0,0.0,,,
16,2020-05-18,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,786.0,4283.0,Saint Lucia,North America,192.0,183527.0,0.0,,,
17,2020-05-19,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,786.0,4283.0,Saint Lucia,North America,192.0,183529.0,0.0,,,
18,2020-05-20,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,786.0,4283.0,Saint Lucia,North America,193.0,183531.0,0.0,,,
19,2020-05-21,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,786.0,4283.0,Saint Lucia,North America,194.0,183534.0,0.0,,,
20,2020-05-22,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,867.0,4724.0,Saint Lucia,North America,194.0,183536.0,0.0,,,
21,2020-05-23,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,867.0,4724.0,Saint Lucia,North America,194.0,183538.0,0.0,,,
22,2020-05-24,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,898.0,4893.0,Saint Lucia,North America,194.0,183540.0,0.0,,,
23,2020-05-25,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,898.0,4893.0,Saint Lucia,North America,195.0,183543.0,0.0,,,
24,2020-05-26,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,898.0,4893.0,Saint Lucia,North America,195.0,183545.0,0.0,,,
25,2020-05-27,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,965.0,5257.0,Saint Lucia,North America,195.0,183550.0,0.0,,,
26,2020-05-28,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,965.0,5257.0,Saint Lucia,North America,196.0,183550.0,0.0,,,
27,2020-05-29,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,1012.0,5513.0,Saint Lucia,North America,196.0,183552.0,0.0,,,
28,2020-05-30,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,1012.0,5513.0,Saint Lucia,North America,196.0,183554.0,0.0,,,
29,2020-05-31,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,1012.0,5513.0,Saint Lucia,North America,196.0,183556.0,0.0,,,
30,2020-06-01,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,1012.0,5513.0,Saint Lucia,North America,197.0,183559.0,0.0,,,
31,2020-06-02,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,1012.0,5513.0,Saint Lucia,North America,198.0,183561.0,-1.0,10198.0,-1.0,181.0
32,2020-06-03,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,1012.0,5513.0,Saint Lucia,North America,198.0,183563.0,-1.0,10198.0,-1.0,181.0
33,2020-06-04,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,98.0,-1.0,1113.0,6063.0,Saint Lucia,North America,198.0,183566.0,-1.0,10198.0,-1.0,165.0
34,2020-06-05,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,104.0,-1.0,1204.0,6559.0,Saint Lucia,North America,195.0,183568.0,-1.0,9661.0,-1.0,152.0
35,2020-06-06,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,104.0,-1.0,1204.0,6559.0,Saint Lucia,North America,196.0,183570.0,-1.0,9662.0,-1.0,152.0
36,2020-06-07,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,104.0,-1.0,1204.0,6559.0,Saint Lucia,North America,196.0,183572.0,-1.0,9662.0,-1.0,152.0
37,2020-06-08,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,103.0,-1.0,1204.0,6559.0,Saint Lucia,North America,196.0,183575.0,-1.0,9662.0,-1.0,152.0
38,2020-06-09,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,103.0,-1.0,1204.0,6559.0,Saint Lucia,North America,196.0,183577.0,-1.0,9662.0,-1.0,152.0
