,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,38.0,-1.0,3.0,-1.0,27.0,8.0,3.0,983.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
1,2020-05-03,38.0,-1.0,3.0,-1.0,27.0,8.0,3.0,983.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
2,2020-05-04,38.0,-1.0,3.0,-1.0,29.0,6.0,1.0,983.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
3,2020-05-05,38.0,-1.0,3.0,-1.0,29.0,6.0,1.0,983.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
4,2020-05-06,38.0,-1.0,3.0,-1.0,29.0,6.0,1.0,983.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
5,2020-05-07,38.0,-1.0,3.0,-1.0,30.0,5.0,1.0,983.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
6,2020-05-08,38.0,-1.0,3.0,-1.0,30.0,5.0,1.0,983.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
7,2020-05-09,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1009.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
8,2020-05-10,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1009.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
9,2020-05-11,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1009.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
10,2020-05-12,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1009.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
11,2020-05-13,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1009.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
12,2020-05-14,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1009.0,78.0,-1.0,-1.0,Saint Martin,North America,,,0.0,,,
13,2020-05-15,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1011.0,78.0,-1.0,-1.0,Saint Martin,North America,176.0,38577.0,0.0,,,
14,2020-05-16,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1011.0,78.0,-1.0,-1.0,Saint Martin,North America,178.0,38579.0,0.0,,,
15,2020-05-17,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1011.0,78.0,-1.0,-1.0,Saint Martin,North America,178.0,38581.0,0.0,,,
16,2020-05-18,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1011.0,78.0,-1.0,-1.0,Saint Martin,North America,179.0,38583.0,0.0,,,
17,2020-05-19,39.0,-1.0,3.0,-1.0,30.0,6.0,1.0,1011.0,78.0,-1.0,-1.0,Saint Martin,North America,179.0,38585.0,0.0,,,
18,2020-05-20,40.0,1.0,3.0,-1.0,33.0,4.0,1.0,1037.0,78.0,-1.0,-1.0,Saint Martin,North America,180.0,38586.0,0.0,,,
19,2020-05-21,40.0,-1.0,3.0,-1.0,33.0,4.0,1.0,1037.0,78.0,-1.0,-1.0,Saint Martin,North America,180.0,38588.0,0.0,,,
20,2020-05-22,40.0,-1.0,3.0,-1.0,33.0,4.0,1.0,1037.0,78.0,-1.0,-1.0,Saint Martin,North America,181.0,38590.0,0.0,,,
21,2020-05-23,40.0,-1.0,3.0,-1.0,33.0,4.0,1.0,1036.0,78.0,-1.0,-1.0,Saint Martin,North America,181.0,38592.0,0.0,,,
22,2020-05-24,40.0,-1.0,3.0,-1.0,33.0,4.0,1.0,1036.0,78.0,553.0,14329.0,Saint Martin,North America,181.0,38594.0,0.0,,,
23,2020-05-25,40.0,-1.0,3.0,-1.0,33.0,4.0,1.0,1036.0,78.0,553.0,14328.0,Saint Martin,North America,181.0,38595.0,0.0,,,
