,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,580.0,-1.0,41.0,-1.0,83.0,456.0,5.0,17094.0,1208.0,2397.0,70643.0,San Marino,Europe,,,0.0,,,
1,2020-05-03,582.0,2.0,41.0,-1.0,86.0,455.0,5.0,17152.0,1208.0,2451.0,72235.0,San Marino,Europe,,,0.0,,,
2,2020-05-04,582.0,-1.0,41.0,-1.0,86.0,455.0,5.0,17152.0,1208.0,2457.0,72412.0,San Marino,Europe,,,0.0,,,
3,2020-05-05,589.0,-1.0,41.0,-1.0,92.0,456.0,5.0,17359.0,1208.0,2538.0,74799.0,San Marino,Europe,,,0.0,,,
4,2020-05-06,608.0,19.0,41.0,-1.0,97.0,470.0,4.0,17919.0,1208.0,2660.0,78394.0,San Marino,Europe,,,0.0,,,
5,2020-05-07,622.0,14.0,41.0,-1.0,106.0,475.0,4.0,18331.0,1208.0,2777.0,81843.0,San Marino,Europe,,,0.0,,,
6,2020-05-08,623.0,-1.0,41.0,-1.0,114.0,468.0,4.0,18361.0,1208.0,2860.0,84289.0,San Marino,Europe,,,0.0,,,
7,2020-05-09,637.0,-1.0,41.0,-1.0,126.0,470.0,3.0,18773.0,1208.0,2956.0,87118.0,San Marino,Europe,,,0.0,,,
8,2020-05-10,628.0,-1.0,41.0,-1.0,126.0,461.0,3.0,18508.0,1208.0,2956.0,87118.0,San Marino,Europe,,,0.0,,,
9,2020-05-11,628.0,-1.0,41.0,-1.0,130.0,457.0,2.0,18508.0,1208.0,2985.0,87973.0,San Marino,Europe,,,0.0,,,
10,2020-05-12,638.0,10.0,41.0,-1.0,161.0,436.0,2.0,18803.0,1208.0,3121.0,91981.0,San Marino,Europe,,,0.0,,,
11,2020-05-13,643.0,5.0,41.0,-1.0,161.0,441.0,2.0,18950.0,1208.0,3201.0,94339.0,San Marino,Europe,,,0.0,,,
12,2020-05-14,648.0,5.0,41.0,-1.0,172.0,435.0,1.0,19098.0,1208.0,3300.0,97256.0,San Marino,Europe,,,0.0,,,
13,2020-05-15,652.0,4.0,41.0,-1.0,189.0,422.0,1.0,19221.0,1209.0,3394.0,100053.0,San Marino,Europe,117.0,33922.0,0.0,,,
14,2020-05-16,653.0,1.0,41.0,-1.0,198.0,414.0,1.0,19250.0,1209.0,3460.0,101999.0,San Marino,Europe,117.0,33922.0,0.0,,,
15,2020-05-17,654.0,1.0,41.0,-1.0,201.0,412.0,1.0,19280.0,1209.0,3499.0,103148.0,San Marino,Europe,117.0,33922.0,0.0,,,
16,2020-05-18,654.0,-1.0,41.0,-1.0,201.0,412.0,1.0,19279.0,1209.0,3499.0,103145.0,San Marino,Europe,118.0,33923.0,0.0,,,
17,2020-05-19,655.0,1.0,41.0,-1.0,211.0,403.0,1.0,19308.0,1209.0,3610.0,106417.0,San Marino,Europe,118.0,33923.0,0.0,,,
18,2020-05-20,656.0,1.0,41.0,-1.0,220.0,395.0,1.0,19338.0,1209.0,3700.0,109071.0,San Marino,Europe,120.0,33923.0,0.0,,,
19,2020-05-21,658.0,2.0,41.0,-1.0,235.0,382.0,1.0,19397.0,1209.0,3779.0,111399.0,San Marino,Europe,121.0,33923.0,0.0,,,
20,2020-05-22,661.0,3.0,41.0,-1.0,254.0,366.0,1.0,19485.0,1209.0,3873.0,114170.0,San Marino,Europe,121.0,33923.0,0.0,,,
21,2020-05-23,665.0,4.0,42.0,1.0,266.0,357.0,1.0,19603.0,1238.0,3968.0,116967.0,San Marino,Europe,121.0,33924.0,0.0,,,
22,2020-05-24,665.0,-1.0,42.0,-1.0,266.0,357.0,1.0,19603.0,1238.0,3968.0,116967.0,San Marino,Europe,123.0,33924.0,0.0,,,
23,2020-05-25,666.0,1.0,42.0,-1.0,270.0,354.0,1.0,19632.0,1238.0,3996.0,117793.0,San Marino,Europe,124.0,33924.0,0.0,,,
24,2020-05-26,666.0,-1.0,42.0,-1.0,275.0,349.0,-1.0,19632.0,1238.0,4079.0,120239.0,San Marino,Europe,127.0,33924.0,0.0,,,
25,2020-05-27,667.0,-1.0,42.0,-1.0,294.0,331.0,-1.0,19661.0,1238.0,4079.0,120236.0,San Marino,Europe,128.0,33925.0,0.0,,,
26,2020-05-28,670.0,3.0,42.0,-1.0,322.0,306.0,1.0,19749.0,1238.0,4303.0,126839.0,San Marino,Europe,128.0,33925.0,0.0,,,
