,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,16.0,-1.0,1.0,-1.0,4.0,11.0,-1.0,73.0,5.0,19.0,87.0,Sao Tome and Principe,Africa,,,0.0,,,
1,2020-05-03,16.0,-1.0,1.0,-1.0,4.0,11.0,-1.0,73.0,5.0,19.0,87.0,Sao Tome and Principe,Africa,,,0.0,,,
2,2020-05-04,23.0,7.0,3.0,2.0,4.0,16.0,-1.0,105.0,14.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
3,2020-05-05,174.0,-1.0,3.0,-1.0,4.0,167.0,-1.0,794.0,14.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
4,2020-05-06,174.0,-1.0,3.0,-1.0,4.0,167.0,-1.0,794.0,14.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
5,2020-05-07,187.0,13.0,4.0,1.0,4.0,179.0,-1.0,853.0,18.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
6,2020-05-08,208.0,-1.0,5.0,-1.0,4.0,199.0,-1.0,949.0,23.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
7,2020-05-09,208.0,-1.0,5.0,-1.0,4.0,199.0,-1.0,949.0,23.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
8,2020-05-10,208.0,-1.0,5.0,-1.0,4.0,199.0,-1.0,949.0,23.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
9,2020-05-11,208.0,-1.0,5.0,-1.0,4.0,199.0,-1.0,949.0,23.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
10,2020-05-12,208.0,-1.0,5.0,-1.0,4.0,199.0,-1.0,949.0,23.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
11,2020-05-13,220.0,12.0,6.0,1.0,4.0,210.0,-1.0,1004.0,27.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
12,2020-05-14,220.0,-1.0,6.0,-1.0,4.0,210.0,-1.0,1004.0,27.0,175.0,799.0,Sao Tome and Principe,Africa,,,0.0,,,
13,2020-05-15,235.0,-1.0,7.0,-1.0,4.0,224.0,-1.0,1075.0,32.0,175.0,801.0,Sao Tome and Principe,Africa,142.0,218608.0,0.0,,,
14,2020-05-16,235.0,-1.0,7.0,-1.0,4.0,224.0,-1.0,1075.0,32.0,175.0,800.0,Sao Tome and Principe,Africa,145.0,218619.0,0.0,,,
15,2020-05-17,235.0,-1.0,7.0,-1.0,4.0,224.0,-1.0,1075.0,32.0,175.0,800.0,Sao Tome and Principe,Africa,145.0,218630.0,0.0,,,
16,2020-05-18,235.0,-1.0,7.0,-1.0,4.0,224.0,-1.0,1075.0,32.0,175.0,800.0,Sao Tome and Principe,Africa,146.0,218642.0,0.0,,,
17,2020-05-19,246.0,-1.0,7.0,-1.0,4.0,235.0,-1.0,1125.0,32.0,175.0,800.0,Sao Tome and Principe,Africa,146.0,218653.0,0.0,,,
18,2020-05-20,251.0,-1.0,8.0,-1.0,4.0,239.0,-1.0,1148.0,37.0,175.0,800.0,Sao Tome and Principe,Africa,146.0,218664.0,0.0,,,
19,2020-05-21,251.0,-1.0,8.0,-1.0,4.0,239.0,-1.0,1148.0,37.0,175.0,800.0,Sao Tome and Principe,Africa,145.0,218675.0,0.0,,,
20,2020-05-22,251.0,-1.0,8.0,-1.0,4.0,239.0,-1.0,1148.0,37.0,175.0,800.0,Sao Tome and Principe,Africa,145.0,218686.0,0.0,,,
21,2020-05-23,251.0,-1.0,8.0,-1.0,4.0,239.0,-1.0,1148.0,37.0,175.0,800.0,Sao Tome and Principe,Africa,147.0,218697.0,0.0,,,
22,2020-05-24,251.0,-1.0,8.0,-1.0,4.0,239.0,-1.0,1148.0,37.0,175.0,800.0,Sao Tome and Principe,Africa,147.0,218708.0,0.0,,,
23,2020-05-25,299.0,48.0,11.0,3.0,4.0,284.0,-1.0,1367.0,50.0,175.0,800.0,Sao Tome and Principe,Africa,145.0,218720.0,0.0,,,
24,2020-05-26,299.0,-1.0,11.0,-1.0,4.0,284.0,-1.0,1367.0,50.0,175.0,800.0,Sao Tome and Principe,Africa,145.0,218731.0,0.0,,,
25,2020-05-27,443.0,-1.0,12.0,-1.0,68.0,363.0,-1.0,2025.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,136.0,218753.0,0.0,,,
26,2020-05-28,458.0,15.0,12.0,-1.0,68.0,378.0,-1.0,2094.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,136.0,218753.0,0.0,,,
27,2020-05-29,458.0,-1.0,12.0,-1.0,68.0,378.0,-1.0,2094.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,136.0,218764.0,0.0,,,
28,2020-05-30,479.0,16.0,12.0,-1.0,68.0,399.0,-1.0,2189.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,136.0,218775.0,0.0,,,
29,2020-05-31,483.0,4.0,12.0,-1.0,68.0,403.0,-1.0,2208.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,136.0,218786.0,0.0,,,
30,2020-06-01,483.0,-1.0,12.0,-1.0,68.0,403.0,-1.0,2208.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,137.0,218798.0,0.0,,,
31,2020-06-02,484.0,-1.0,12.0,-1.0,68.0,404.0,-1.0,2212.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,138.0,218809.0,-1.0,452.0,18234.0,1.0
32,2020-06-03,484.0,-1.0,12.0,-1.0,68.0,404.0,-1.0,2212.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,138.0,218820.0,-1.0,452.0,18235.0,1.0
33,2020-06-04,485.0,1.0,12.0,-1.0,68.0,405.0,-1.0,2216.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,139.0,218831.0,-1.0,451.0,18236.0,1.0
34,2020-06-05,499.0,14.0,12.0,-1.0,68.0,419.0,-1.0,2280.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,139.0,218842.0,-1.0,439.0,18237.0,1.0
35,2020-06-06,499.0,-1.0,12.0,-1.0,68.0,419.0,-1.0,2280.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,139.0,218853.0,-1.0,439.0,18238.0,1.0
36,2020-06-07,513.0,14.0,12.0,-1.0,68.0,433.0,-1.0,2344.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,138.0,218864.0,-1.0,427.0,18239.0,1.0
37,2020-06-08,513.0,-1.0,12.0,-1.0,68.0,433.0,-1.0,2344.0,55.0,175.0,800.0,Sao Tome and Principe,Africa,138.0,218875.0,-1.0,427.0,18240.0,1.0
38,2020-06-09,514.0,1.0,12.0,-1.0,76.0,426.0,-1.0,2348.0,55.0,1095.0,5003.0,Sao Tome and Principe,Africa,139.0,218887.0,8.0,426.0,18241.0,200.0
39,2020-06-10,611.0,97.0,12.0,-1.0,135.0,464.0,-1.0,2791.0,55.0,1095.0,5002.0,Sao Tome and Principe,Africa,136.0,218898.0,59.0,358.0,18242.0,200.0
40,2020-06-11,632.0,21.0,12.0,-1.0,146.0,474.0,-1.0,2887.0,55.0,1278.0,5838.0,Sao Tome and Principe,Africa,136.0,218909.0,11.0,346.0,18242.0,171.0
41,2020-06-12,639.0,7.0,12.0,-1.0,156.0,471.0,-1.0,2919.0,55.0,1354.0,6185.0,Sao Tome and Principe,Africa,136.0,218920.0,10.0,343.0,18243.0,162.0
42,2020-06-13,659.0,20.0,12.0,-1.0,176.0,471.0,-1.0,3010.0,55.0,1453.0,6637.0,Sao Tome and Principe,Africa,136.0,218931.0,20.0,332.0,18244.0,151.0
43,2020-06-14,659.0,-1.0,12.0,-1.0,176.0,471.0,-1.0,3010.0,55.0,1453.0,6636.0,Sao Tome and Principe,Africa,136.0,218942.0,-1.0,332.0,18245.0,151.0
