,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,25459.0,1362.0,176.0,7.0,3765.0,21518.0,139.0,731.0,5.0,339775.0,9760.0,Saudi Arabia,Asia,,,0.0,,,
1,2020-05-03,27011.0,1552.0,184.0,8.0,4134.0,22693.0,139.0,776.0,5.0,352555.0,10127.0,Saudi Arabia,Asia,,,0.0,,,
2,2020-05-04,28656.0,1645.0,191.0,7.0,4476.0,23989.0,143.0,823.0,5.0,365093.0,10487.0,Saudi Arabia,Asia,,,0.0,,,
3,2020-05-05,30251.0,-1.0,200.0,-1.0,5431.0,24620.0,143.0,869.0,6.0,376607.0,10818.0,Saudi Arabia,Asia,,,0.0,,,
4,2020-05-06,31938.0,1687.0,209.0,9.0,6783.0,24946.0,143.0,917.0,6.0,389659.0,11193.0,Saudi Arabia,Asia,,,0.0,,,
5,2020-05-07,33731.0,1793.0,219.0,10.0,7798.0,25714.0,145.0,969.0,6.0,405685.0,11653.0,Saudi Arabia,Asia,,,0.0,,,
6,2020-05-08,35432.0,-1.0,229.0,-1.0,9120.0,26083.0,141.0,1018.0,7.0,418722.0,12027.0,Saudi Arabia,Asia,,,0.0,,,
7,2020-05-09,37136.0,-1.0,239.0,-1.0,10144.0,26753.0,140.0,1067.0,7.0,433500.0,12452.0,Saudi Arabia,Asia,,,0.0,,,
8,2020-05-10,39048.0,1912.0,246.0,7.0,11457.0,27345.0,140.0,1122.0,7.0,449644.0,12916.0,Saudi Arabia,Asia,,,0.0,,,
9,2020-05-11,41014.0,1966.0,255.0,9.0,12737.0,28022.0,143.0,1178.0,7.0,467369.0,13425.0,Saudi Arabia,Asia,,,0.0,,,
10,2020-05-12,42925.0,1911.0,264.0,9.0,15257.0,27404.0,147.0,1233.0,8.0,482374.0,13856.0,Saudi Arabia,Asia,,,0.0,,,
11,2020-05-13,44830.0,1905.0,273.0,9.0,17622.0,26935.0,147.0,1288.0,8.0,496948.0,14274.0,Saudi Arabia,Asia,,,0.0,,,
12,2020-05-14,46869.0,2039.0,283.0,10.0,19051.0,27535.0,156.0,1346.0,8.0,513587.0,14752.0,Saudi Arabia,Asia,,,0.0,,,
13,2020-05-15,49176.0,2307.0,292.0,9.0,21869.0,27015.0,167.0,1415.0,8.0,530265.0,15263.0,Saudi Arabia,Asia,15.0,34741400.0,0.0,,,
14,2020-05-16,52016.0,2840.0,302.0,10.0,23666.0,28048.0,166.0,1497.0,9.0,548023.0,15774.0,Saudi Arabia,Asia,15.0,34742883.0,0.0,,,
15,2020-05-17,54752.0,2736.0,312.0,10.0,25722.0,28718.0,202.0,1576.0,9.0,586405.0,16878.0,Saudi Arabia,Asia,15.0,34744365.0,0.0,,,
16,2020-05-18,57345.0,2593.0,320.0,8.0,28748.0,28277.0,237.0,1650.0,9.0,601954.0,17324.0,Saudi Arabia,Asia,14.0,34745848.0,0.0,,,
17,2020-05-19,59854.0,2509.0,329.0,9.0,31634.0,27891.0,237.0,1723.0,9.0,618084.0,17788.0,Saudi Arabia,Asia,14.0,34747330.0,0.0,,,
18,2020-05-20,62545.0,2691.0,339.0,10.0,33478.0,28728.0,276.0,1800.0,10.0,636178.0,18308.0,Saudi Arabia,Asia,14.0,34748812.0,0.0,,,
19,2020-05-21,65077.0,2532.0,351.0,12.0,36040.0,28686.0,281.0,1873.0,10.0,651158.0,18738.0,Saudi Arabia,Asia,14.0,34750295.0,0.0,,,
20,2020-05-22,67719.0,2642.0,364.0,13.0,39003.0,28352.0,302.0,1949.0,10.0,667057.0,19195.0,Saudi Arabia,Asia,14.0,34751777.0,0.0,,,
21,2020-05-23,70161.0,2442.0,379.0,15.0,41236.0,28546.0,302.0,2019.0,11.0,684615.0,19699.0,Saudi Arabia,Asia,14.0,34753259.0,0.0,,,
22,2020-05-24,72560.0,2399.0,390.0,11.0,43520.0,28650.0,339.0,2088.0,11.0,703534.0,20243.0,Saudi Arabia,Asia,14.0,34754742.0,0.0,,,
23,2020-05-25,74795.0,2235.0,399.0,9.0,45668.0,28728.0,372.0,2152.0,11.0,722079.0,20776.0,Saudi Arabia,Asia,14.0,34756224.0,0.0,,,
24,2020-05-26,76726.0,1931.0,411.0,12.0,48450.0,27865.0,384.0,2207.0,12.0,738743.0,21254.0,Saudi Arabia,Asia,15.0,34757706.0,0.0,,,
25,2020-05-27,78541.0,-1.0,425.0,-1.0,51022.0,27094.0,384.0,2259.0,12.0,754268.0,21699.0,Saudi Arabia,Asia,15.0,34760671.0,0.0,,,
26,2020-05-28,80185.0,1644.0,441.0,16.0,54553.0,25191.0,384.0,2307.0,13.0,770696.0,22171.0,Saudi Arabia,Asia,15.0,34760671.0,0.0,,,
