,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1115.0,91.0,9.0,-1.0,368.0,738.0,1.0,67.0,0.5,466.0,28.0,Senegal,Africa,,,0.0,,,
1,2020-05-03,1182.0,67.0,9.0,-1.0,372.0,801.0,4.0,71.0,0.5,466.0,28.0,Senegal,Africa,,,0.0,,,
2,2020-05-04,1271.0,89.0,10.0,1.0,415.0,846.0,6.0,76.0,0.6,17787.0,1062.0,Senegal,Africa,,,0.0,,,
3,2020-05-05,1329.0,-1.0,11.0,-1.0,470.0,848.0,6.0,79.0,0.7,17787.0,1062.0,Senegal,Africa,,,0.0,,,
4,2020-05-06,1433.0,104.0,12.0,1.0,493.0,928.0,6.0,86.0,0.7,18969.0,1133.0,Senegal,Africa,,,0.0,,,
5,2020-05-07,1492.0,59.0,13.0,1.0,562.0,917.0,6.0,89.0,0.8,18969.0,1133.0,Senegal,Africa,,,0.0,,,
6,2020-05-08,1551.0,-1.0,13.0,-1.0,611.0,927.0,6.0,93.0,0.8,18969.0,1133.0,Senegal,Africa,,,0.0,,,
7,2020-05-09,1634.0,-1.0,17.0,-1.0,643.0,974.0,6.0,98.0,1.0,18969.0,1133.0,Senegal,Africa,,,0.0,,,
8,2020-05-10,1709.0,75.0,18.0,1.0,650.0,1041.0,6.0,102.0,1.0,18969.0,1133.0,Senegal,Africa,,,0.0,,,
9,2020-05-11,1886.0,177.0,19.0,-1.0,715.0,1152.0,6.0,113.0,1.0,18969.0,1133.0,Senegal,Africa,,,0.0,,,
10,2020-05-12,1995.0,109.0,19.0,-1.0,742.0,1234.0,6.0,119.0,1.0,18969.0,1133.0,Senegal,Africa,,,0.0,,,
11,2020-05-13,2105.0,110.0,21.0,2.0,782.0,1302.0,6.0,126.0,1.0,24599.0,1469.0,Senegal,Africa,,,0.0,,,
12,2020-05-14,2189.0,84.0,23.0,2.0,842.0,1324.0,6.0,131.0,1.0,24599.0,1469.0,Senegal,Africa,,,0.0,,,
13,2020-05-15,2310.0,121.0,25.0,2.0,890.0,1395.0,6.0,138.0,1.0,24599.0,1475.0,Senegal,Africa,74.0,16682261.0,0.0,,,
14,2020-05-16,2429.0,119.0,25.0,-1.0,949.0,1455.0,6.0,146.0,1.0,24599.0,1474.0,Senegal,Africa,74.0,16683471.0,0.0,,,
15,2020-05-17,2480.0,51.0,25.0,-1.0,973.0,1482.0,6.0,149.0,1.0,24599.0,1474.0,Senegal,Africa,74.0,16684681.0,0.0,,,
16,2020-05-18,2544.0,64.0,26.0,1.0,1076.0,1442.0,6.0,152.0,2.0,24599.0,1474.0,Senegal,Africa,75.0,16685890.0,0.0,,,
17,2020-05-19,2617.0,73.0,30.0,4.0,1133.0,1454.0,6.0,157.0,2.0,24599.0,1474.0,Senegal,Africa,74.0,16687100.0,0.0,,,
18,2020-05-20,2714.0,97.0,30.0,-1.0,1186.0,1498.0,6.0,163.0,2.0,24599.0,1474.0,Senegal,Africa,75.0,16688310.0,0.0,,,
19,2020-05-21,2812.0,98.0,32.0,2.0,1251.0,1529.0,6.0,168.0,2.0,24599.0,1474.0,Senegal,Africa,75.0,16689519.0,0.0,,,
20,2020-05-22,2909.0,97.0,33.0,-1.0,1311.0,1565.0,6.0,174.0,2.0,32883.0,1970.0,Senegal,Africa,74.0,16690729.0,0.0,,,
21,2020-05-23,2976.0,67.0,34.0,1.0,1416.0,1526.0,6.0,178.0,2.0,34082.0,2042.0,Senegal,Africa,74.0,16691939.0,0.0,,,
22,2020-05-24,3047.0,71.0,35.0,1.0,1456.0,1556.0,12.0,183.0,2.0,35016.0,2098.0,Senegal,Africa,74.0,16693148.0,0.0,,,
23,2020-05-25,3130.0,83.0,35.0,-1.0,1515.0,1580.0,12.0,187.0,2.0,35016.0,2097.0,Senegal,Africa,74.0,16694358.0,0.0,,,
24,2020-05-26,3161.0,31.0,36.0,1.0,1565.0,1560.0,18.0,189.0,2.0,35016.0,2097.0,Senegal,Africa,75.0,16695568.0,0.0,,,
25,2020-05-27,3253.0,-1.0,38.0,-1.0,1586.0,1629.0,18.0,195.0,2.0,37547.0,2249.0,Senegal,Africa,75.0,16697987.0,0.0,,,
26,2020-05-28,3348.0,95.0,39.0,1.0,1686.0,1623.0,18.0,201.0,2.0,38508.0,2306.0,Senegal,Africa,75.0,16697987.0,0.0,,,
27,2020-05-29,3429.0,81.0,41.0,2.0,1738.0,1650.0,18.0,205.0,2.0,39499.0,2365.0,Senegal,Africa,75.0,16699197.0,0.0,,,
28,2020-05-30,3535.0,106.0,42.0,1.0,1761.0,1732.0,14.0,212.0,3.0,40735.0,2439.0,Senegal,Africa,75.0,16700407.0,0.0,,,
29,2020-05-31,3645.0,110.0,42.0,-1.0,1801.0,1802.0,14.0,218.0,3.0,42105.0,2521.0,Senegal,Africa,74.0,16701616.0,0.0,,,
30,2020-06-01,3739.0,94.0,42.0,-1.0,1858.0,1839.0,14.0,224.0,3.0,43129.0,2582.0,Senegal,Africa,73.0,16702826.0,0.0,,,
31,2020-06-02,3836.0,97.0,43.0,1.0,1954.0,1839.0,14.0,230.0,3.0,44949.0,2691.0,Senegal,Africa,74.0,16704036.0,96.0,4355.0,388466.0,372.0
32,2020-06-03,3932.0,96.0,45.0,2.0,2063.0,1824.0,17.0,235.0,3.0,46288.0,2771.0,Senegal,Africa,74.0,16705246.0,109.0,4249.0,371228.0,361.0
33,2020-06-04,4021.0,89.0,45.0,-1.0,2162.0,1814.0,16.0,241.0,3.0,46288.0,2771.0,Senegal,Africa,73.0,16706455.0,99.0,4155.0,371255.0,361.0
34,2020-06-05,4155.0,134.0,45.0,-1.0,2276.0,1834.0,15.0,249.0,3.0,49180.0,2944.0,Senegal,Africa,71.0,16707665.0,114.0,4021.0,371281.0,340.0
35,2020-06-06,4249.0,94.0,47.0,2.0,2512.0,1690.0,15.0,254.0,3.0,49180.0,2943.0,Senegal,Africa,71.0,16708875.0,236.0,3932.0,355508.0,340.0
36,2020-06-07,4328.0,79.0,49.0,2.0,2588.0,1691.0,15.0,259.0,3.0,49180.0,2943.0,Senegal,Africa,72.0,16710084.0,76.0,3861.0,341022.0,340.0
37,2020-06-08,4427.0,99.0,49.0,-1.0,2699.0,1679.0,14.0,265.0,3.0,49180.0,2943.0,Senegal,Africa,72.0,16711294.0,111.0,3775.0,341047.0,340.0
38,2020-06-09,4516.0,89.0,52.0,3.0,2809.0,1655.0,14.0,270.0,3.0,54232.0,3245.0,Senegal,Africa,72.0,16712504.0,110.0,3701.0,321394.0,308.0
39,2020-06-10,4640.0,124.0,52.0,-1.0,2885.0,1703.0,18.0,278.0,3.0,55634.0,3329.0,Senegal,Africa,71.0,16713714.0,76.0,3602.0,321418.0,300.0
40,2020-06-11,4759.0,119.0,55.0,3.0,2994.0,1710.0,20.0,285.0,3.0,55634.0,3328.0,Senegal,Africa,71.0,16714923.0,109.0,3512.0,303908.0,300.0
41,2020-06-12,4851.0,92.0,56.0,1.0,3100.0,1695.0,23.0,290.0,3.0,58003.0,3470.0,Senegal,Africa,73.0,16716133.0,106.0,3446.0,298502.0,288.0
42,2020-06-13,4996.0,145.0,60.0,4.0,3228.0,1708.0,23.0,299.0,4.0,59008.0,3530.0,Senegal,Africa,71.0,16717343.0,128.0,3346.0,278622.0,283.0
43,2020-06-14,5090.0,94.0,60.0,-1.0,3344.0,1686.0,23.0,304.0,4.0,59008.0,3529.0,Senegal,Africa,71.0,16718552.0,116.0,3285.0,278643.0,283.0
44,2020-06-15,5173.0,83.0,64.0,4.0,3424.0,1685.0,22.0,309.0,4.0,61609.0,3685.0,Senegal,Africa,73.0,16719762.0,80.0,3232.0,261246.0,271.0
45,2020-06-16,5247.0,74.0,70.0,6.0,3525.0,1652.0,22.0,314.0,4.0,61609.0,3685.0,Senegal,Africa,73.0,16720972.0,101.0,3187.0,238871.0,271.0
46,2020-06-17,5369.0,122.0,73.0,3.0,3606.0,1690.0,16.0,321.0,4.0,63862.0,3819.0,Senegal,Africa,73.0,16722182.0,81.0,3115.0,229071.0,262.0
47,2020-06-18,5475.0,106.0,76.0,3.0,3716.0,1683.0,16.0,327.0,5.0,63862.0,3819.0,Senegal,Africa,73.0,16723391.0,110.0,3055.0,220045.0,262.0
48,2020-06-19,5639.0,164.0,79.0,3.0,3788.0,1772.0,17.0,337.0,5.0,66238.0,3961.0,Senegal,Africa,73.0,16724601.0,72.0,2966.0,211704.0,252.0
49,2020-06-20,5783.0,144.0,82.0,3.0,3859.0,1842.0,16.0,346.0,5.0,67855.0,4057.0,Senegal,Africa,73.0,16727020.0,71.0,2892.0,203988.0,247.0
50,2020-06-21,5888.0,105.0,84.0,2.0,3919.0,1885.0,16.0,352.0,5.0,67855.0,4057.0,Senegal,Africa,73.0,16727020.0,60.0,2841.0,199131.0,247.0
51,2020-06-22,5970.0,82.0,86.0,2.0,3953.0,1931.0,21.0,357.0,5.0,70080.0,4189.0,Senegal,Africa,73.0,16728230.0,34.0,2802.0,194514.0,239.0
52,2020-06-23,6034.0,64.0,89.0,3.0,4046.0,1899.0,23.0,361.0,5.0,70080.0,4189.0,Senegal,Africa,73.0,16729440.0,93.0,2773.0,187971.0,239.0
53,2020-06-24,6129.0,95.0,93.0,4.0,4072.0,1964.0,24.0,366.0,6.0,72112.0,4310.0,Senegal,Africa,74.0,16730649.0,26.0,2730.0,179899.0,232.0
54,2020-06-25,6233.0,104.0,94.0,1.0,4162.0,1977.0,24.0,373.0,6.0,73097.0,4369.0,Senegal,Africa,74.0,16731859.0,90.0,2684.0,177999.0,229.0
55,2020-06-26,6354.0,121.0,98.0,4.0,4193.0,2063.0,27.0,380.0,6.0,75294.0,4500.0,Senegal,Africa,74.0,16733069.0,31.0,2633.0,170746.0,222.0
56,2020-06-27,6459.0,105.0,102.0,4.0,4255.0,2102.0,26.0,386.0,6.0,76303.0,4560.0,Senegal,Africa,74.0,16734279.0,62.0,2591.0,164062.0,219.0
57,2020-06-28,6586.0,127.0,105.0,3.0,4291.0,2190.0,27.0,394.0,6.0,77482.0,4630.0,Senegal,Africa,74.0,16735488.0,36.0,2541.0,159386.0,216.0
58,2020-06-29,6698.0,112.0,108.0,3.0,4341.0,2249.0,27.0,400.0,6.0,78438.0,4687.0,Senegal,Africa,74.0,16736698.0,50.0,2499.0,154969.0,213.0
59,2020-06-30,6793.0,95.0,112.0,4.0,4431.0,2250.0,30.0,406.0,7.0,79712.0,4762.0,Senegal,Africa,74.0,16737908.0,90.0,2464.0,149446.0,210.0
60,2020-07-01,6925.0,132.0,116.0,4.0,4545.0,2264.0,35.0,414.0,7.0,80619.0,4816.0,Senegal,Africa,74.0,16739117.0,114.0,2417.0,144303.0,208.0
61,2020-07-02,7054.0,129.0,121.0,5.0,4599.0,2334.0,36.0,421.0,7.0,81779.0,4885.0,Senegal,Africa,74.0,16740327.0,54.0,2373.0,138350.0,205.0
62,2020-07-03,7164.0,110.0,125.0,4.0,4666.0,2373.0,38.0,428.0,7.0,82857.0,4949.0,Senegal,Africa,76.0,16741537.0,67.0,2337.0,133932.0,202.0
63,2020-07-04,7272.0,108.0,129.0,4.0,4713.0,2430.0,38.0,434.0,8.0,82857.0,4949.0,Senegal,Africa,75.0,16742747.0,47.0,2302.0,129789.0,202.0
64,2020-07-05,7400.0,128.0,133.0,4.0,4870.0,2397.0,38.0,442.0,8.0,82857.0,4948.0,Senegal,Africa,74.0,16743956.0,157.0,2263.0,125894.0,202.0
65,2020-07-06,7478.0,78.0,136.0,3.0,4870.0,2472.0,38.0,447.0,8.0,82857.0,4948.0,Senegal,Africa,75.0,16745166.0,-1.0,2239.0,123126.0,202.0
66,2020-07-07,7547.0,69.0,137.0,1.0,5023.0,2387.0,34.0,451.0,8.0,86103.0,5142.0,Senegal,Africa,75.0,16746376.0,153.0,2219.0,122236.0,194.0
67,2020-07-08,7657.0,110.0,141.0,4.0,5097.0,2419.0,37.0,457.0,8.0,86891.0,5188.0,Senegal,Africa,76.0,16747585.0,74.0,2187.0,118777.0,193.0
68,2020-07-09,7784.0,127.0,143.0,2.0,5169.0,2472.0,36.0,465.0,9.0,87861.0,5246.0,Senegal,Africa,77.0,16748795.0,72.0,2152.0,117124.0,191.0
69,2020-07-10,7882.0,98.0,145.0,2.0,5311.0,2426.0,38.0,471.0,9.0,88729.0,5297.0,Senegal,Africa,77.0,16750005.0,142.0,2125.0,115517.0,189.0
70,2020-07-11,8014.0,132.0,145.0,-1.0,5381.0,2488.0,34.0,478.0,9.0,89519.0,5344.0,Senegal,Africa,76.0,16751215.0,70.0,2090.0,115526.0,187.0
71,2020-07-12,8135.0,121.0,148.0,3.0,5446.0,2541.0,32.0,486.0,9.0,90627.0,5409.0,Senegal,Africa,76.0,16753634.0,65.0,2059.0,113200.0,185.0
72,2020-07-13,8198.0,63.0,150.0,2.0,5514.0,2534.0,34.0,489.0,9.0,91337.0,5452.0,Senegal,Africa,76.0,16753634.0,68.0,2044.0,111691.0,183.0
73,2020-07-14,8243.0,45.0,150.0,-1.0,5580.0,2513.0,36.0,492.0,9.0,92101.0,5497.0,Senegal,Africa,78.0,16754844.0,66.0,2033.0,111699.0,182.0
74,2020-07-15,8369.0,126.0,153.0,3.0,5605.0,2611.0,37.0,499.0,9.0,92905.0,5545.0,Senegal,Africa,78.0,16756053.0,25.0,2002.0,109517.0,180.0
75,2020-07-16,8481.0,112.0,156.0,3.0,5735.0,2590.0,38.0,506.0,9.0,94078.0,5614.0,Senegal,Africa,78.0,16757263.0,130.0,1976.0,107418.0,178.0
76,2020-07-17,8544.0,63.0,160.0,4.0,5809.0,2575.0,40.0,510.0,10.0,95152.0,5678.0,Senegal,Africa,79.0,16758473.0,74.0,1961.0,104740.0,176.0
77,2020-07-18,8669.0,125.0,163.0,3.0,5859.0,2647.0,45.0,517.0,10.0,95942.0,5725.0,Senegal,Africa,79.0,16759682.0,50.0,1933.0,102820.0,175.0
78,2020-07-19,8810.0,141.0,167.0,4.0,5948.0,2695.0,35.0,526.0,10.0,96654.0,5767.0,Senegal,Africa,78.0,16760892.0,89.0,1902.0,100365.0,173.0
