,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,9362.0,157.0,189.0,4.0,1426.0,7747.0,57.0,1071.0,22.0,96637.0,11060.0,Serbia,Europe,,,0.0,,,
1,2020-05-03,9464.0,102.0,193.0,4.0,1551.0,7720.0,54.0,1083.0,22.0,101911.0,11664.0,Serbia,Europe,,,0.0,,,
2,2020-05-04,9557.0,93.0,197.0,4.0,1574.0,7786.0,53.0,1094.0,23.0,106461.0,12185.0,Serbia,Europe,,,0.0,,,
3,2020-05-05,9677.0,-1.0,200.0,-1.0,1723.0,7754.0,51.0,1108.0,23.0,111278.0,12736.0,Serbia,Europe,,,0.0,,,
4,2020-05-06,9791.0,114.0,203.0,3.0,1971.0,7617.0,48.0,1121.0,23.0,117474.0,13445.0,Serbia,Europe,,,0.0,,,
5,2020-05-07,9848.0,57.0,206.0,3.0,2160.0,7482.0,46.0,1127.0,24.0,122995.0,14077.0,Serbia,Europe,,,0.0,,,
6,2020-05-08,9943.0,-1.0,209.0,-1.0,2453.0,7281.0,45.0,1138.0,24.0,128805.0,14742.0,Serbia,Europe,,,0.0,,,
7,2020-05-09,10032.0,-1.0,213.0,-1.0,2732.0,7087.0,43.0,1148.0,24.0,134533.0,15397.0,Serbia,Europe,,,0.0,,,
8,2020-05-10,10114.0,82.0,215.0,2.0,3006.0,6893.0,43.0,1158.0,25.0,140592.0,16091.0,Serbia,Europe,,,0.0,,,
9,2020-05-11,10176.0,62.0,218.0,3.0,3290.0,6668.0,29.0,1165.0,25.0,145604.0,16665.0,Serbia,Europe,,,0.0,,,
10,2020-05-12,10243.0,67.0,220.0,2.0,3600.0,6423.0,23.0,1172.0,25.0,151304.0,17317.0,Serbia,Europe,,,0.0,,,
11,2020-05-13,10295.0,52.0,222.0,2.0,3824.0,6249.0,22.0,1178.0,25.0,156603.0,17923.0,Serbia,Europe,,,0.0,,,
12,2020-05-14,10374.0,79.0,224.0,2.0,4084.0,6066.0,22.0,1187.0,26.0,162797.0,18632.0,Serbia,Europe,,,0.0,,,
13,2020-05-15,10438.0,64.0,225.0,1.0,4301.0,5912.0,20.0,1194.0,26.0,168670.0,19295.0,Serbia,Europe,45.0,8741704.0,0.0,,,
14,2020-05-16,10496.0,58.0,228.0,3.0,4479.0,5789.0,18.0,1201.0,26.0,174746.0,19990.0,Serbia,Europe,45.0,8741609.0,0.0,,,
15,2020-05-17,10610.0,114.0,230.0,2.0,4713.0,5667.0,18.0,1214.0,26.0,181272.0,20737.0,Serbia,Europe,45.0,8741513.0,0.0,,,
16,2020-05-18,10699.0,89.0,231.0,1.0,4799.0,5669.0,16.0,1224.0,26.0,185385.0,21208.0,Serbia,Europe,45.0,8741417.0,0.0,,,
17,2020-05-19,10733.0,34.0,234.0,3.0,4904.0,5595.0,15.0,1228.0,27.0,190683.0,21814.0,Serbia,Europe,45.0,8741321.0,0.0,,,
18,2020-05-20,10833.0,100.0,235.0,1.0,5067.0,5531.0,13.0,1239.0,27.0,196881.0,22523.0,Serbia,Europe,45.0,8741226.0,0.0,,,
19,2020-05-21,10919.0,86.0,237.0,2.0,5370.0,5312.0,12.0,1249.0,27.0,203799.0,23315.0,Serbia,Europe,45.0,8741130.0,0.0,,,
20,2020-05-22,11024.0,105.0,237.0,-1.0,5541.0,5246.0,12.0,1261.0,27.0,209797.0,24001.0,Serbia,Europe,45.0,8741034.0,0.0,,,
21,2020-05-23,11092.0,68.0,238.0,1.0,5699.0,5155.0,12.0,1269.0,27.0,214212.0,24507.0,Serbia,Europe,45.0,8740939.0,0.0,,,
22,2020-05-24,11159.0,67.0,238.0,-1.0,5857.0,5064.0,12.0,1277.0,27.0,217856.0,24924.0,Serbia,Europe,46.0,8740843.0,0.0,,,
23,2020-05-25,11193.0,34.0,239.0,1.0,5920.0,5034.0,12.0,1281.0,27.0,220344.0,25209.0,Serbia,Europe,46.0,8740747.0,0.0,,,
24,2020-05-26,11227.0,34.0,239.0,-1.0,6067.0,4921.0,11.0,1284.0,27.0,223771.0,25601.0,Serbia,Europe,46.0,8740651.0,0.0,,,
25,2020-05-27,11275.0,-1.0,240.0,-1.0,6277.0,4758.0,10.0,1290.0,27.0,229485.0,26255.0,Serbia,Europe,47.0,8740460.0,0.0,,,
26,2020-05-28,11300.0,25.0,241.0,1.0,6438.0,4621.0,9.0,1293.0,28.0,234019.0,26774.0,Serbia,Europe,48.0,8740460.0,0.0,,,
27,2020-05-29,11354.0,54.0,242.0,1.0,6524.0,4588.0,8.0,1299.0,28.0,239234.0,27371.0,Serbia,Europe,48.0,8740364.0,0.0,,,
28,2020-05-30,11381.0,27.0,242.0,-1.0,6606.0,4533.0,10.0,1302.0,28.0,242782.0,27777.0,Serbia,Europe,48.0,8740269.0,0.0,,,
29,2020-05-31,11412.0,31.0,243.0,1.0,6698.0,4471.0,10.0,1306.0,28.0,245985.0,28144.0,Serbia,Europe,49.0,8740173.0,0.0,,,
30,2020-06-01,11430.0,18.0,244.0,1.0,6726.0,4460.0,9.0,1308.0,28.0,247760.0,28348.0,Serbia,Europe,50.0,8740077.0,0.0,,,
31,2020-06-02,11454.0,24.0,245.0,1.0,6766.0,4443.0,10.0,1311.0,28.0,252132.0,28848.0,Serbia,Europe,51.0,8739982.0,40.0,763.0,35673.0,35.0
32,2020-06-03,11523.0,69.0,245.0,-1.0,6852.0,4426.0,12.0,1318.0,28.0,257242.0,29433.0,Serbia,Europe,51.0,8739886.0,86.0,758.0,35673.0,34.0
33,2020-06-04,11571.0,48.0,246.0,1.0,6910.0,4415.0,15.0,1324.0,28.0,261266.0,29894.0,Serbia,Europe,52.0,8739790.0,58.0,755.0,35528.0,33.0
34,2020-06-05,11667.0,96.0,247.0,1.0,6931.0,4489.0,12.0,1335.0,28.0,266061.0,30443.0,Serbia,Europe,53.0,8739694.0,21.0,749.0,35383.0,33.0
35,2020-06-06,11741.0,74.0,248.0,1.0,11056.0,437.0,14.0,1343.0,28.0,269185.0,30801.0,Serbia,Europe,53.0,8739599.0,4125.0,744.0,35240.0,32.0
36,2020-06-07,11823.0,82.0,249.0,1.0,11348.0,226.0,15.0,1353.0,28.0,272502.0,31180.0,Serbia,Europe,54.0,8739503.0,292.0,739.0,35098.0,32.0
37,2020-06-08,11896.0,73.0,250.0,1.0,11348.0,298.0,15.0,1361.0,29.0,276810.0,31674.0,Serbia,Europe,54.0,8739407.0,-1.0,735.0,34958.0,32.0
38,2020-06-09,11965.0,69.0,250.0,-1.0,11348.0,367.0,15.0,1369.0,29.0,282049.0,32274.0,Serbia,Europe,54.0,8739312.0,-1.0,730.0,34957.0,31.0
39,2020-06-10,12031.0,66.0,251.0,1.0,11348.0,432.0,14.0,1377.0,29.0,287064.0,32848.0,Serbia,Europe,53.0,8739216.0,-1.0,726.0,34818.0,30.0
40,2020-06-11,12102.0,71.0,252.0,1.0,11348.0,502.0,14.0,1385.0,29.0,291996.0,33413.0,Serbia,Europe,53.0,8739120.0,-1.0,722.0,34679.0,30.0
41,2020-06-12,12175.0,73.0,252.0,-1.0,11348.0,575.0,14.0,1393.0,29.0,297789.0,34076.0,Serbia,Europe,53.0,8739024.0,-1.0,718.0,34679.0,29.0
42,2020-06-13,12251.0,76.0,253.0,1.0,11348.0,650.0,15.0,1402.0,29.0,301126.0,34458.0,Serbia,Europe,53.0,8738929.0,-1.0,713.0,34541.0,29.0
43,2020-06-14,12310.0,59.0,254.0,1.0,11511.0,545.0,15.0,1409.0,29.0,302928.0,34665.0,Serbia,Europe,53.0,8738833.0,163.0,710.0,34405.0,29.0
44,2020-06-15,12367.0,57.0,255.0,1.0,11511.0,601.0,15.0,1415.0,29.0,308013.0,35247.0,Serbia,Europe,53.0,8738737.0,-1.0,707.0,34270.0,28.0
45,2020-06-16,12426.0,59.0,256.0,1.0,11511.0,659.0,15.0,1422.0,29.0,313483.0,35873.0,Serbia,Europe,53.0,8738642.0,-1.0,703.0,34135.0,28.0
46,2020-06-17,12522.0,96.0,257.0,1.0,11511.0,754.0,17.0,1433.0,29.0,319581.0,36571.0,Serbia,Europe,55.0,8738546.0,-1.0,698.0,34002.0,27.0
47,2020-06-18,12616.0,94.0,258.0,1.0,11511.0,847.0,17.0,1444.0,30.0,325613.0,37262.0,Serbia,Europe,55.0,8738450.0,-1.0,693.0,33870.0,27.0
48,2020-06-19,12709.0,93.0,259.0,1.0,11511.0,939.0,18.0,1454.0,30.0,332342.0,38033.0,Serbia,Europe,55.0,8738355.0,-1.0,688.0,33739.0,26.0
49,2020-06-20,12803.0,94.0,260.0,1.0,11511.0,1032.0,18.0,1465.0,30.0,336553.0,38515.0,Serbia,Europe,55.0,8738163.0,-1.0,683.0,33608.0,26.0
50,2020-06-21,12894.0,91.0,261.0,1.0,11947.0,686.0,19.0,1476.0,30.0,339882.0,38896.0,Serbia,Europe,55.0,8738163.0,436.0,678.0,33480.0,26.0
51,2020-06-22,12990.0,96.0,262.0,1.0,11997.0,731.0,19.0,1487.0,30.0,345260.0,39512.0,Serbia,Europe,57.0,8738067.0,50.0,673.0,33351.0,25.0
52,2020-06-23,13092.0,102.0,263.0,1.0,12054.0,775.0,19.0,1498.0,30.0,351285.0,40202.0,Serbia,Europe,58.0,8737972.0,57.0,667.0,33224.0,25.0
53,2020-06-24,13235.0,143.0,263.0,-1.0,12111.0,861.0,21.0,1515.0,30.0,359069.0,41093.0,Serbia,Europe,58.0,8737876.0,57.0,660.0,33224.0,24.0
54,2020-06-25,13372.0,137.0,264.0,1.0,12154.0,954.0,24.0,1530.0,30.0,366380.0,41931.0,Serbia,Europe,58.0,8737780.0,43.0,653.0,33098.0,24.0
55,2020-06-26,13565.0,193.0,265.0,1.0,12232.0,1068.0,26.0,1552.0,30.0,374875.0,42903.0,Serbia,Europe,58.0,8737685.0,78.0,644.0,32972.0,23.0
56,2020-06-27,13792.0,227.0,267.0,2.0,12338.0,1187.0,32.0,1578.0,31.0,380808.0,43583.0,Serbia,Europe,58.0,8737589.0,106.0,634.0,32725.0,23.0
57,2020-06-28,14046.0,254.0,270.0,3.0,12464.0,1312.0,31.0,1608.0,31.0,385713.0,44145.0,Serbia,Europe,58.0,8737493.0,126.0,622.0,32361.0,23.0
58,2020-06-29,14288.0,242.0,274.0,4.0,12581.0,1433.0,36.0,1635.0,31.0,393863.0,45078.0,Serbia,Europe,58.0,8737397.0,117.0,612.0,31888.0,22.0
59,2020-06-30,14564.0,276.0,277.0,3.0,12662.0,1625.0,42.0,1667.0,32.0,401240.0,45923.0,Serbia,Europe,58.0,8737302.0,81.0,600.0,31543.0,22.0
60,2020-07-01,14836.0,272.0,281.0,4.0,12772.0,1783.0,73.0,1698.0,32.0,409866.0,46910.0,Serbia,Europe,58.0,8737206.0,110.0,589.0,31093.0,21.0
61,2020-07-02,15195.0,359.0,287.0,6.0,12912.0,1996.0,81.0,1739.0,33.0,418879.0,47943.0,Serbia,Europe,58.0,8737110.0,140.0,575.0,30443.0,21.0
62,2020-07-03,15504.0,309.0,298.0,11.0,13064.0,2142.0,85.0,1775.0,34.0,426981.0,48870.0,Serbia,Europe,58.0,8737015.0,152.0,564.0,29319.0,20.0
63,2020-07-04,15829.0,325.0,306.0,8.0,13064.0,2459.0,86.0,1812.0,35.0,434415.0,49722.0,Serbia,Europe,58.0,8736919.0,-1.0,552.0,28552.0,20.0
64,2020-07-05,16131.0,302.0,311.0,5.0,13064.0,2756.0,81.0,1846.0,36.0,439445.0,50298.0,Serbia,Europe,58.0,8736823.0,-1.0,542.0,28093.0,20.0
65,2020-07-06,16420.0,289.0,317.0,6.0,13366.0,2737.0,93.0,1879.0,36.0,447317.0,51200.0,Serbia,Europe,58.0,8736727.0,302.0,532.0,27561.0,20.0
66,2020-07-07,16719.0,299.0,330.0,13.0,13366.0,3023.0,110.0,1914.0,38.0,455604.0,52149.0,Serbia,Europe,59.0,8736632.0,-1.0,523.0,26475.0,19.0
67,2020-07-08,17076.0,357.0,341.0,11.0,13366.0,3369.0,118.0,1955.0,39.0,464171.0,53130.0,Serbia,Europe,59.0,8736536.0,-1.0,512.0,25620.0,19.0
68,2020-07-09,17342.0,266.0,352.0,11.0,13651.0,3339.0,120.0,1985.0,40.0,471700.0,53992.0,Serbia,Europe,59.0,8736440.0,-1.0,504.0,24819.0,19.0
69,2020-07-10,17728.0,386.0,370.0,18.0,13651.0,3707.0,130.0,2029.0,42.0,480346.0,54982.0,Serbia,Europe,59.0,8736345.0,-1.0,493.0,23612.0,18.0
70,2020-07-11,18073.0,345.0,382.0,12.0,13780.0,3911.0,139.0,2069.0,44.0,487378.0,55788.0,Serbia,Europe,59.0,8736249.0,129.0,483.0,22870.0,18.0
71,2020-07-12,18360.0,287.0,393.0,11.0,13876.0,4091.0,144.0,2102.0,45.0,491428.0,56253.0,Serbia,Europe,59.0,8736058.0,96.0,476.0,22229.0,18.0
72,2020-07-13,18639.0,279.0,405.0,12.0,13940.0,4294.0,154.0,2134.0,46.0,498343.0,57044.0,Serbia,Europe,59.0,8736058.0,64.0,469.0,21571.0,18.0
73,2020-07-14,18983.0,344.0,418.0,13.0,13991.0,4574.0,170.0,2173.0,48.0,507002.0,58036.0,Serbia,Europe,59.0,8735962.0,51.0,460.0,20899.0,17.0
74,2020-07-15,19334.0,351.0,429.0,11.0,14047.0,4858.0,169.0,2213.0,49.0,515395.0,58998.0,Serbia,Europe,58.0,8735866.0,56.0,452.0,20363.0,17.0
75,2020-07-16,19717.0,383.0,442.0,13.0,14047.0,5228.0,177.0,2257.0,51.0,524578.0,60049.0,Serbia,Europe,58.0,8735770.0,-1.0,443.0,19764.0,17.0
76,2020-07-17,20109.0,392.0,452.0,10.0,14047.0,5610.0,184.0,2302.0,52.0,534488.0,61185.0,Serbia,Europe,58.0,8735675.0,-1.0,434.0,19327.0,16.0
