,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,17548.0,447.0,17.0,1.0,1347.0,16184.0,24.0,2999.0,3.0,143919.0,24600.0,Singapore,Asia,,,0.0,,,
1,2020-05-03,18205.0,657.0,18.0,1.0,1408.0,16779.0,22.0,3112.0,3.0,143919.0,24600.0,Singapore,Asia,,,0.0,,,
2,2020-05-04,18778.0,573.0,18.0,-1.0,1457.0,17303.0,22.0,3210.0,3.0,143919.0,24600.0,Singapore,Asia,,,0.0,,,
3,2020-05-05,19410.0,-1.0,18.0,-1.0,1519.0,17873.0,24.0,3318.0,3.0,143919.0,24600.0,Singapore,Asia,,,0.0,,,
4,2020-05-06,20198.0,788.0,20.0,2.0,1634.0,18544.0,23.0,3452.0,3.0,175604.0,30016.0,Singapore,Asia,,,0.0,,,
5,2020-05-07,20939.0,741.0,20.0,-1.0,1712.0,19207.0,19.0,3579.0,3.0,175604.0,30016.0,Singapore,Asia,,,0.0,,,
6,2020-05-08,21707.0,-1.0,20.0,-1.0,2040.0,19647.0,22.0,3710.0,3.0,175604.0,30016.0,Singapore,Asia,,,0.0,,,
7,2020-05-09,22460.0,-1.0,20.0,-1.0,2296.0,20144.0,23.0,3839.0,3.0,175604.0,30016.0,Singapore,Asia,,,0.0,,,
8,2020-05-10,23336.0,876.0,20.0,-1.0,2721.0,20595.0,23.0,3989.0,3.0,175604.0,30016.0,Singapore,Asia,,,0.0,,,
9,2020-05-11,23822.0,486.0,21.0,1.0,3225.0,20576.0,24.0,4072.0,4.0,175604.0,30016.0,Singapore,Asia,,,0.0,,,
10,2020-05-12,24671.0,884.0,21.0,-1.0,3851.0,20799.0,20.0,4217.0,4.0,175604.0,30016.0,Singapore,Asia,,,0.0,,,
11,2020-05-13,25346.0,675.0,21.0,-1.0,4809.0,20516.0,19.0,4332.0,4.0,224262.0,38333.0,Singapore,Asia,,,0.0,,,
12,2020-05-14,26098.0,752.0,21.0,-1.0,4809.0,21268.0,20.0,4461.0,4.0,224262.0,38333.0,Singapore,Asia,,,0.0,,,
13,2020-05-15,26891.0,793.0,21.0,-1.0,7248.0,19622.0,18.0,4601.0,4.0,224262.0,38372.0,Singapore,Asia,26.0,5844386.0,0.0,,,
14,2020-05-16,27356.0,465.0,22.0,1.0,8342.0,18992.0,16.0,4681.0,4.0,224262.0,38371.0,Singapore,Asia,26.0,5844512.0,0.0,,,
15,2020-05-17,28038.0,682.0,22.0,-1.0,9340.0,18676.0,16.0,4797.0,4.0,246254.0,42133.0,Singapore,Asia,26.0,5844637.0,0.0,,,
16,2020-05-18,28343.0,305.0,22.0,-1.0,9835.0,18486.0,12.0,4849.0,4.0,246254.0,42132.0,Singapore,Asia,26.0,5844763.0,0.0,,,
17,2020-05-19,28794.0,451.0,22.0,-1.0,10365.0,18407.0,10.0,4926.0,4.0,246254.0,42132.0,Singapore,Asia,26.0,5844888.0,0.0,,,
18,2020-05-20,29364.0,570.0,22.0,-1.0,11207.0,18135.0,11.0,5024.0,4.0,294414.0,50370.0,Singapore,Asia,26.0,5845014.0,0.0,,,
19,2020-05-21,29812.0,448.0,23.0,1.0,12117.0,17672.0,10.0,5100.0,4.0,294414.0,50369.0,Singapore,Asia,26.0,5845139.0,0.0,,,
20,2020-05-22,30426.0,614.0,23.0,-1.0,12995.0,17408.0,8.0,5205.0,4.0,294414.0,50368.0,Singapore,Asia,25.0,5845265.0,0.0,,,
21,2020-05-23,31068.0,642.0,23.0,-1.0,13882.0,17163.0,8.0,5315.0,4.0,294414.0,50367.0,Singapore,Asia,25.0,5845390.0,0.0,,,
22,2020-05-24,31616.0,548.0,23.0,-1.0,14876.0,16717.0,8.0,5409.0,4.0,294414.0,50366.0,Singapore,Asia,25.0,5845516.0,0.0,,,
23,2020-05-25,31960.0,344.0,23.0,-1.0,15738.0,16199.0,8.0,5467.0,4.0,294414.0,50365.0,Singapore,Asia,25.0,5845641.0,0.0,,,
24,2020-05-26,32343.0,383.0,23.0,-1.0,16444.0,15876.0,8.0,5533.0,4.0,294414.0,50364.0,Singapore,Asia,25.0,5845767.0,0.0,,,
25,2020-05-27,32876.0,-1.0,23.0,-1.0,17276.0,15577.0,7.0,5624.0,4.0,334691.0,57251.0,Singapore,Asia,25.0,5846018.0,0.0,,,
26,2020-05-28,33249.0,373.0,23.0,-1.0,18294.0,14932.0,7.0,5687.0,4.0,334691.0,57251.0,Singapore,Asia,25.0,5846018.0,0.0,,,
27,2020-05-29,33860.0,611.0,23.0,-1.0,19631.0,14206.0,8.0,5792.0,4.0,334691.0,57250.0,Singapore,Asia,25.0,5846144.0,0.0,,,
28,2020-05-30,34366.0,506.0,23.0,-1.0,20727.0,13616.0,7.0,5878.0,4.0,334691.0,57249.0,Singapore,Asia,25.0,5846269.0,0.0,,,
29,2020-05-31,34884.0,518.0,23.0,-1.0,21699.0,13162.0,8.0,5967.0,4.0,334691.0,57247.0,Singapore,Asia,25.0,5846395.0,0.0,,,
30,2020-06-01,35292.0,408.0,24.0,1.0,22466.0,12802.0,7.0,6036.0,4.0,334691.0,57246.0,Singapore,Asia,25.0,5846520.0,0.0,,,
31,2020-06-02,35836.0,544.0,24.0,-1.0,23175.0,12637.0,6.0,6129.0,4.0,334691.0,57245.0,Singapore,Asia,25.0,5846646.0,709.0,163.0,243610.0,17.0
32,2020-06-03,36405.0,569.0,24.0,-1.0,23582.0,12799.0,5.0,6227.0,4.0,408495.0,69867.0,Singapore,Asia,26.0,5846771.0,407.0,161.0,243615.0,14.0
33,2020-06-04,36922.0,517.0,24.0,-1.0,23904.0,12994.0,5.0,6315.0,4.0,408495.0,69865.0,Singapore,Asia,27.0,5846897.0,322.0,158.0,243621.0,14.0
34,2020-06-05,37183.0,261.0,24.0,-1.0,24209.0,12950.0,4.0,6359.0,4.0,408495.0,69864.0,Singapore,Asia,27.0,5847022.0,305.0,157.0,243626.0,14.0
35,2020-06-06,37527.0,344.0,25.0,1.0,24559.0,12943.0,4.0,6418.0,4.0,408495.0,69862.0,Singapore,Asia,27.0,5847148.0,350.0,156.0,233886.0,14.0
36,2020-06-07,37910.0,383.0,25.0,-1.0,24886.0,12999.0,3.0,6483.0,4.0,408495.0,69861.0,Singapore,Asia,28.0,5847274.0,327.0,154.0,233891.0,14.0
37,2020-06-08,38296.0,386.0,25.0,-1.0,25368.0,12903.0,4.0,6549.0,4.0,408495.0,69859.0,Singapore,Asia,28.0,5847399.0,482.0,153.0,233896.0,14.0
38,2020-06-09,38514.0,218.0,25.0,-1.0,25877.0,12612.0,3.0,6586.0,4.0,408495.0,69858.0,Singapore,Asia,28.0,5847525.0,509.0,152.0,233901.0,14.0
39,2020-06-10,38965.0,451.0,25.0,-1.0,26532.0,12408.0,3.0,6663.0,4.0,488695.0,83571.0,Singapore,Asia,28.0,5847650.0,655.0,150.0,233906.0,12.0
40,2020-06-11,39387.0,422.0,25.0,-1.0,27286.0,12076.0,2.0,6735.0,4.0,488695.0,83569.0,Singapore,Asia,29.0,5847776.0,754.0,148.0,233911.0,12.0
41,2020-06-12,39850.0,463.0,25.0,-1.0,28040.0,11785.0,2.0,6814.0,4.0,488695.0,83568.0,Singapore,Asia,29.0,5847901.0,754.0,147.0,233916.0,12.0
42,2020-06-13,40197.0,347.0,25.0,-1.0,28808.0,11364.0,1.0,6874.0,4.0,488695.0,83566.0,Singapore,Asia,29.0,5848027.0,768.0,145.0,233921.0,12.0
43,2020-06-14,40604.0,407.0,26.0,-1.0,29589.0,10989.0,2.0,6943.0,4.0,488695.0,83564.0,Singapore,Asia,29.0,5848152.0,781.0,144.0,224929.0,12.0
44,2020-06-15,40818.0,214.0,26.0,-1.0,30366.0,10426.0,2.0,6979.0,4.0,488695.0,83562.0,Singapore,Asia,29.0,5848278.0,777.0,143.0,224934.0,12.0
45,2020-06-16,40969.0,151.0,26.0,-1.0,31163.0,9780.0,2.0,7005.0,4.0,488695.0,83560.0,Singapore,Asia,29.0,5848403.0,797.0,143.0,224939.0,12.0
