,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,76.0,-1.0,13.0,-1.0,44.0,19.0,7.0,1773.0,303.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
1,2020-05-03,76.0,-1.0,13.0,-1.0,44.0,19.0,7.0,1773.0,303.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
2,2020-05-04,76.0,-1.0,13.0,-1.0,44.0,19.0,7.0,1773.0,303.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
3,2020-05-05,76.0,-1.0,14.0,-1.0,44.0,18.0,7.0,1773.0,327.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
4,2020-05-06,76.0,-1.0,14.0,-1.0,44.0,18.0,7.0,1773.0,327.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
5,2020-05-07,76.0,-1.0,14.0,-1.0,44.0,18.0,7.0,1773.0,327.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
6,2020-05-08,76.0,-1.0,14.0,-1.0,44.0,18.0,7.0,1773.0,327.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
7,2020-05-09,76.0,-1.0,15.0,-1.0,46.0,15.0,7.0,1773.0,350.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
8,2020-05-10,76.0,-1.0,15.0,-1.0,46.0,15.0,7.0,1773.0,350.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
9,2020-05-11,76.0,-1.0,15.0,-1.0,46.0,15.0,7.0,1773.0,350.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
10,2020-05-12,76.0,-1.0,15.0,-1.0,46.0,15.0,7.0,1773.0,350.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
11,2020-05-13,76.0,-1.0,15.0,-1.0,46.0,15.0,7.0,1773.0,350.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
12,2020-05-14,76.0,-1.0,15.0,-1.0,46.0,15.0,7.0,1773.0,350.0,329.0,7673.0,Sint Maarten,North America,,,0.0,,,
13,2020-05-15,76.0,-1.0,15.0,-1.0,46.0,15.0,7.0,1775.0,350.0,329.0,7685.0,Sint Maarten,North America,169.0,42812.0,0.0,,,
14,2020-05-16,76.0,-1.0,15.0,-1.0,46.0,15.0,7.0,1775.0,350.0,329.0,7685.0,Sint Maarten,North America,169.0,42813.0,0.0,,,
15,2020-05-17,77.0,-1.0,15.0,-1.0,54.0,8.0,7.0,1798.0,350.0,414.0,9670.0,Sint Maarten,North America,169.0,42815.0,0.0,,,
16,2020-05-18,77.0,-1.0,15.0,-1.0,54.0,8.0,7.0,1798.0,350.0,414.0,9669.0,Sint Maarten,North America,169.0,42816.0,0.0,,,
17,2020-05-19,77.0,-1.0,15.0,-1.0,54.0,8.0,7.0,1798.0,350.0,414.0,9669.0,Sint Maarten,North America,170.0,42817.0,0.0,,,
18,2020-05-20,77.0,-1.0,15.0,-1.0,54.0,8.0,7.0,1798.0,350.0,414.0,9669.0,Sint Maarten,North America,171.0,42819.0,0.0,,,
19,2020-05-21,77.0,-1.0,15.0,-1.0,54.0,8.0,7.0,1798.0,350.0,425.0,9925.0,Sint Maarten,North America,171.0,42820.0,0.0,,,
20,2020-05-22,77.0,-1.0,15.0,-1.0,59.0,3.0,1.0,1798.0,350.0,437.0,10205.0,Sint Maarten,North America,173.0,42821.0,0.0,,,
21,2020-05-23,77.0,-1.0,15.0,-1.0,59.0,3.0,1.0,1798.0,350.0,437.0,10205.0,Sint Maarten,North America,173.0,42823.0,0.0,,,
22,2020-05-24,77.0,-1.0,15.0,-1.0,59.0,3.0,1.0,1798.0,350.0,438.0,10228.0,Sint Maarten,North America,174.0,42824.0,0.0,,,
23,2020-05-25,77.0,-1.0,15.0,-1.0,59.0,3.0,1.0,1798.0,350.0,438.0,10228.0,Sint Maarten,North America,174.0,42825.0,0.0,,,
24,2020-05-26,77.0,-1.0,15.0,-1.0,59.0,3.0,1.0,1798.0,350.0,438.0,10227.0,Sint Maarten,North America,174.0,42827.0,0.0,,,
25,2020-05-27,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1798.0,350.0,438.0,10227.0,Sint Maarten,North America,176.0,42829.0,0.0,,,
26,2020-05-28,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1798.0,350.0,438.0,10227.0,Sint Maarten,North America,176.0,42829.0,0.0,,,
27,2020-05-29,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1798.0,350.0,438.0,10226.0,Sint Maarten,North America,177.0,42831.0,0.0,,,
28,2020-05-30,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1798.0,350.0,450.0,10506.0,Sint Maarten,North America,177.0,42832.0,0.0,,,
29,2020-05-31,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1798.0,350.0,461.0,10763.0,Sint Maarten,North America,177.0,42833.0,0.0,,,
30,2020-06-01,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1798.0,350.0,461.0,10762.0,Sint Maarten,North America,177.0,42835.0,0.0,,,
31,2020-06-02,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1798.0,350.0,461.0,10762.0,Sint Maarten,North America,177.0,42836.0,-1.0,556.0,2856.0,93.0
32,2020-06-03,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1798.0,350.0,450.0,10505.0,Sint Maarten,North America,177.0,42837.0,-1.0,556.0,2856.0,95.0
33,2020-06-04,77.0,-1.0,15.0,-1.0,60.0,2.0,1.0,1797.0,350.0,450.0,10504.0,Sint Maarten,North America,178.0,42839.0,-1.0,556.0,2856.0,95.0
34,2020-06-05,77.0,-1.0,15.0,-1.0,61.0,1.0,1.0,1797.0,350.0,450.0,10504.0,Sint Maarten,North America,178.0,42840.0,1.0,556.0,2856.0,95.0
35,2020-06-06,77.0,-1.0,15.0,-1.0,61.0,1.0,1.0,1797.0,350.0,470.0,10971.0,Sint Maarten,North America,178.0,42841.0,-1.0,556.0,2856.0,91.0
36,2020-06-07,77.0,-1.0,15.0,-1.0,61.0,1.0,1.0,1797.0,350.0,470.0,10970.0,Sint Maarten,North America,179.0,42843.0,-1.0,556.0,2856.0,91.0
37,2020-06-08,77.0,-1.0,15.0,-1.0,61.0,1.0,1.0,1797.0,350.0,470.0,10970.0,Sint Maarten,North America,179.0,42844.0,-1.0,556.0,2856.0,91.0
38,2020-06-09,77.0,-1.0,15.0,-1.0,61.0,1.0,1.0,1797.0,350.0,470.0,10970.0,Sint Maarten,North America,179.0,42845.0,-1.0,556.0,2856.0,91.0
