,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1407.0,4.0,24.0,1.0,608.0,775.0,5.0,258.0,4.0,94770.0,17358.0,Slovakia,Europe,,,0.0,,,
1,2020-05-03,1408.0,1.0,24.0,-1.0,619.0,765.0,7.0,258.0,4.0,96220.0,17624.0,Slovakia,Europe,,,0.0,,,
2,2020-05-04,1413.0,5.0,25.0,1.0,643.0,745.0,7.0,259.0,5.0,97804.0,17914.0,Slovakia,Europe,,,0.0,,,
3,2020-05-05,1421.0,-1.0,25.0,-1.0,741.0,655.0,6.0,260.0,5.0,99864.0,18291.0,Slovakia,Europe,,,0.0,,,
4,2020-05-06,1429.0,8.0,25.0,-1.0,762.0,642.0,4.0,262.0,5.0,104606.0,19160.0,Slovakia,Europe,,,0.0,,,
5,2020-05-07,1445.0,16.0,26.0,1.0,806.0,613.0,4.0,265.0,5.0,109767.0,20105.0,Slovakia,Europe,,,0.0,,,
6,2020-05-08,1455.0,-1.0,26.0,-1.0,905.0,524.0,4.0,267.0,5.0,114461.0,20965.0,Slovakia,Europe,,,0.0,,,
7,2020-05-09,1455.0,-1.0,26.0,-1.0,919.0,510.0,5.0,267.0,5.0,118371.0,21681.0,Slovakia,Europe,,,0.0,,,
8,2020-05-10,1457.0,2.0,26.0,-1.0,941.0,490.0,5.0,267.0,5.0,119859.0,21954.0,Slovakia,Europe,,,0.0,,,
9,2020-05-11,1457.0,-1.0,26.0,-1.0,959.0,472.0,5.0,267.0,5.0,120645.0,22098.0,Slovakia,Europe,,,0.0,,,
10,2020-05-12,1465.0,8.0,27.0,1.0,983.0,455.0,6.0,268.0,5.0,122708.0,22475.0,Slovakia,Europe,,,0.0,,,
11,2020-05-13,1469.0,4.0,27.0,-1.0,1060.0,382.0,6.0,269.0,5.0,127034.0,23268.0,Slovakia,Europe,,,0.0,,,
12,2020-05-14,1477.0,8.0,27.0,-1.0,1112.0,338.0,5.0,271.0,5.0,131910.0,24161.0,Slovakia,Europe,,,0.0,,,
13,2020-05-15,1480.0,3.0,27.0,-1.0,1131.0,322.0,3.0,271.0,5.0,135902.0,24894.0,Slovakia,Europe,87.0,5459310.0,0.0,,,
14,2020-05-16,1493.0,13.0,28.0,1.0,1151.0,314.0,3.0,273.0,5.0,139986.0,25642.0,Slovakia,Europe,87.0,5459317.0,0.0,,,
15,2020-05-17,1494.0,1.0,28.0,-1.0,1163.0,303.0,3.0,274.0,5.0,142462.0,26095.0,Slovakia,Europe,88.0,5459325.0,0.0,,,
16,2020-05-18,1495.0,1.0,28.0,-1.0,1185.0,282.0,3.0,274.0,5.0,143433.0,26273.0,Slovakia,Europe,90.0,5459332.0,0.0,,,
17,2020-05-19,1495.0,-1.0,28.0,-1.0,1192.0,275.0,3.0,274.0,5.0,145474.0,26647.0,Slovakia,Europe,91.0,5459339.0,0.0,,,
18,2020-05-20,1496.0,1.0,28.0,-1.0,1231.0,237.0,3.0,274.0,5.0,148845.0,27264.0,Slovakia,Europe,93.0,5459346.0,0.0,,,
19,2020-05-21,1502.0,6.0,28.0,-1.0,1245.0,229.0,3.0,275.0,5.0,151778.0,27801.0,Slovakia,Europe,93.0,5459353.0,0.0,,,
20,2020-05-22,1503.0,1.0,28.0,-1.0,1256.0,219.0,2.0,275.0,5.0,154529.0,28305.0,Slovakia,Europe,94.0,5459361.0,0.0,,,
21,2020-05-23,1504.0,1.0,28.0,-1.0,1280.0,196.0,1.0,275.0,5.0,156765.0,28715.0,Slovakia,Europe,93.0,5459368.0,0.0,,,
22,2020-05-24,1509.0,5.0,28.0,-1.0,1301.0,180.0,1.0,276.0,5.0,158414.0,29017.0,Slovakia,Europe,93.0,5459375.0,0.0,,,
23,2020-05-25,1511.0,2.0,28.0,-1.0,1307.0,176.0,1.0,277.0,5.0,159059.0,29135.0,Slovakia,Europe,93.0,5459382.0,0.0,,,
24,2020-05-26,1513.0,2.0,28.0,-1.0,1322.0,163.0,1.0,277.0,5.0,160523.0,29403.0,Slovakia,Europe,93.0,5459389.0,0.0,,,
25,2020-05-27,1515.0,-1.0,28.0,-1.0,1327.0,160.0,1.0,278.0,5.0,163362.0,29923.0,Slovakia,Europe,94.0,5459404.0,0.0,,,
26,2020-05-28,1520.0,5.0,28.0,-1.0,1332.0,160.0,-1.0,278.0,5.0,165714.0,30354.0,Slovakia,Europe,96.0,5459404.0,0.0,,,
27,2020-05-29,1520.0,-1.0,28.0,-1.0,1338.0,154.0,-1.0,278.0,5.0,167562.0,30692.0,Slovakia,Europe,96.0,5459411.0,0.0,,,
28,2020-05-30,1521.0,1.0,28.0,-1.0,1356.0,137.0,-1.0,279.0,5.0,170995.0,31321.0,Slovakia,Europe,98.0,5459418.0,0.0,,,
29,2020-05-31,1521.0,-1.0,28.0,-1.0,1366.0,127.0,-1.0,279.0,5.0,172601.0,31615.0,Slovakia,Europe,99.0,5459425.0,0.0,,,
30,2020-06-01,1522.0,1.0,28.0,-1.0,1368.0,126.0,-1.0,279.0,5.0,172875.0,31665.0,Slovakia,Europe,99.0,5459433.0,0.0,,,
31,2020-06-02,1522.0,-1.0,28.0,-1.0,1372.0,122.0,-1.0,279.0,5.0,179293.0,32841.0,Slovakia,Europe,100.0,5459440.0,4.0,3587.0,194980.0,30.0
32,2020-06-03,1525.0,3.0,28.0,-1.0,1375.0,122.0,-1.0,279.0,5.0,181629.0,33269.0,Slovakia,Europe,100.0,5459447.0,3.0,3580.0,194980.0,30.0
33,2020-06-04,1526.0,1.0,28.0,-1.0,1376.0,122.0,-1.0,280.0,5.0,183764.0,33660.0,Slovakia,Europe,101.0,5459454.0,1.0,3578.0,194981.0,30.0
34,2020-06-05,1526.0,-1.0,28.0,-1.0,1379.0,119.0,-1.0,280.0,5.0,185596.0,33995.0,Slovakia,Europe,101.0,5459461.0,3.0,3578.0,194981.0,29.0
35,2020-06-06,1528.0,2.0,28.0,-1.0,1379.0,121.0,-1.0,280.0,5.0,188235.0,34479.0,Slovakia,Europe,102.0,5459469.0,-1.0,3573.0,194981.0,29.0
36,2020-06-07,1528.0,-1.0,28.0,-1.0,1389.0,111.0,-1.0,280.0,5.0,189415.0,34695.0,Slovakia,Europe,103.0,5459476.0,10.0,3573.0,194981.0,29.0
37,2020-06-08,1530.0,2.0,28.0,-1.0,1396.0,106.0,-1.0,280.0,5.0,189575.0,34724.0,Slovakia,Europe,104.0,5459483.0,7.0,3568.0,194982.0,29.0
38,2020-06-09,1531.0,1.0,28.0,-1.0,1402.0,101.0,-1.0,280.0,5.0,190426.0,34880.0,Slovakia,Europe,104.0,5459490.0,6.0,3566.0,194982.0,29.0
39,2020-06-10,1533.0,2.0,28.0,-1.0,1404.0,101.0,-1.0,281.0,5.0,191971.0,35163.0,Slovakia,Europe,104.0,5459497.0,2.0,3561.0,194982.0,28.0
40,2020-06-11,1541.0,8.0,28.0,-1.0,1409.0,104.0,-1.0,282.0,5.0,193471.0,35437.0,Slovakia,Europe,104.0,5459505.0,5.0,3543.0,194982.0,28.0
41,2020-06-12,1542.0,1.0,28.0,-1.0,1409.0,105.0,-1.0,282.0,5.0,194733.0,35669.0,Slovakia,Europe,106.0,5459512.0,-1.0,3541.0,194983.0,28.0
42,2020-06-13,1545.0,3.0,28.0,-1.0,1410.0,107.0,-1.0,283.0,5.0,196244.0,35945.0,Slovakia,Europe,106.0,5459519.0,1.0,3534.0,194983.0,28.0
43,2020-06-14,1548.0,3.0,28.0,-1.0,1410.0,110.0,-1.0,284.0,5.0,196723.0,36033.0,Slovakia,Europe,106.0,5459526.0,-1.0,3527.0,194983.0,28.0
44,2020-06-15,1552.0,4.0,28.0,-1.0,1410.0,114.0,-1.0,284.0,5.0,196770.0,36042.0,Slovakia,Europe,107.0,5459533.0,-1.0,3518.0,194983.0,28.0
45,2020-06-16,1552.0,-1.0,28.0,-1.0,1426.0,98.0,-1.0,284.0,5.0,197617.0,36197.0,Slovakia,Europe,108.0,5459541.0,16.0,3518.0,194984.0,28.0
46,2020-06-17,1561.0,9.0,28.0,-1.0,1437.0,96.0,-1.0,286.0,5.0,198780.0,36410.0,Slovakia,Europe,109.0,5459548.0,11.0,3497.0,194984.0,27.0
47,2020-06-18,1562.0,1.0,28.0,-1.0,1443.0,91.0,-1.0,286.0,5.0,199567.0,36554.0,Slovakia,Europe,110.0,5459555.0,6.0,3495.0,194984.0,27.0
48,2020-06-19,1576.0,14.0,28.0,-1.0,1447.0,101.0,-1.0,289.0,5.0,200373.0,36701.0,Slovakia,Europe,110.0,5459562.0,4.0,3464.0,194984.0,27.0
49,2020-06-20,1586.0,10.0,28.0,-1.0,1447.0,111.0,-1.0,290.0,5.0,201651.0,36935.0,Slovakia,Europe,110.0,5459577.0,-1.0,3442.0,194985.0,27.0
50,2020-06-21,1587.0,1.0,28.0,-1.0,1447.0,112.0,-1.0,291.0,5.0,201952.0,36990.0,Slovakia,Europe,112.0,5459577.0,-1.0,3440.0,194985.0,27.0
51,2020-06-22,1588.0,1.0,28.0,-1.0,1447.0,113.0,-1.0,291.0,5.0,201993.0,36998.0,Slovakia,Europe,112.0,5459584.0,-1.0,3438.0,194985.0,27.0
52,2020-06-23,1589.0,1.0,28.0,-1.0,1448.0,113.0,-1.0,291.0,5.0,202654.0,37119.0,Slovakia,Europe,112.0,5459591.0,1.0,3436.0,194985.0,27.0
53,2020-06-24,1607.0,18.0,28.0,-1.0,1448.0,131.0,-1.0,294.0,5.0,203911.0,37349.0,Slovakia,Europe,112.0,5459598.0,-1.0,3397.0,194986.0,27.0
54,2020-06-25,1630.0,23.0,28.0,-1.0,1452.0,150.0,-1.0,299.0,5.0,204847.0,37520.0,Slovakia,Europe,112.0,5459605.0,4.0,3349.0,194986.0,27.0
55,2020-06-26,1643.0,13.0,28.0,-1.0,1455.0,160.0,-1.0,301.0,5.0,206362.0,37798.0,Slovakia,Europe,113.0,5459613.0,3.0,3323.0,194986.0,26.0
56,2020-06-27,1657.0,14.0,28.0,-1.0,1455.0,174.0,-1.0,304.0,5.0,207973.0,38093.0,Slovakia,Europe,114.0,5459620.0,-1.0,3295.0,194986.0,26.0
57,2020-06-28,1664.0,7.0,28.0,-1.0,1461.0,175.0,-1.0,305.0,5.0,208904.0,38263.0,Slovakia,Europe,114.0,5459627.0,6.0,3281.0,194987.0,26.0
58,2020-06-29,1665.0,1.0,28.0,-1.0,1464.0,173.0,-1.0,305.0,5.0,208966.0,38275.0,Slovakia,Europe,114.0,5459634.0,3.0,3279.0,194987.0,26.0
59,2020-06-30,1667.0,2.0,28.0,-1.0,1464.0,175.0,-1.0,305.0,5.0,209750.0,38418.0,Slovakia,Europe,114.0,5459641.0,-1.0,3275.0,194987.0,26.0
60,2020-07-01,1687.0,20.0,28.0,-1.0,1466.0,193.0,-1.0,309.0,5.0,211813.0,38796.0,Slovakia,Europe,114.0,5459649.0,2.0,3236.0,194987.0,26.0
61,2020-07-02,1700.0,13.0,28.0,-1.0,1466.0,206.0,3.0,311.0,5.0,213521.0,39109.0,Slovakia,Europe,114.0,5459656.0,-1.0,3212.0,194988.0,26.0
62,2020-07-03,1720.0,20.0,28.0,-1.0,1466.0,226.0,3.0,315.0,5.0,215322.0,39439.0,Slovakia,Europe,115.0,5459663.0,-1.0,3174.0,194988.0,25.0
63,2020-07-04,1749.0,29.0,28.0,-1.0,1466.0,255.0,3.0,320.0,5.0,217538.0,39845.0,Slovakia,Europe,115.0,5459670.0,-1.0,3122.0,194988.0,25.0
64,2020-07-05,1764.0,15.0,28.0,-1.0,1466.0,270.0,3.0,323.0,5.0,218346.0,39992.0,Slovakia,Europe,115.0,5459677.0,-1.0,3095.0,194988.0,25.0
65,2020-07-06,1765.0,1.0,28.0,-1.0,1466.0,271.0,3.0,323.0,5.0,218396.0,40002.0,Slovakia,Europe,114.0,5459685.0,-1.0,3093.0,194989.0,25.0
66,2020-07-07,1767.0,2.0,28.0,-1.0,1473.0,266.0,3.0,324.0,5.0,219269.0,40161.0,Slovakia,Europe,117.0,5459692.0,7.0,3090.0,194989.0,25.0
67,2020-07-08,1798.0,31.0,28.0,-1.0,1473.0,297.0,3.0,329.0,5.0,221494.0,40569.0,Slovakia,Europe,117.0,5459699.0,-1.0,3037.0,194989.0,25.0
68,2020-07-09,1851.0,53.0,28.0,-1.0,1477.0,346.0,3.0,339.0,5.0,223778.0,40987.0,Slovakia,Europe,116.0,5459706.0,4.0,2950.0,194990.0,24.0
69,2020-07-10,1870.0,19.0,28.0,-1.0,1481.0,361.0,3.0,343.0,5.0,225950.0,41385.0,Slovakia,Europe,116.0,5459713.0,4.0,2920.0,194990.0,24.0
70,2020-07-11,1893.0,23.0,28.0,-1.0,1493.0,372.0,3.0,347.0,5.0,228829.0,41912.0,Slovakia,Europe,115.0,5459721.0,12.0,2884.0,194990.0,24.0
71,2020-07-12,1901.0,8.0,28.0,-1.0,1493.0,380.0,3.0,348.0,5.0,229789.0,42088.0,Slovakia,Europe,114.0,5459735.0,-1.0,2872.0,194991.0,24.0
72,2020-07-13,1902.0,1.0,28.0,-1.0,1493.0,381.0,3.0,348.0,5.0,230068.0,42139.0,Slovakia,Europe,114.0,5459735.0,-1.0,2871.0,194991.0,24.0
73,2020-07-14,1908.0,6.0,28.0,-1.0,1493.0,387.0,3.0,349.0,5.0,231231.0,42352.0,Slovakia,Europe,114.0,5459742.0,-1.0,2862.0,194991.0,24.0
74,2020-07-15,1927.0,19.0,28.0,-1.0,1507.0,392.0,2.0,353.0,5.0,233436.0,42756.0,Slovakia,Europe,114.0,5459749.0,14.0,2833.0,194991.0,23.0
75,2020-07-16,1951.0,24.0,28.0,-1.0,1514.0,409.0,2.0,357.0,5.0,235772.0,43184.0,Slovakia,Europe,114.0,5459757.0,7.0,2798.0,194991.0,23.0
76,2020-07-17,1965.0,14.0,28.0,-1.0,1523.0,414.0,2.0,360.0,5.0,237634.0,43525.0,Slovakia,Europe,115.0,5459764.0,9.0,2779.0,194992.0,23.0
77,2020-07-18,1976.0,11.0,28.0,-1.0,1523.0,425.0,2.0,362.0,5.0,239795.0,43920.0,Slovakia,Europe,117.0,5459771.0,-1.0,2763.0,194992.0,23.0
78,2020-07-19,1979.0,3.0,28.0,-1.0,1530.0,421.0,2.0,362.0,5.0,240205.0,43995.0,Slovakia,Europe,117.0,5459778.0,7.0,2759.0,194992.0,23.0
