,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1439.0,5.0,94.0,2.0,239.0,1106.0,21.0,692.0,45.0,55020.0,26465.0,Slovenia,Europe,,,0.0,,,
1,2020-05-03,1439.0,-1.0,96.0,2.0,241.0,1102.0,21.0,692.0,46.0,55520.0,26706.0,Slovenia,Europe,,,0.0,,,
2,2020-05-04,1439.0,-1.0,97.0,1.0,241.0,1101.0,20.0,692.0,47.0,57504.0,27660.0,Slovenia,Europe,,,0.0,,,
3,2020-05-05,1445.0,-1.0,98.0,-1.0,244.0,1103.0,17.0,695.0,47.0,57504.0,27660.0,Slovenia,Europe,,,0.0,,,
4,2020-05-06,1448.0,3.0,99.0,1.0,246.0,1103.0,14.0,697.0,48.0,58923.0,28343.0,Slovenia,Europe,,,0.0,,,
5,2020-05-07,1449.0,1.0,99.0,-1.0,247.0,1103.0,13.0,697.0,48.0,59978.0,28850.0,Slovenia,Europe,,,0.0,,,
6,2020-05-08,1450.0,-1.0,100.0,-1.0,252.0,1098.0,12.0,697.0,48.0,59978.0,28850.0,Slovenia,Europe,,,0.0,,,
7,2020-05-09,1454.0,-1.0,101.0,-1.0,255.0,1098.0,10.0,699.0,49.0,62203.0,29921.0,Slovenia,Europe,,,0.0,,,
8,2020-05-10,1457.0,3.0,102.0,1.0,256.0,1099.0,10.0,701.0,49.0,62828.0,30221.0,Slovenia,Europe,,,0.0,,,
9,2020-05-11,1460.0,3.0,102.0,-1.0,256.0,1102.0,10.0,702.0,49.0,63365.0,30480.0,Slovenia,Europe,,,0.0,,,
10,2020-05-12,1461.0,1.0,102.0,-1.0,259.0,1100.0,9.0,703.0,49.0,64547.0,31048.0,Slovenia,Europe,,,0.0,,,
11,2020-05-13,1463.0,2.0,103.0,1.0,260.0,1100.0,9.0,704.0,50.0,65694.0,31600.0,Slovenia,Europe,,,0.0,,,
12,2020-05-14,1464.0,1.0,103.0,-1.0,267.0,1094.0,7.0,704.0,50.0,66678.0,32073.0,Slovenia,Europe,,,0.0,,,
13,2020-05-15,1465.0,1.0,103.0,-1.0,270.0,1092.0,7.0,705.0,50.0,67701.0,32566.0,Slovenia,Europe,88.0,2078902.0,0.0,,,
14,2020-05-16,1465.0,-1.0,103.0,-1.0,272.0,1090.0,6.0,705.0,50.0,68852.0,33119.0,Slovenia,Europe,88.0,2078903.0,0.0,,,
15,2020-05-17,1466.0,1.0,104.0,1.0,273.0,1089.0,5.0,705.0,50.0,69363.0,33365.0,Slovenia,Europe,89.0,2078904.0,0.0,,,
16,2020-05-18,1466.0,-1.0,104.0,-1.0,274.0,1088.0,5.0,705.0,50.0,69842.0,33596.0,Slovenia,Europe,91.0,2078905.0,0.0,,,
17,2020-05-19,1467.0,1.0,104.0,-1.0,1335.0,28.0,5.0,706.0,50.0,70970.0,34138.0,Slovenia,Europe,92.0,2078905.0,0.0,,,
18,2020-05-20,1468.0,1.0,105.0,1.0,1340.0,23.0,4.0,706.0,51.0,73319.0,35268.0,Slovenia,Europe,95.0,2078906.0,0.0,,,
19,2020-05-21,1468.0,-1.0,106.0,1.0,1340.0,22.0,3.0,706.0,51.0,74228.0,35705.0,Slovenia,Europe,95.0,2078907.0,0.0,,,
