,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,5951.0,-1.0,116.0,-1.0,2382.0,3453.0,36.0,100.0,2.0,217522.0,3668.0,South Africa,Africa,,,0.0,,,
1,2020-05-03,6783.0,447.0,131.0,8.0,2549.0,4103.0,36.0,114.0,2.0,245747.0,4144.0,South Africa,Africa,,,0.0,,,
2,2020-05-04,7220.0,437.0,138.0,7.0,2746.0,4336.0,36.0,122.0,2.0,257541.0,4342.0,South Africa,Africa,,,0.0,,,
3,2020-05-05,7572.0,-1.0,148.0,-1.0,2746.0,4678.0,36.0,128.0,2.0,268064.0,4520.0,South Africa,Africa,,,0.0,,,
4,2020-05-06,7572.0,-1.0,148.0,-1.0,2746.0,4678.0,36.0,128.0,2.0,268064.0,4520.0,South Africa,Africa,,,0.0,,,
5,2020-05-07,8232.0,424.0,161.0,8.0,3153.0,4918.0,36.0,139.0,3.0,292153.0,4926.0,South Africa,Africa,,,0.0,,,
6,2020-05-08,8895.0,-1.0,178.0,-1.0,3153.0,5564.0,77.0,150.0,3.0,307752.0,5189.0,South Africa,Africa,,,0.0,,,
7,2020-05-09,9420.0,-1.0,186.0,-1.0,3983.0,5251.0,77.0,159.0,3.0,324079.0,5464.0,South Africa,Africa,,,0.0,,,
8,2020-05-10,10015.0,595.0,194.0,8.0,4173.0,5648.0,77.0,169.0,3.0,341336.0,5755.0,South Africa,Africa,,,0.0,,,
9,2020-05-11,10652.0,637.0,206.0,12.0,4357.0,6089.0,77.0,180.0,3.0,356067.0,6004.0,South Africa,Africa,,,0.0,,,
10,2020-05-12,11350.0,698.0,206.0,-1.0,4357.0,6787.0,77.0,191.0,3.0,369697.0,6233.0,South Africa,Africa,,,0.0,,,
11,2020-05-13,11350.0,-1.0,206.0,-1.0,4357.0,6787.0,77.0,191.0,3.0,369697.0,6233.0,South Africa,Africa,,,0.0,,,
12,2020-05-14,12739.0,665.0,238.0,19.0,5676.0,6825.0,119.0,215.0,4.0,403018.0,6795.0,South Africa,Africa,,,0.0,,,
13,2020-05-15,13524.0,785.0,247.0,9.0,6083.0,7194.0,119.0,228.0,4.0,421555.0,7120.0,South Africa,Africa,38.0,59209961.0,0.0,,,
14,2020-05-16,14355.0,831.0,261.0,14.0,6478.0,7616.0,119.0,242.0,4.0,439559.0,7423.0,South Africa,Africa,37.0,59212004.0,0.0,,,
15,2020-05-17,14355.0,-1.0,261.0,-1.0,6478.0,7616.0,119.0,242.0,4.0,439559.0,7423.0,South Africa,Africa,39.0,59214047.0,0.0,,,
16,2020-05-18,15515.0,-1.0,264.0,-1.0,7006.0,8245.0,119.0,262.0,4.0,460873.0,7783.0,South Africa,Africa,39.0,59216090.0,0.0,,,
17,2020-05-19,16433.0,-1.0,286.0,-1.0,7298.0,8849.0,119.0,277.0,5.0,475071.0,8022.0,South Africa,Africa,36.0,59218133.0,0.0,,,
18,2020-05-20,18003.0,803.0,339.0,27.0,8950.0,8714.0,119.0,304.0,6.0,506861.0,8559.0,South Africa,Africa,33.0,59220176.0,0.0,,,
19,2020-05-21,19137.0,1134.0,369.0,30.0,8950.0,9818.0,119.0,323.0,6.0,525433.0,8872.0,South Africa,Africa,33.0,59222219.0,0.0,,,
20,2020-05-22,20125.0,988.0,397.0,28.0,10104.0,9624.0,119.0,340.0,7.0,543032.0,9169.0,South Africa,Africa,33.0,59224262.0,0.0,,,
21,2020-05-23,21343.0,1218.0,407.0,10.0,10104.0,10832.0,119.0,360.0,7.0,564370.0,9529.0,South Africa,Africa,31.0,59226304.0,0.0,,,
22,2020-05-24,22583.0,1240.0,429.0,22.0,11100.0,11054.0,128.0,381.0,7.0,583855.0,9858.0,South Africa,Africa,30.0,59228347.0,0.0,,,
23,2020-05-25,22583.0,-1.0,429.0,-1.0,11100.0,11054.0,128.0,381.0,7.0,583855.0,9857.0,South Africa,Africa,31.0,59230390.0,0.0,,,
24,2020-05-26,23615.0,-1.0,481.0,-1.0,11917.0,11217.0,128.0,399.0,8.0,596777.0,10075.0,South Africa,Africa,30.0,59232433.0,0.0,,,
25,2020-05-27,25937.0,-1.0,552.0,-1.0,13451.0,11934.0,128.0,438.0,9.0,634996.0,10720.0,South Africa,Africa,29.0,59236519.0,0.0,,,
26,2020-05-28,25937.0,-1.0,552.0,-1.0,13451.0,11934.0,128.0,438.0,9.0,634996.0,10720.0,South Africa,Africa,29.0,59236519.0,0.0,,,
27,2020-05-29,29240.0,1837.0,611.0,34.0,15093.0,13536.0,128.0,494.0,10.0,680175.0,11482.0,South Africa,Africa,29.0,59238562.0,0.0,,,
