,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,45.0,-1.0,-1.0,-1.0,-1.0,45.0,-1.0,4.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
1,2020-05-03,46.0,1.0,-1.0,-1.0,-1.0,46.0,-1.0,4.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
2,2020-05-04,46.0,-1.0,-1.0,-1.0,-1.0,46.0,-1.0,4.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
3,2020-05-05,52.0,-1.0,-1.0,-1.0,-1.0,52.0,-1.0,5.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
4,2020-05-06,58.0,6.0,-1.0,-1.0,-1.0,58.0,-1.0,5.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
5,2020-05-07,74.0,16.0,-1.0,-1.0,-1.0,74.0,-1.0,7.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
6,2020-05-08,120.0,-1.0,-1.0,-1.0,2.0,118.0,-1.0,11.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
7,2020-05-09,120.0,-1.0,-1.0,-1.0,2.0,118.0,-1.0,11.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
8,2020-05-10,120.0,-1.0,-1.0,-1.0,2.0,118.0,-1.0,11.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
9,2020-05-11,156.0,36.0,-1.0,-1.0,2.0,154.0,-1.0,14.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
10,2020-05-12,156.0,-1.0,-1.0,-1.0,2.0,154.0,-1.0,14.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
11,2020-05-13,194.0,-1.0,-1.0,-1.0,2.0,192.0,-1.0,17.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
12,2020-05-14,203.0,-1.0,-1.0,-1.0,2.0,201.0,-1.0,18.0,-1.0,1247.0,111.0,South Sudan,Africa,,,0.0,,,
13,2020-05-15,231.0,28.0,1.0,1.0,3.0,227.0,-1.0,21.0,0.09,3356.0,300.0,South Sudan,Africa,143.0,11176461.0,0.0,,,
14,2020-05-16,236.0,-1.0,4.0,-1.0,4.0,228.0,-1.0,21.0,0.4,3356.0,300.0,South Sudan,Africa,144.0,11176820.0,0.0,,,
15,2020-05-17,290.0,54.0,4.0,-1.0,4.0,282.0,-1.0,26.0,0.4,3356.0,300.0,South Sudan,Africa,143.0,11177178.0,0.0,,,
16,2020-05-18,290.0,-1.0,4.0,-1.0,4.0,282.0,-1.0,26.0,0.4,3356.0,300.0,South Sudan,Africa,144.0,11177537.0,0.0,,,
17,2020-05-19,290.0,-1.0,4.0,-1.0,4.0,282.0,-1.0,26.0,0.4,3356.0,300.0,South Sudan,Africa,144.0,11177895.0,0.0,,,
18,2020-05-20,290.0,-1.0,4.0,-1.0,4.0,282.0,-1.0,26.0,0.4,3356.0,300.0,South Sudan,Africa,143.0,11178254.0,0.0,,,
19,2020-05-21,481.0,191.0,4.0,-1.0,4.0,473.0,-1.0,43.0,0.4,3356.0,300.0,South Sudan,Africa,128.0,11178612.0,0.0,,,
20,2020-05-22,481.0,-1.0,4.0,-1.0,4.0,473.0,-1.0,43.0,0.4,3356.0,300.0,South Sudan,Africa,129.0,11178970.0,0.0,,,
21,2020-05-23,563.0,-1.0,6.0,-1.0,6.0,551.0,-1.0,50.0,0.5,3356.0,300.0,South Sudan,Africa,126.0,11179329.0,0.0,,,
22,2020-05-24,655.0,-1.0,8.0,-1.0,6.0,641.0,-1.0,59.0,0.7,3356.0,300.0,South Sudan,Africa,124.0,11179687.0,0.0,,,
23,2020-05-25,655.0,-1.0,8.0,-1.0,6.0,641.0,-1.0,59.0,0.7,3356.0,300.0,South Sudan,Africa,125.0,11180046.0,0.0,,,
24,2020-05-26,806.0,-1.0,8.0,-1.0,6.0,792.0,-1.0,72.0,0.7,3356.0,300.0,South Sudan,Africa,116.0,11180404.0,0.0,,,
25,2020-05-27,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,111.0,11181121.0,0.0,,,
26,2020-05-28,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,113.0,11181121.0,0.0,,,
27,2020-05-29,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,113.0,11181480.0,0.0,,,
28,2020-05-30,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,114.0,11181838.0,0.0,,,
29,2020-05-31,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,115.0,11182197.0,0.0,,,
30,2020-06-01,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,116.0,11182555.0,0.0,,,
31,2020-06-02,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,117.0,11182914.0,-1.0,11250.0,1118291.0,3.0
32,2020-06-03,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,117.0,11183272.0,-1.0,11251.0,1118327.0,3.0
33,2020-06-04,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,117.0,11183630.0,-1.0,11251.0,1118363.0,3.0
34,2020-06-05,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,117.0,11183989.0,-1.0,11251.0,1118399.0,3.0
35,2020-06-06,994.0,-1.0,10.0,-1.0,6.0,978.0,-1.0,89.0,0.9,3356.0,300.0,South Sudan,Africa,118.0,11184347.0,-1.0,11252.0,1118435.0,3.0
36,2020-06-07,1317.0,323.0,14.0,4.0,6.0,1297.0,-1.0,118.0,1.0,3356.0,300.0,South Sudan,Africa,109.0,11184706.0,-1.0,8493.0,798908.0,3.0
37,2020-06-08,1604.0,287.0,19.0,5.0,15.0,1570.0,-1.0,143.0,2.0,3356.0,300.0,South Sudan,Africa,102.0,11185064.0,9.0,6973.0,588688.0,3.0
38,2020-06-09,1604.0,-1.0,19.0,-1.0,15.0,1570.0,-1.0,143.0,2.0,3356.0,300.0,South Sudan,Africa,102.0,11185423.0,-1.0,6973.0,588706.0,3.0
39,2020-06-10,1604.0,-1.0,19.0,-1.0,15.0,1570.0,-1.0,143.0,2.0,3356.0,300.0,South Sudan,Africa,103.0,11185781.0,-1.0,6974.0,588725.0,3.0
40,2020-06-11,1670.0,66.0,24.0,5.0,48.0,1598.0,-1.0,149.0,2.0,3356.0,300.0,South Sudan,Africa,103.0,11186140.0,33.0,6698.0,466089.0,3.0
41,2020-06-12,1670.0,-1.0,24.0,-1.0,48.0,1598.0,-1.0,149.0,2.0,3356.0,300.0,South Sudan,Africa,103.0,11186498.0,-1.0,6699.0,466104.0,3.0
42,2020-06-13,1693.0,23.0,27.0,3.0,49.0,1617.0,-1.0,151.0,2.0,3356.0,300.0,South Sudan,Africa,103.0,11186857.0,1.0,6608.0,414328.0,3.0
43,2020-06-14,1693.0,-1.0,27.0,-1.0,49.0,1617.0,-1.0,151.0,2.0,3356.0,300.0,South Sudan,Africa,104.0,11187215.0,-1.0,6608.0,414341.0,3.0
44,2020-06-15,1693.0,-1.0,27.0,-1.0,49.0,1617.0,-1.0,151.0,2.0,3356.0,300.0,South Sudan,Africa,105.0,11187573.0,-1.0,6608.0,414355.0,3.0
45,2020-06-16,1776.0,83.0,30.0,3.0,58.0,1688.0,2.0,159.0,3.0,3356.0,300.0,South Sudan,Africa,106.0,11187932.0,9.0,6300.0,372931.0,3.0
46,2020-06-17,1776.0,-1.0,30.0,-1.0,58.0,1688.0,2.0,159.0,3.0,3356.0,300.0,South Sudan,Africa,106.0,11188290.0,-1.0,6300.0,372943.0,3.0
47,2020-06-18,1830.0,17.0,32.0,1.0,117.0,1681.0,2.0,164.0,3.0,3356.0,300.0,South Sudan,Africa,103.0,11188649.0,28.0,6114.0,349645.0,3.0
48,2020-06-19,1864.0,34.0,34.0,2.0,122.0,1708.0,2.0,167.0,3.0,9829.0,878.0,South Sudan,Africa,104.0,11189007.0,5.0,6003.0,329088.0,1.0
49,2020-06-20,1882.0,18.0,34.0,-1.0,122.0,1726.0,2.0,168.0,3.0,9829.0,878.0,South Sudan,Africa,105.0,11189724.0,-1.0,5946.0,329110.0,1.0
50,2020-06-21,1892.0,10.0,34.0,-1.0,169.0,1689.0,2.0,169.0,3.0,9829.0,878.0,South Sudan,Africa,105.0,11189724.0,47.0,5914.0,329110.0,1.0
51,2020-06-22,1916.0,24.0,35.0,1.0,190.0,1691.0,2.0,171.0,3.0,9829.0,878.0,South Sudan,Africa,105.0,11190083.0,21.0,5840.0,319717.0,1.0
52,2020-06-23,1930.0,14.0,36.0,1.0,217.0,1677.0,1.0,172.0,3.0,10165.0,908.0,South Sudan,Africa,106.0,11190441.0,27.0,5798.0,310846.0,1.0
53,2020-06-24,1930.0,-1.0,36.0,-1.0,217.0,1677.0,1.0,172.0,3.0,10165.0,908.0,South Sudan,Africa,106.0,11190800.0,-1.0,5798.0,310856.0,1.0
54,2020-06-25,1942.0,-1.0,36.0,-1.0,224.0,1682.0,1.0,174.0,3.0,10226.0,914.0,South Sudan,Africa,106.0,11191158.0,-1.0,5763.0,310866.0,1.0
55,2020-06-26,1942.0,-1.0,36.0,-1.0,224.0,1682.0,1.0,174.0,3.0,10226.0,914.0,South Sudan,Africa,107.0,11191517.0,-1.0,5763.0,310875.0,1.0
56,2020-06-27,1942.0,-1.0,36.0,-1.0,224.0,1682.0,1.0,174.0,3.0,10226.0,914.0,South Sudan,Africa,108.0,11191875.0,-1.0,5763.0,310885.0,1.0
57,2020-06-28,1989.0,47.0,36.0,-1.0,246.0,1707.0,1.0,178.0,3.0,10226.0,914.0,South Sudan,Africa,109.0,11192233.0,22.0,5627.0,310895.0,1.0
58,2020-06-29,1989.0,-1.0,36.0,-1.0,246.0,1707.0,1.0,178.0,3.0,10226.0,914.0,South Sudan,Africa,109.0,11192592.0,-1.0,5627.0,310905.0,1.0
59,2020-06-30,2007.0,18.0,38.0,2.0,279.0,1690.0,1.0,179.0,3.0,10660.0,952.0,South Sudan,Africa,108.0,11192950.0,33.0,5577.0,294551.0,1.0
60,2020-07-01,2021.0,14.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,108.0,11193309.0,54.0,5539.0,294561.0,1.0
61,2020-07-02,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,108.0,11193667.0,-1.0,5539.0,294570.0,1.0
62,2020-07-03,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,109.0,11194026.0,-1.0,5539.0,294580.0,1.0
63,2020-07-04,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,109.0,11194384.0,-1.0,5539.0,294589.0,1.0
64,2020-07-05,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,109.0,11194743.0,-1.0,5539.0,294599.0,1.0
65,2020-07-06,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,109.0,11195101.0,-1.0,5539.0,294608.0,1.0
66,2020-07-07,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,109.0,11195460.0,-1.0,5540.0,294617.0,1.0
67,2020-07-08,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,109.0,11195818.0,-1.0,5540.0,294627.0,1.0
68,2020-07-09,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,109.0,11196176.0,-1.0,5540.0,294636.0,1.0
69,2020-07-10,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,181.0,3.0,10824.0,967.0,South Sudan,Africa,112.0,11196535.0,-1.0,5540.0,294646.0,1.0
70,2020-07-11,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,180.0,3.0,10824.0,967.0,South Sudan,Africa,112.0,11196893.0,-1.0,5540.0,294655.0,1.0
71,2020-07-12,2021.0,-1.0,38.0,-1.0,333.0,1650.0,-1.0,180.0,3.0,10824.0,967.0,South Sudan,Africa,112.0,11197610.0,-1.0,5541.0,294674.0,1.0
72,2020-07-13,2148.0,127.0,41.0,3.0,333.0,1774.0,-1.0,192.0,4.0,10824.0,967.0,South Sudan,Africa,111.0,11197610.0,-1.0,5213.0,273112.0,1.0
73,2020-07-14,2148.0,-1.0,41.0,-1.0,333.0,1774.0,-1.0,192.0,4.0,10824.0,967.0,South Sudan,Africa,111.0,11197969.0,-1.0,5213.0,273121.0,1.0
74,2020-07-15,2153.0,5.0,41.0,-1.0,1175.0,937.0,-1.0,192.0,4.0,12044.0,1076.0,South Sudan,Africa,112.0,11198327.0,842.0,5201.0,273130.0,930.0
75,2020-07-16,2153.0,-1.0,41.0,-1.0,1175.0,937.0,-1.0,192.0,4.0,12044.0,1075.0,South Sudan,Africa,112.0,11198686.0,-1.0,5201.0,273139.0,930.0
76,2020-07-17,2191.0,20.0,43.0,2.0,1175.0,973.0,-1.0,196.0,4.0,12044.0,1075.0,South Sudan,Africa,113.0,11199044.0,-1.0,5111.0,260443.0,930.0
77,2020-07-18,2191.0,-1.0,43.0,-1.0,1175.0,973.0,-1.0,196.0,4.0,12044.0,1075.0,South Sudan,Africa,113.0,11199403.0,-1.0,5112.0,260451.0,930.0
78,2020-07-19,2200.0,9.0,43.0,-1.0,1175.0,982.0,-1.0,196.0,4.0,12044.0,1075.0,South Sudan,Africa,113.0,11199761.0,-1.0,5091.0,260460.0,930.0
79,2020-07-20,2211.0,11.0,45.0,2.0,1175.0,991.0,-1.0,197.0,4.0,12044.0,1075.0,South Sudan,Africa,113.0,11200120.0,-1.0,5066.0,248892.0,930.0
80,2020-07-21,2211.0,-1.0,45.0,-1.0,1175.0,991.0,-1.0,197.0,4.0,12044.0,1075.0,South Sudan,Africa,114.0,11200478.0,-1.0,5066.0,248900.0,930.0
81,2020-07-22,2211.0,-1.0,45.0,-1.0,1175.0,991.0,-1.0,197.0,4.0,12044.0,1075.0,South Sudan,Africa,114.0,11200836.0,-1.0,5066.0,248907.0,930.0
82,2020-07-23,2239.0,28.0,45.0,-1.0,1175.0,1019.0,-1.0,200.0,4.0,12044.0,1075.0,South Sudan,Africa,116.0,11201553.0,-1.0,5003.0,248923.0,930.0
83,2020-07-24,2258.0,19.0,45.0,-1.0,1175.0,1038.0,-1.0,202.0,4.0,12044.0,1075.0,South Sudan,Africa,117.0,11201553.0,-1.0,4961.0,248923.0,930.0
84,2020-07-25,2258.0,-1.0,45.0,-1.0,1175.0,1038.0,-1.0,202.0,4.0,12044.0,1075.0,South Sudan,Africa,117.0,11201912.0,-1.0,4961.0,248931.0,930.0
85,2020-07-26,2258.0,-1.0,45.0,-1.0,1175.0,1038.0,-1.0,202.0,4.0,12044.0,1075.0,South Sudan,Africa,117.0,11202270.0,-1.0,4961.0,248939.0,930.0
86,2020-07-27,2305.0,43.0,46.0,1.0,1175.0,1084.0,-1.0,206.0,4.0,12044.0,1075.0,South Sudan,Africa,119.0,11202629.0,-1.0,4860.0,243535.0,930.0
87,2020-07-28,2305.0,-1.0,46.0,-1.0,1175.0,1084.0,-1.0,206.0,4.0,12044.0,1075.0,South Sudan,Africa,119.0,11203346.0,-1.0,4860.0,243551.0,930.0
88,2020-07-29,2322.0,17.0,46.0,-1.0,1175.0,1101.0,-1.0,207.0,4.0,12044.0,1075.0,South Sudan,Africa,119.0,11203346.0,-1.0,4825.0,243551.0,930.0
89,2020-07-30,2322.0,-1.0,46.0,-1.0,1175.0,1101.0,-1.0,207.0,4.0,12044.0,1075.0,South Sudan,Africa,119.0,11203704.0,-1.0,4825.0,243559.0,930.0
90,2020-07-31,2322.0,-1.0,46.0,-1.0,1175.0,1101.0,-1.0,207.0,4.0,12044.0,1075.0,South Sudan,Africa,119.0,11204063.0,-1.0,4825.0,243567.0,930.0
91,2020-08-01,2352.0,30.0,46.0,-1.0,1175.0,1131.0,-1.0,210.0,4.0,12044.0,1075.0,South Sudan,Africa,119.0,11204421.0,-1.0,4764.0,243574.0,930.0
92,2020-08-02,2429.0,77.0,46.0,-1.0,1175.0,1208.0,-1.0,217.0,4.0,12044.0,1075.0,South Sudan,Africa,119.0,11204779.0,-1.0,4613.0,243582.0,930.0
