,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,245567.0,2588.0,25100.0,276.0,146233.0,74234.0,2386.0,5252.0,537.0,1528833.0,32699.0,Spain,Europe,,,0.0,,,
1,2020-05-03,247122.0,1533.0,25264.0,164.0,148558.0,73300.0,2386.0,5285.0,540.0,1932455.0,41332.0,Spain,Europe,,,0.0,,,
2,2020-05-04,248301.0,1179.0,25428.0,164.0,151633.0,71240.0,2254.0,5311.0,544.0,1932455.0,41332.0,Spain,Europe,,,0.0,,,
3,2020-05-05,250561.0,-1.0,25613.0,-1.0,154718.0,70230.0,2254.0,5359.0,548.0,1932455.0,41332.0,Spain,Europe,,,0.0,,,
4,2020-05-06,253682.0,3121.0,25857.0,244.0,159359.0,68466.0,2075.0,5426.0,553.0,1932455.0,41332.0,Spain,Europe,,,0.0,,,
5,2020-05-07,256855.0,3173.0,26070.0,213.0,163919.0,66866.0,2075.0,5494.0,558.0,1932455.0,41332.0,Spain,Europe,,,0.0,,,
6,2020-05-08,260117.0,-1.0,26299.0,-1.0,168408.0,65410.0,2075.0,5563.0,562.0,1932455.0,41332.0,Spain,Europe,,,0.0,,,
7,2020-05-09,262783.0,-1.0,26478.0,-1.0,173157.0,63148.0,1741.0,5620.0,566.0,2467761.0,52781.0,Spain,Europe,,,0.0,,,
8,2020-05-10,264663.0,1880.0,26621.0,143.0,176439.0,61603.0,1650.0,5661.0,569.0,2467761.0,52781.0,Spain,Europe,,,0.0,,,
9,2020-05-11,268143.0,3480.0,26744.0,123.0,177846.0,63553.0,1650.0,5735.0,572.0,2467761.0,52781.0,Spain,Europe,,,0.0,,,
10,2020-05-12,269520.0,1377.0,26920.0,176.0,180470.0,62130.0,1534.0,5765.0,576.0,2467761.0,52781.0,Spain,Europe,,,0.0,,,
11,2020-05-13,271095.0,1575.0,27104.0,184.0,183227.0,60764.0,1534.0,5798.0,580.0,2467761.0,52781.0,Spain,Europe,,,0.0,,,
12,2020-05-14,272646.0,1551.0,27321.0,217.0,186480.0,58845.0,1376.0,5831.0,584.0,2467761.0,52781.0,Spain,Europe,,,0.0,,,
13,2020-05-15,274367.0,1721.0,27459.0,138.0,188967.0,57941.0,1320.0,5868.0,587.0,2467761.0,52784.0,Spain,Europe,2.0,46752506.0,0.0,,,
14,2020-05-16,276505.0,2138.0,27563.0,104.0,192253.0,56689.0,1208.0,5914.0,590.0,3037840.0,64977.0,Spain,Europe,2.0,46752556.0,0.0,,,
15,2020-05-17,277719.0,1214.0,27650.0,87.0,195945.0,54124.0,1152.0,5940.0,591.0,3037840.0,64977.0,Spain,Europe,3.0,46752605.0,0.0,,,
16,2020-05-18,278188.0,469.0,27709.0,59.0,195945.0,54534.0,1152.0,5950.0,593.0,3037840.0,64977.0,Spain,Europe,3.0,46752654.0,0.0,,,
17,2020-05-19,278188.0,-1.0,27709.0,-1.0,196958.0,53521.0,1152.0,5950.0,593.0,3037840.0,64977.0,Spain,Europe,3.0,46752703.0,0.0,,,
18,2020-05-20,279524.0,721.0,27888.0,110.0,196958.0,54678.0,1152.0,5979.0,596.0,3037840.0,64977.0,Spain,Europe,3.0,46752753.0,0.0,,,
19,2020-05-21,280117.0,593.0,27940.0,52.0,196958.0,55219.0,1152.0,5991.0,598.0,3037840.0,64977.0,Spain,Europe,4.0,46752802.0,0.0,,,
20,2020-05-22,281904.0,1787.0,28628.0,688.0,196958.0,56318.0,1152.0,6030.0,612.0,3037840.0,64977.0,Spain,Europe,4.0,46752851.0,0.0,,,
21,2020-05-23,282370.0,466.0,28678.0,50.0,196958.0,56734.0,1152.0,6040.0,613.0,3037840.0,64977.0,Spain,Europe,4.0,46752901.0,0.0,,,
22,2020-05-24,282852.0,482.0,28752.0,74.0,196958.0,57142.0,854.0,6050.0,615.0,3556567.0,76071.0,Spain,Europe,4.0,46752950.0,0.0,,,
23,2020-05-25,282852.0,-1.0,28752.0,-1.0,196958.0,57142.0,854.0,6050.0,615.0,3556567.0,76071.0,Spain,Europe,4.0,46752999.0,0.0,,,
24,2020-05-26,283339.0,859.0,27117.0,280.0,196958.0,59264.0,854.0,6060.0,580.0,3556567.0,76071.0,Spain,Europe,4.0,46753049.0,0.0,,,
25,2020-05-27,283849.0,-1.0,27118.0,-1.0,196958.0,59773.0,854.0,6071.0,580.0,3556567.0,76071.0,Spain,Europe,4.0,46753147.0,0.0,,,
26,2020-05-28,284986.0,1137.0,27119.0,1.0,196958.0,60909.0,854.0,6096.0,580.0,3556567.0,76071.0,Spain,Europe,4.0,46753147.0,0.0,,,
27,2020-05-29,285644.0,658.0,27121.0,2.0,196958.0,61565.0,617.0,6110.0,580.0,3556567.0,76071.0,Spain,Europe,4.0,46753197.0,0.0,,,
28,2020-05-30,286308.0,664.0,27125.0,4.0,196958.0,62225.0,617.0,6124.0,580.0,3556567.0,76071.0,Spain,Europe,4.0,46753246.0,0.0,,,
29,2020-05-31,286509.0,201.0,27127.0,2.0,196958.0,62424.0,617.0,6128.0,580.0,4063843.0,86921.0,Spain,Europe,4.0,46753295.0,0.0,,,
30,2020-06-01,286718.0,209.0,27127.0,-1.0,196958.0,62633.0,617.0,6133.0,580.0,4063843.0,86921.0,Spain,Europe,4.0,46753345.0,0.0,,,
31,2020-06-02,287012.0,294.0,27127.0,-1.0,-1.0,-1.0,617.0,6139.0,580.0,4063843.0,86921.0,Spain,Europe,4.0,46753394.0,-1.0,163.0,1724.0,12.0
32,2020-06-03,287406.0,394.0,27128.0,1.0,-1.0,-1.0,617.0,6147.0,580.0,4063843.0,86921.0,Spain,Europe,4.0,46753443.0,-1.0,163.0,1723.0,12.0
33,2020-06-04,287740.0,334.0,27133.0,5.0,-1.0,-1.0,617.0,6154.0,580.0,4063843.0,86921.0,Spain,Europe,4.0,46753492.0,-1.0,162.0,1723.0,12.0
34,2020-06-05,288058.0,318.0,27134.0,1.0,-1.0,-1.0,617.0,6161.0,580.0,4063843.0,86921.0,Spain,Europe,4.0,46753542.0,-1.0,162.0,1723.0,12.0
35,2020-06-06,288390.0,332.0,27135.0,1.0,-1.0,-1.0,617.0,6168.0,580.0,4063843.0,86920.0,Spain,Europe,4.0,46753591.0,-1.0,162.0,1723.0,12.0
36,2020-06-07,288630.0,240.0,27136.0,1.0,-1.0,-1.0,617.0,6173.0,580.0,4063843.0,86920.0,Spain,Europe,4.0,46753640.0,-1.0,162.0,1723.0,12.0
37,2020-06-08,288797.0,167.0,27136.0,-1.0,-1.0,-1.0,617.0,6177.0,580.0,4465338.0,95508.0,Spain,Europe,4.0,46753690.0,-1.0,162.0,1723.0,10.0
38,2020-06-09,289046.0,249.0,27136.0,-1.0,-1.0,-1.0,617.0,6182.0,580.0,4465338.0,95508.0,Spain,Europe,5.0,46753739.0,-1.0,162.0,1723.0,10.0
39,2020-06-10,289360.0,314.0,27136.0,-1.0,-1.0,-1.0,617.0,6189.0,580.0,4465338.0,95508.0,Spain,Europe,5.0,46753788.0,-1.0,162.0,1723.0,10.0
40,2020-06-11,289787.0,427.0,27136.0,-1.0,-1.0,-1.0,617.0,6198.0,580.0,4465338.0,95507.0,Spain,Europe,6.0,46753838.0,-1.0,161.0,1723.0,10.0
41,2020-06-12,290289.0,502.0,27136.0,-1.0,-1.0,-1.0,617.0,6209.0,580.0,4465338.0,95507.0,Spain,Europe,6.0,46753887.0,-1.0,161.0,1723.0,10.0
42,2020-06-13,290685.0,396.0,27136.0,-1.0,-1.0,-1.0,617.0,6217.0,580.0,4465338.0,95507.0,Spain,Europe,6.0,46753936.0,-1.0,161.0,1723.0,10.0
43,2020-06-14,291008.0,323.0,27136.0,-1.0,-1.0,-1.0,617.0,6224.0,580.0,4465338.0,95507.0,Spain,Europe,6.0,46753986.0,-1.0,161.0,1723.0,10.0
44,2020-06-15,291189.0,181.0,27136.0,-1.0,-1.0,-1.0,617.0,6228.0,580.0,4826516.0,103232.0,Spain,Europe,6.0,46754035.0,-1.0,161.0,1723.0,10.0
45,2020-06-16,291408.0,219.0,27136.0,-1.0,-1.0,-1.0,617.0,6233.0,580.0,4826516.0,103232.0,Spain,Europe,6.0,46754084.0,-1.0,160.0,1723.0,10.0
46,2020-06-17,291763.0,355.0,27136.0,-1.0,-1.0,-1.0,617.0,6240.0,580.0,4826516.0,103232.0,Spain,Europe,6.0,46754133.0,-1.0,160.0,1723.0,10.0
47,2020-06-18,292348.0,585.0,27136.0,-1.0,-1.0,-1.0,617.0,6253.0,580.0,4826516.0,103232.0,Spain,Europe,6.0,46754183.0,-1.0,160.0,1723.0,10.0
