,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,702.0,12.0,7.0,-1.0,172.0,523.0,1.0,33.0,0.3,23525.0,1099.0,Sri Lanka,Asia,,,0.0,,,
1,2020-05-03,718.0,16.0,7.0,-1.0,184.0,527.0,1.0,34.0,0.3,25206.0,1177.0,Sri Lanka,Asia,,,0.0,,,
2,2020-05-04,751.0,33.0,8.0,1.0,194.0,549.0,1.0,35.0,0.4,26842.0,1254.0,Sri Lanka,Asia,,,0.0,,,
3,2020-05-05,771.0,-1.0,9.0,-1.0,213.0,549.0,1.0,36.0,0.4,26842.0,1254.0,Sri Lanka,Asia,,,0.0,,,
4,2020-05-06,795.0,24.0,9.0,-1.0,215.0,571.0,1.0,37.0,0.4,29378.0,1372.0,Sri Lanka,Asia,,,0.0,,,
5,2020-05-07,823.0,26.0,9.0,-1.0,232.0,582.0,1.0,38.0,0.4,30525.0,1426.0,Sri Lanka,Asia,,,0.0,,,
6,2020-05-08,835.0,-1.0,9.0,-1.0,240.0,586.0,1.0,39.0,0.4,33899.0,1583.0,Sri Lanka,Asia,,,0.0,,,
7,2020-05-09,847.0,-1.0,9.0,-1.0,260.0,578.0,1.0,40.0,0.4,33899.0,1583.0,Sri Lanka,Asia,,,0.0,,,
8,2020-05-10,856.0,9.0,9.0,-1.0,321.0,526.0,1.0,40.0,0.4,35323.0,1650.0,Sri Lanka,Asia,,,0.0,,,
9,2020-05-11,863.0,7.0,9.0,-1.0,343.0,511.0,1.0,40.0,0.4,36605.0,1709.0,Sri Lanka,Asia,,,0.0,,,
10,2020-05-12,889.0,26.0,9.0,-1.0,366.0,514.0,1.0,42.0,0.4,37662.0,1759.0,Sri Lanka,Asia,,,0.0,,,
11,2020-05-13,893.0,4.0,9.0,-1.0,382.0,502.0,1.0,42.0,0.4,38740.0,1809.0,Sri Lanka,Asia,,,0.0,,,
12,2020-05-14,925.0,32.0,9.0,-1.0,445.0,471.0,1.0,43.0,0.4,39629.0,1851.0,Sri Lanka,Asia,,,0.0,,,
13,2020-05-15,935.0,10.0,9.0,-1.0,477.0,449.0,1.0,44.0,0.4,39629.0,1852.0,Sri Lanka,Asia,101.0,21401804.0,0.0,,,
14,2020-05-16,957.0,22.0,9.0,-1.0,520.0,428.0,1.0,45.0,0.4,42056.0,1965.0,Sri Lanka,Asia,101.0,21402049.0,0.0,,,
15,2020-05-17,981.0,24.0,9.0,-1.0,538.0,434.0,1.0,46.0,0.4,43137.0,2016.0,Sri Lanka,Asia,101.0,21402294.0,0.0,,,
16,2020-05-18,991.0,10.0,9.0,-1.0,559.0,423.0,1.0,46.0,0.4,44391.0,2074.0,Sri Lanka,Asia,101.0,21402538.0,0.0,,,
17,2020-05-19,1023.0,31.0,9.0,-1.0,569.0,445.0,1.0,48.0,0.4,45351.0,2119.0,Sri Lanka,Asia,101.0,21402783.0,0.0,,,
18,2020-05-20,1028.0,5.0,9.0,-1.0,584.0,435.0,1.0,48.0,0.4,46413.0,2169.0,Sri Lanka,Asia,102.0,21403028.0,0.0,,,
19,2020-05-21,1048.0,20.0,9.0,-1.0,604.0,435.0,1.0,49.0,0.4,47521.0,2220.0,Sri Lanka,Asia,101.0,21403273.0,0.0,,,
20,2020-05-22,1068.0,20.0,9.0,-1.0,620.0,439.0,1.0,50.0,0.4,49124.0,2295.0,Sri Lanka,Asia,101.0,21403517.0,0.0,,,
21,2020-05-23,1089.0,21.0,9.0,-1.0,660.0,420.0,1.0,51.0,0.4,51094.0,2387.0,Sri Lanka,Asia,101.0,21403762.0,0.0,,,
22,2020-05-24,1141.0,52.0,9.0,-1.0,674.0,458.0,1.0,53.0,0.4,53092.0,2480.0,Sri Lanka,Asia,99.0,21404007.0,0.0,,,
23,2020-05-25,1182.0,41.0,10.0,1.0,695.0,477.0,1.0,55.0,0.5,54834.0,2562.0,Sri Lanka,Asia,99.0,21404252.0,0.0,,,
24,2020-05-26,1317.0,135.0,10.0,-1.0,712.0,595.0,1.0,62.0,0.5,56181.0,2625.0,Sri Lanka,Asia,99.0,21404496.0,0.0,,,
25,2020-05-27,1469.0,-1.0,10.0,-1.0,732.0,727.0,1.0,69.0,0.5,57327.0,2678.0,Sri Lanka,Asia,98.0,21404986.0,0.0,,,
26,2020-05-28,1530.0,61.0,10.0,-1.0,745.0,775.0,1.0,71.0,0.5,59165.0,2764.0,Sri Lanka,Asia,95.0,21404986.0,0.0,,,
27,2020-05-29,1558.0,28.0,10.0,-1.0,754.0,794.0,1.0,73.0,0.5,60878.0,2844.0,Sri Lanka,Asia,95.0,21405231.0,0.0,,,
28,2020-05-30,1613.0,55.0,10.0,-1.0,781.0,822.0,1.0,75.0,0.5,62208.0,2906.0,Sri Lanka,Asia,96.0,21405475.0,0.0,,,
29,2020-05-31,1633.0,20.0,10.0,-1.0,801.0,822.0,1.0,76.0,0.5,63935.0,2987.0,Sri Lanka,Asia,97.0,21405720.0,0.0,,,
30,2020-06-01,1643.0,10.0,11.0,1.0,811.0,821.0,1.0,77.0,0.5,65355.0,3053.0,Sri Lanka,Asia,98.0,21405965.0,0.0,,,
31,2020-06-02,1683.0,40.0,11.0,-1.0,823.0,849.0,1.0,79.0,0.5,66421.0,3103.0,Sri Lanka,Asia,97.0,21406209.0,12.0,12719.0,1946019.0,322.0
32,2020-06-03,1735.0,52.0,11.0,-1.0,836.0,888.0,1.0,81.0,0.5,68204.0,3186.0,Sri Lanka,Asia,98.0,21406454.0,13.0,12338.0,1946041.0,314.0
33,2020-06-04,1797.0,62.0,11.0,-1.0,839.0,947.0,1.0,84.0,0.5,70290.0,3284.0,Sri Lanka,Asia,98.0,21406699.0,3.0,11912.0,1946064.0,305.0
34,2020-06-05,1801.0,4.0,11.0,-1.0,858.0,932.0,1.0,84.0,0.5,72180.0,3372.0,Sri Lanka,Asia,99.0,21406944.0,19.0,11886.0,1946086.0,297.0
35,2020-06-06,1814.0,13.0,11.0,-1.0,891.0,912.0,1.0,85.0,0.5,73996.0,3457.0,Sri Lanka,Asia,98.0,21407188.0,33.0,11801.0,1946108.0,289.0
36,2020-06-07,1835.0,21.0,11.0,-1.0,941.0,883.0,1.0,86.0,0.5,75239.0,3515.0,Sri Lanka,Asia,98.0,21407433.0,50.0,11666.0,1946130.0,285.0
37,2020-06-08,1857.0,22.0,11.0,-1.0,990.0,856.0,1.0,87.0,0.5,76957.0,3595.0,Sri Lanka,Asia,98.0,21407678.0,49.0,11528.0,1946153.0,278.0
38,2020-06-09,1859.0,2.0,11.0,-1.0,1057.0,791.0,1.0,87.0,0.5,76957.0,3595.0,Sri Lanka,Asia,98.0,21407923.0,67.0,11516.0,1946175.0,278.0
39,2020-06-10,1869.0,10.0,11.0,-1.0,1122.0,736.0,1.0,87.0,0.5,80302.0,3751.0,Sri Lanka,Asia,99.0,21408167.0,65.0,11454.0,1946197.0,267.0
40,2020-06-11,1877.0,8.0,11.0,-1.0,1150.0,716.0,1.0,88.0,0.5,81735.0,3818.0,Sri Lanka,Asia,99.0,21408412.0,28.0,11406.0,1946219.0,262.0
41,2020-06-12,1880.0,3.0,11.0,-1.0,1196.0,673.0,1.0,88.0,0.5,81735.0,3818.0,Sri Lanka,Asia,99.0,21408657.0,46.0,11388.0,1946242.0,262.0
42,2020-06-13,1884.0,4.0,11.0,-1.0,1252.0,621.0,1.0,88.0,0.5,84802.0,3961.0,Sri Lanka,Asia,99.0,21408902.0,56.0,11364.0,1946264.0,252.0
43,2020-06-14,1889.0,5.0,11.0,-1.0,1287.0,591.0,1.0,88.0,0.5,85967.0,4015.0,Sri Lanka,Asia,99.0,21409146.0,35.0,11334.0,1946286.0,249.0
44,2020-06-15,1905.0,16.0,11.0,-1.0,1342.0,552.0,1.0,89.0,0.5,85967.0,4015.0,Sri Lanka,Asia,99.0,21409391.0,55.0,11239.0,1946308.0,249.0
45,2020-06-16,1915.0,10.0,11.0,-1.0,1371.0,533.0,1.0,89.0,0.5,88734.0,4145.0,Sri Lanka,Asia,100.0,21409636.0,29.0,11180.0,1946331.0,241.0
46,2020-06-17,1924.0,9.0,11.0,-1.0,1397.0,516.0,1.0,90.0,0.5,90010.0,4204.0,Sri Lanka,Asia,100.0,21409881.0,26.0,11128.0,1946353.0,238.0
47,2020-06-18,1946.0,22.0,11.0,-1.0,1421.0,514.0,1.0,91.0,0.5,91391.0,4269.0,Sri Lanka,Asia,100.0,21410125.0,24.0,11002.0,1946375.0,234.0
