,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,16.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,144.0,-1.0,108.0,973.0,St. Vincent Grenadines,North America,,,0.0,,,
1,2020-05-03,16.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,144.0,-1.0,108.0,973.0,St. Vincent Grenadines,North America,,,0.0,,,
2,2020-05-04,17.0,1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
3,2020-05-05,17.0,-1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
4,2020-05-06,17.0,-1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
5,2020-05-07,17.0,-1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
6,2020-05-08,17.0,-1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
7,2020-05-09,17.0,-1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
8,2020-05-10,17.0,-1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
9,2020-05-11,17.0,-1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
10,2020-05-12,17.0,-1.0,-1.0,-1.0,9.0,8.0,-1.0,153.0,-1.0,137.0,1235.0,St. Vincent Grenadines,North America,,,0.0,,,
11,2020-05-13,17.0,-1.0,-1.0,-1.0,12.0,5.0,-1.0,153.0,-1.0,155.0,1397.0,St. Vincent Grenadines,North America,,,0.0,,,
12,2020-05-14,17.0,-1.0,-1.0,-1.0,12.0,5.0,-1.0,153.0,-1.0,155.0,1397.0,St. Vincent Grenadines,North America,,,0.0,,,
13,2020-05-15,17.0,-1.0,-1.0,-1.0,14.0,3.0,-1.0,153.0,-1.0,155.0,1398.0,St. Vincent Grenadines,North America,192.0,110895.0,0.0,,,
14,2020-05-16,17.0,-1.0,-1.0,-1.0,14.0,3.0,-1.0,153.0,-1.0,155.0,1398.0,St. Vincent Grenadines,North America,192.0,110896.0,0.0,,,
15,2020-05-17,17.0,-1.0,-1.0,-1.0,14.0,3.0,-1.0,153.0,-1.0,155.0,1398.0,St. Vincent Grenadines,North America,193.0,110897.0,0.0,,,
16,2020-05-18,17.0,-1.0,-1.0,-1.0,14.0,3.0,-1.0,153.0,-1.0,155.0,1398.0,St. Vincent Grenadines,North America,193.0,110898.0,0.0,,,
17,2020-05-19,17.0,-1.0,-1.0,-1.0,14.0,3.0,-1.0,153.0,-1.0,155.0,1398.0,St. Vincent Grenadines,North America,193.0,110899.0,0.0,,,
18,2020-05-20,17.0,-1.0,-1.0,-1.0,14.0,3.0,-1.0,153.0,-1.0,175.0,1578.0,St. Vincent Grenadines,North America,194.0,110900.0,0.0,,,
19,2020-05-21,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,162.0,-1.0,175.0,1578.0,St. Vincent Grenadines,North America,195.0,110901.0,0.0,,,
20,2020-05-22,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,162.0,-1.0,175.0,1578.0,St. Vincent Grenadines,North America,195.0,110902.0,0.0,,,
21,2020-05-23,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,162.0,-1.0,209.0,1885.0,St. Vincent Grenadines,North America,195.0,110903.0,0.0,,,
22,2020-05-24,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,162.0,-1.0,209.0,1885.0,St. Vincent Grenadines,North America,195.0,110904.0,0.0,,,
23,2020-05-25,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,162.0,-1.0,209.0,1884.0,St. Vincent Grenadines,North America,196.0,110905.0,0.0,,,
24,2020-05-26,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,162.0,-1.0,216.0,1948.0,St. Vincent Grenadines,North America,196.0,110906.0,0.0,,,
25,2020-05-27,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,162.0,-1.0,216.0,1948.0,St. Vincent Grenadines,North America,196.0,110908.0,0.0,,,
26,2020-05-28,25.0,7.0,-1.0,-1.0,14.0,11.0,-1.0,225.0,-1.0,216.0,1948.0,St. Vincent Grenadines,North America,187.0,110908.0,0.0,,,
27,2020-05-29,25.0,-1.0,-1.0,-1.0,14.0,11.0,-1.0,225.0,-1.0,472.0,4256.0,St. Vincent Grenadines,North America,187.0,110909.0,0.0,,,
28,2020-05-30,26.0,-1.0,-1.0,-1.0,14.0,12.0,-1.0,234.0,-1.0,584.0,5266.0,St. Vincent Grenadines,North America,185.0,110910.0,0.0,,,
29,2020-05-31,26.0,-1.0,-1.0,-1.0,15.0,11.0,-1.0,234.0,-1.0,593.0,5347.0,St. Vincent Grenadines,North America,186.0,110911.0,0.0,,,
30,2020-06-01,26.0,-1.0,-1.0,-1.0,15.0,11.0,-1.0,234.0,-1.0,593.0,5347.0,St. Vincent Grenadines,North America,187.0,110912.0,0.0,,,
31,2020-06-02,26.0,-1.0,-1.0,-1.0,15.0,11.0,-1.0,234.0,-1.0,593.0,5347.0,St. Vincent Grenadines,North America,187.0,110913.0,-1.0,4266.0,-1.0,187.0
32,2020-06-03,26.0,-1.0,-1.0,-1.0,15.0,11.0,-1.0,234.0,-1.0,593.0,5346.0,St. Vincent Grenadines,North America,188.0,110914.0,-1.0,4266.0,-1.0,187.0
33,2020-06-04,26.0,-1.0,-1.0,-1.0,15.0,11.0,-1.0,234.0,-1.0,595.0,5365.0,St. Vincent Grenadines,North America,188.0,110914.0,-1.0,4266.0,-1.0,186.0
34,2020-06-05,26.0,-1.0,-1.0,-1.0,15.0,11.0,-1.0,234.0,-1.0,595.0,5364.0,St. Vincent Grenadines,North America,188.0,110915.0,-1.0,4266.0,-1.0,186.0
35,2020-06-06,26.0,-1.0,-1.0,-1.0,15.0,11.0,-1.0,234.0,-1.0,600.0,5409.0,St. Vincent Grenadines,North America,189.0,110916.0,-1.0,4266.0,-1.0,185.0
36,2020-06-07,26.0,-1.0,-1.0,-1.0,15.0,11.0,-1.0,234.0,-1.0,600.0,5409.0,St. Vincent Grenadines,North America,189.0,110917.0,-1.0,4266.0,-1.0,185.0
37,2020-06-08,27.0,-1.0,-1.0,-1.0,16.0,11.0,-1.0,243.0,-1.0,638.0,5752.0,St. Vincent Grenadines,North America,188.0,110918.0,-1.0,4108.0,-1.0,174.0
38,2020-06-09,27.0,-1.0,-1.0,-1.0,16.0,11.0,-1.0,243.0,-1.0,638.0,5752.0,St. Vincent Grenadines,North America,188.0,110919.0,-1.0,4108.0,-1.0,174.0
39,2020-06-10,27.0,-1.0,-1.0,-1.0,25.0,2.0,-1.0,243.0,-1.0,643.0,5797.0,St. Vincent Grenadines,North America,188.0,110920.0,-1.0,4108.0,-1.0,173.0
40,2020-06-11,27.0,-1.0,-1.0,-1.0,25.0,2.0,-1.0,243.0,-1.0,643.0,5797.0,St. Vincent Grenadines,North America,188.0,110921.0,-1.0,4108.0,-1.0,173.0
41,2020-06-12,27.0,-1.0,-1.0,-1.0,25.0,2.0,-1.0,243.0,-1.0,643.0,5797.0,St. Vincent Grenadines,North America,188.0,110922.0,-1.0,4108.0,-1.0,173.0
42,2020-06-13,27.0,-1.0,-1.0,-1.0,25.0,2.0,-1.0,243.0,-1.0,643.0,5797.0,St. Vincent Grenadines,North America,188.0,110923.0,-1.0,4108.0,-1.0,173.0
43,2020-06-14,27.0,-1.0,-1.0,-1.0,25.0,2.0,-1.0,243.0,-1.0,643.0,5797.0,St. Vincent Grenadines,North America,188.0,110924.0,-1.0,4108.0,-1.0,173.0
44,2020-06-15,27.0,-1.0,-1.0,-1.0,25.0,2.0,-1.0,243.0,-1.0,643.0,5797.0,St. Vincent Grenadines,North America,188.0,110925.0,-1.0,4108.0,-1.0,173.0
45,2020-06-16,27.0,-1.0,-1.0,-1.0,25.0,2.0,-1.0,243.0,-1.0,643.0,5797.0,St. Vincent Grenadines,North America,188.0,110926.0,-1.0,4108.0,-1.0,173.0
46,2020-06-17,29.0,-1.0,-1.0,-1.0,25.0,4.0,-1.0,261.0,-1.0,731.0,6590.0,St. Vincent Grenadines,North America,188.0,110927.0,-1.0,3825.0,-1.0,152.0
47,2020-06-18,29.0,-1.0,-1.0,-1.0,25.0,4.0,-1.0,261.0,-1.0,731.0,6590.0,St. Vincent Grenadines,North America,188.0,110928.0,-1.0,3825.0,-1.0,152.0
48,2020-06-19,29.0,-1.0,-1.0,-1.0,26.0,3.0,-1.0,261.0,-1.0,741.0,6680.0,St. Vincent Grenadines,North America,188.0,110929.0,-1.0,3825.0,-1.0,150.0
49,2020-06-20,29.0,-1.0,-1.0,-1.0,26.0,3.0,-1.0,261.0,-1.0,741.0,6680.0,St. Vincent Grenadines,North America,188.0,110931.0,-1.0,3825.0,-1.0,150.0
50,2020-06-21,29.0,-1.0,-1.0,-1.0,26.0,3.0,-1.0,261.0,-1.0,741.0,6680.0,St. Vincent Grenadines,North America,188.0,110931.0,-1.0,3825.0,-1.0,150.0
51,2020-06-22,29.0,-1.0,-1.0,-1.0,26.0,3.0,-1.0,261.0,-1.0,746.0,6725.0,St. Vincent Grenadines,North America,188.0,110932.0,-1.0,3825.0,-1.0,149.0
52,2020-06-23,29.0,-1.0,-1.0,-1.0,27.0,2.0,-1.0,261.0,-1.0,763.0,6878.0,St. Vincent Grenadines,North America,188.0,110933.0,1.0,3825.0,-1.0,145.0
53,2020-06-24,29.0,-1.0,-1.0,-1.0,27.0,2.0,-1.0,261.0,-1.0,763.0,6878.0,St. Vincent Grenadines,North America,189.0,110934.0,-1.0,3825.0,-1.0,145.0
54,2020-06-25,29.0,-1.0,-1.0,-1.0,29.0,0.0,-1.0,261.0,-1.0,784.0,7067.0,St. Vincent Grenadines,North America,189.0,110935.0,2.0,3825.0,-1.0,141.0
55,2020-06-26,29.0,-1.0,-1.0,-1.0,29.0,0.0,-1.0,261.0,-1.0,784.0,7067.0,St. Vincent Grenadines,North America,189.0,110936.0,-1.0,3825.0,-1.0,142.0
56,2020-06-27,29.0,-1.0,-1.0,-1.0,29.0,0.0,-1.0,261.0,-1.0,784.0,7067.0,St. Vincent Grenadines,North America,189.0,110937.0,-1.0,3825.0,-1.0,142.0
