,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,533.0,91.0,36.0,5.0,46.0,451.0,-1.0,12.0,0.8,-1.0,-1.0,Sudan,Africa,,,0.0,,,
1,2020-05-03,592.0,-1.0,41.0,-1.0,52.0,499.0,-1.0,14.0,0.9,-1.0,-1.0,Sudan,Africa,,,0.0,,,
2,2020-05-04,678.0,86.0,41.0,-1.0,61.0,576.0,-1.0,15.0,0.9,-1.0,-1.0,Sudan,Africa,,,0.0,,,
3,2020-05-05,778.0,-1.0,45.0,-1.0,70.0,663.0,-1.0,18.0,1.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
4,2020-05-06,852.0,74.0,45.0,-1.0,80.0,727.0,-1.0,19.0,1.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
5,2020-05-07,930.0,78.0,52.0,3.0,92.0,786.0,-1.0,21.0,1.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
6,2020-05-08,1111.0,-1.0,59.0,-1.0,102.0,950.0,-1.0,25.0,1.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
7,2020-05-09,1164.0,-1.0,64.0,-1.0,119.0,981.0,-1.0,27.0,1.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
8,2020-05-10,1164.0,-1.0,64.0,-1.0,119.0,981.0,-1.0,27.0,1.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
9,2020-05-11,1365.0,-1.0,70.0,-1.0,149.0,1146.0,-1.0,31.0,2.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
10,2020-05-12,1526.0,-1.0,74.0,-1.0,161.0,1291.0,-1.0,35.0,2.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
11,2020-05-13,1661.0,-1.0,80.0,-1.0,173.0,1408.0,-1.0,38.0,2.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
12,2020-05-14,1818.0,-1.0,90.0,-1.0,198.0,1530.0,-1.0,41.0,2.0,-1.0,-1.0,Sudan,Africa,,,0.0,,,
13,2020-05-15,1964.0,146.0,91.0,1.0,205.0,1668.0,-1.0,45.0,2.0,-1.0,-1.0,Sudan,Africa,79.0,43707940.0,0.0,,,
14,2020-05-16,2289.0,325.0,97.0,6.0,222.0,1970.0,-1.0,52.0,2.0,-1.0,-1.0,Sudan,Africa,75.0,43710745.0,0.0,,,
