,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,10.0,-1.0,1.0,-1.0,8.0,1.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
1,2020-05-03,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
2,2020-05-04,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
3,2020-05-05,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
4,2020-05-06,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
5,2020-05-07,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
6,2020-05-08,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
7,2020-05-09,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
8,2020-05-10,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
9,2020-05-11,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
10,2020-05-12,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
11,2020-05-13,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
12,2020-05-14,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,,,0.0,,,
13,2020-05-15,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,205.0,585948.0,0.0,,,
14,2020-05-16,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,205.0,585963.0,0.0,,,
15,2020-05-17,10.0,-1.0,1.0,-1.0,9.0,0.0,-1.0,17.0,2.0,404.0,689.0,Suriname,South America,205.0,585977.0,0.0,,,
