,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,22082.0,562.0,2669.0,16.0,1005.0,18408.0,531.0,2186.0,264.0,119500.0,11833.0,Sweden,Europe,,,0.0,,,
1,2020-05-03,22317.0,235.0,2679.0,10.0,1005.0,18633.0,403.0,2210.0,265.0,119500.0,11833.0,Sweden,Europe,,,0.0,,,
2,2020-05-04,22721.0,404.0,2769.0,90.0,4074.0,15878.0,455.0,2250.0,274.0,119500.0,11833.0,Sweden,Europe,,,0.0,,,
3,2020-05-05,23216.0,-1.0,2854.0,-1.0,4074.0,16288.0,435.0,2299.0,283.0,148500.0,14704.0,Sweden,Europe,,,0.0,,,
4,2020-05-06,23918.0,702.0,2941.0,87.0,4074.0,16903.0,425.0,2368.0,291.0,148500.0,14704.0,Sweden,Europe,,,0.0,,,
5,2020-05-07,24623.0,705.0,3040.0,99.0,4971.0,16612.0,425.0,2438.0,301.0,148500.0,14704.0,Sweden,Europe,,,0.0,,,
6,2020-05-08,25265.0,-1.0,3175.0,-1.0,4971.0,17119.0,425.0,2502.0,314.0,148500.0,14704.0,Sweden,Europe,,,0.0,,,
7,2020-05-09,25921.0,-1.0,3220.0,-1.0,4971.0,17730.0,425.0,2567.0,319.0,148500.0,14704.0,Sweden,Europe,,,0.0,,,
8,2020-05-10,26322.0,401.0,3225.0,5.0,4971.0,18126.0,360.0,2606.0,319.0,148500.0,14704.0,Sweden,Europe,,,0.0,,,
9,2020-05-11,26670.0,348.0,3256.0,31.0,4971.0,18443.0,360.0,2641.0,322.0,148500.0,14704.0,Sweden,Europe,,,0.0,,,
10,2020-05-12,27272.0,602.0,3313.0,57.0,4971.0,18988.0,360.0,2700.0,328.0,148500.0,14704.0,Sweden,Europe,,,0.0,,,
11,2020-05-13,27909.0,637.0,3460.0,147.0,4971.0,19478.0,351.0,2763.0,343.0,177500.0,17576.0,Sweden,Europe,,,0.0,,,
12,2020-05-14,28582.0,673.0,3529.0,69.0,4971.0,20082.0,351.0,2830.0,349.0,177500.0,17576.0,Sweden,Europe,,,0.0,,,
13,2020-05-15,29207.0,625.0,3646.0,117.0,4971.0,20590.0,351.0,2894.0,361.0,177500.0,17590.0,Sweden,Europe,23.0,10091169.0,0.0,,,
14,2020-05-16,29677.0,470.0,3674.0,28.0,4971.0,21032.0,278.0,2941.0,364.0,177500.0,17589.0,Sweden,Europe,23.0,10091340.0,0.0,,,
15,2020-05-17,30143.0,466.0,3679.0,5.0,4971.0,21493.0,287.0,2987.0,365.0,177500.0,17589.0,Sweden,Europe,23.0,10091512.0,0.0,,,
16,2020-05-18,30377.0,234.0,3698.0,19.0,4971.0,21708.0,287.0,3010.0,366.0,177500.0,17589.0,Sweden,Europe,24.0,10091684.0,0.0,,,
17,2020-05-19,30799.0,422.0,3743.0,45.0,4971.0,22085.0,287.0,3052.0,371.0,209900.0,20799.0,Sweden,Europe,23.0,10091856.0,0.0,,,
18,2020-05-20,31523.0,724.0,3831.0,88.0,4971.0,22721.0,352.0,3124.0,380.0,209900.0,20799.0,Sweden,Europe,23.0,10092027.0,0.0,,,
19,2020-05-21,32172.0,649.0,3871.0,40.0,4971.0,23330.0,352.0,3188.0,384.0,209900.0,20798.0,Sweden,Europe,23.0,10092199.0,0.0,,,
20,2020-05-22,32809.0,637.0,3925.0,54.0,4971.0,23913.0,265.0,3251.0,389.0,209900.0,20798.0,Sweden,Europe,23.0,10092371.0,0.0,,,
21,2020-05-23,33188.0,379.0,3992.0,67.0,4971.0,24225.0,265.0,3288.0,396.0,209900.0,20798.0,Sweden,Europe,23.0,10092543.0,0.0,,,
22,2020-05-24,33459.0,271.0,3998.0,6.0,4971.0,24490.0,249.0,3315.0,396.0,209900.0,20797.0,Sweden,Europe,24.0,10092714.0,0.0,,,
23,2020-05-25,33843.0,384.0,4029.0,31.0,4971.0,24843.0,304.0,3353.0,399.0,209900.0,20797.0,Sweden,Europe,24.0,10092886.0,0.0,,,
24,2020-05-26,34440.0,597.0,4125.0,96.0,4971.0,25344.0,304.0,3412.0,409.0,238800.0,23660.0,Sweden,Europe,24.0,10093058.0,0.0,,,
25,2020-05-27,35088.0,-1.0,4220.0,-1.0,4971.0,25897.0,264.0,3476.0,418.0,238800.0,23659.0,Sweden,Europe,24.0,10093401.0,0.0,,,
26,2020-05-28,35727.0,639.0,4266.0,46.0,4971.0,26490.0,280.0,3540.0,423.0,238800.0,23659.0,Sweden,Europe,24.0,10093401.0,0.0,,,
27,2020-05-29,36476.0,749.0,4350.0,84.0,4971.0,27155.0,289.0,3614.0,431.0,238800.0,23659.0,Sweden,Europe,24.0,10093573.0,0.0,,,
28,2020-05-30,37113.0,637.0,4395.0,45.0,4971.0,27747.0,190.0,3677.0,435.0,238800.0,23658.0,Sweden,Europe,24.0,10093745.0,0.0,,,
29,2020-05-31,37542.0,429.0,4395.0,-1.0,4971.0,28176.0,228.0,3719.0,435.0,238800.0,23658.0,Sweden,Europe,24.0,10093917.0,0.0,,,
