,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,29817.0,112.0,1760.0,6.0,23900.0,4157.0,141.0,3445.0,203.0,276000.0,31890.0,Switzerland,Europe,,,0.0,,,
1,2020-05-03,29905.0,88.0,1762.0,-1.0,24500.0,3643.0,141.0,3455.0,204.0,280220.0,32378.0,Switzerland,Europe,,,0.0,,,
2,2020-05-04,29981.0,76.0,1784.0,22.0,25200.0,2997.0,141.0,3464.0,206.0,282750.0,32670.0,Switzerland,Europe,,,0.0,,,
3,2020-05-05,30009.0,-1.0,1795.0,-1.0,25400.0,2814.0,121.0,3467.0,207.0,286403.0,33092.0,Switzerland,Europe,,,0.0,,,
4,2020-05-06,30060.0,51.0,1795.0,-1.0,25400.0,2865.0,121.0,3473.0,207.0,290365.0,33550.0,Switzerland,Europe,,,0.0,,,
5,2020-05-07,30126.0,66.0,1810.0,5.0,25900.0,2416.0,121.0,3481.0,209.0,290365.0,33550.0,Switzerland,Europe,,,0.0,,,
6,2020-05-08,30207.0,-1.0,1823.0,-1.0,26100.0,2284.0,101.0,3490.0,211.0,301675.0,34857.0,Switzerland,Europe,,,0.0,,,
7,2020-05-09,30251.0,-1.0,1830.0,-1.0,26400.0,2021.0,101.0,3495.0,211.0,306223.0,35383.0,Switzerland,Europe,,,0.0,,,
8,2020-05-10,30305.0,54.0,1830.0,-1.0,26400.0,2075.0,101.0,3502.0,211.0,309595.0,35772.0,Switzerland,Europe,,,0.0,,,
9,2020-05-11,30344.0,39.0,1845.0,12.0,26600.0,1899.0,89.0,3506.0,213.0,312813.0,36144.0,Switzerland,Europe,,,0.0,,,
10,2020-05-12,30380.0,36.0,1867.0,22.0,26800.0,1713.0,89.0,3510.0,216.0,316852.0,36611.0,Switzerland,Europe,,,0.0,,,
11,2020-05-13,30413.0,33.0,1870.0,3.0,26800.0,1743.0,79.0,3514.0,216.0,322084.0,37215.0,Switzerland,Europe,,,0.0,,,
12,2020-05-14,30463.0,50.0,1872.0,2.0,27100.0,1491.0,79.0,3520.0,216.0,328163.0,37918.0,Switzerland,Europe,,,0.0,,,
13,2020-05-15,30514.0,51.0,1878.0,6.0,27100.0,1536.0,69.0,3529.0,217.0,334274.0,38660.0,Switzerland,Europe,20.0,8646448.0,0.0,,,
14,2020-05-16,30572.0,58.0,1879.0,1.0,27400.0,1293.0,69.0,3536.0,217.0,339364.0,39248.0,Switzerland,Europe,22.0,8646621.0,0.0,,,
15,2020-05-17,30587.0,15.0,1881.0,2.0,27400.0,1306.0,69.0,3537.0,218.0,343359.0,39709.0,Switzerland,Europe,22.0,8646793.0,0.0,,,
16,2020-05-18,30597.0,10.0,1886.0,5.0,27500.0,1211.0,57.0,3538.0,218.0,345760.0,39986.0,Switzerland,Europe,22.0,8646966.0,0.0,,,
17,2020-05-19,30618.0,21.0,1891.0,5.0,27600.0,1127.0,57.0,3541.0,219.0,350099.0,40487.0,Switzerland,Europe,24.0,8647139.0,0.0,,,
18,2020-05-20,30658.0,40.0,1892.0,1.0,27800.0,966.0,55.0,3545.0,219.0,355393.0,41099.0,Switzerland,Europe,24.0,8647311.0,0.0,,,
19,2020-05-21,30694.0,36.0,1898.0,6.0,27900.0,896.0,55.0,3549.0,219.0,361692.0,41826.0,Switzerland,Europe,24.0,8647484.0,0.0,,,
20,2020-05-22,30707.0,13.0,1903.0,5.0,27900.0,904.0,51.0,3551.0,220.0,364321.0,42129.0,Switzerland,Europe,24.0,8647657.0,0.0,,,
21,2020-05-23,30725.0,18.0,1905.0,2.0,28000.0,820.0,51.0,3553.0,220.0,367037.0,42443.0,Switzerland,Europe,26.0,8647829.0,0.0,,,
22,2020-05-24,30736.0,11.0,1906.0,1.0,28100.0,730.0,50.0,3554.0,220.0,370464.0,42838.0,Switzerland,Europe,26.0,8648002.0,0.0,,,
23,2020-05-25,30746.0,10.0,1913.0,7.0,28100.0,733.0,47.0,3555.0,221.0,372146.0,43032.0,Switzerland,Europe,27.0,8648175.0,0.0,,,
24,2020-05-26,30761.0,15.0,1915.0,2.0,28200.0,646.0,41.0,3557.0,221.0,375115.0,43374.0,Switzerland,Europe,28.0,8648347.0,0.0,,,
25,2020-05-27,30776.0,-1.0,1917.0,-1.0,28300.0,559.0,42.0,3558.0,222.0,380671.0,44015.0,Switzerland,Europe,28.0,8648693.0,0.0,,,
26,2020-05-28,30796.0,20.0,1919.0,2.0,28300.0,577.0,36.0,3561.0,222.0,385822.0,44610.0,Switzerland,Europe,28.0,8648693.0,0.0,,,
27,2020-05-29,30828.0,32.0,1919.0,-1.0,28300.0,609.0,32.0,3564.0,222.0,390697.0,45173.0,Switzerland,Europe,28.0,8648865.0,0.0,,,
