,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,432.0,3.0,6.0,-1.0,324.0,102.0,-1.0,18.0,0.3,63713.0,2675.0,Taiwan,Asia,,,0.0,,,
1,2020-05-03,432.0,-1.0,6.0,-1.0,332.0,94.0,-1.0,18.0,0.3,64094.0,2691.0,Taiwan,Asia,,,0.0,,,
2,2020-05-04,438.0,6.0,6.0,-1.0,334.0,98.0,-1.0,18.0,0.3,64436.0,2705.0,Taiwan,Asia,,,0.0,,,
3,2020-05-05,438.0,-1.0,6.0,-1.0,334.0,98.0,-1.0,18.0,0.3,64958.0,2727.0,Taiwan,Asia,,,0.0,,,
4,2020-05-06,439.0,1.0,6.0,-1.0,339.0,94.0,-1.0,18.0,0.3,65589.0,2754.0,Taiwan,Asia,,,0.0,,,
5,2020-05-07,440.0,1.0,6.0,-1.0,347.0,87.0,-1.0,18.0,0.3,66046.0,2773.0,Taiwan,Asia,,,0.0,,,
6,2020-05-08,440.0,-1.0,6.0,-1.0,355.0,79.0,-1.0,18.0,0.3,66460.0,2790.0,Taiwan,Asia,,,0.0,,,
7,2020-05-09,440.0,-1.0,6.0,-1.0,361.0,73.0,-1.0,18.0,0.3,66861.0,2807.0,Taiwan,Asia,,,0.0,,,
8,2020-05-10,440.0,-1.0,6.0,-1.0,366.0,68.0,-1.0,18.0,0.3,67133.0,2819.0,Taiwan,Asia,,,0.0,,,
9,2020-05-11,440.0,-1.0,7.0,1.0,368.0,65.0,-1.0,18.0,0.3,67400.0,2830.0,Taiwan,Asia,,,0.0,,,
10,2020-05-12,440.0,-1.0,7.0,-1.0,372.0,61.0,-1.0,18.0,0.3,68107.0,2860.0,Taiwan,Asia,,,0.0,,,
11,2020-05-13,440.0,-1.0,7.0,-1.0,375.0,58.0,-1.0,18.0,0.3,68107.0,2860.0,Taiwan,Asia,,,0.0,,,
12,2020-05-14,440.0,-1.0,7.0,-1.0,383.0,50.0,-1.0,18.0,0.3,68335.0,2869.0,Taiwan,Asia,,,0.0,,,
13,2020-05-15,440.0,-1.0,7.0,-1.0,387.0,46.0,-1.0,18.0,0.3,68659.0,2883.0,Taiwan,Asia,126.0,23811335.0,0.0,,,
14,2020-05-16,440.0,-1.0,7.0,-1.0,389.0,44.0,-1.0,18.0,0.3,68988.0,2897.0,Taiwan,Asia,128.0,23811452.0,0.0,,,
15,2020-05-17,440.0,-1.0,7.0,-1.0,395.0,38.0,-1.0,18.0,0.3,69206.0,2906.0,Taiwan,Asia,128.0,23811570.0,0.0,,,
16,2020-05-18,440.0,-1.0,7.0,-1.0,398.0,35.0,-1.0,18.0,0.3,69395.0,2914.0,Taiwan,Asia,129.0,23811687.0,0.0,,,
17,2020-05-19,440.0,-1.0,7.0,-1.0,401.0,32.0,-1.0,18.0,0.3,69395.0,2914.0,Taiwan,Asia,129.0,23811805.0,0.0,,,
18,2020-05-20,440.0,-1.0,7.0,-1.0,402.0,31.0,-1.0,18.0,0.3,69876.0,2934.0,Taiwan,Asia,129.0,23811922.0,0.0,,,
19,2020-05-21,441.0,1.0,7.0,-1.0,407.0,27.0,-1.0,19.0,0.3,70338.0,2954.0,Taiwan,Asia,132.0,23812039.0,0.0,,,
20,2020-05-22,441.0,-1.0,7.0,-1.0,408.0,26.0,-1.0,19.0,0.3,70338.0,2954.0,Taiwan,Asia,134.0,23812157.0,0.0,,,
21,2020-05-23,441.0,-1.0,7.0,-1.0,411.0,23.0,-1.0,19.0,0.3,70526.0,2962.0,Taiwan,Asia,135.0,23812274.0,0.0,,,
22,2020-05-24,441.0,-1.0,7.0,-1.0,414.0,20.0,-1.0,19.0,0.3,70697.0,2969.0,Taiwan,Asia,135.0,23812392.0,0.0,,,
23,2020-05-25,441.0,-1.0,7.0,-1.0,415.0,19.0,-1.0,19.0,0.3,70880.0,2977.0,Taiwan,Asia,135.0,23812509.0,0.0,,,
24,2020-05-26,441.0,-1.0,7.0,-1.0,416.0,18.0,-1.0,19.0,0.3,71101.0,2986.0,Taiwan,Asia,135.0,23812627.0,0.0,,,
25,2020-05-27,441.0,-1.0,7.0,-1.0,419.0,15.0,-1.0,19.0,0.3,71405.0,2999.0,Taiwan,Asia,137.0,23812861.0,0.0,,,
26,2020-05-28,441.0,-1.0,7.0,-1.0,420.0,14.0,-1.0,19.0,0.3,71581.0,3006.0,Taiwan,Asia,138.0,23812861.0,0.0,,,
27,2020-05-29,442.0,1.0,7.0,-1.0,420.0,15.0,-1.0,19.0,0.3,71750.0,3013.0,Taiwan,Asia,138.0,23812979.0,0.0,,,
28,2020-05-30,442.0,-1.0,7.0,-1.0,421.0,14.0,-1.0,19.0,0.3,71909.0,3020.0,Taiwan,Asia,140.0,23813096.0,0.0,,,
29,2020-05-31,442.0,-1.0,7.0,-1.0,423.0,12.0,-1.0,19.0,0.3,72082.0,3027.0,Taiwan,Asia,140.0,23813214.0,0.0,,,
30,2020-06-01,443.0,1.0,7.0,-1.0,427.0,9.0,-1.0,19.0,0.3,72319.0,3037.0,Taiwan,Asia,142.0,23813331.0,0.0,,,
31,2020-06-02,443.0,-1.0,7.0,-1.0,427.0,9.0,-1.0,19.0,0.3,72507.0,3045.0,Taiwan,Asia,143.0,23813449.0,-1.0,53755.0,3401921.0,328.0
