,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2966.0,6.0,54.0,-1.0,2732.0,180.0,61.0,42.0,0.8,178083.0,2551.0,Thailand,Asia,,,0.0,,,
1,2020-05-03,2969.0,3.0,54.0,-1.0,2739.0,176.0,61.0,43.0,0.8,178083.0,2551.0,Thailand,Asia,,,0.0,,,
2,2020-05-04,2987.0,18.0,54.0,-1.0,2740.0,193.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
3,2020-05-05,2988.0,-1.0,54.0,-1.0,2747.0,187.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
4,2020-05-06,2989.0,1.0,55.0,1.0,2761.0,173.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
5,2020-05-07,2992.0,3.0,55.0,-1.0,2772.0,165.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
6,2020-05-08,3000.0,-1.0,55.0,-1.0,2784.0,161.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
7,2020-05-09,3004.0,-1.0,56.0,-1.0,2787.0,161.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
8,2020-05-10,3009.0,5.0,56.0,-1.0,2794.0,159.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
9,2020-05-11,3015.0,6.0,56.0,-1.0,2796.0,163.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
10,2020-05-12,3017.0,2.0,56.0,-1.0,2798.0,163.0,61.0,43.0,0.8,227860.0,3264.0,Thailand,Asia,,,0.0,,,
11,2020-05-13,3017.0,-1.0,56.0,-1.0,2844.0,117.0,61.0,43.0,0.8,286008.0,4098.0,Thailand,Asia,,,0.0,,,
12,2020-05-14,3018.0,1.0,56.0,-1.0,2850.0,112.0,61.0,43.0,0.8,286008.0,4098.0,Thailand,Asia,,,0.0,,,
13,2020-05-15,3025.0,7.0,56.0,-1.0,2854.0,115.0,61.0,43.0,0.8,286008.0,4099.0,Thailand,Asia,67.0,69777809.0,0.0,,,
14,2020-05-16,3025.0,-1.0,56.0,-1.0,2855.0,114.0,61.0,43.0,0.8,286008.0,4099.0,Thailand,Asia,69.0,69778286.0,0.0,,,
15,2020-05-17,3028.0,3.0,56.0,-1.0,2856.0,116.0,61.0,43.0,0.8,286008.0,4099.0,Thailand,Asia,69.0,69778764.0,0.0,,,
16,2020-05-18,3031.0,3.0,56.0,-1.0,2857.0,118.0,61.0,43.0,0.8,286008.0,4099.0,Thailand,Asia,69.0,69779241.0,0.0,,,
17,2020-05-19,3033.0,2.0,56.0,-1.0,2857.0,120.0,61.0,43.0,0.8,286008.0,4099.0,Thailand,Asia,69.0,69779718.0,0.0,,,
18,2020-05-20,3034.0,1.0,56.0,-1.0,2888.0,90.0,61.0,43.0,0.8,328073.0,4702.0,Thailand,Asia,69.0,69780195.0,0.0,,,
19,2020-05-21,3037.0,3.0,56.0,-1.0,2897.0,84.0,61.0,44.0,0.8,328073.0,4701.0,Thailand,Asia,72.0,69780672.0,0.0,,,
20,2020-05-22,3037.0,-1.0,56.0,-1.0,2910.0,71.0,61.0,44.0,0.8,328073.0,4701.0,Thailand,Asia,72.0,69781150.0,0.0,,,
21,2020-05-23,3040.0,3.0,56.0,-1.0,2916.0,68.0,61.0,44.0,0.8,328073.0,4701.0,Thailand,Asia,73.0,69781627.0,0.0,,,
22,2020-05-24,3040.0,-1.0,56.0,-1.0,2921.0,63.0,61.0,44.0,0.8,328073.0,4701.0,Thailand,Asia,75.0,69782104.0,0.0,,,
23,2020-05-25,3042.0,2.0,57.0,1.0,2928.0,57.0,57.0,44.0,0.8,375453.0,5380.0,Thailand,Asia,76.0,69782581.0,0.0,,,
24,2020-05-26,3045.0,3.0,57.0,-1.0,2929.0,59.0,57.0,44.0,0.8,375453.0,5380.0,Thailand,Asia,76.0,69783058.0,0.0,,,
25,2020-05-27,3054.0,-1.0,57.0,-1.0,2931.0,66.0,59.0,44.0,0.8,375453.0,5380.0,Thailand,Asia,76.0,69784013.0,0.0,,,
26,2020-05-28,3065.0,11.0,57.0,-1.0,2945.0,63.0,59.0,44.0,0.8,375453.0,5380.0,Thailand,Asia,76.0,69784013.0,0.0,,,
27,2020-05-29,3076.0,11.0,57.0,-1.0,2945.0,74.0,59.0,44.0,0.8,375453.0,5380.0,Thailand,Asia,76.0,69784490.0,0.0,,,
