,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,24.0,-1.0,-1.0,-1.0,16.0,8.0,-1.0,18.0,-1.0,322.0,244.0,Timor-Leste,Asia,,,0.0,,,
1,2020-05-03,24.0,-1.0,-1.0,-1.0,16.0,8.0,-1.0,18.0,-1.0,322.0,244.0,Timor-Leste,Asia,,,0.0,,,
2,2020-05-04,24.0,-1.0,-1.0,-1.0,20.0,4.0,-1.0,18.0,-1.0,664.0,504.0,Timor-Leste,Asia,,,0.0,,,
3,2020-05-05,24.0,-1.0,-1.0,-1.0,20.0,4.0,-1.0,18.0,-1.0,664.0,504.0,Timor-Leste,Asia,,,0.0,,,
4,2020-05-06,24.0,-1.0,-1.0,-1.0,20.0,4.0,-1.0,18.0,-1.0,664.0,504.0,Timor-Leste,Asia,,,0.0,,,
5,2020-05-07,24.0,-1.0,-1.0,-1.0,20.0,4.0,-1.0,18.0,-1.0,664.0,504.0,Timor-Leste,Asia,,,0.0,,,
6,2020-05-08,24.0,-1.0,-1.0,-1.0,21.0,3.0,-1.0,18.0,-1.0,738.0,560.0,Timor-Leste,Asia,,,0.0,,,
7,2020-05-09,24.0,-1.0,-1.0,-1.0,21.0,3.0,-1.0,18.0,-1.0,738.0,560.0,Timor-Leste,Asia,,,0.0,,,
8,2020-05-10,24.0,-1.0,-1.0,-1.0,21.0,3.0,-1.0,18.0,-1.0,738.0,560.0,Timor-Leste,Asia,,,0.0,,,
9,2020-05-11,24.0,-1.0,-1.0,-1.0,21.0,3.0,-1.0,18.0,-1.0,738.0,560.0,Timor-Leste,Asia,,,0.0,,,
10,2020-05-12,24.0,-1.0,-1.0,-1.0,21.0,3.0,-1.0,18.0,-1.0,738.0,560.0,Timor-Leste,Asia,,,0.0,,,
11,2020-05-13,24.0,-1.0,-1.0,-1.0,21.0,3.0,-1.0,18.0,-1.0,738.0,560.0,Timor-Leste,Asia,,,0.0,,,
12,2020-05-14,24.0,-1.0,-1.0,-1.0,21.0,3.0,-1.0,18.0,-1.0,738.0,560.0,Timor-Leste,Asia,,,0.0,,,
13,2020-05-15,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,183.0,1315040.0,0.0,,,
14,2020-05-16,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,183.0,1315109.0,0.0,,,
15,2020-05-17,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,183.0,1315177.0,0.0,,,
16,2020-05-18,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,185.0,1315246.0,0.0,,,
17,2020-05-19,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,185.0,1315315.0,0.0,,,
18,2020-05-20,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,186.0,1315383.0,0.0,,,
19,2020-05-21,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,186.0,1315452.0,0.0,,,
20,2020-05-22,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,186.0,1315521.0,0.0,,,
21,2020-05-23,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,187.0,1315590.0,0.0,,,
22,2020-05-24,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,187.0,1315658.0,0.0,,,
23,2020-05-25,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,187.0,1315727.0,0.0,,,
24,2020-05-26,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,738.0,561.0,Timor-Leste,Asia,187.0,1315796.0,0.0,,,
25,2020-05-27,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,1290.0,980.0,Timor-Leste,Asia,187.0,1315933.0,0.0,,,
26,2020-05-28,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,1290.0,980.0,Timor-Leste,Asia,188.0,1315933.0,0.0,,,
27,2020-05-29,24.0,-1.0,-1.0,-1.0,24.0,0.0,-1.0,18.0,-1.0,1290.0,980.0,Timor-Leste,Asia,188.0,1316002.0,0.0,,,
