,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,123.0,-1.0,9.0,-1.0,66.0,48.0,-1.0,15.0,1.0,7100.0,858.0,Togo,Africa,,,0.0,,,
1,2020-05-03,124.0,1.0,9.0,-1.0,67.0,48.0,-1.0,15.0,1.0,7425.0,897.0,Togo,Africa,,,0.0,,,
2,2020-05-04,126.0,2.0,9.0,-1.0,74.0,43.0,-1.0,15.0,1.0,7891.0,953.0,Togo,Africa,,,0.0,,,
3,2020-05-05,128.0,-1.0,9.0,-1.0,74.0,45.0,-1.0,15.0,1.0,7896.0,954.0,Togo,Africa,,,0.0,,,
4,2020-05-06,128.0,-1.0,9.0,-1.0,77.0,42.0,-1.0,15.0,1.0,8835.0,1067.0,Togo,Africa,,,0.0,,,
5,2020-05-07,135.0,7.0,9.0,-1.0,85.0,41.0,-1.0,16.0,1.0,9267.0,1119.0,Togo,Africa,,,0.0,,,
6,2020-05-08,145.0,-1.0,10.0,-1.0,85.0,50.0,-1.0,18.0,1.0,9657.0,1166.0,Togo,Africa,,,0.0,,,
7,2020-05-09,153.0,-1.0,10.0,-1.0,87.0,56.0,-1.0,18.0,1.0,10094.0,1219.0,Togo,Africa,,,0.0,,,
8,2020-05-10,173.0,20.0,11.0,1.0,89.0,73.0,-1.0,21.0,1.0,10377.0,1253.0,Togo,Africa,,,0.0,,,
9,2020-05-11,181.0,7.0,11.0,-1.0,89.0,81.0,-1.0,22.0,1.0,10377.0,1253.0,Togo,Africa,,,0.0,,,
10,2020-05-12,181.0,-1.0,11.0,-1.0,89.0,81.0,-1.0,22.0,1.0,10561.0,1276.0,Togo,Africa,,,0.0,,,
11,2020-05-13,199.0,-1.0,11.0,-1.0,92.0,96.0,-1.0,24.0,1.0,11041.0,1334.0,Togo,Africa,,,0.0,,,
12,2020-05-14,219.0,-1.0,11.0,-1.0,96.0,112.0,-1.0,26.0,1.0,11374.0,1374.0,Togo,Africa,,,0.0,,,
13,2020-05-15,238.0,-1.0,11.0,-1.0,96.0,131.0,-1.0,29.0,1.0,11796.0,1429.0,Togo,Africa,141.0,8251932.0,0.0,,,
14,2020-05-16,263.0,-1.0,11.0,-1.0,96.0,156.0,-1.0,32.0,1.0,12040.0,1459.0,Togo,Africa,143.0,8252463.0,0.0,,,
15,2020-05-17,298.0,-1.0,11.0,-1.0,99.0,188.0,-1.0,36.0,1.0,12510.0,1516.0,Togo,Africa,141.0,8252995.0,0.0,,,
16,2020-05-18,301.0,-1.0,11.0,-1.0,104.0,186.0,-1.0,36.0,1.0,12613.0,1528.0,Togo,Africa,142.0,8253526.0,0.0,,,
17,2020-05-19,330.0,-1.0,12.0,-1.0,106.0,212.0,-1.0,40.0,1.0,13452.0,1630.0,Togo,Africa,139.0,8254058.0,0.0,,,
18,2020-05-20,338.0,-1.0,12.0,-1.0,107.0,219.0,-1.0,41.0,1.0,13825.0,1675.0,Togo,Africa,137.0,8254589.0,0.0,,,
19,2020-05-21,354.0,14.0,12.0,-1.0,118.0,224.0,-1.0,43.0,1.0,14767.0,1789.0,Togo,Africa,138.0,8255121.0,0.0,,,
20,2020-05-22,354.0,-1.0,12.0,-1.0,118.0,224.0,-1.0,43.0,1.0,14767.0,1789.0,Togo,Africa,138.0,8255653.0,0.0,,,
21,2020-05-23,363.0,-1.0,12.0,-1.0,121.0,230.0,-1.0,44.0,1.0,14767.0,1789.0,Togo,Africa,138.0,8256184.0,0.0,,,
22,2020-05-24,381.0,8.0,12.0,-1.0,141.0,228.0,-1.0,46.0,1.0,16747.0,2028.0,Togo,Africa,137.0,8256716.0,0.0,,,
23,2020-05-25,381.0,-1.0,12.0,-1.0,141.0,228.0,-1.0,46.0,1.0,16747.0,2028.0,Togo,Africa,138.0,8257247.0,0.0,,,
24,2020-05-26,386.0,-1.0,13.0,-1.0,161.0,212.0,-1.0,47.0,2.0,17049.0,2065.0,Togo,Africa,138.0,8257779.0,0.0,,,
25,2020-05-27,395.0,-1.0,13.0,-1.0,183.0,199.0,-1.0,48.0,2.0,17501.0,2119.0,Togo,Africa,140.0,8258842.0,0.0,,,
26,2020-05-28,422.0,27.0,13.0,-1.0,197.0,212.0,-1.0,51.0,2.0,18696.0,2264.0,Togo,Africa,139.0,8258842.0,0.0,,,
27,2020-05-29,428.0,6.0,13.0,-1.0,202.0,213.0,-1.0,52.0,2.0,19162.0,2320.0,Togo,Africa,140.0,8259373.0,0.0,,,
28,2020-05-30,428.0,-1.0,13.0,-1.0,202.0,213.0,-1.0,52.0,2.0,19162.0,2320.0,Togo,Africa,141.0,8259905.0,0.0,,,
29,2020-05-31,433.0,-1.0,13.0,-1.0,206.0,214.0,-1.0,52.0,2.0,19705.0,2385.0,Togo,Africa,142.0,8260436.0,0.0,,,
30,2020-06-01,442.0,-1.0,13.0,-1.0,211.0,218.0,-1.0,54.0,2.0,20079.0,2431.0,Togo,Africa,143.0,8260968.0,0.0,,,
31,2020-06-02,445.0,2.0,13.0,-1.0,230.0,202.0,-1.0,54.0,2.0,20948.0,2536.0,Togo,Africa,142.0,8261500.0,15.0,18565.0,635500.0,394.0
32,2020-06-03,452.0,7.0,13.0,-1.0,236.0,203.0,-1.0,55.0,2.0,21515.0,2604.0,Togo,Africa,142.0,8262031.0,6.0,18279.0,635541.0,384.0
33,2020-06-04,465.0,13.0,13.0,-1.0,239.0,213.0,-1.0,56.0,2.0,21812.0,2640.0,Togo,Africa,141.0,8262563.0,3.0,17769.0,635582.0,379.0
34,2020-06-05,485.0,20.0,13.0,-1.0,240.0,232.0,-1.0,59.0,2.0,21812.0,2640.0,Togo,Africa,140.0,8263094.0,1.0,17037.0,635623.0,379.0
35,2020-06-06,487.0,2.0,13.0,-1.0,240.0,234.0,-1.0,59.0,2.0,21812.0,2640.0,Togo,Africa,140.0,8263626.0,-1.0,16968.0,635664.0,379.0
36,2020-06-07,495.0,8.0,13.0,-1.0,248.0,234.0,-1.0,60.0,2.0,21812.0,2639.0,Togo,Africa,140.0,8264157.0,8.0,16695.0,635704.0,379.0
37,2020-06-08,497.0,2.0,13.0,-1.0,251.0,233.0,-1.0,60.0,2.0,23255.0,2814.0,Togo,Africa,140.0,8264689.0,3.0,16629.0,635745.0,355.0
38,2020-06-09,501.0,4.0,13.0,-1.0,260.0,228.0,1.0,61.0,2.0,23501.0,2843.0,Togo,Africa,141.0,8265220.0,9.0,16497.0,635786.0,352.0
39,2020-06-10,522.0,21.0,13.0,-1.0,265.0,244.0,1.0,63.0,2.0,23988.0,2902.0,Togo,Africa,140.0,8265752.0,5.0,15835.0,635827.0,345.0
40,2020-06-11,524.0,2.0,13.0,-1.0,271.0,240.0,1.0,63.0,2.0,24358.0,2947.0,Togo,Africa,140.0,8266284.0,6.0,15775.0,635868.0,339.0
41,2020-06-12,525.0,1.0,13.0,-1.0,279.0,233.0,1.0,64.0,2.0,24802.0,3000.0,Togo,Africa,140.0,8266815.0,8.0,15746.0,635909.0,333.0
42,2020-06-13,530.0,5.0,13.0,-1.0,291.0,226.0,1.0,64.0,2.0,25401.0,3072.0,Togo,Africa,142.0,8267347.0,12.0,15599.0,635950.0,325.0
