,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,116.0,-1.0,8.0,-1.0,87.0,21.0,-1.0,83.0,6.0,1838.0,1313.0,Trinidad and Tobago,North America,,,0.0,,,
1,2020-05-03,116.0,-1.0,8.0,-1.0,88.0,20.0,-1.0,83.0,6.0,1907.0,1363.0,Trinidad and Tobago,North America,,,0.0,,,
2,2020-05-04,116.0,-1.0,8.0,-1.0,99.0,9.0,-1.0,83.0,6.0,2012.0,1438.0,Trinidad and Tobago,North America,,,0.0,,,
3,2020-05-05,116.0,-1.0,8.0,-1.0,102.0,6.0,-1.0,83.0,6.0,2071.0,1480.0,Trinidad and Tobago,North America,,,0.0,,,
4,2020-05-06,116.0,-1.0,8.0,-1.0,103.0,5.0,-1.0,83.0,6.0,2114.0,1511.0,Trinidad and Tobago,North America,,,0.0,,,
5,2020-05-07,116.0,-1.0,8.0,-1.0,103.0,5.0,-1.0,83.0,6.0,2173.0,1553.0,Trinidad and Tobago,North America,,,0.0,,,
6,2020-05-08,116.0,-1.0,8.0,-1.0,103.0,5.0,-1.0,83.0,6.0,2241.0,1601.0,Trinidad and Tobago,North America,,,0.0,,,
7,2020-05-09,116.0,-1.0,8.0,-1.0,104.0,4.0,-1.0,83.0,6.0,2271.0,1623.0,Trinidad and Tobago,North America,,,0.0,,,
8,2020-05-10,116.0,-1.0,8.0,-1.0,107.0,1.0,-1.0,83.0,6.0,2307.0,1648.0,Trinidad and Tobago,North America,,,0.0,,,
9,2020-05-11,116.0,-1.0,8.0,-1.0,107.0,1.0,-1.0,83.0,6.0,2307.0,1648.0,Trinidad and Tobago,North America,,,0.0,,,
10,2020-05-12,116.0,-1.0,8.0,-1.0,107.0,1.0,-1.0,83.0,6.0,2334.0,1668.0,Trinidad and Tobago,North America,,,0.0,,,
11,2020-05-13,116.0,-1.0,8.0,-1.0,107.0,1.0,-1.0,83.0,6.0,2413.0,1724.0,Trinidad and Tobago,North America,,,0.0,,,
12,2020-05-14,116.0,-1.0,8.0,-1.0,107.0,1.0,-1.0,83.0,6.0,2511.0,1794.0,Trinidad and Tobago,North America,,,0.0,,,
