,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,998.0,-1.0,41.0,-1.0,316.0,641.0,24.0,84.0,3.0,23526.0,1991.0,Tunisia,Africa,,,0.0,,,
1,2020-05-03,1013.0,4.0,42.0,-1.0,328.0,643.0,25.0,86.0,4.0,24406.0,2065.0,Tunisia,Africa,,,0.0,,,
2,2020-05-04,1018.0,5.0,43.0,1.0,406.0,569.0,18.0,86.0,4.0,24853.0,2103.0,Tunisia,Africa,,,0.0,,,
3,2020-05-05,1022.0,-1.0,43.0,-1.0,482.0,497.0,17.0,86.0,4.0,25165.0,2129.0,Tunisia,Africa,,,0.0,,,
4,2020-05-06,1022.0,-1.0,43.0,-1.0,482.0,497.0,17.0,86.0,4.0,25165.0,2129.0,Tunisia,Africa,,,0.0,,,
5,2020-05-07,1025.0,-1.0,43.0,-1.0,591.0,391.0,18.0,87.0,4.0,25555.0,2162.0,Tunisia,Africa,,,0.0,,,
6,2020-05-08,1030.0,-1.0,45.0,-1.0,638.0,347.0,24.0,87.0,4.0,27420.0,2320.0,Tunisia,Africa,,,0.0,,,
7,2020-05-09,1032.0,-1.0,45.0,-1.0,660.0,327.0,19.0,87.0,4.0,29297.0,2479.0,Tunisia,Africa,,,0.0,,,
8,2020-05-10,1032.0,-1.0,45.0,-1.0,660.0,327.0,19.0,87.0,4.0,29297.0,2479.0,Tunisia,Africa,,,0.0,,,
9,2020-05-11,1032.0,-1.0,45.0,-1.0,700.0,287.0,11.0,87.0,4.0,32818.0,2777.0,Tunisia,Africa,,,0.0,,,
10,2020-05-12,1032.0,-1.0,45.0,-1.0,727.0,260.0,7.0,87.0,4.0,33266.0,2815.0,Tunisia,Africa,,,0.0,,,
11,2020-05-13,1032.0,-1.0,45.0,-1.0,740.0,247.0,5.0,87.0,4.0,33880.0,2867.0,Tunisia,Africa,,,0.0,,,
12,2020-05-14,1032.0,-1.0,45.0,-1.0,759.0,228.0,5.0,87.0,4.0,34323.0,2904.0,Tunisia,Africa,,,0.0,,,
13,2020-05-15,1032.0,-1.0,45.0,-1.0,770.0,217.0,3.0,87.0,4.0,36523.0,3095.0,Tunisia,Africa,98.0,11802436.0,0.0,,,
14,2020-05-16,1035.0,-1.0,45.0,-1.0,802.0,188.0,3.0,88.0,4.0,37862.0,3208.0,Tunisia,Africa,99.0,11802774.0,0.0,,,
15,2020-05-17,1037.0,-1.0,45.0,-1.0,807.0,185.0,3.0,88.0,4.0,39778.0,3370.0,Tunisia,Africa,99.0,11803112.0,0.0,,,
16,2020-05-18,1037.0,-1.0,45.0,-1.0,816.0,176.0,3.0,88.0,4.0,40559.0,3436.0,Tunisia,Africa,99.0,11803449.0,0.0,,,
17,2020-05-19,1043.0,-1.0,46.0,1.0,819.0,178.0,3.0,88.0,4.0,41620.0,3526.0,Tunisia,Africa,99.0,11803787.0,0.0,,,
18,2020-05-20,1044.0,1.0,47.0,1.0,826.0,171.0,3.0,88.0,4.0,41620.0,3526.0,Tunisia,Africa,100.0,11804125.0,0.0,,,
19,2020-05-21,1045.0,-1.0,47.0,-1.0,862.0,136.0,3.0,89.0,4.0,43723.0,3704.0,Tunisia,Africa,102.0,11804462.0,0.0,,,
20,2020-05-22,1046.0,-1.0,47.0,-1.0,883.0,116.0,3.0,89.0,4.0,45308.0,3838.0,Tunisia,Africa,103.0,11804800.0,0.0,,,
21,2020-05-23,1048.0,-1.0,47.0,-1.0,903.0,98.0,3.0,89.0,4.0,46628.0,3950.0,Tunisia,Africa,103.0,11805138.0,0.0,,,
22,2020-05-24,1048.0,-1.0,48.0,1.0,914.0,86.0,3.0,89.0,4.0,47649.0,4036.0,Tunisia,Africa,103.0,11805475.0,0.0,,,
23,2020-05-25,1051.0,3.0,48.0,-1.0,917.0,86.0,3.0,89.0,4.0,47816.0,4050.0,Tunisia,Africa,105.0,11805813.0,0.0,,,
24,2020-05-26,1051.0,-1.0,48.0,-1.0,919.0,84.0,3.0,89.0,4.0,48476.0,4106.0,Tunisia,Africa,107.0,11806151.0,0.0,,,
25,2020-05-27,1051.0,-1.0,48.0,-1.0,929.0,74.0,2.0,89.0,4.0,49113.0,4160.0,Tunisia,Africa,108.0,11806826.0,0.0,,,
26,2020-05-28,1068.0,17.0,48.0,-1.0,938.0,82.0,2.0,90.0,4.0,49951.0,4231.0,Tunisia,Africa,106.0,11806826.0,0.0,,,
27,2020-05-29,1071.0,3.0,48.0,-1.0,946.0,77.0,2.0,91.0,4.0,50380.0,4267.0,Tunisia,Africa,109.0,11807164.0,0.0,,,
28,2020-05-30,1076.0,5.0,48.0,-1.0,950.0,78.0,2.0,91.0,4.0,51171.0,4334.0,Tunisia,Africa,109.0,11807501.0,0.0,,,
29,2020-05-31,1077.0,1.0,48.0,-1.0,960.0,69.0,2.0,91.0,4.0,51881.0,4394.0,Tunisia,Africa,110.0,11807839.0,0.0,,,
30,2020-06-01,1084.0,7.0,48.0,-1.0,964.0,72.0,2.0,92.0,4.0,52503.0,4446.0,Tunisia,Africa,111.0,11808177.0,0.0,,,
31,2020-06-02,1086.0,2.0,48.0,-1.0,965.0,73.0,1.0,92.0,4.0,52874.0,4478.0,Tunisia,Africa,113.0,11808514.0,1.0,10873.0,246011.0,223.0
32,2020-06-03,1087.0,1.0,49.0,1.0,965.0,73.0,1.0,92.0,4.0,53161.0,4502.0,Tunisia,Africa,114.0,11808852.0,-1.0,10864.0,240997.0,222.0
33,2020-06-04,1087.0,-1.0,49.0,-1.0,968.0,70.0,1.0,92.0,4.0,53539.0,4534.0,Tunisia,Africa,114.0,11809190.0,3.0,10864.0,241004.0,221.0
34,2020-06-05,1087.0,-1.0,49.0,-1.0,969.0,69.0,1.0,92.0,4.0,54150.0,4585.0,Tunisia,Africa,114.0,11809527.0,1.0,10864.0,241011.0,218.0
35,2020-06-06,1087.0,-1.0,49.0,-1.0,977.0,61.0,1.0,92.0,4.0,54653.0,4628.0,Tunisia,Africa,115.0,11809865.0,8.0,10865.0,241018.0,216.0
