,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,124375.0,1983.0,3336.0,78.0,58259.0,62780.0,1445.0,1475.0,40.0,1111366.0,13177.0,Turkey,Asia,,,0.0,,,
1,2020-05-03,126045.0,1670.0,3397.0,61.0,63151.0,59497.0,1424.0,1495.0,40.0,1135367.0,13462.0,Turkey,Asia,,,0.0,,,
2,2020-05-04,127659.0,1614.0,3461.0,64.0,68166.0,56032.0,1384.0,1514.0,41.0,1171138.0,13886.0,Turkey,Asia,,,0.0,,,
3,2020-05-05,129491.0,-1.0,3520.0,-1.0,73285.0,52686.0,1338.0,1535.0,42.0,1204421.0,14281.0,Turkey,Asia,,,0.0,,,
4,2020-05-06,131744.0,2253.0,3584.0,64.0,78202.0,49958.0,1278.0,1562.0,42.0,1234724.0,14640.0,Turkey,Asia,,,0.0,,,
5,2020-05-07,133721.0,1977.0,3641.0,57.0,82984.0,47096.0,1260.0,1586.0,43.0,1265119.0,15000.0,Turkey,Asia,,,0.0,,,
6,2020-05-08,135569.0,-1.0,3689.0,-1.0,86396.0,45484.0,1219.0,1607.0,44.0,1298806.0,15400.0,Turkey,Asia,,,0.0,,,
7,2020-05-09,137115.0,-1.0,3739.0,-1.0,89480.0,43896.0,1168.0,1626.0,44.0,1334411.0,15822.0,Turkey,Asia,,,0.0,,,
8,2020-05-10,138657.0,1542.0,3786.0,47.0,92691.0,42180.0,1154.0,1644.0,45.0,1370598.0,16251.0,Turkey,Asia,,,0.0,,,
9,2020-05-11,139771.0,1114.0,3841.0,55.0,95780.0,40150.0,1126.0,1657.0,46.0,1403320.0,16639.0,Turkey,Asia,,,0.0,,,
10,2020-05-12,141475.0,1704.0,3894.0,53.0,98889.0,38692.0,1045.0,1677.0,46.0,1440671.0,17082.0,Turkey,Asia,,,0.0,,,
11,2020-05-13,143114.0,1639.0,3952.0,58.0,101715.0,37447.0,998.0,1697.0,47.0,1474003.0,17477.0,Turkey,Asia,,,0.0,,,
12,2020-05-14,144749.0,1635.0,4007.0,55.0,104030.0,36712.0,963.0,1716.0,48.0,1508824.0,17890.0,Turkey,Asia,,,0.0,,,
13,2020-05-15,146457.0,1708.0,4055.0,48.0,106133.0,36269.0,944.0,1739.0,48.0,1547389.0,18373.0,Turkey,Asia,9.0,84220162.0,0.0,,,
14,2020-05-16,148067.0,1610.0,4096.0,41.0,108137.0,35834.0,906.0,1758.0,49.0,1589625.0,18874.0,Turkey,Asia,9.0,84222640.0,0.0,,,
15,2020-05-17,149435.0,1368.0,4140.0,44.0,109962.0,35333.0,914.0,1774.0,49.0,1624994.0,19293.0,Turkey,Asia,9.0,84225118.0,0.0,,,
16,2020-05-18,150593.0,1158.0,4171.0,31.0,111577.0,34845.0,903.0,1788.0,50.0,1650135.0,19591.0,Turkey,Asia,9.0,84227597.0,0.0,,,
17,2020-05-19,151615.0,1022.0,4199.0,28.0,112895.0,34521.0,882.0,1800.0,50.0,1675517.0,19892.0,Turkey,Asia,9.0,84230075.0,0.0,,,
18,2020-05-20,152587.0,972.0,4222.0,23.0,113987.0,34378.0,877.0,1811.0,50.0,1696355.0,20139.0,Turkey,Asia,9.0,84232553.0,0.0,,,
19,2020-05-21,153548.0,961.0,4249.0,27.0,114990.0,34309.0,820.0,1823.0,50.0,1729988.0,20538.0,Turkey,Asia,9.0,84235031.0,0.0,,,
20,2020-05-22,154500.0,952.0,4276.0,27.0,116111.0,34113.0,800.0,1834.0,51.0,1767495.0,20982.0,Turkey,Asia,9.0,84237509.0,0.0,,,
21,2020-05-23,155686.0,1186.0,4308.0,32.0,117602.0,33776.0,775.0,1848.0,51.0,1807673.0,21459.0,Turkey,Asia,9.0,84239988.0,0.0,,,
22,2020-05-24,156827.0,1141.0,4340.0,32.0,118694.0,33793.0,769.0,1862.0,52.0,1832262.0,21750.0,Turkey,Asia,9.0,84242466.0,0.0,,,
23,2020-05-25,157814.0,987.0,4369.0,29.0,120015.0,33430.0,756.0,1873.0,52.0,1853754.0,22004.0,Turkey,Asia,9.0,84244944.0,0.0,,,
24,2020-05-26,158762.0,948.0,4397.0,28.0,121507.0,32858.0,739.0,1884.0,52.0,1873607.0,22239.0,Turkey,Asia,9.0,84247422.0,0.0,,,
25,2020-05-27,159797.0,-1.0,4431.0,-1.0,122793.0,32573.0,723.0,1897.0,53.0,1894650.0,22488.0,Turkey,Asia,9.0,84252379.0,0.0,,,
26,2020-05-28,160979.0,1182.0,4461.0,30.0,124369.0,32149.0,683.0,1911.0,53.0,1928209.0,22886.0,Turkey,Asia,10.0,84252379.0,0.0,,,
27,2020-05-29,162120.0,1141.0,4489.0,28.0,125963.0,31668.0,662.0,1924.0,53.0,1964364.0,23315.0,Turkey,Asia,10.0,84254857.0,0.0,,,
28,2020-05-30,163103.0,983.0,4515.0,26.0,126984.0,31604.0,649.0,1936.0,54.0,2003594.0,23779.0,Turkey,Asia,10.0,84257335.0,0.0,,,
29,2020-05-31,163942.0,839.0,4540.0,25.0,127973.0,31429.0,648.0,1946.0,54.0,2039194.0,24201.0,Turkey,Asia,10.0,84259813.0,0.0,,,
30,2020-06-01,164769.0,827.0,4563.0,23.0,128947.0,31259.0,651.0,1955.0,54.0,2070719.0,24575.0,Turkey,Asia,10.0,84262291.0,0.0,,,
31,2020-06-02,165555.0,786.0,4585.0,22.0,129921.0,31049.0,633.0,1965.0,54.0,2103044.0,24958.0,Turkey,Asia,11.0,84264770.0,974.0,509.0,18378.0,40.0
32,2020-06-03,166422.0,867.0,4609.0,24.0,130852.0,30961.0,612.0,1975.0,55.0,2155349.0,25578.0,Turkey,Asia,10.0,84267248.0,931.0,506.0,18283.0,39.0
33,2020-06-04,167410.0,988.0,4630.0,21.0,131778.0,31002.0,602.0,1987.0,55.0,2209583.0,26220.0,Turkey,Asia,10.0,84269726.0,926.0,503.0,18201.0,38.0
34,2020-06-05,168340.0,930.0,4648.0,18.0,133400.0,30292.0,592.0,1998.0,55.0,2267412.0,26906.0,Turkey,Asia,10.0,84272204.0,1622.0,501.0,18131.0,37.0
35,2020-06-06,169218.0,878.0,4669.0,21.0,135322.0,29227.0,591.0,2008.0,55.0,2303258.0,27330.0,Turkey,Asia,11.0,84274682.0,1922.0,498.0,18050.0,37.0
36,2020-06-07,170132.0,914.0,4692.0,23.0,137969.0,27471.0,613.0,2019.0,56.0,2338593.0,27749.0,Turkey,Asia,11.0,84277161.0,2647.0,495.0,17962.0,36.0
37,2020-06-08,171121.0,989.0,4711.0,19.0,141380.0,25030.0,625.0,2030.0,56.0,2377954.0,28215.0,Turkey,Asia,11.0,84279639.0,3411.0,493.0,17890.0,35.0
38,2020-06-09,172114.0,993.0,4729.0,18.0,144598.0,22787.0,642.0,2042.0,56.0,2415179.0,28656.0,Turkey,Asia,11.0,84282117.0,3218.0,490.0,17822.0,35.0
39,2020-06-10,173036.0,922.0,4746.0,17.0,146839.0,21451.0,631.0,2053.0,56.0,2451700.0,29088.0,Turkey,Asia,11.0,84284595.0,2241.0,487.0,17759.0,34.0
40,2020-06-11,174023.0,987.0,4763.0,17.0,147860.0,21400.0,643.0,2065.0,57.0,2500890.0,29671.0,Turkey,Asia,11.0,84287073.0,1021.0,484.0,17696.0,34.0
41,2020-06-12,175218.0,1195.0,4778.0,15.0,149102.0,21338.0,664.0,2079.0,57.0,2541903.0,30157.0,Turkey,Asia,11.0,84289552.0,1242.0,481.0,17641.0,33.0
