,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,12.0,-1.0,1.0,-1.0,5.0,6.0,-1.0,310.0,26.0,83.0,2144.0,Turks and Caicos,North America,,,0.0,,,
1,2020-05-03,12.0,-1.0,1.0,-1.0,5.0,6.0,-1.0,310.0,26.0,83.0,2144.0,Turks and Caicos,North America,,,0.0,,,
2,2020-05-04,12.0,-1.0,1.0,-1.0,6.0,5.0,-1.0,310.0,26.0,107.0,2764.0,Turks and Caicos,North America,,,0.0,,,
3,2020-05-05,12.0,-1.0,1.0,-1.0,6.0,5.0,-1.0,310.0,26.0,107.0,2764.0,Turks and Caicos,North America,,,0.0,,,
4,2020-05-06,12.0,-1.0,1.0,-1.0,6.0,5.0,-1.0,310.0,26.0,107.0,2764.0,Turks and Caicos,North America,,,0.0,,,
5,2020-05-07,12.0,-1.0,1.0,-1.0,6.0,5.0,-1.0,310.0,26.0,107.0,2764.0,Turks and Caicos,North America,,,0.0,,,
6,2020-05-08,12.0,-1.0,1.0,-1.0,8.0,3.0,-1.0,310.0,26.0,109.0,2815.0,Turks and Caicos,North America,,,0.0,,,
7,2020-05-09,12.0,-1.0,1.0,-1.0,8.0,3.0,-1.0,310.0,26.0,109.0,2815.0,Turks and Caicos,North America,,,0.0,,,
8,2020-05-10,12.0,-1.0,1.0,-1.0,8.0,3.0,-1.0,310.0,26.0,109.0,2815.0,Turks and Caicos,North America,,,0.0,,,
9,2020-05-11,12.0,-1.0,1.0,-1.0,8.0,3.0,-1.0,310.0,26.0,109.0,2815.0,Turks and Caicos,North America,,,0.0,,,
10,2020-05-12,12.0,-1.0,1.0,-1.0,8.0,3.0,-1.0,310.0,26.0,109.0,2815.0,Turks and Caicos,North America,,,0.0,,,
11,2020-05-13,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2815.0,Turks and Caicos,North America,,,0.0,,,
12,2020-05-14,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2815.0,Turks and Caicos,North America,,,0.0,,,
13,2020-05-15,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2820.0,Turks and Caicos,North America,199.0,38648.0,0.0,,,
14,2020-05-16,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2820.0,Turks and Caicos,North America,199.0,38649.0,0.0,,,
15,2020-05-17,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2820.0,Turks and Caicos,North America,199.0,38650.0,0.0,,,
16,2020-05-18,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2820.0,Turks and Caicos,North America,199.0,38652.0,0.0,,,
17,2020-05-19,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2820.0,Turks and Caicos,North America,199.0,38653.0,0.0,,,
18,2020-05-20,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2820.0,Turks and Caicos,North America,200.0,38655.0,0.0,,,
19,2020-05-21,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2820.0,Turks and Caicos,North America,200.0,38656.0,0.0,,,
20,2020-05-22,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,109.0,2820.0,Turks and Caicos,North America,200.0,38658.0,0.0,,,
21,2020-05-23,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,126.0,3259.0,Turks and Caicos,North America,200.0,38659.0,0.0,,,
22,2020-05-24,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,126.0,3259.0,Turks and Caicos,North America,200.0,38660.0,0.0,,,
23,2020-05-25,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,126.0,3259.0,Turks and Caicos,North America,200.0,38662.0,0.0,,,
24,2020-05-26,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,126.0,3259.0,Turks and Caicos,North America,200.0,38663.0,0.0,,,
25,2020-05-27,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,129.0,3336.0,Turks and Caicos,North America,202.0,38666.0,0.0,,,
26,2020-05-28,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,129.0,3336.0,Turks and Caicos,North America,202.0,38666.0,0.0,,,
27,2020-05-29,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,129.0,3336.0,Turks and Caicos,North America,202.0,38668.0,0.0,,,
28,2020-05-30,12.0,-1.0,1.0,-1.0,10.0,1.0,-1.0,310.0,26.0,129.0,3336.0,Turks and Caicos,North America,202.0,38669.0,0.0,,,
29,2020-05-31,12.0,-1.0,1.0,-1.0,11.0,0.0,-1.0,310.0,26.0,129.0,3336.0,Turks and Caicos,North America,202.0,38670.0,0.0,,,
30,2020-06-01,12.0,-1.0,1.0,-1.0,11.0,0.0,-1.0,310.0,26.0,153.0,3956.0,Turks and Caicos,North America,202.0,38672.0,0.0,,,
31,2020-06-02,12.0,-1.0,1.0,-1.0,11.0,0.0,-1.0,310.0,26.0,153.0,3956.0,Turks and Caicos,North America,202.0,38673.0,-1.0,3223.0,38673.0,253.0
32,2020-06-03,12.0,-1.0,1.0,-1.0,11.0,0.0,-1.0,310.0,26.0,153.0,3956.0,Turks and Caicos,North America,202.0,38675.0,-1.0,3223.0,38675.0,253.0
