,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,13599.0,561.0,119.0,8.0,2664.0,10816.0,1.0,1375.0,12.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
1,2020-05-03,14163.0,564.0,126.0,7.0,2763.0,11274.0,1.0,1432.0,13.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
2,2020-05-04,14730.0,567.0,137.0,11.0,2966.0,11627.0,1.0,1489.0,14.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
3,2020-05-05,15192.0,-1.0,146.0,-1.0,3153.0,11893.0,1.0,1536.0,15.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
4,2020-05-06,15192.0,-1.0,146.0,-1.0,3153.0,11893.0,1.0,1536.0,15.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
5,2020-05-07,16240.0,502.0,165.0,8.0,3572.0,12503.0,1.0,1642.0,17.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
6,2020-05-08,16793.0,-1.0,174.0,-1.0,3837.0,12782.0,1.0,1698.0,18.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
7,2020-05-09,17417.0,-1.0,185.0,-1.0,4295.0,12937.0,1.0,1761.0,19.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
8,2020-05-10,18198.0,781.0,198.0,13.0,4804.0,13196.0,1.0,1840.0,20.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
9,2020-05-11,18878.0,680.0,201.0,3.0,5381.0,13296.0,1.0,1909.0,20.0,1200000.0,121330.0,UAE,Asia,,,0.0,,,
10,2020-05-12,19661.0,783.0,203.0,2.0,6012.0,13446.0,1.0,1988.0,21.0,1500000.0,151662.0,UAE,Asia,,,0.0,,,
11,2020-05-13,20386.0,725.0,206.0,3.0,6523.0,13657.0,1.0,2061.0,21.0,1500000.0,151662.0,UAE,Asia,,,0.0,,,
12,2020-05-14,21084.0,698.0,208.0,2.0,6930.0,13946.0,1.0,2132.0,21.0,1560923.0,157822.0,UAE,Asia,,,0.0,,,
13,2020-05-15,21831.0,747.0,210.0,2.0,7328.0,14293.0,1.0,2211.0,21.0,1560923.0,158074.0,UAE,Asia,28.0,9874659.0,0.0,,,
14,2020-05-16,22627.0,796.0,214.0,4.0,7931.0,14482.0,1.0,2291.0,22.0,1560923.0,158068.0,UAE,Asia,28.0,9874985.0,0.0,,,
15,2020-05-17,23358.0,731.0,220.0,6.0,8512.0,14626.0,1.0,2365.0,22.0,1600923.0,162114.0,UAE,Asia,28.0,9875312.0,0.0,,,
16,2020-05-18,24190.0,832.0,224.0,4.0,9577.0,14389.0,1.0,2449.0,23.0,1600923.0,162108.0,UAE,Asia,28.0,9875638.0,0.0,,,
17,2020-05-19,25063.0,873.0,227.0,3.0,10791.0,14045.0,1.0,2538.0,23.0,1600923.0,162103.0,UAE,Asia,28.0,9875965.0,0.0,,,
18,2020-05-20,26004.0,941.0,233.0,6.0,11809.0,13962.0,1.0,2633.0,24.0,1600923.0,162098.0,UAE,Asia,28.0,9876291.0,0.0,,,
19,2020-05-21,26898.0,894.0,237.0,4.0,12755.0,13906.0,1.0,2723.0,24.0,1600923.0,162092.0,UAE,Asia,28.0,9876618.0,0.0,,,
20,2020-05-22,27892.0,994.0,241.0,4.0,13798.0,13853.0,1.0,2824.0,24.0,1600923.0,162087.0,UAE,Asia,28.0,9876944.0,0.0,,,
21,2020-05-23,28704.0,812.0,244.0,3.0,14495.0,13965.0,1.0,2906.0,25.0,1600923.0,162082.0,UAE,Asia,28.0,9877270.0,0.0,,,
22,2020-05-24,29485.0,781.0,245.0,1.0,15056.0,14184.0,1.0,2985.0,25.0,1600923.0,162076.0,UAE,Asia,28.0,9877597.0,0.0,,,
23,2020-05-25,30307.0,822.0,248.0,3.0,15657.0,14402.0,1.0,3068.0,25.0,2044493.0,206976.0,UAE,Asia,28.0,9877923.0,0.0,,,
24,2020-05-26,31086.0,779.0,253.0,5.0,15982.0,14851.0,1.0,3147.0,26.0,2072493.0,209804.0,UAE,Asia,26.0,9878250.0,0.0,,,
25,2020-05-27,31969.0,-1.0,255.0,-1.0,16371.0,15343.0,1.0,3236.0,26.0,2072493.0,209790.0,UAE,Asia,26.0,9878903.0,0.0,,,
26,2020-05-28,32532.0,563.0,258.0,3.0,16685.0,15589.0,1.0,3293.0,26.0,2110493.0,213636.0,UAE,Asia,26.0,9878903.0,0.0,,,
27,2020-05-29,33170.0,638.0,260.0,2.0,17097.0,15813.0,1.0,3358.0,26.0,2110493.0,213629.0,UAE,Asia,26.0,9879229.0,0.0,,,
28,2020-05-30,33896.0,726.0,262.0,2.0,17546.0,16088.0,1.0,3431.0,27.0,2110493.0,213622.0,UAE,Asia,26.0,9879555.0,0.0,,,
29,2020-05-31,34557.0,661.0,264.0,2.0,17932.0,16361.0,1.0,3498.0,27.0,2110493.0,213615.0,UAE,Asia,26.0,9879882.0,0.0,,,
30,2020-06-01,35192.0,635.0,266.0,2.0,18338.0,16588.0,1.0,3562.0,27.0,2110493.0,213608.0,UAE,Asia,26.0,9880208.0,0.0,,,
31,2020-06-02,35788.0,596.0,269.0,3.0,18726.0,16793.0,1.0,3622.0,27.0,2145493.0,217143.0,UAE,Asia,27.0,9880535.0,388.0,276.0,36731.0,5.0
32,2020-06-03,36359.0,571.0,270.0,1.0,19153.0,16936.0,1.0,3680.0,27.0,2145493.0,217136.0,UAE,Asia,27.0,9880861.0,427.0,272.0,36596.0,5.0
33,2020-06-04,37018.0,659.0,273.0,3.0,19572.0,17173.0,1.0,3746.0,28.0,2145493.0,217129.0,UAE,Asia,26.0,9881188.0,419.0,267.0,36195.0,5.0
34,2020-06-05,37642.0,624.0,274.0,1.0,20337.0,17031.0,1.0,3809.0,28.0,2145493.0,217122.0,UAE,Asia,26.0,9881514.0,765.0,263.0,36064.0,5.0
35,2020-06-06,38268.0,626.0,275.0,1.0,21061.0,16932.0,1.0,3873.0,28.0,2500000.0,252989.0,UAE,Asia,26.0,9881840.0,724.0,258.0,35934.0,4.0
