,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,182260.0,4806.0,28131.0,621.0,-1.0,153785.0,1559.0,2685.0,414.0,1129907.0,16644.0,UK,Europe,,,0.0,,,
1,2020-05-03,186599.0,4339.0,28446.0,315.0,-1.0,157809.0,1559.0,2749.0,419.0,1206405.0,17771.0,UK,Europe,,,0.0,,,
2,2020-05-04,190584.0,3985.0,28734.0,288.0,-1.0,161506.0,1559.0,2807.0,423.0,1291591.0,19026.0,UK,Europe,,,0.0,,,
3,2020-05-05,194990.0,-1.0,29427.0,-1.0,-1.0,165219.0,1559.0,2872.0,433.0,1383842.0,20385.0,UK,Europe,,,0.0,,,
4,2020-05-06,201101.0,6111.0,30076.0,649.0,-1.0,170681.0,1559.0,2962.0,443.0,1383842.0,20385.0,UK,Europe,,,0.0,,,
5,2020-05-07,206715.0,5614.0,30615.0,539.0,-1.0,175756.0,1559.0,3045.0,451.0,1534533.0,22605.0,UK,Europe,,,0.0,,,
6,2020-05-08,211364.0,-1.0,31241.0,-1.0,-1.0,179779.0,1559.0,3114.0,460.0,1631561.0,24034.0,UK,Europe,,,0.0,,,
7,2020-05-09,215260.0,-1.0,31587.0,-1.0,-1.0,183329.0,1559.0,3171.0,465.0,1728443.0,25461.0,UK,Europe,,,0.0,,,
8,2020-05-10,219183.0,3923.0,31855.0,268.0,-1.0,186984.0,1559.0,3229.0,469.0,1821280.0,26829.0,UK,Europe,,,0.0,,,
9,2020-05-11,223060.0,3877.0,32065.0,210.0,-1.0,190651.0,1559.0,3286.0,472.0,1921770.0,28309.0,UK,Europe,,,0.0,,,
10,2020-05-12,226463.0,3403.0,32692.0,627.0,-1.0,193427.0,1559.0,3336.0,482.0,2007146.0,29566.0,UK,Europe,,,0.0,,,
11,2020-05-13,229705.0,3242.0,33186.0,494.0,-1.0,196175.0,1559.0,3384.0,489.0,2094209.0,30849.0,UK,Europe,,,0.0,,,
12,2020-05-14,233151.0,3446.0,33614.0,428.0,-1.0,199193.0,1559.0,3434.0,495.0,2219281.0,32691.0,UK,Europe,,,0.0,,,
13,2020-05-15,236711.0,3560.0,33998.0,384.0,-1.0,-1.0,1559.0,3489.0,501.0,2353078.0,34686.0,UK,Europe,4.0,67840351.0,0.0,,,
14,2020-05-16,240161.0,3450.0,34466.0,468.0,-1.0,-1.0,1559.0,3540.0,508.0,2489563.0,36697.0,UK,Europe,4.0,67841324.0,0.0,,,
15,2020-05-17,243303.0,3142.0,34636.0,170.0,-1.0,-1.0,1559.0,3586.0,511.0,2489563.0,36696.0,UK,Europe,4.0,67842296.0,0.0,,,
16,2020-05-18,246406.0,2711.0,34796.0,160.0,-1.0,-1.0,1559.0,3632.0,513.0,2682716.0,39543.0,UK,Europe,4.0,67843268.0,0.0,,,
17,2020-05-19,248818.0,2412.0,35341.0,545.0,-1.0,-1.0,1559.0,3667.0,521.0,2772552.0,40866.0,UK,Europe,5.0,67844241.0,0.0,,,
18,2020-05-20,248293.0,-1.0,35704.0,363.0,-1.0,-1.0,1559.0,3660.0,526.0,2962227.0,43662.0,UK,Europe,5.0,67845213.0,0.0,,,
19,2020-05-21,250908.0,2615.0,36042.0,338.0,-1.0,-1.0,1559.0,3698.0,531.0,3090566.0,45553.0,UK,Europe,5.0,67846185.0,0.0,,,
