,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1147588.0,16558.0,66650.0,897.0,162114.0,918824.0,16481.0,3467.0,201.0,6838233.0,20659.0,USA,North America,,,0.0,,,
1,2020-05-03,1187124.0,26350.0,68561.0,1117.0,178223.0,940340.0,16139.0,3586.0,207.0,7187031.0,21713.0,USA,North America,,,0.0,,,
2,2020-05-04,1212343.0,24221.0,69723.0,1126.0,187297.0,955323.0,16043.0,3663.0,211.0,7462431.0,22545.0,USA,North America,,,0.0,,,
3,2020-05-05,1237633.0,-1.0,72271.0,-1.0,200628.0,964734.0,16179.0,3739.0,218.0,7727811.0,23347.0,USA,North America,,,0.0,,,
4,2020-05-06,1244538.0,6905.0,72876.0,605.0,202908.0,968754.0,16173.0,3760.0,220.0,7795960.0,23553.0,USA,North America,,,0.0,,,
5,2020-05-07,1292144.0,29052.0,76908.0,2109.0,216856.0,998380.0,16995.0,3904.0,232.0,8484397.0,25632.0,USA,North America,,,0.0,,,
6,2020-05-08,1321785.0,-1.0,78615.0,-1.0,223603.0,1019567.0,16978.0,3993.0,238.0,8636435.0,26092.0,USA,North America,,,0.0,,,
7,2020-05-09,1347309.0,-1.0,80037.0,-1.0,238078.0,1029194.0,16816.0,4070.0,242.0,8918263.0,26943.0,USA,North America,,,0.0,,,
8,2020-05-10,1355967.0,8658.0,80393.0,356.0,240616.0,1034958.0,16494.0,4097.0,243.0,9191357.0,27768.0,USA,North America,,,0.0,,,
9,2020-05-11,1376650.0,9012.0,81173.0,386.0,258419.0,1037058.0,16473.0,4159.0,245.0,9617390.0,29055.0,USA,North America,,,0.0,,,
10,2020-05-12,1402275.0,16441.0,83121.0,1326.0,276175.0,1042979.0,16445.0,4236.0,251.0,9850818.0,29761.0,USA,North America,,,0.0,,,
11,2020-05-13,1419048.0,10412.0,84243.0,818.0,300439.0,1034366.0,16406.0,4287.0,255.0,10057255.0,30384.0,USA,North America,,,0.0,,,
12,2020-05-14,1441055.0,10707.0,86098.0,901.0,311721.0,1043236.0,16337.0,4354.0,260.0,10397352.0,31412.0,USA,North America,,,0.0,,,
13,2020-05-15,1471595.0,14002.0,87822.0,910.0,317614.0,1066159.0,16173.0,4449.0,266.0,10860868.0,32837.0,USA,North America,1.0,330753490.0,0.0,,,
14,2020-05-16,1502007.0,17722.0,89387.0,880.0,337041.0,1075579.0,16061.0,4541.0,270.0,11747656.0,35517.0,USA,North America,1.0,330758784.0,0.0,,,
15,2020-05-17,1516004.0,8231.0,90399.0,286.0,340727.0,1084878.0,16248.0,4583.0,273.0,12069024.0,36488.0,USA,North America,1.0,330764077.0,0.0,,,
16,2020-05-18,1539174.0,11510.0,91491.0,513.0,351348.0,1096335.0,15985.0,4653.0,277.0,12023642.0,36351.0,USA,North America,1.0,330769370.0,0.0,,,
17,2020-05-19,1560725.0,10431.0,92689.0,708.0,360088.0,1107948.0,16870.0,4718.0,280.0,12471910.0,37705.0,USA,North America,1.0,330774664.0,0.0,,,
18,2020-05-20,1584505.0,13922.0,94451.0,918.0,366591.0,1123463.0,17793.0,4790.0,286.0,14002295.0,42331.0,USA,North America,1.0,330779957.0,0.0,,,
19,2020-05-21,1617539.0,24816.0,96178.0,1242.0,381497.0,1139864.0,17842.0,4890.0,291.0,13379389.0,40447.0,USA,North America,1.0,330785250.0,0.0,,,
20,2020-05-22,1634790.0,13888.0,97184.0,830.0,386081.0,1151525.0,17689.0,4942.0,294.0,13695951.0,41404.0,USA,North America,1.0,330790544.0,0.0,,,
21,2020-05-23,1660531.0,15437.0,98431.0,784.0,439487.0,1122613.0,17109.0,5020.0,298.0,14234295.0,43030.0,USA,North America,1.0,330795837.0,0.0,,,
22,2020-05-24,1683005.0,16177.0,99229.0,546.0,451398.0,1132378.0,17131.0,5088.0,300.0,14678825.0,44374.0,USA,North America,1.0,330801130.0,0.0,,,
23,2020-05-25,1698311.0,11875.0,99646.0,346.0,456970.0,1141695.0,17031.0,5134.0,301.0,15058599.0,45521.0,USA,North America,1.0,330806424.0,0.0,,,
24,2020-05-26,1713850.0,7624.0,100090.0,285.0,468941.0,1144819.0,17084.0,5181.0,303.0,15309265.0,46278.0,USA,North America,1.0,330811717.0,0.0,,,
25,2020-05-27,1745803.0,-1.0,102107.0,-1.0,490130.0,1153566.0,17166.0,5277.0,309.0,15875473.0,47988.0,USA,North America,1.0,330822304.0,0.0,,,
26,2020-05-28,1762315.0,16512.0,103125.0,1018.0,495649.0,1163541.0,17182.0,5327.0,312.0,16232049.0,49066.0,USA,North America,1.0,330822304.0,0.0,,,
27,2020-05-29,1787926.0,19465.0,104348.0,1018.0,503994.0,1179584.0,17252.0,5404.0,315.0,16757263.0,50653.0,USA,North America,1.0,330827597.0,0.0,,,
28,2020-05-30,1811101.0,17571.0,105329.0,787.0,528058.0,1177714.0,16973.0,5474.0,318.0,17105929.0,51706.0,USA,North America,1.0,330832890.0,0.0,,,
29,2020-05-31,1829273.0,12453.0,105934.0,377.0,539173.0,1184166.0,17163.0,5529.0,320.0,17505657.0,52913.0,USA,North America,1.0,330838184.0,0.0,,,
30,2020-06-01,1846013.0,8843.0,106503.0,308.0,607135.0,1132375.0,16985.0,5580.0,322.0,17938003.0,54219.0,USA,North America,1.0,330843477.0,0.0,,,
31,2020-06-02,1876910.0,17587.0,107908.0,983.0,622034.0,1146968.0,16949.0,5673.0,326.0,18492863.0,55895.0,USA,North America,1.0,330848770.0,6618.0,176.0,3066.0,18.0
32,2020-06-03,1896926.0,15721.0,108923.0,864.0,651285.0,1136718.0,16920.0,5733.0,329.0,18986621.0,57387.0,USA,North America,1.0,330854064.0,5311.0,174.0,3038.0,17.0
33,2020-06-04,1918261.0,16478.0,109989.0,847.0,694665.0,1113607.0,16978.0,5798.0,332.0,19437430.0,58748.0,USA,North America,1.0,330859357.0,5995.0,172.0,3008.0,17.0
34,2020-06-05,1939947.0,15896.0,110879.0,706.0,715555.0,1113513.0,17032.0,5863.0,335.0,19988287.0,60412.0,USA,North America,1.0,330864650.0,3303.0,171.0,2984.0,17.0
35,2020-06-06,1981012.0,15304.0,111864.0,474.0,739724.0,1129424.0,17011.0,5987.0,338.0,20581499.0,62204.0,USA,North America,1.0,330869944.0,1078.0,167.0,2958.0,16.0
36,2020-06-07,2005522.0,16978.0,112467.0,371.0,757107.0,1135948.0,16915.0,6061.0,340.0,21160868.0,63954.0,USA,North America,1.0,330875237.0,5412.0,165.0,2942.0,16.0
37,2020-06-08,2023975.0,16526.0,113006.0,537.0,770636.0,1140333.0,16929.0,6117.0,342.0,21628498.0,65366.0,USA,North America,1.0,330880530.0,8928.0,163.0,2928.0,15.0
38,2020-06-09,2043498.0,17005.0,114102.0,1047.0,783434.0,1145962.0,16900.0,6176.0,345.0,22088631.0,66756.0,USA,North America,1.0,330885824.0,9954.0,162.0,2900.0,15.0
39,2020-06-10,2062799.0,17250.0,115023.0,875.0,800403.0,1147373.0,16840.0,6234.0,348.0,22514423.0,68042.0,USA,North America,1.0,330891117.0,11541.0,160.0,2877.0,15.0
40,2020-06-11,2087840.0,21439.0,115988.0,858.0,813065.0,1158787.0,16791.0,6310.0,351.0,22988754.0,69474.0,USA,North America,1.0,330896410.0,4571.0,158.0,2853.0,14.0
41,2020-06-12,2112090.0,22389.0,116723.0,689.0,825136.0,1170231.0,16611.0,6383.0,353.0,23595827.0,71308.0,USA,North America,1.0,330901704.0,9050.0,157.0,2835.0,14.0
42,2020-06-13,2138573.0,21651.0,117422.0,597.0,849010.0,1172141.0,16716.0,6463.0,355.0,24250759.0,73286.0,USA,North America,1.0,330906997.0,7076.0,155.0,2818.0,14.0
43,2020-06-14,2160623.0,18399.0,117839.0,312.0,859637.0,1183147.0,16693.0,6529.0,356.0,24683489.0,74592.0,USA,North America,1.0,330912290.0,-1.0,153.0,2808.0,13.0
44,2020-06-15,2181019.0,18791.0,118243.0,385.0,879027.0,1183749.0,16687.0,6591.0,357.0,25132383.0,75948.0,USA,North America,1.0,330917584.0,8977.0,152.0,2799.0,13.0
45,2020-06-16,2203338.0,20388.0,119036.0,753.0,898250.0,1186052.0,16453.0,6658.0,360.0,25649038.0,77508.0,USA,North America,1.0,330922877.0,8384.0,150.0,2780.0,13.0
46,2020-06-17,2231941.0,23541.0,119912.0,780.0,911120.0,1200909.0,16665.0,6744.0,362.0,26159091.0,79048.0,USA,North America,1.0,330928170.0,8079.0,148.0,2760.0,13.0
47,2020-06-18,2255271.0,20800.0,120499.0,558.0,923260.0,1211512.0,16632.0,6815.0,364.0,26641566.0,80504.0,USA,North America,1.0,330933464.0,4464.0,147.0,2746.0,12.0
48,2020-06-19,2291181.0,27530.0,121308.0,620.0,935484.0,1234389.0,16447.0,6923.0,367.0,27228455.0,82276.0,USA,North America,1.0,330938757.0,4490.0,144.0,2728.0,12.0
49,2020-06-20,2330324.0,33134.0,121979.0,572.0,972507.0,1235838.0,16529.0,7041.0,369.0,27975863.0,84532.0,USA,North America,1.0,330949344.0,16446.0,142.0,2713.0,12.0
