,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,85.0,-1.0,-1.0,-1.0,52.0,33.0,-1.0,2.0,-1.0,33818.0,739.0,Uganda,Africa,,,0.0,,,
1,2020-05-03,89.0,1.0,-1.0,-1.0,52.0,37.0,-1.0,2.0,-1.0,39232.0,858.0,Uganda,Africa,,,0.0,,,
2,2020-05-04,97.0,8.0,-1.0,-1.0,55.0,42.0,-1.0,2.0,-1.0,41478.0,907.0,Uganda,Africa,,,0.0,,,
3,2020-05-05,98.0,-1.0,-1.0,-1.0,55.0,43.0,-1.0,2.0,-1.0,41478.0,907.0,Uganda,Africa,,,0.0,,,
4,2020-05-06,98.0,-1.0,-1.0,-1.0,55.0,43.0,-1.0,2.0,-1.0,44110.0,964.0,Uganda,Africa,,,0.0,,,
5,2020-05-07,101.0,1.0,-1.0,-1.0,55.0,46.0,-1.0,2.0,-1.0,47620.0,1041.0,Uganda,Africa,,,0.0,,,
6,2020-05-08,101.0,-1.0,-1.0,-1.0,55.0,46.0,-1.0,2.0,-1.0,50711.0,1109.0,Uganda,Africa,,,0.0,,,
7,2020-05-09,116.0,-1.0,-1.0,-1.0,55.0,61.0,-1.0,3.0,-1.0,56767.0,1241.0,Uganda,Africa,,,0.0,,,
8,2020-05-10,116.0,-1.0,-1.0,-1.0,55.0,61.0,-1.0,3.0,-1.0,56767.0,1241.0,Uganda,Africa,,,0.0,,,
9,2020-05-11,121.0,-1.0,-1.0,-1.0,55.0,66.0,-1.0,3.0,-1.0,58606.0,1281.0,Uganda,Africa,,,0.0,,,
10,2020-05-12,129.0,8.0,-1.0,-1.0,55.0,74.0,-1.0,3.0,-1.0,61460.0,1344.0,Uganda,Africa,,,0.0,,,
11,2020-05-13,126.0,-1.0,-1.0,-1.0,55.0,71.0,-1.0,3.0,-1.0,63171.0,1381.0,Uganda,Africa,,,0.0,,,
12,2020-05-14,139.0,-1.0,-1.0,-1.0,55.0,84.0,-1.0,3.0,-1.0,65663.0,1436.0,Uganda,Africa,,,0.0,,,
13,2020-05-15,160.0,-1.0,-1.0,-1.0,63.0,97.0,-1.0,4.0,-1.0,67559.0,1484.0,Uganda,Africa,151.0,45534716.0,0.0,,,
14,2020-05-16,203.0,-1.0,-1.0,-1.0,63.0,140.0,-1.0,4.0,-1.0,70117.0,1540.0,Uganda,Africa,147.0,45538682.0,0.0,,,
15,2020-05-17,227.0,-1.0,-1.0,-1.0,63.0,164.0,-1.0,5.0,-1.0,72161.0,1584.0,Uganda,Africa,146.0,45542648.0,0.0,,,
16,2020-05-18,248.0,21.0,-1.0,-1.0,63.0,185.0,-1.0,5.0,-1.0,73485.0,1613.0,Uganda,Africa,145.0,45546614.0,0.0,,,
17,2020-05-19,260.0,12.0,-1.0,-1.0,63.0,197.0,-1.0,6.0,-1.0,73485.0,1613.0,Uganda,Africa,145.0,45550580.0,0.0,,,
18,2020-05-20,264.0,4.0,-1.0,-1.0,65.0,199.0,-1.0,6.0,-1.0,77456.0,1700.0,Uganda,Africa,144.0,45554546.0,0.0,,,
19,2020-05-21,160.0,-1.0,-1.0,-1.0,66.0,94.0,-1.0,4.0,-1.0,78953.0,1733.0,Uganda,Africa,155.0,45558511.0,0.0,,,
20,2020-05-22,160.0,-1.0,-1.0,-1.0,66.0,94.0,-1.0,4.0,-1.0,81682.0,1793.0,Uganda,Africa,155.0,45562477.0,0.0,,,
21,2020-05-23,175.0,-1.0,-1.0,-1.0,68.0,107.0,-1.0,4.0,-1.0,83788.0,1839.0,Uganda,Africa,154.0,45566443.0,0.0,,,
22,2020-05-24,198.0,-1.0,-1.0,-1.0,68.0,130.0,-1.0,4.0,-1.0,84975.0,1865.0,Uganda,Africa,152.0,45570409.0,0.0,,,
23,2020-05-25,212.0,14.0,-1.0,-1.0,68.0,144.0,-1.0,5.0,-1.0,86714.0,1903.0,Uganda,Africa,151.0,45574375.0,0.0,,,
24,2020-05-26,222.0,-1.0,-1.0,-1.0,69.0,153.0,-1.0,5.0,-1.0,86714.0,1903.0,Uganda,Africa,151.0,45578341.0,0.0,,,
25,2020-05-27,281.0,-1.0,-1.0,-1.0,69.0,212.0,-1.0,6.0,-1.0,89019.0,1953.0,Uganda,Africa,148.0,45586273.0,0.0,,,
26,2020-05-28,281.0,-1.0,-1.0,-1.0,69.0,212.0,-1.0,6.0,-1.0,90832.0,1993.0,Uganda,Africa,148.0,45586273.0,0.0,,,
27,2020-05-29,329.0,12.0,-1.0,-1.0,72.0,257.0,-1.0,7.0,-1.0,93062.0,2041.0,Uganda,Africa,146.0,45590239.0,0.0,,,
28,2020-05-30,329.0,-1.0,-1.0,-1.0,72.0,257.0,-1.0,7.0,-1.0,94990.0,2083.0,Uganda,Africa,146.0,45594205.0,0.0,,,
29,2020-05-31,417.0,4.0,-1.0,-1.0,72.0,345.0,-1.0,9.0,-1.0,96825.0,2123.0,Uganda,Africa,143.0,45598170.0,0.0,,,
30,2020-06-01,457.0,40.0,-1.0,-1.0,72.0,385.0,-1.0,10.0,-1.0,96825.0,2123.0,Uganda,Africa,140.0,45602136.0,0.0,,,
31,2020-06-02,489.0,32.0,-1.0,-1.0,82.0,407.0,-1.0,11.0,-1.0,96825.0,2123.0,Uganda,Africa,137.0,45606102.0,10.0,93264.0,-1.0,471.0
32,2020-06-03,507.0,18.0,-1.0,-1.0,82.0,425.0,-1.0,11.0,-1.0,96825.0,2123.0,Uganda,Africa,137.0,45610068.0,-1.0,89961.0,-1.0,471.0
33,2020-06-04,522.0,15.0,-1.0,-1.0,82.0,440.0,-1.0,11.0,-1.0,96825.0,2123.0,Uganda,Africa,136.0,45614034.0,-1.0,87383.0,-1.0,471.0
34,2020-06-05,557.0,35.0,-1.0,-1.0,82.0,475.0,-1.0,12.0,-1.0,99092.0,2172.0,Uganda,Africa,136.0,45618000.0,-1.0,81899.0,-1.0,460.0
35,2020-06-06,593.0,36.0,-1.0,-1.0,82.0,511.0,-1.0,13.0,-1.0,99092.0,2172.0,Uganda,Africa,135.0,45621966.0,-1.0,76934.0,-1.0,460.0
36,2020-06-07,616.0,23.0,-1.0,-1.0,96.0,520.0,-1.0,14.0,-1.0,100402.0,2201.0,Uganda,Africa,134.0,45625932.0,14.0,74068.0,-1.0,454.0
37,2020-06-08,646.0,30.0,-1.0,-1.0,103.0,543.0,-1.0,14.0,-1.0,104160.0,2283.0,Uganda,Africa,133.0,45629898.0,7.0,70635.0,-1.0,438.0
38,2020-06-09,657.0,11.0,-1.0,-1.0,118.0,539.0,-1.0,14.0,-1.0,104160.0,2283.0,Uganda,Africa,133.0,45633864.0,15.0,69458.0,-1.0,438.0
39,2020-06-10,665.0,8.0,-1.0,-1.0,119.0,546.0,-1.0,15.0,-1.0,106583.0,2335.0,Uganda,Africa,133.0,45637829.0,1.0,68628.0,-1.0,428.0
40,2020-06-11,679.0,14.0,-1.0,-1.0,161.0,518.0,-1.0,15.0,-1.0,108904.0,2386.0,Uganda,Africa,133.0,45641795.0,42.0,67219.0,-1.0,419.0
41,2020-06-12,686.0,7.0,-1.0,-1.0,161.0,525.0,-1.0,15.0,-1.0,111436.0,2441.0,Uganda,Africa,134.0,45645761.0,-1.0,66539.0,-1.0,410.0
42,2020-06-13,694.0,8.0,-1.0,-1.0,219.0,475.0,-1.0,15.0,-1.0,142819.0,3129.0,Uganda,Africa,135.0,45649727.0,58.0,65778.0,-1.0,320.0
43,2020-06-14,696.0,2.0,-1.0,-1.0,240.0,456.0,-1.0,15.0,-1.0,145768.0,3193.0,Uganda,Africa,134.0,45653693.0,21.0,65594.0,-1.0,313.0
44,2020-06-15,705.0,9.0,-1.0,-1.0,299.0,406.0,-1.0,15.0,-1.0,148442.0,3251.0,Uganda,Africa,134.0,45657659.0,59.0,64763.0,-1.0,308.0
45,2020-06-16,724.0,19.0,-1.0,-1.0,351.0,373.0,-1.0,16.0,-1.0,150654.0,3299.0,Uganda,Africa,133.0,45661625.0,52.0,63069.0,-1.0,303.0
46,2020-06-17,732.0,8.0,-1.0,-1.0,420.0,312.0,-1.0,16.0,-1.0,153180.0,3354.0,Uganda,Africa,133.0,45665591.0,69.0,62385.0,-1.0,298.0
47,2020-06-18,741.0,9.0,-1.0,-1.0,486.0,255.0,-1.0,16.0,-1.0,155882.0,3413.0,Uganda,Africa,133.0,45669557.0,66.0,61632.0,-1.0,293.0
48,2020-06-19,755.0,14.0,-1.0,-1.0,492.0,263.0,-1.0,17.0,-1.0,155882.0,3413.0,Uganda,Africa,133.0,45673523.0,6.0,60495.0,-1.0,293.0
49,2020-06-20,763.0,8.0,-1.0,-1.0,492.0,271.0,-1.0,17.0,-1.0,155882.0,3412.0,Uganda,Africa,134.0,45681454.0,-1.0,59871.0,-1.0,293.0
50,2020-06-21,770.0,7.0,-1.0,-1.0,578.0,192.0,-1.0,17.0,-1.0,155882.0,3412.0,Uganda,Africa,134.0,45681454.0,86.0,59327.0,-1.0,293.0
51,2020-06-22,774.0,4.0,-1.0,-1.0,631.0,143.0,-1.0,17.0,-1.0,170789.0,3738.0,Uganda,Africa,136.0,45685420.0,53.0,59025.0,-1.0,267.0
52,2020-06-23,797.0,23.0,-1.0,-1.0,699.0,98.0,-1.0,17.0,-1.0,170789.0,3738.0,Uganda,Africa,137.0,45689386.0,68.0,57327.0,-1.0,268.0
53,2020-06-24,805.0,8.0,-1.0,-1.0,717.0,88.0,-1.0,18.0,-1.0,170789.0,3738.0,Uganda,Africa,137.0,45693352.0,18.0,56762.0,-1.0,268.0
54,2020-06-25,821.0,16.0,-1.0,-1.0,731.0,90.0,-1.0,18.0,-1.0,170789.0,3737.0,Uganda,Africa,137.0,45697318.0,14.0,55661.0,-1.0,268.0
55,2020-06-26,833.0,12.0,-1.0,-1.0,761.0,72.0,-1.0,18.0,-1.0,170789.0,3737.0,Uganda,Africa,137.0,45701284.0,30.0,54863.0,-1.0,268.0
56,2020-06-27,848.0,15.0,-1.0,-1.0,761.0,87.0,-1.0,19.0,-1.0,170789.0,3737.0,Uganda,Africa,137.0,45705250.0,-1.0,53898.0,-1.0,268.0
57,2020-06-28,859.0,11.0,-1.0,-1.0,794.0,65.0,-1.0,19.0,-1.0,170789.0,3736.0,Uganda,Africa,137.0,45709216.0,33.0,53212.0,-1.0,268.0
58,2020-06-29,870.0,11.0,-1.0,-1.0,808.0,62.0,-1.0,19.0,-1.0,170789.0,3736.0,Uganda,Africa,136.0,45713182.0,14.0,52544.0,-1.0,268.0
59,2020-06-30,889.0,19.0,-1.0,-1.0,819.0,70.0,-1.0,19.0,-1.0,170789.0,3736.0,Uganda,Africa,136.0,45717147.0,11.0,51425.0,-1.0,268.0
60,2020-07-01,893.0,4.0,-1.0,-1.0,837.0,56.0,-1.0,20.0,-1.0,194872.0,4262.0,Uganda,Africa,136.0,45721113.0,18.0,51199.0,-1.0,235.0
61,2020-07-02,902.0,9.0,-1.0,-1.0,847.0,55.0,-1.0,20.0,-1.0,196841.0,4305.0,Uganda,Africa,136.0,45725079.0,10.0,50693.0,-1.0,232.0
62,2020-07-03,911.0,9.0,-1.0,-1.0,849.0,62.0,-1.0,20.0,-1.0,200179.0,4378.0,Uganda,Africa,136.0,45729045.0,2.0,50197.0,-1.0,228.0
63,2020-07-04,927.0,16.0,-1.0,-1.0,868.0,59.0,-1.0,20.0,-1.0,205312.0,4489.0,Uganda,Africa,137.0,45733011.0,19.0,49334.0,-1.0,223.0
64,2020-07-05,939.0,12.0,-1.0,-1.0,891.0,48.0,-1.0,21.0,-1.0,205312.0,4489.0,Uganda,Africa,138.0,45736977.0,23.0,48708.0,-1.0,223.0
65,2020-07-06,953.0,14.0,-1.0,-1.0,892.0,61.0,-1.0,21.0,-1.0,210446.0,4601.0,Uganda,Africa,138.0,45740943.0,1.0,47997.0,-1.0,217.0
66,2020-07-07,971.0,18.0,-1.0,-1.0,896.0,75.0,-1.0,21.0,-1.0,212860.0,4653.0,Uganda,Africa,136.0,45744909.0,4.0,47111.0,-1.0,215.0
67,2020-07-08,977.0,6.0,-1.0,-1.0,904.0,73.0,-1.0,21.0,-1.0,216311.0,4728.0,Uganda,Africa,136.0,45748875.0,8.0,46826.0,-1.0,211.0
68,2020-07-09,1000.0,23.0,-1.0,-1.0,908.0,92.0,-1.0,22.0,-1.0,219627.0,4800.0,Uganda,Africa,137.0,45752841.0,4.0,45753.0,-1.0,208.0
69,2020-07-10,1006.0,6.0,-1.0,-1.0,938.0,68.0,-1.0,22.0,-1.0,221675.0,4845.0,Uganda,Africa,137.0,45756806.0,30.0,45484.0,-1.0,206.0
70,2020-07-11,1013.0,7.0,-1.0,-1.0,952.0,61.0,-1.0,22.0,-1.0,224111.0,4897.0,Uganda,Africa,137.0,45760772.0,14.0,45174.0,-1.0,204.0
71,2020-07-12,1025.0,12.0,-1.0,-1.0,972.0,53.0,-1.0,22.0,-1.0,226403.0,4947.0,Uganda,Africa,136.0,45768704.0,20.0,44652.0,-1.0,202.0
72,2020-07-13,1029.0,4.0,-1.0,-1.0,977.0,52.0,-1.0,22.0,-1.0,228105.0,4984.0,Uganda,Africa,137.0,45768704.0,5.0,44479.0,-1.0,201.0
73,2020-07-14,1040.0,11.0,-1.0,-1.0,984.0,56.0,-1.0,23.0,-1.0,230680.0,5040.0,Uganda,Africa,135.0,45772670.0,7.0,44012.0,-1.0,198.0
74,2020-07-15,1043.0,3.0,-1.0,-1.0,1004.0,39.0,-1.0,23.0,-1.0,232608.0,5081.0,Uganda,Africa,136.0,45776636.0,20.0,43889.0,-1.0,197.0
75,2020-07-16,1051.0,8.0,-1.0,-1.0,1014.0,37.0,-1.0,23.0,-1.0,235013.0,5133.0,Uganda,Africa,137.0,45780602.0,10.0,43559.0,-1.0,195.0
76,2020-07-17,1056.0,5.0,-1.0,-1.0,1023.0,33.0,-1.0,23.0,-1.0,238709.0,5214.0,Uganda,Africa,138.0,45784568.0,9.0,43357.0,-1.0,192.0
77,2020-07-18,1062.0,6.0,-1.0,-1.0,1023.0,39.0,-1.0,23.0,-1.0,238709.0,5213.0,Uganda,Africa,138.0,45788534.0,-1.0,43115.0,-1.0,192.0
78,2020-07-19,1065.0,3.0,-1.0,-1.0,1023.0,42.0,-1.0,23.0,-1.0,241754.0,5279.0,Uganda,Africa,138.0,45792500.0,-1.0,42998.0,-1.0,189.0
