,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,11411.0,550.0,279.0,7.0,1498.0,9634.0,151.0,261.0,6.0,122752.0,2807.0,Ukraine,Europe,,,0.0,,,
1,2020-05-03,11913.0,502.0,288.0,9.0,1548.0,10077.0,158.0,272.0,7.0,129723.0,2966.0,Ukraine,Europe,,,0.0,,,
2,2020-05-04,12331.0,418.0,303.0,15.0,1619.0,10409.0,160.0,282.0,7.0,134592.0,3078.0,Ukraine,Europe,,,0.0,,,
3,2020-05-05,12697.0,-1.0,316.0,-1.0,1875.0,10506.0,167.0,290.0,7.0,139759.0,3196.0,Ukraine,Europe,,,0.0,,,
4,2020-05-06,13184.0,487.0,327.0,11.0,2097.0,10760.0,169.0,301.0,7.0,144283.0,3299.0,Ukraine,Europe,,,0.0,,,
5,2020-05-07,13691.0,507.0,340.0,13.0,2396.0,10955.0,178.0,313.0,8.0,151569.0,3466.0,Ukraine,Europe,,,0.0,,,
6,2020-05-08,14195.0,-1.0,361.0,-1.0,2706.0,11128.0,178.0,325.0,8.0,159155.0,3639.0,Ukraine,Europe,,,0.0,,,
7,2020-05-09,14710.0,-1.0,376.0,-1.0,2909.0,11425.0,190.0,336.0,9.0,167107.0,3821.0,Ukraine,Europe,,,0.0,,,
8,2020-05-10,15232.0,522.0,391.0,15.0,3060.0,11781.0,201.0,348.0,9.0,176403.0,4034.0,Ukraine,Europe,,,0.0,,,
9,2020-05-11,15648.0,416.0,408.0,17.0,3288.0,11952.0,207.0,358.0,9.0,181552.0,4151.0,Ukraine,Europe,,,0.0,,,
10,2020-05-12,16023.0,375.0,425.0,17.0,3373.0,12225.0,211.0,366.0,10.0,187307.0,4283.0,Ukraine,Europe,,,0.0,,,
11,2020-05-13,16425.0,402.0,439.0,14.0,3716.0,12270.0,218.0,376.0,10.0,192247.0,4396.0,Ukraine,Europe,,,0.0,,,
12,2020-05-14,16847.0,422.0,456.0,17.0,4143.0,12248.0,222.0,385.0,10.0,202495.0,4630.0,Ukraine,Europe,,,0.0,,,
13,2020-05-15,17330.0,483.0,476.0,20.0,4473.0,12381.0,225.0,396.0,11.0,211614.0,4835.0,Ukraine,Europe,31.0,43765842.0,0.0,,,
14,2020-05-16,17858.0,528.0,497.0,21.0,4906.0,12455.0,231.0,408.0,11.0,220638.0,5041.0,Ukraine,Europe,31.0,43765128.0,0.0,,,
15,2020-05-17,18291.0,433.0,514.0,17.0,5116.0,12661.0,238.0,418.0,12.0,227801.0,5205.0,Ukraine,Europe,31.0,43764414.0,0.0,,,
16,2020-05-18,18616.0,325.0,535.0,21.0,5276.0,12805.0,240.0,425.0,12.0,232899.0,5322.0,Ukraine,Europe,31.0,43763700.0,0.0,,,
17,2020-05-19,18876.0,260.0,548.0,13.0,5632.0,12696.0,245.0,431.0,13.0,239961.0,5483.0,Ukraine,Europe,31.0,43762985.0,0.0,,,
18,2020-05-20,19230.0,354.0,564.0,16.0,5955.0,12711.0,245.0,439.0,13.0,248529.0,5679.0,Ukraine,Europe,31.0,43762271.0,0.0,,,
19,2020-05-21,19706.0,476.0,579.0,15.0,6227.0,12900.0,249.0,450.0,13.0,257890.0,5893.0,Ukraine,Europe,32.0,43761557.0,0.0,,,
20,2020-05-22,20148.0,442.0,588.0,9.0,6585.0,12975.0,256.0,460.0,13.0,267185.0,6106.0,Ukraine,Europe,32.0,43760843.0,0.0,,,
21,2020-05-23,20580.0,432.0,605.0,17.0,6929.0,13046.0,256.0,470.0,14.0,277712.0,6346.0,Ukraine,Europe,33.0,43760129.0,0.0,,,
22,2020-05-24,20986.0,406.0,617.0,12.0,7108.0,13261.0,256.0,480.0,14.0,285626.0,6527.0,Ukraine,Europe,34.0,43759415.0,0.0,,,
