,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,648.0,-1.0,17.0,-1.0,435.0,196.0,10.0,187.0,5.0,20554.0,5917.0,Uruguay,South America,,,0.0,,,
1,2020-05-03,652.0,-1.0,17.0,-1.0,440.0,195.0,10.0,188.0,5.0,21164.0,6093.0,Uruguay,South America,,,0.0,,,
2,2020-05-04,657.0,2.0,17.0,-1.0,447.0,193.0,10.0,189.0,5.0,22805.0,6565.0,Uruguay,South America,,,0.0,,,
3,2020-05-05,670.0,-1.0,17.0,-1.0,468.0,185.0,10.0,193.0,5.0,23811.0,6855.0,Uruguay,South America,,,0.0,,,
4,2020-05-06,670.0,-1.0,17.0,-1.0,468.0,185.0,10.0,193.0,5.0,23811.0,6855.0,Uruguay,South America,,,0.0,,,
5,2020-05-07,684.0,11.0,17.0,-1.0,492.0,175.0,9.0,197.0,5.0,25698.0,7398.0,Uruguay,South America,,,0.0,,,
6,2020-05-08,694.0,-1.0,18.0,-1.0,506.0,170.0,7.0,200.0,5.0,26838.0,7726.0,Uruguay,South America,,,0.0,,,
7,2020-05-09,702.0,-1.0,18.0,-1.0,513.0,171.0,8.0,202.0,5.0,27461.0,7905.0,Uruguay,South America,,,0.0,,,
8,2020-05-10,702.0,-1.0,18.0,-1.0,513.0,171.0,8.0,202.0,5.0,27461.0,7905.0,Uruguay,South America,,,0.0,,,
9,2020-05-11,707.0,-1.0,19.0,-1.0,517.0,171.0,8.0,204.0,5.0,28024.0,8067.0,Uruguay,South America,,,0.0,,,
10,2020-05-12,711.0,-1.0,19.0,-1.0,523.0,169.0,8.0,205.0,5.0,28697.0,8261.0,Uruguay,South America,,,0.0,,,
11,2020-05-13,717.0,-1.0,19.0,-1.0,532.0,166.0,8.0,206.0,5.0,29500.0,8492.0,Uruguay,South America,,,0.0,,,
12,2020-05-14,719.0,-1.0,19.0,-1.0,545.0,155.0,8.0,207.0,5.0,30209.0,8696.0,Uruguay,South America,,,0.0,,,
13,2020-05-15,724.0,-1.0,19.0,-1.0,547.0,158.0,7.0,209.0,5.0,31209.0,8988.0,Uruguay,South America,113.0,3472200.0,0.0,,,
