,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2118.0,32.0,9.0,-1.0,1271.0,838.0,8.0,63.0,0.3,242536.0,7247.0,Uzbekistan,Asia,,,0.0,,,
1,2020-05-03,2149.0,31.0,10.0,1.0,1319.0,820.0,8.0,64.0,0.3,242536.0,7247.0,Uzbekistan,Asia,,,0.0,,,
2,2020-05-04,2189.0,40.0,10.0,-1.0,1405.0,774.0,8.0,65.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
3,2020-05-05,2207.0,-1.0,10.0,-1.0,1501.0,696.0,8.0,66.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
4,2020-05-06,2231.0,24.0,10.0,-1.0,1577.0,644.0,8.0,67.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
5,2020-05-07,2298.0,65.0,10.0,-1.0,1656.0,632.0,8.0,69.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
6,2020-05-08,2325.0,-1.0,10.0,-1.0,1775.0,540.0,8.0,69.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
7,2020-05-09,2349.0,-1.0,10.0,-1.0,1846.0,493.0,8.0,70.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
8,2020-05-10,2418.0,69.0,10.0,-1.0,1881.0,527.0,8.0,72.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
9,2020-05-11,2482.0,64.0,10.0,-1.0,1982.0,490.0,8.0,74.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
10,2020-05-12,2519.0,33.0,10.0,-1.0,2010.0,499.0,8.0,75.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
11,2020-05-13,2568.0,49.0,11.0,1.0,2040.0,517.0,8.0,77.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
12,2020-05-14,2636.0,24.0,11.0,-1.0,2136.0,489.0,8.0,79.0,0.3,325000.0,9710.0,Uzbekistan,Asia,,,0.0,,,
13,2020-05-15,2652.0,7.0,11.0,-1.0,2136.0,505.0,8.0,79.0,0.3,460000.0,13771.0,Uzbekistan,Asia,71.0,33404657.0,0.0,,,
14,2020-05-16,2738.0,52.0,11.0,-1.0,2213.0,514.0,8.0,82.0,0.3,460000.0,13770.0,Uzbekistan,Asia,71.0,33405983.0,0.0,,,
15,2020-05-17,2746.0,8.0,12.0,1.0,2247.0,487.0,8.0,82.0,0.4,460000.0,13769.0,Uzbekistan,Asia,71.0,33407309.0,0.0,,,
16,2020-05-18,2779.0,26.0,13.0,1.0,2314.0,452.0,8.0,83.0,0.4,460000.0,13769.0,Uzbekistan,Asia,71.0,33408634.0,0.0,,,
17,2020-05-19,2825.0,34.0,13.0,-1.0,2338.0,474.0,6.0,85.0,0.4,460000.0,13768.0,Uzbekistan,Asia,71.0,33409960.0,0.0,,,
18,2020-05-20,2939.0,84.0,13.0,-1.0,2372.0,554.0,6.0,88.0,0.4,460000.0,13768.0,Uzbekistan,Asia,71.0,33411286.0,0.0,,,
19,2020-05-21,2964.0,25.0,13.0,-1.0,2407.0,544.0,5.0,89.0,0.4,460000.0,13767.0,Uzbekistan,Asia,73.0,33412612.0,0.0,,,
