,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,335.0,-1.0,10.0,-1.0,148.0,177.0,2.0,12.0,0.4,458737.0,16132.0,Venezuela,South America,,,0.0,,,
1,2020-05-03,345.0,-1.0,10.0,-1.0,148.0,187.0,2.0,12.0,0.4,477790.0,16802.0,Venezuela,South America,,,0.0,,,
2,2020-05-04,357.0,-1.0,10.0,-1.0,158.0,189.0,1.0,13.0,0.4,482953.0,16984.0,Venezuela,South America,,,0.0,,,
3,2020-05-05,361.0,-1.0,10.0,-1.0,158.0,193.0,1.0,13.0,0.4,482953.0,16984.0,Venezuela,South America,,,0.0,,,
4,2020-05-06,367.0,6.0,10.0,-1.0,164.0,193.0,1.0,13.0,0.4,490851.0,17262.0,Venezuela,South America,,,0.0,,,
5,2020-05-07,381.0,2.0,10.0,-1.0,185.0,186.0,1.0,13.0,0.4,502771.0,17681.0,Venezuela,South America,,,0.0,,,
6,2020-05-08,388.0,-1.0,10.0,-1.0,190.0,188.0,1.0,14.0,0.4,507119.0,17834.0,Venezuela,South America,,,0.0,,,
7,2020-05-09,402.0,-1.0,10.0,-1.0,190.0,202.0,1.0,14.0,0.4,512181.0,18012.0,Venezuela,South America,,,0.0,,,
8,2020-05-10,402.0,-1.0,10.0,-1.0,190.0,202.0,1.0,14.0,0.4,512181.0,18012.0,Venezuela,South America,,,0.0,,,
9,2020-05-11,414.0,-1.0,10.0,-1.0,193.0,211.0,2.0,15.0,0.4,512181.0,18012.0,Venezuela,South America,,,0.0,,,
10,2020-05-12,422.0,-1.0,10.0,-1.0,205.0,207.0,2.0,15.0,0.4,520317.0,18298.0,Venezuela,South America,,,0.0,,,
11,2020-05-13,423.0,-1.0,10.0,-1.0,220.0,193.0,2.0,15.0,0.4,525902.0,18494.0,Venezuela,South America,,,0.0,,,
12,2020-05-14,440.0,-1.0,10.0,-1.0,220.0,210.0,2.0,15.0,0.4,525902.0,18494.0,Venezuela,South America,,,0.0,,,
13,2020-05-15,455.0,-1.0,10.0,-1.0,220.0,225.0,2.0,16.0,0.4,535742.0,18834.0,Venezuela,South America,124.0,28445910.0,0.0,,,
14,2020-05-16,459.0,-1.0,10.0,-1.0,229.0,220.0,1.0,16.0,0.4,540236.0,18992.0,Venezuela,South America,125.0,28445691.0,0.0,,,
15,2020-05-17,504.0,-1.0,10.0,-1.0,241.0,253.0,1.0,18.0,0.4,540236.0,18992.0,Venezuela,South America,125.0,28445472.0,0.0,,,
16,2020-05-18,541.0,-1.0,10.0,-1.0,241.0,290.0,1.0,19.0,0.4,575374.0,20227.0,Venezuela,South America,122.0,28445253.0,0.0,,,
17,2020-05-19,618.0,-1.0,10.0,-1.0,253.0,355.0,1.0,22.0,0.4,581082.0,20428.0,Venezuela,South America,120.0,28445034.0,0.0,,,
18,2020-05-20,749.0,131.0,10.0,-1.0,253.0,486.0,1.0,26.0,0.4,616562.0,21676.0,Venezuela,South America,115.0,28444815.0,0.0,,,
19,2020-05-21,824.0,-1.0,10.0,-1.0,262.0,552.0,1.0,29.0,0.4,616562.0,21676.0,Venezuela,South America,113.0,28444595.0,0.0,,,
20,2020-05-22,882.0,-1.0,10.0,-1.0,262.0,610.0,2.0,31.0,0.4,697691.0,24528.0,Venezuela,South America,112.0,28444376.0,0.0,,,
21,2020-05-23,944.0,-1.0,10.0,-1.0,262.0,672.0,2.0,33.0,0.4,735426.0,25855.0,Venezuela,South America,108.0,28444157.0,0.0,,,
22,2020-05-24,1010.0,-1.0,10.0,-1.0,262.0,738.0,2.0,36.0,0.4,771276.0,27116.0,Venezuela,South America,106.0,28443938.0,0.0,,,
23,2020-05-25,1121.0,-1.0,10.0,-1.0,262.0,849.0,2.0,39.0,0.4,804004.0,28266.0,Venezuela,South America,101.0,28443719.0,0.0,,,
24,2020-05-26,1177.0,-1.0,10.0,-1.0,302.0,865.0,2.0,41.0,0.4,832526.0,29269.0,Venezuela,South America,101.0,28443500.0,0.0,,,
25,2020-05-27,1245.0,-1.0,11.0,-1.0,302.0,932.0,2.0,44.0,0.4,897695.0,31561.0,Venezuela,South America,100.0,28443061.0,0.0,,,
26,2020-05-28,1245.0,-1.0,11.0,-1.0,302.0,932.0,4.0,44.0,0.4,897695.0,31561.0,Venezuela,South America,101.0,28443061.0,0.0,,,
27,2020-05-29,1327.0,2.0,11.0,-1.0,302.0,1014.0,4.0,47.0,0.4,897695.0,31561.0,Venezuela,South America,101.0,28442842.0,0.0,,,
28,2020-05-30,1370.0,-1.0,14.0,-1.0,302.0,1054.0,3.0,48.0,0.5,961899.0,33819.0,Venezuela,South America,102.0,28442623.0,0.0,,,
29,2020-05-31,1459.0,-1.0,14.0,-1.0,302.0,1143.0,3.0,51.0,0.5,970394.0,34118.0,Venezuela,South America,102.0,28442404.0,0.0,,,
30,2020-06-01,1510.0,-1.0,14.0,-1.0,302.0,1194.0,3.0,53.0,0.5,975825.0,34309.0,Venezuela,South America,100.0,28442184.0,0.0,,,
31,2020-06-02,1662.0,-1.0,17.0,-1.0,302.0,1343.0,3.0,58.0,0.6,975825.0,34309.0,Venezuela,South America,99.0,28441965.0,-1.0,17113.0,1673057.0,29.0
32,2020-06-03,1819.0,-1.0,18.0,-1.0,334.0,1467.0,-1.0,64.0,0.6,987902.0,34734.0,Venezuela,South America,96.0,28441746.0,-1.0,15636.0,1580097.0,29.0
33,2020-06-04,1952.0,-1.0,20.0,-1.0,334.0,1598.0,-1.0,69.0,0.7,995522.0,35002.0,Venezuela,South America,93.0,28441527.0,-1.0,14570.0,1422076.0,29.0
34,2020-06-05,2087.0,-1.0,20.0,-1.0,334.0,1733.0,-1.0,73.0,0.7,995522.0,35003.0,Venezuela,South America,92.0,28441308.0,-1.0,13628.0,1422065.0,29.0
