,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,270.0,-1.0,-1.0,-1.0,219.0,51.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
1,2020-05-03,271.0,1.0,-1.0,-1.0,219.0,52.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
2,2020-05-04,271.0,-1.0,-1.0,-1.0,219.0,52.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
3,2020-05-05,271.0,-1.0,-1.0,-1.0,232.0,39.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
4,2020-05-06,271.0,-1.0,-1.0,-1.0,232.0,39.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
5,2020-05-07,288.0,17.0,-1.0,-1.0,233.0,55.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
6,2020-05-08,288.0,-1.0,-1.0,-1.0,241.0,47.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
7,2020-05-09,288.0,-1.0,-1.0,-1.0,241.0,47.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
8,2020-05-10,288.0,-1.0,-1.0,-1.0,241.0,47.0,8.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
9,2020-05-11,288.0,-1.0,-1.0,-1.0,249.0,39.0,2.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
10,2020-05-12,288.0,-1.0,-1.0,-1.0,252.0,36.0,2.0,3.0,-1.0,261004.0,2681.0,Vietnam,Asia,,,0.0,,,
11,2020-05-13,288.0,-1.0,-1.0,-1.0,252.0,36.0,2.0,3.0,-1.0,275000.0,2825.0,Vietnam,Asia,,,0.0,,,
12,2020-05-14,288.0,-1.0,-1.0,-1.0,260.0,28.0,2.0,3.0,-1.0,275000.0,2825.0,Vietnam,Asia,,,0.0,,,
13,2020-05-15,312.0,-1.0,-1.0,-1.0,260.0,52.0,2.0,3.0,-1.0,275000.0,2829.0,Vietnam,Asia,136.0,97224670.0,0.0,,,
14,2020-05-16,318.0,4.0,-1.0,-1.0,260.0,58.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,136.0,97227060.0,0.0,,,
15,2020-05-17,320.0,2.0,-1.0,-1.0,260.0,60.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,138.0,97229451.0,0.0,,,
16,2020-05-18,324.0,4.0,-1.0,-1.0,263.0,61.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,140.0,97231841.0,0.0,,,
17,2020-05-19,324.0,-1.0,-1.0,-1.0,263.0,61.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,142.0,97234232.0,0.0,,,
18,2020-05-20,324.0,-1.0,-1.0,-1.0,263.0,61.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,141.0,97236622.0,0.0,,,
19,2020-05-21,324.0,-1.0,-1.0,-1.0,264.0,60.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,142.0,97239013.0,0.0,,,
20,2020-05-22,324.0,-1.0,-1.0,-1.0,266.0,58.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,142.0,97241403.0,0.0,,,
21,2020-05-23,324.0,-1.0,-1.0,-1.0,267.0,57.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,143.0,97243794.0,0.0,,,
22,2020-05-24,325.0,1.0,-1.0,-1.0,267.0,58.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,142.0,97246184.0,0.0,,,
23,2020-05-25,326.0,1.0,-1.0,-1.0,272.0,54.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,143.0,97248575.0,0.0,,,
24,2020-05-26,327.0,1.0,-1.0,-1.0,272.0,55.0,2.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,143.0,97250965.0,0.0,,,
25,2020-05-27,327.0,-1.0,-1.0,-1.0,278.0,49.0,1.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,145.0,97255746.0,0.0,,,
26,2020-05-28,327.0,-1.0,-1.0,-1.0,278.0,49.0,1.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,146.0,97255746.0,0.0,,,
27,2020-05-29,327.0,-1.0,-1.0,-1.0,279.0,48.0,1.0,3.0,-1.0,275000.0,2828.0,Vietnam,Asia,147.0,97258136.0,0.0,,,
28,2020-05-30,328.0,1.0,-1.0,-1.0,279.0,49.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,147.0,97260527.0,0.0,,,
29,2020-05-31,328.0,-1.0,-1.0,-1.0,279.0,49.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,147.0,97262917.0,0.0,,,
30,2020-06-01,328.0,-1.0,-1.0,-1.0,293.0,35.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,149.0,97265308.0,0.0,,,
31,2020-06-02,328.0,-1.0,-1.0,-1.0,298.0,30.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,149.0,97267698.0,5.0,296548.0,-1.0,354.0
32,2020-06-03,328.0,-1.0,-1.0,-1.0,302.0,26.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,149.0,97270089.0,4.0,296555.0,-1.0,354.0
33,2020-06-04,328.0,-1.0,-1.0,-1.0,302.0,26.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,150.0,97272479.0,-1.0,296562.0,-1.0,354.0
34,2020-06-05,328.0,-1.0,-1.0,-1.0,307.0,21.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,151.0,97274870.0,5.0,296570.0,-1.0,354.0
35,2020-06-06,329.0,1.0,-1.0,-1.0,307.0,22.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,151.0,97277260.0,-1.0,295676.0,-1.0,354.0
36,2020-06-07,329.0,-1.0,-1.0,-1.0,307.0,22.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,152.0,97279651.0,-1.0,295683.0,-1.0,354.0
37,2020-06-08,332.0,3.0,-1.0,-1.0,316.0,16.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,152.0,97282041.0,9.0,293018.0,-1.0,354.0
38,2020-06-09,332.0,-1.0,-1.0,-1.0,316.0,16.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,153.0,97284432.0,-1.0,293025.0,-1.0,354.0
39,2020-06-10,332.0,-1.0,-1.0,-1.0,320.0,12.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,153.0,97286822.0,4.0,293033.0,-1.0,354.0
40,2020-06-11,332.0,-1.0,-1.0,-1.0,321.0,11.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,154.0,97289213.0,1.0,293040.0,-1.0,354.0
41,2020-06-12,333.0,1.0,-1.0,-1.0,323.0,10.0,1.0,3.0,-1.0,275000.0,2827.0,Vietnam,Asia,155.0,97291603.0,2.0,292167.0,-1.0,354.0
