,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,10.0,3.0,2.0,-1.0,1.0,7.0,-1.0,0.3,0.07,120.0,4.0,Yemen,Asia,,,0.0,,,
1,2020-05-03,10.0,-1.0,2.0,-1.0,1.0,7.0,-1.0,0.3,0.07,120.0,4.0,Yemen,Asia,,,0.0,,,
2,2020-05-04,12.0,2.0,2.0,-1.0,1.0,9.0,-1.0,0.4,0.07,120.0,4.0,Yemen,Asia,,,0.0,,,
3,2020-05-05,22.0,-1.0,4.0,-1.0,1.0,17.0,-1.0,0.7,0.1,120.0,4.0,Yemen,Asia,,,0.0,,,
4,2020-05-06,25.0,3.0,5.0,1.0,1.0,19.0,-1.0,0.8,0.2,120.0,4.0,Yemen,Asia,,,0.0,,,
5,2020-05-07,25.0,-1.0,5.0,-1.0,1.0,19.0,-1.0,0.8,0.2,120.0,4.0,Yemen,Asia,,,0.0,,,
6,2020-05-08,34.0,-1.0,7.0,-1.0,1.0,26.0,-1.0,1.0,0.2,120.0,4.0,Yemen,Asia,,,0.0,,,
7,2020-05-09,34.0,-1.0,7.0,-1.0,1.0,26.0,-1.0,1.0,0.2,120.0,4.0,Yemen,Asia,,,0.0,,,
8,2020-05-10,34.0,-1.0,7.0,-1.0,1.0,26.0,-1.0,1.0,0.2,120.0,4.0,Yemen,Asia,,,0.0,,,
9,2020-05-11,51.0,-1.0,8.0,-1.0,1.0,42.0,-1.0,2.0,0.3,120.0,4.0,Yemen,Asia,,,0.0,,,
10,2020-05-12,65.0,9.0,10.0,1.0,1.0,54.0,-1.0,2.0,0.3,120.0,4.0,Yemen,Asia,,,0.0,,,
11,2020-05-13,70.0,5.0,12.0,2.0,1.0,57.0,-1.0,2.0,0.4,120.0,4.0,Yemen,Asia,,,0.0,,,
