,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,119.0,10.0,3.0,-1.0,75.0,41.0,1.0,6.0,0.2,5284.0,287.0,Zambia,Africa,,,0.0,,,
1,2020-05-03,124.0,5.0,3.0,-1.0,78.0,43.0,1.0,7.0,0.2,6882.0,374.0,Zambia,Africa,,,0.0,,,
2,2020-05-04,137.0,13.0,3.0,-1.0,78.0,56.0,1.0,7.0,0.2,7277.0,396.0,Zambia,Africa,,,0.0,,,
3,2020-05-05,138.0,-1.0,3.0,-1.0,92.0,43.0,1.0,8.0,0.2,7277.0,396.0,Zambia,Africa,,,0.0,,,
4,2020-05-06,139.0,1.0,4.0,1.0,92.0,43.0,1.0,8.0,0.2,7277.0,396.0,Zambia,Africa,,,0.0,,,
5,2020-05-07,153.0,7.0,4.0,-1.0,103.0,46.0,1.0,8.0,0.2,10270.0,559.0,Zambia,Africa,,,0.0,,,
6,2020-05-08,167.0,-1.0,4.0,-1.0,111.0,52.0,1.0,9.0,0.2,10270.0,559.0,Zambia,Africa,,,0.0,,,
7,2020-05-09,252.0,-1.0,7.0,-1.0,112.0,133.0,1.0,14.0,0.4,10270.0,559.0,Zambia,Africa,,,0.0,,,
8,2020-05-10,267.0,15.0,7.0,-1.0,117.0,143.0,1.0,15.0,0.4,10270.0,559.0,Zambia,Africa,,,0.0,,,
9,2020-05-11,267.0,-1.0,7.0,-1.0,117.0,143.0,1.0,15.0,0.4,10270.0,559.0,Zambia,Africa,,,0.0,,,
10,2020-05-12,441.0,174.0,7.0,-1.0,117.0,317.0,1.0,24.0,0.4,10270.0,559.0,Zambia,Africa,,,0.0,,,
11,2020-05-13,446.0,5.0,7.0,-1.0,124.0,315.0,1.0,24.0,0.4,13872.0,755.0,Zambia,Africa,,,0.0,,,
12,2020-05-14,654.0,208.0,7.0,-1.0,124.0,523.0,1.0,36.0,0.4,15487.0,842.0,Zambia,Africa,,,0.0,,,
13,2020-05-15,654.0,-1.0,7.0,-1.0,124.0,523.0,1.0,36.0,0.4,15487.0,846.0,Zambia,Africa,116.0,18311507.0,0.0,,,
14,2020-05-16,679.0,25.0,7.0,-1.0,183.0,489.0,1.0,37.0,0.4,15811.0,863.0,Zambia,Africa,116.0,18312920.0,0.0,,,
15,2020-05-17,753.0,74.0,7.0,-1.0,188.0,558.0,1.0,41.0,0.4,17354.0,948.0,Zambia,Africa,113.0,18314332.0,0.0,,,
16,2020-05-18,761.0,8.0,7.0,-1.0,192.0,562.0,1.0,42.0,0.4,17875.0,976.0,Zambia,Africa,113.0,18315744.0,0.0,,,
17,2020-05-19,772.0,11.0,7.0,-1.0,192.0,573.0,1.0,42.0,0.4,18519.0,1011.0,Zambia,Africa,112.0,18317156.0,0.0,,,
18,2020-05-20,832.0,60.0,7.0,-1.0,197.0,628.0,1.0,45.0,0.4,19014.0,1038.0,Zambia,Africa,111.0,18318568.0,0.0,,,
19,2020-05-21,866.0,34.0,7.0,-1.0,302.0,557.0,1.0,47.0,0.4,19432.0,1061.0,Zambia,Africa,111.0,18319980.0,0.0,,,
20,2020-05-22,920.0,54.0,7.0,-1.0,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,Zambia,Africa,110.0,18321393.0,0.0,,,
21,2020-05-23,920.0,-1.0,7.0,-1.0,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,Zambia,Africa,111.0,18322805.0,0.0,,,
22,2020-05-24,920.0,-1.0,7.0,-1.0,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,Zambia,Africa,112.0,18324217.0,0.0,,,
23,2020-05-25,920.0,-1.0,7.0,-1.0,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,Zambia,Africa,113.0,18325629.0,0.0,,,
24,2020-05-26,920.0,-1.0,7.0,-1.0,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,Zambia,Africa,113.0,18327041.0,0.0,,,
25,2020-05-27,1057.0,-1.0,7.0,-1.0,779.0,271.0,1.0,58.0,0.4,24275.0,1324.0,Zambia,Africa,107.0,18329866.0,0.0,,,
26,2020-05-28,1057.0,-1.0,7.0,-1.0,779.0,271.0,1.0,58.0,0.4,24275.0,1324.0,Zambia,Africa,109.0,18329866.0,0.0,,,
27,2020-05-29,1057.0,-1.0,7.0,-1.0,779.0,271.0,1.0,58.0,0.4,24275.0,1324.0,Zambia,Africa,111.0,18331278.0,0.0,,,
28,2020-05-30,1057.0,-1.0,7.0,-1.0,779.0,271.0,1.0,58.0,0.4,24275.0,1324.0,Zambia,Africa,112.0,18332690.0,0.0,,,
29,2020-05-31,1057.0,-1.0,7.0,-1.0,779.0,271.0,1.0,58.0,0.4,24275.0,1324.0,Zambia,Africa,112.0,18334102.0,0.0,,,
30,2020-06-01,1089.0,32.0,7.0,-1.0,912.0,170.0,1.0,59.0,0.4,28236.0,1540.0,Zambia,Africa,109.0,18335514.0,0.0,,,
31,2020-06-02,1089.0,-1.0,7.0,-1.0,912.0,170.0,1.0,59.0,0.4,28236.0,1540.0,Zambia,Africa,112.0,18336926.0,-1.0,16838.0,2619561.0,649.0
32,2020-06-03,1089.0,-1.0,7.0,-1.0,912.0,170.0,1.0,59.0,0.4,28236.0,1540.0,Zambia,Africa,113.0,18338338.0,-1.0,16840.0,2619763.0,649.0
33,2020-06-04,1089.0,-1.0,7.0,-1.0,912.0,170.0,1.0,59.0,0.4,28236.0,1540.0,Zambia,Africa,113.0,18339751.0,-1.0,16841.0,2619964.0,650.0
34,2020-06-05,1089.0,-1.0,7.0,-1.0,912.0,170.0,1.0,59.0,0.4,28236.0,1539.0,Zambia,Africa,113.0,18341163.0,-1.0,16842.0,2620166.0,650.0
35,2020-06-06,1089.0,-1.0,7.0,-1.0,912.0,170.0,1.0,59.0,0.4,28236.0,1539.0,Zambia,Africa,114.0,18342575.0,-1.0,16844.0,2620368.0,650.0
36,2020-06-07,1089.0,-1.0,7.0,-1.0,912.0,170.0,1.0,59.0,0.4,28236.0,1539.0,Zambia,Africa,115.0,18343987.0,-1.0,16845.0,2620570.0,650.0
37,2020-06-08,1200.0,111.0,10.0,3.0,912.0,278.0,1.0,65.0,0.5,28236.0,1539.0,Zambia,Africa,112.0,18345399.0,-1.0,15288.0,1834540.0,650.0
38,2020-06-09,1200.0,-1.0,10.0,-1.0,912.0,278.0,1.0,65.0,0.5,28236.0,1539.0,Zambia,Africa,113.0,18346811.0,-1.0,15289.0,1834681.0,650.0
39,2020-06-10,1200.0,-1.0,10.0,-1.0,912.0,278.0,1.0,65.0,0.5,28236.0,1539.0,Zambia,Africa,115.0,18348224.0,-1.0,15290.0,1834822.0,650.0
40,2020-06-11,1200.0,-1.0,10.0,-1.0,912.0,278.0,1.0,65.0,0.5,28236.0,1539.0,Zambia,Africa,116.0,18349636.0,-1.0,15291.0,1834964.0,650.0
41,2020-06-12,1321.0,121.0,10.0,-1.0,1104.0,207.0,1.0,72.0,0.5,28236.0,1539.0,Zambia,Africa,113.0,18351048.0,192.0,13892.0,1835105.0,650.0
42,2020-06-13,1357.0,36.0,10.0,-1.0,1104.0,243.0,1.0,74.0,0.5,28236.0,1539.0,Zambia,Africa,113.0,18352460.0,-1.0,13524.0,1835246.0,650.0
43,2020-06-14,1358.0,1.0,11.0,1.0,1122.0,225.0,1.0,74.0,0.6,44126.0,2404.0,Zambia,Africa,113.0,18353872.0,18.0,13515.0,1668534.0,416.0
44,2020-06-15,1382.0,24.0,11.0,-1.0,1142.0,229.0,1.0,75.0,0.6,45248.0,2465.0,Zambia,Africa,113.0,18355284.0,20.0,13282.0,1668662.0,406.0
45,2020-06-16,1405.0,23.0,11.0,-1.0,1142.0,252.0,1.0,77.0,0.6,45248.0,2465.0,Zambia,Africa,114.0,18356696.0,-1.0,13065.0,1668791.0,406.0
46,2020-06-17,1412.0,7.0,11.0,-1.0,1142.0,259.0,1.0,77.0,0.6,45248.0,2465.0,Zambia,Africa,115.0,18358109.0,-1.0,13001.0,1668919.0,406.0
47,2020-06-18,1416.0,4.0,11.0,-1.0,1144.0,261.0,1.0,77.0,0.6,46549.0,2535.0,Zambia,Africa,115.0,18359521.0,2.0,12966.0,1669047.0,394.0
48,2020-06-19,1430.0,14.0,11.0,-1.0,1194.0,225.0,1.0,78.0,0.6,47968.0,2613.0,Zambia,Africa,116.0,18360933.0,50.0,12840.0,1669176.0,383.0
49,2020-06-20,1430.0,-1.0,11.0,-1.0,1194.0,225.0,1.0,78.0,0.6,47968.0,2612.0,Zambia,Africa,116.0,18363757.0,-1.0,12842.0,1669432.0,383.0
50,2020-06-21,1430.0,-1.0,11.0,-1.0,1194.0,225.0,1.0,78.0,0.6,47968.0,2612.0,Zambia,Africa,116.0,18363757.0,-1.0,12842.0,1669432.0,383.0
51,2020-06-22,1430.0,-1.0,11.0,-1.0,1194.0,225.0,1.0,78.0,0.6,47968.0,2612.0,Zambia,Africa,116.0,18365169.0,-1.0,12843.0,1669561.0,383.0
52,2020-06-23,1477.0,47.0,18.0,7.0,1213.0,246.0,1.0,80.0,1.0,50771.0,2764.0,Zambia,Africa,116.0,18366582.0,19.0,12435.0,1020366.0,362.0
53,2020-06-24,1489.0,12.0,18.0,-1.0,1223.0,248.0,1.0,81.0,1.0,51626.0,2811.0,Zambia,Africa,117.0,18367994.0,10.0,12336.0,1020444.0,356.0
54,2020-06-25,1497.0,8.0,18.0,-1.0,1223.0,256.0,1.0,81.0,1.0,52195.0,2841.0,Zambia,Africa,117.0,18369406.0,-1.0,12271.0,1020523.0,352.0
55,2020-06-26,1497.0,-1.0,18.0,-1.0,1223.0,256.0,1.0,81.0,1.0,52195.0,2841.0,Zambia,Africa,118.0,18370818.0,-1.0,12272.0,1020601.0,352.0
56,2020-06-27,1531.0,-1.0,21.0,-1.0,1233.0,277.0,1.0,83.0,1.0,52195.0,2841.0,Zambia,Africa,117.0,18372230.0,-1.0,12000.0,874868.0,352.0
57,2020-06-28,1557.0,26.0,22.0,1.0,1311.0,224.0,1.0,85.0,1.0,52195.0,2841.0,Zambia,Africa,117.0,18373642.0,78.0,11801.0,835166.0,352.0
58,2020-06-29,1568.0,11.0,22.0,-1.0,1311.0,235.0,1.0,85.0,1.0,54663.0,2975.0,Zambia,Africa,117.0,18375054.0,-1.0,11719.0,835230.0,336.0
59,2020-06-30,1594.0,26.0,24.0,2.0,1329.0,241.0,1.0,87.0,1.0,54663.0,2975.0,Zambia,Africa,117.0,18376467.0,18.0,11529.0,765686.0,336.0
60,2020-07-01,1632.0,38.0,30.0,6.0,1348.0,254.0,1.0,89.0,2.0,56825.0,3092.0,Zambia,Africa,116.0,18377879.0,19.0,11261.0,612596.0,323.0
61,2020-07-02,1632.0,-1.0,30.0,-1.0,1348.0,254.0,1.0,89.0,2.0,56825.0,3092.0,Zambia,Africa,117.0,18379291.0,-1.0,11262.0,612643.0,323.0
62,2020-07-03,1632.0,-1.0,30.0,-1.0,1348.0,254.0,1.0,89.0,2.0,56825.0,3092.0,Zambia,Africa,117.0,18380703.0,-1.0,11263.0,612690.0,323.0
63,2020-07-04,1632.0,-1.0,30.0,-1.0,1348.0,254.0,1.0,89.0,2.0,56825.0,3091.0,Zambia,Africa,117.0,18382115.0,-1.0,11264.0,612737.0,323.0
64,2020-07-05,1632.0,-1.0,30.0,-1.0,1348.0,254.0,1.0,89.0,2.0,56825.0,3091.0,Zambia,Africa,117.0,18383527.0,-1.0,11264.0,612784.0,324.0
65,2020-07-06,1632.0,-1.0,30.0,-1.0,1348.0,254.0,1.0,89.0,2.0,56825.0,3091.0,Zambia,Africa,118.0,18384940.0,-1.0,11265.0,612831.0,324.0
66,2020-07-07,1895.0,263.0,42.0,12.0,1348.0,505.0,1.0,103.0,2.0,56825.0,3091.0,Zambia,Africa,112.0,18386352.0,-1.0,9703.0,437770.0,324.0
67,2020-07-08,1895.0,-1.0,42.0,-1.0,1348.0,505.0,1.0,103.0,2.0,56825.0,3090.0,Zambia,Africa,112.0,18387764.0,-1.0,9703.0,437804.0,324.0
68,2020-07-09,1895.0,-1.0,42.0,-1.0,1348.0,505.0,1.0,103.0,2.0,56825.0,3090.0,Zambia,Africa,113.0,18389176.0,-1.0,9704.0,437838.0,324.0
69,2020-07-10,1895.0,-1.0,42.0,-1.0,1348.0,505.0,1.0,103.0,2.0,56825.0,3090.0,Zambia,Africa,114.0,18390588.0,-1.0,9705.0,437871.0,324.0
