,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,34.0,-1.0,4.0,-1.0,5.0,25.0,-1.0,2.0,0.3,7642.0,514.0,Zimbabwe,Africa,,,0.0,,,
1,2020-05-03,34.0,-1.0,4.0,-1.0,5.0,25.0,-1.0,2.0,0.3,7642.0,514.0,Zimbabwe,Africa,,,0.0,,,
2,2020-05-04,34.0,-1.0,4.0,-1.0,5.0,25.0,-1.0,2.0,0.3,7642.0,514.0,Zimbabwe,Africa,,,0.0,,,
3,2020-05-05,34.0,-1.0,4.0,-1.0,5.0,25.0,-1.0,2.0,0.3,7642.0,514.0,Zimbabwe,Africa,,,0.0,,,
4,2020-05-06,34.0,-1.0,4.0,-1.0,5.0,25.0,-1.0,2.0,0.3,7642.0,514.0,Zimbabwe,Africa,,,0.0,,,
5,2020-05-07,34.0,-1.0,4.0,-1.0,5.0,25.0,-1.0,2.0,0.3,16052.0,1080.0,Zimbabwe,Africa,,,0.0,,,
6,2020-05-08,34.0,-1.0,4.0,-1.0,9.0,21.0,-1.0,2.0,0.3,16052.0,1080.0,Zimbabwe,Africa,,,0.0,,,
7,2020-05-09,35.0,-1.0,4.0,-1.0,9.0,22.0,-1.0,2.0,0.3,16052.0,1080.0,Zimbabwe,Africa,,,0.0,,,
8,2020-05-10,36.0,1.0,4.0,-1.0,9.0,23.0,-1.0,2.0,0.3,20537.0,1382.0,Zimbabwe,Africa,,,0.0,,,
9,2020-05-11,36.0,-1.0,4.0,-1.0,9.0,23.0,-1.0,2.0,0.3,20537.0,1382.0,Zimbabwe,Africa,,,0.0,,,
10,2020-05-12,36.0,-1.0,4.0,-1.0,9.0,23.0,-1.0,2.0,0.3,20537.0,1382.0,Zimbabwe,Africa,,,0.0,,,
11,2020-05-13,37.0,1.0,4.0,-1.0,12.0,21.0,-1.0,2.0,0.3,20537.0,1382.0,Zimbabwe,Africa,,,0.0,,,
12,2020-05-14,37.0,-1.0,4.0,-1.0,12.0,21.0,-1.0,2.0,0.3,20537.0,1382.0,Zimbabwe,Africa,,,0.0,,,
13,2020-05-15,37.0,-1.0,4.0,-1.0,13.0,20.0,-1.0,2.0,0.3,36081.0,2432.0,Zimbabwe,Africa,178.0,14834125.0,0.0,,,
14,2020-05-16,42.0,-1.0,4.0,-1.0,13.0,25.0,-1.0,3.0,0.3,25478.0,1717.0,Zimbabwe,Africa,176.0,14834717.0,0.0,,,
15,2020-05-17,44.0,2.0,4.0,-1.0,17.0,23.0,-1.0,3.0,0.3,27059.0,1824.0,Zimbabwe,Africa,176.0,14835308.0,0.0,,,
16,2020-05-18,46.0,2.0,4.0,-1.0,18.0,24.0,-1.0,3.0,0.3,28019.0,1889.0,Zimbabwe,Africa,176.0,14835899.0,0.0,,,
17,2020-05-19,46.0,-1.0,4.0,-1.0,18.0,24.0,-1.0,3.0,0.3,28019.0,1889.0,Zimbabwe,Africa,176.0,14836491.0,0.0,,,
18,2020-05-20,46.0,-1.0,4.0,-1.0,18.0,24.0,-1.0,3.0,0.3,28019.0,1888.0,Zimbabwe,Africa,177.0,14837082.0,0.0,,,
19,2020-05-21,48.0,-1.0,4.0,-1.0,18.0,26.0,-1.0,3.0,0.3,28019.0,1888.0,Zimbabwe,Africa,177.0,14837674.0,0.0,,,
20,2020-05-22,51.0,-1.0,4.0,-1.0,18.0,29.0,-1.0,3.0,0.3,28019.0,1888.0,Zimbabwe,Africa,178.0,14838265.0,0.0,,,
21,2020-05-23,56.0,5.0,4.0,-1.0,18.0,34.0,-1.0,4.0,0.3,35112.0,2366.0,Zimbabwe,Africa,178.0,14838856.0,0.0,,,
22,2020-05-24,56.0,-1.0,4.0,-1.0,23.0,29.0,-1.0,4.0,0.3,36538.0,2462.0,Zimbabwe,Africa,178.0,14839448.0,0.0,,,
23,2020-05-25,56.0,-1.0,4.0,-1.0,25.0,27.0,-1.0,4.0,0.3,37039.0,2496.0,Zimbabwe,Africa,178.0,14840039.0,0.0,,,
