,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,index,Country,population,Continent,New Recov,col1,col2,col3
0,2020-06-01,7833.0,26.0,205.0,-1.0,5893.0,1735.0,18.0,212.0,6.0,221554.0,6009.0,61.0,Morocco,36873293.0,Africa,,,,
1,2020-06-02,7866.0,33.0,206.0,1.0,6410.0,1250.0,13.0,213.0,6.0,234651.0,6364.0,61.0,Morocco,36874488.0,Africa,517.0,4688.0,179002.0,157.0
2,2020-06-03,7922.0,56.0,206.0,-1.0,6866.0,850.0,13.0,215.0,6.0,247824.0,6721.0,62.0,Morocco,36875683.0,Africa,456.0,4655.0,179008.0,149.0
3,2020-06-04,8003.0,81.0,208.0,2.0,7195.0,600.0,15.0,217.0,6.0,261010.0,7078.0,62.0,Morocco,36876878.0,Africa,329.0,4608.0,177293.0,141.0
4,2020-06-05,8071.0,68.0,208.0,-1.0,7268.0,595.0,15.0,219.0,6.0,275349.0,7466.0,62.0,Morocco,36878073.0,Africa,73.0,4569.0,177298.0,134.0
5,2020-06-06,8151.0,80.0,208.0,-1.0,7315.0,628.0,15.0,221.0,6.0,289457.0,7849.0,62.0,Morocco,36879268.0,Africa,47.0,4525.0,177304.0,127.0
6,2020-06-07,8224.0,73.0,208.0,-1.0,7364.0,652.0,15.0,223.0,6.0,305953.0,8296.0,62.0,Morocco,36880463.0,Africa,49.0,4484.0,177310.0,121.0
7,2020-06-08,8302.0,78.0,208.0,-1.0,7408.0,686.0,15.0,225.0,6.0,322703.0,8750.0,62.0,Morocco,36881658.0,Africa,44.0,4443.0,177316.0,114.0
8,2020-06-09,8437.0,135.0,210.0,2.0,7493.0,734.0,15.0,229.0,6.0,335643.0,9100.0,61.0,Morocco,36882853.0,Africa,85.0,4372.0,175633.0,110.0
9,2020-06-10,8508.0,71.0,211.0,1.0,7565.0,732.0,15.0,231.0,6.0,356051.0,9653.0,63.0,Morocco,36884048.0,Africa,72.0,4335.0,174806.0,104.0
10,2020-06-11,8537.0,29.0,211.0,-1.0,7583.0,743.0,7.0,231.0,6.0,372591.0,10101.0,63.0,Morocco,36885243.0,Africa,18.0,4321.0,174812.0,99.0
11,2020-06-12,8610.0,73.0,212.0,1.0,7618.0,780.0,7.0,233.0,6.0,389142.0,10550.0,63.0,Morocco,36886438.0,Africa,35.0,4284.0,173993.0,95.0
12,2020-06-13,8692.0,82.0,212.0,-1.0,7696.0,784.0,7.0,236.0,6.0,405898.0,11004.0,62.0,Morocco,36887633.0,Africa,78.0,4244.0,173998.0,91.0
13,2020-06-14,8793.0,101.0,212.0,-1.0,7765.0,816.0,7.0,238.0,6.0,422520.0,11454.0,62.0,Morocco,36888828.0,Africa,69.0,4195.0,174004.0,87.0
14,2020-06-15,8885.0,92.0,212.0,-1.0,7828.0,845.0,7.0,241.0,6.0,439272.0,11908.0,63.0,Morocco,36890023.0,Africa,63.0,4152.0,174010.0,84.0
15,2020-06-16,8931.0,46.0,212.0,-1.0,7937.0,782.0,7.0,242.0,6.0,455768.0,12354.0,64.0,Morocco,36891218.0,Africa,109.0,4131.0,174015.0,81.0
16,2020-06-17,8997.0,66.0,213.0,1.0,7993.0,791.0,7.0,244.0,6.0,471736.0,12787.0,64.0,Morocco,36892413.0,Africa,56.0,4101.0,173204.0,78.0
17,2020-06-18,9074.0,77.0,213.0,-1.0,8041.0,820.0,7.0,246.0,6.0,488947.0,13253.0,64.0,Morocco,36893608.0,Africa,48.0,4066.0,173209.0,75.0
18,2020-06-19,9613.0,539.0,213.0,-1.0,8117.0,1283.0,7.0,261.0,6.0,505636.0,13705.0,64.0,Morocco,36894803.0,Africa,76.0,3838.0,173215.0,73.0
19,2020-06-20,9839.0,226.0,213.0,-1.0,8223.0,1403.0,7.0,267.0,6.0,522166.0,14152.0,64.0,Morocco,36897193.0,Africa,106.0,3750.0,173226.0,71.0
20,2020-06-21,9977.0,138.0,214.0,1.0,8284.0,1479.0,7.0,270.0,6.0,530578.0,14380.0,64.0,Morocco,36897193.0,Africa,61.0,3698.0,172417.0,70.0
21,2020-06-22,10172.0,195.0,214.0,-1.0,8366.0,1592.0,7.0,276.0,6.0,556695.0,15087.0,64.0,Morocco,36898388.0,Africa,82.0,3627.0,172422.0,66.0
22,2020-06-23,10344.0,172.0,214.0,-1.0,8407.0,1723.0,7.0,280.0,6.0,575176.0,15588.0,64.0,Morocco,36899583.0,Africa,41.0,3567.0,172428.0,64.0
23,2020-06-24,10907.0,563.0,216.0,2.0,8468.0,2223.0,7.0,296.0,6.0,591757.0,16036.0,63.0,Morocco,36900779.0,Africa,61.0,3383.0,170837.0,62.0
24,2020-06-25,11338.0,431.0,217.0,1.0,8500.0,2621.0,7.0,307.0,6.0,600383.0,16270.0,63.0,Morocco,36901974.0,Africa,32.0,3255.0,170055.0,61.0
25,2020-06-26,11633.0,295.0,218.0,1.0,8656.0,2759.0,7.0,315.0,6.0,620435.0,16813.0,64.0,Morocco,36903169.0,Africa,156.0,3172.0,169281.0,59.0
26,2020-06-27,11877.0,244.0,220.0,2.0,8723.0,2934.0,7.0,322.0,6.0,633494.0,17166.0,64.0,Morocco,36904364.0,Africa,67.0,3107.0,167747.0,58.0
27,2020-06-28,12052.0,175.0,221.0,1.0,8740.0,3091.0,7.0,327.0,6.0,646195.0,17509.0,64.0,Morocco,36905559.0,Africa,17.0,3062.0,166993.0,57.0
28,2020-06-29,12290.0,238.0,225.0,4.0,8833.0,3232.0,7.0,333.0,6.0,662814.0,17959.0,64.0,Morocco,36906754.0,Africa,93.0,3003.0,164030.0,56.0
29,2020-06-30,12533.0,243.0,228.0,3.0,8920.0,3385.0,7.0,340.0,6.0,681191.0,18456.0,64.0,Morocco,36907949.0,Africa,87.0,2945.0,161877.0,54.0
