,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,index,Country,New Recov,population,Continent,col1,col2,col3
0,2020-07-01,12636.0,103.0,228.0,-1.0,9026.0,3382.0,7.0,342.0,6.0,698128.0,18915.0,63.0,Morocco,106.0,36909144.0,Africa,2921.0,161882.0,53.0
1,2020-07-02,12969.0,333.0,229.0,1.0,9090.0,3650.0,7.0,351.0,6.0,715853.0,19394.0,61.0,Morocco,64.0,36910339.0,Africa,2846.0,161181.0,52.0
2,2020-07-03,13288.0,319.0,230.0,1.0,9160.0,3898.0,7.0,360.0,6.0,728366.0,19733.0,61.0,Morocco,70.0,36911534.0,Africa,2778.0,160485.0,51.0
3,2020-07-04,13822.0,534.0,232.0,2.0,9329.0,4261.0,19.0,374.0,6.0,748449.0,20276.0,61.0,Morocco,169.0,36912729.0,Africa,2671.0,159107.0,49.0
4,2020-07-05,14215.0,393.0,235.0,3.0,9725.0,4255.0,19.0,385.0,6.0,765580.0,20740.0,61.0,Morocco,396.0,36913924.0,Africa,2597.0,157081.0,48.0
5,2020-07-06,14379.0,164.0,237.0,2.0,10173.0,3969.0,19.0,390.0,6.0,783639.0,21228.0,61.0,Morocco,448.0,36915119.0,Africa,2567.0,155760.0,47.0
6,2020-07-07,14607.0,228.0,240.0,3.0,10639.0,3728.0,19.0,396.0,7.0,801287.0,21705.0,62.0,Morocco,466.0,36916314.0,Africa,2527.0,153818.0,46.0
7,2020-07-08,14771.0,164.0,242.0,2.0,11316.0,3213.0,19.0,400.0,7.0,819124.0,22188.0,62.0,Morocco,677.0,36917509.0,Africa,2499.0,152552.0,45.0
8,2020-07-09,15079.0,308.0,242.0,-1.0,11447.0,3390.0,19.0,408.0,7.0,835264.0,22624.0,61.0,Morocco,131.0,36918704.0,Africa,2448.0,152557.0,44.0
9,2020-07-10,15328.0,249.0,243.0,1.0,11827.0,3258.0,19.0,415.0,7.0,849097.0,22998.0,61.0,Morocco,380.0,36919899.0,Africa,2409.0,151934.0,43.0
10,2020-07-11,15542.0,214.0,245.0,2.0,12065.0,3232.0,19.0,421.0,7.0,864594.0,23417.0,61.0,Morocco,238.0,36921094.0,Africa,2376.0,150698.0,43.0
11,2020-07-12,15745.0,203.0,250.0,5.0,12283.0,3212.0,19.0,426.0,7.0,878626.0,23796.0,61.0,Morocco,218.0,36923484.0,Africa,2345.0,147694.0,42.0
12,2020-07-13,15936.0,191.0,255.0,5.0,12934.0,2747.0,31.0,432.0,7.0,896638.0,24284.0,61.0,Morocco,651.0,36923484.0,Africa,2317.0,144798.0,41.0
13,2020-07-14,16097.0,161.0,257.0,2.0,13442.0,2398.0,31.0,436.0,7.0,915140.0,24784.0,61.0,Morocco,508.0,36924679.0,Africa,2294.0,143676.0,40.0
14,2020-07-15,16262.0,165.0,259.0,2.0,13821.0,2182.0,31.0,440.0,7.0,924695.0,25042.0,61.0,Morocco,379.0,36925874.0,Africa,2271.0,142571.0,40.0
15,2020-07-16,16545.0,283.0,263.0,4.0,13965.0,2317.0,31.0,448.0,7.0,953715.0,25827.0,61.0,Morocco,144.0,36927069.0,Africa,2232.0,140407.0,39.0
