,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
32,2020-06-02,7866,33,206,1,6410,1250,13,213,6,234651,6364,Morocco,Africa,61,36874488,517,4688,179002,157
33,2020-06-03,7922,56,206,-1,6866,850,13,215,6,247824,6721,Morocco,Africa,62,36875683,456,4655,179008,149
34,2020-06-04,8003,81,208,2,7195,600,15,217,6,261010,7078,Morocco,Africa,62,36876878,329,4608,177293,141
35,2020-06-05,8071,68,208,-1,7268,595,15,219,6,275349,7466,Morocco,Africa,62,36878073,73,4569,177298,134
36,2020-06-06,8151,80,208,-1,7315,628,15,221,6,289457,7849,Morocco,Africa,62,36879268,47,4525,177304,127
37,2020-06-07,8224,73,208,-1,7364,652,15,223,6,305953,8296,Morocco,Africa,62,36880463,49,4484,177310,121
38,2020-06-08,8302,78,208,-1,7408,686,15,225,6,322703,8750,Morocco,Africa,62,36881658,44,4443,177316,114
39,2020-06-09,8437,135,210,2,7493,734,15,229,6,335643,9100,Morocco,Africa,61,36882853,85,4372,175633,110
40,2020-06-10,8508,71,211,1,7565,732,15,231,6,356051,9653,Morocco,Africa,63,36884048,72,4335,174806,104
41,2020-06-11,8537,29,211,-1,7583,743,7,231,6,372591,10101,Morocco,Africa,63,36885243,18,4321,174812,99
42,2020-06-12,8610,73,212,1,7618,780,7,233,6,389142,10550,Morocco,Africa,63,36886438,35,4284,173993,95
43,2020-06-13,8692,82,212,-1,7696,784,7,236,6,405898,11004,Morocco,Africa,62,36887633,78,4244,173998,91
44,2020-06-14,8793,101,212,-1,7765,816,7,238,6,422520,11454,Morocco,Africa,62,36888828,69,4195,174004,87
45,2020-06-15,8885,92,212,-1,7828,845,7,241,6,439272,11908,Morocco,Africa,63,36890023,63,4152,174010,84
46,2020-06-16,8931,46,212,-1,7937,782,7,242,6,455768,12354,Morocco,Africa,64,36891218,109,4131,174015,81
47,2020-06-17,8997,66,213,1,7993,791,7,244,6,471736,12787,Morocco,Africa,64,36892413,56,4101,173204,78
48,2020-06-18,9074,77,213,-1,8041,820,7,246,6,488947,13253,Morocco,Africa,64,36893608,48,4066,173209,75
49,2020-06-19,9613,539,213,-1,8117,1283,7,261,6,505636,13705,Morocco,Africa,64,36894803,76,3838,173215,73
50,2020-06-20,9839,226,213,-1,8223,1403,7,267,6,522166,14152,Morocco,Africa,64,36897193,106,3750,173226,71
51,2020-06-21,9977,138,214,1,8284,1479,7,270,6,530578,14380,Morocco,Africa,64,36897193,61,3698,172417,70
52,2020-06-22,10172,195,214,-1,8366,1592,7,276,6,556695,15087,Morocco,Africa,64,36898388,82,3627,172422,66
53,2020-06-23,10344,172,214,-1,8407,1723,7,280,6,575176,15588,Morocco,Africa,64,36899583,41,3567,172428,64
54,2020-06-24,10907,563,216,2,8468,2223,7,296,6,591757,16036,Morocco,Africa,63,36900779,61,3383,170837,62
